Date,Open,High,Low,Close,Adj Close,Volume
2008-12-01,3.435000,3.845000,3.010000,3.620000,3.620000,21751600
2009-01-01,3.690000,3.990000,2.800000,2.995000,2.995000,20685600
2009-02-01,2.885000,3.365000,2.345000,2.355000,2.355000,28637000
2009-03-01,2.250000,2.945000,1.910000,2.675000,2.675000,51236400
2009-04-01,2.610000,3.295000,2.590000,3.170000,3.170000,23964000
2009-05-01,3.190000,3.600000,3.130000,3.520000,3.520000,14459600
2009-06-01,3.625000,3.795000,3.265000,3.485000,3.485000,8605800
2009-07-01,3.425000,4.105000,3.115000,3.990000,3.990000,8886800
2009-08-01,4.075000,4.420000,3.775000,4.260000,4.260000,8043800
2009-09-01,4.250000,4.765000,4.030000,4.545000,4.545000,8749600
2009-10-01,4.540000,4.935000,4.190000,4.340000,4.340000,8056000
2009-11-01,4.370000,5.020000,4.290000,4.860000,4.860000,6188400
2009-12-01,4.945000,5.165000,4.775000,5.015000,5.015000,4581600
2010-01-01,5.090000,5.350000,4.625000,4.635000,4.635000,5985000
2010-02-01,4.710000,4.975000,4.390000,4.925000,4.925000,6054200
2010-03-01,4.950000,5.605000,4.940000,5.505000,5.505000,4075600
2010-04-01,5.575000,5.990000,5.510000,5.640000,5.640000,5267400
2010-05-01,5.700000,5.810000,4.275000,4.735000,4.735000,16137000
2010-06-01,4.600000,5.025000,4.140000,4.155000,4.155000,15365400
2010-07-01,4.135000,4.895000,4.025000,4.725000,4.725000,11792200
2010-08-01,4.900000,4.960000,4.195000,4.275000,4.275000,10292000
2010-09-01,4.395000,5.190000,4.380000,5.040000,5.040000,6849800
2010-10-01,5.115000,5.530000,4.970000,5.425000,5.425000,5056000
2010-11-01,5.480000,5.830000,5.325000,5.395000,5.395000,6612200
2010-12-01,5.535000,6.190000,5.535000,6.130000,6.130000,4460200
2011-01-01,6.275000,6.550000,6.160000,6.390000,6.390000,4168800
2011-02-01,6.465000,6.995000,6.465000,6.825000,6.825000,2715400
2011-03-01,6.875000,6.885000,6.050000,6.800000,6.800000,6195600
2011-04-01,6.875000,7.190000,6.465000,7.175000,7.175000,2660400
2011-05-01,7.330000,7.330000,6.650000,6.990000,6.990000,4355400
