,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-04,19.389999,19.440001,19.389999,19.440001,17.08983,1300
1,2019-03-11,19.459999,19.75,19.459999,19.75,17.362358,900
2,2019-03-18,19.75,19.75,19.469999,19.469999,17.116205,800
3,2019-03-25,19.51,19.620001,19.51,19.6,17.230486,1900
4,2019-04-01,19.6,19.75,19.6,19.75,17.451391,200
5,2019-04-08,19.9,20.049999,19.780001,20.049999,17.716475,700
6,2019-04-15,20.049999,20.049999,19.940001,19.959999,17.636951,2200
7,2019-04-22,19.9,19.9,19.9,19.9,17.583933,1000
8,2019-04-29,19.9,20.139999,19.9,20.139999,17.795998,200
9,2019-05-06,20.139999,20.139999,20.139999,20.139999,17.88588,500
10,2019-05-13,19.629999,19.76,19.629999,19.76,17.548414,2500
11,2019-05-20,19.76,19.76,19.76,19.76,17.548414,0
12,2019-05-27,20.02,20.02,19.49,19.49,17.308632,1000
13,2019-06-03,19.49,19.49,19.49,19.49,17.39699,0
14,2019-06-10,20.24,20.299999,20.23,20.299999,18.120003,1000
15,2019-06-17,20.299999,20.299999,20.299999,20.299999,18.120003,0
16,2019-06-24,20.5,20.5,20.15,20.15,17.986109,6000
17,2019-07-01,20.15,20.639999,20.1,20.540001,18.425673,5500
18,2019-07-08,20.49,20.780001,20.49,20.6,18.479494,2400
19,2019-07-15,20.6,20.65,20.5,20.5,18.389791,5200
20,2019-07-22,20.5,20.57,20.5,20.52,18.40773,10400
21,2019-07-29,20.799999,20.799999,20.58,20.58,18.461554,2000
22,2019-08-05,20.58,20.58,20.549999,20.549999,18.523699,300
23,2019-08-12,20.549999,20.67,20.48,20.48,18.460596,600
24,2019-08-19,20.719999,20.82,20.450001,20.450001,18.433563,1600
25,2019-08-26,20.440001,20.83,20.440001,20.83,18.776091,1600
26,2019-09-02,20.82,20.959999,20.809999,20.950001,18.976463,4900
27,2019-09-09,21.15,21.15,20.35,20.57,18.632261,12200
28,2019-09-16,20.48,20.75,20.48,20.75,18.795303,1700
29,2019-09-23,20.75,20.83,20.549999,20.549999,18.614141,31400
30,2019-09-30,20.709999,20.709999,20.17,20.440001,18.604208,15500
31,2019-10-07,20.469999,20.610001,20.25,20.58,18.731634,3700
32,2019-10-14,20.43,20.6,20.43,20.51,18.667921,4100
33,2019-10-21,20.5,20.5,20.5,20.5,18.658821,400
34,2019-10-28,20.5,20.5,20.4,20.4,18.567802,1200
35,2019-11-04,20.559999,20.559999,19.620001,20.450001,18.70487,8900
36,2019-11-11,20.469999,20.469999,20.469999,20.469999,18.723162,400
37,2019-11-18,20.450001,20.74,20.450001,20.58,18.823772,2300
38,2019-11-25,20.58,20.85,20.58,20.65,18.887798,15300
39,2019-12-02,20.559999,20.559999,20.16,20.450001,18.79501,3500
40,2019-12-09,20.540001,20.83,20.52,20.83,19.144255,8900
41,2019-12-16,20.959999,21.16,20.950001,21.16,19.44755,19300
42,2019-12-23,21.129999,21.18,21.1,21.15,19.438358,1000
43,2019-12-30,21.15,21.15,21.0,21.0,19.300499,9100
44,2020-01-06,21.0,21.26,21.0,21.26,19.632282,3500
45,2020-01-13,21.26,21.51,21.26,21.51,19.863144,4300
46,2020-01-20,21.73,21.73,21.4,21.42,19.780029,18200
47,2020-01-27,21.299999,21.32,20.77,20.780001,19.189034,19800
48,2020-02-03,20.780001,21.6,20.780001,21.559999,20.003223,800
49,2020-02-10,21.559999,21.85,21.559999,21.85,20.272285,1200
50,2020-02-17,21.799999,21.9,21.67,21.67,20.105282,5000
51,2020-02-24,21.67,21.67,18.700001,18.700001,17.349737,9000
52,2020-03-02,18.93,19.5,18.85,18.85,17.575657,6200
53,2020-03-09,18.75,18.75,14.0,15.7,14.638611,16200
