,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-03-05,19.950001,20.200001,19.950001,19.950001,19.950001,1000
1,2018-03-12,19.950001,19.950001,19.950001,19.950001,19.950001,0
2,2018-03-19,19.950001,20.129999,19.950001,20.129999,20.129999,600
3,2018-03-26,20.01,20.01,19.780001,19.780001,19.780001,1600
4,2018-04-02,19.780001,20.219999,19.77,20.01,20.01,500
5,2018-04-09,20.01,20.01,19.790001,19.790001,19.790001,300
6,2018-04-16,19.790001,20.120001,19.790001,20.0,20.0,7900
7,2018-04-23,19.67,20.1,19.67,20.1,20.1,700
8,2018-04-30,20.1,20.1,19.889999,20.1,20.1,900
9,2018-05-07,20.1,20.1,20.02,20.08,20.08,1800
10,2018-05-14,20.08,20.24,20.08,20.24,20.24,21800
11,2018-05-21,20.24,20.24,20.24,20.24,20.24,0
12,2018-05-28,20.24,20.34,20.24,20.33,20.33,9600
13,2018-06-04,20.379999,20.379999,20.35,20.35,20.35,1900
14,2018-06-11,20.35,20.35,20.35,20.35,20.35,0
15,2018-06-18,20.35,20.73,20.35,20.709999,20.709999,500
16,2018-06-25,20.709999,20.709999,20.41,20.41,20.41,500
17,2018-07-02,20.41,20.559999,20.41,20.549999,20.549999,10100
18,2018-07-09,20.549999,21.309999,20.549999,20.92,20.92,1200
19,2018-07-16,20.92,21.07,20.92,21.040001,21.040001,1100
20,2018-07-23,21.040001,21.040001,20.84,20.84,20.84,1200
21,2018-07-30,20.84,20.959999,20.84,20.959999,20.959999,700
22,2018-08-06,20.959999,20.959999,20.82,20.82,20.82,700
23,2018-08-13,20.82,20.83,20.74,20.83,20.83,200
24,2018-08-20,20.83,20.83,20.83,20.83,20.83,1200
25,2018-08-27,20.83,20.83,20.700001,20.74,20.74,1500
26,2018-09-03,20.74,20.74,20.74,20.74,20.74,0
27,2018-09-10,20.74,20.74,20.709999,20.709999,20.709999,7000
28,2018-09-17,20.709999,20.709999,20.6,20.6,20.6,2500
29,2018-09-24,20.6,20.6,20.6,20.6,20.6,0
30,2018-10-01,20.6,20.6,20.6,20.6,20.6,0
31,2018-10-08,20.6,20.6,19.379999,19.379999,19.379999,2400
32,2018-10-15,19.379999,19.459999,19.379999,19.459999,19.459999,100
33,2018-10-22,19.459999,19.459999,19.190001,19.190001,19.190001,100
34,2018-10-29,19.190001,19.280001,19.190001,19.280001,19.280001,5000
35,2018-11-05,19.530001,19.58,19.530001,19.58,19.58,300
36,2018-11-12,19.58,19.58,19.58,19.58,19.58,0
37,2018-11-19,19.58,19.58,19.08,19.129999,19.129999,600
38,2018-11-26,19.129999,19.610001,19.129999,19.610001,19.610001,300
39,2018-12-03,19.610001,19.610001,19.610001,19.610001,19.610001,0
40,2018-12-10,19.610001,19.610001,19.610001,19.610001,19.610001,0
41,2018-12-17,19.610001,19.610001,19.610001,19.610001,19.610001,0
42,2018-12-24,17.84,17.84,17.84,17.84,17.84,300
43,2018-12-31,17.84,17.84,17.84,17.84,17.84,0
44,2019-01-07,17.84,17.84,17.84,17.84,17.84,0
45,2019-01-14,17.84,19.42,17.84,19.42,19.42,500
46,2019-01-21,19.42,19.84,19.42,19.84,19.84,3000
47,2019-01-28,19.84,19.84,19.84,19.84,19.84,100
48,2019-02-04,19.84,19.84,19.84,19.84,19.84,0
49,2019-02-11,19.84,19.84,19.84,19.84,19.84,0
50,2019-02-18,19.84,20.43,19.84,20.43,20.43,200
51,2019-02-25,20.43,20.459999,20.4,20.4,20.4,1000
52,2019-03-04,20.450001,20.540001,20.08,20.08,20.08,300
53,2019-03-11,20.08,20.08,20.08,20.08,20.08,0
54,2019-03-18,20.08,20.27,20.08,20.209999,20.209999,100
55,2019-03-25,20.209999,20.51,20.209999,20.51,20.51,300
56,2019-04-01,20.51,20.83,20.51,20.809999,20.809999,800
57,2019-04-08,20.809999,20.950001,20.809999,20.950001,20.950001,2400
58,2019-04-15,21.0,21.0,21.0,21.0,21.0,2800
59,2019-04-22,21.190001,21.459999,21.190001,21.459999,21.459999,1400
60,2019-04-29,21.459999,21.459999,21.33,21.33,21.33,2000
61,2019-05-06,21.1,21.1,20.66,20.709999,20.709999,1200
62,2019-05-13,20.709999,20.82,20.709999,20.82,20.82,300
63,2019-05-20,20.82,21.23,20.82,21.15,21.15,400
64,2019-05-27,21.15,21.41,21.02,21.02,21.02,5000
65,2019-06-03,21.02,21.370001,21.02,21.370001,21.370001,700
66,2019-06-10,21.370001,21.799999,21.370001,21.690001,21.690001,800
67,2019-06-17,21.690001,21.84,21.690001,21.84,21.84,100
68,2019-06-24,21.83,21.83,21.540001,21.540001,21.540001,800
69,2019-07-01,21.540001,21.57,21.540001,21.540001,21.540001,900
70,2019-07-08,21.540001,22.129999,21.540001,22.129999,22.129999,800
71,2019-07-15,22.0,22.0,21.67,21.719999,21.719999,500
72,2019-07-22,21.65,21.969999,21.65,21.9,21.9,800
73,2019-07-29,21.889999,21.889999,21.389999,21.389999,21.389999,900
74,2019-08-05,21.139999,21.379999,21.08,21.34,21.34,800
75,2019-08-12,21.34,21.42,20.950001,20.950001,20.950001,600
