,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-04,24.85,24.99,24.85,24.99,22.590252,1500
1,2019-03-11,24.99,25.110001,24.959999,25.110001,22.698729,300
2,2019-03-18,25.110001,25.190001,25.110001,25.129999,22.716805,600
3,2019-03-25,25.129999,25.16,25.120001,25.16,22.743929,300
4,2019-04-01,25.16,25.33,25.16,25.33,22.992754,3400
5,2019-04-08,25.34,25.360001,25.309999,25.32,22.983685,5300
6,2019-04-15,25.4,25.440001,25.389999,25.440001,23.092609,900
7,2019-04-22,25.450001,25.450001,25.4,25.43,23.083532,300
8,2019-04-29,25.48,25.48,25.379999,25.459999,23.110764,2800
9,2019-05-06,25.459999,25.459999,25.450001,25.450001,23.196552,64700
10,2019-05-13,25.450001,25.530001,25.450001,25.469999,23.214783,1200
11,2019-05-20,25.42,25.51,25.42,25.51,23.251242,5100
12,2019-05-27,25.66,27.42,25.42,25.42,23.169205,85200
13,2019-06-03,25.440001,25.440001,25.440001,25.440001,23.282354,100
14,2019-06-10,25.610001,25.610001,25.559999,25.58,23.410479,1200
15,2019-06-17,25.58,26.35,25.58,25.790001,23.602671,9600
16,2019-06-24,25.809999,25.809999,25.690001,25.74,23.556911,2300
17,2019-07-01,25.690001,25.98,25.690001,25.83,23.734953,800
18,2019-07-08,25.85,26.01,25.82,25.82,23.725765,3200
19,2019-07-15,25.83,25.93,25.82,25.93,23.826841,1400
20,2019-07-22,25.93,26.16,25.93,26.16,24.038189,9900
21,2019-07-29,26.18,26.18,26.02,26.09,23.973864,2400
22,2019-08-05,26.07,26.07,26.0,26.0,23.986559,2600
23,2019-08-12,26.02,26.120001,26.02,26.120001,24.097271,143800
24,2019-08-19,26.1,26.290001,26.08,26.290001,24.254107,4100
25,2019-08-26,26.27,26.41,26.219999,26.24,24.207975,16200
26,2019-09-02,26.24,26.4,26.24,26.4,24.452391,8400
27,2019-09-09,26.4,26.4,26.24,26.24,24.304193,11600
28,2019-09-16,26.26,26.469999,26.26,26.469999,24.51722,18800
29,2019-09-23,26.469999,26.51,26.406,26.406,24.457945,1800
30,2019-09-30,26.440001,26.440001,26.34,26.42,24.567295,2200
31,2019-10-07,26.41,26.48,26.379999,26.48,24.623081,8200
32,2019-10-14,26.540001,26.639999,26.540001,26.6,24.734671,8200
33,2019-10-21,26.6,26.799999,26.6,26.799999,24.920643,6900
34,2019-10-28,26.82,27.389999,26.6,26.6,24.734671,10100
35,2019-11-04,26.700001,26.700001,26.540001,26.57,24.802952,16500
36,2019-11-11,26.5,26.65,26.5,26.65,24.877632,3600
37,2019-11-18,26.74,26.74,26.57,26.620001,24.849628,5600
38,2019-11-25,26.59,26.66,26.59,26.6,24.830959,7700
39,2019-12-02,26.51,26.540001,26.450001,26.51,24.843929,6900
40,2019-12-09,26.51,26.75,26.51,26.719999,25.040733,23000
41,2019-12-16,26.799999,26.93,26.75,26.9,25.209423,10900
42,2019-12-23,26.91,26.950001,26.91,26.950001,25.256283,900
43,2019-12-30,26.860001,26.969999,26.799999,26.969999,25.275023,2000
44,2020-01-06,27.049999,27.74,26.790001,27.049999,25.448195,13700
45,2020-01-13,27.110001,27.25,27.059999,27.1,25.495241,14000
46,2020-01-20,27.26,27.27,27.1,27.18,25.570499,7000
47,2020-01-27,27.209999,27.24,27.15,27.15,25.542274,9200
48,2020-02-03,27.200001,27.4,27.15,27.4,25.876265,16300
49,2020-02-10,27.41,27.68,27.4,27.51,25.980146,25700
50,2020-02-17,27.48,27.530001,27.459999,27.51,25.980146,8100
51,2020-02-24,27.459999,27.459999,26.51,26.51,25.035761,17600
52,2020-03-02,26.5,27.08,26.5,26.700001,25.312405,15600
53,2020-03-09,26.08,26.139999,22.98,23.620001,22.392471,223200
54,2020-03-16,22.469999,22.469999,17.030001,18.709999,17.73764,34100
55,2020-03-23,17.9,22.049999,17.440001,21.41,20.297327,40500
56,2020-03-30,21.549999,21.860001,20.75,20.98,19.889669,5200
57,2020-04-06,21.59,23.57,21.59,23.52,22.406509,6000
58,2020-04-13,22.950001,24.01,22.950001,24.0,22.863787,4900
59,2020-04-20,23.83,24.0,23.629999,24.0,22.863787,4800
60,2020-04-27,23.98,25.23,23.610001,23.610001,22.492245,8100
61,2020-05-04,23.610001,24.110001,23.610001,24.0,22.961573,6400
62,2020-05-11,23.780001,24.219999,23.75,23.870001,22.837198,3500
63,2020-05-18,23.83,24.33,23.83,24.33,23.277292,1400
64,2020-05-25,24.33,24.690001,24.33,24.49,23.430372,33700
65,2020-06-01,24.559999,25.030001,24.559999,25.01,24.029835,4300
66,2020-06-08,25.200001,25.200001,24.52,24.625,23.659922,4600
67,2020-06-15,24.5,24.92,24.5,24.9,23.924147,2100
68,2020-06-22,24.77,24.790001,24.49,24.49,23.530216,11200
69,2020-06-29,24.68,24.68,24.68,24.68,23.712767,100
70,2020-07-06,24.68,24.73,24.610001,24.610001,23.746355,1000
71,2020-07-13,24.76,25.0,24.549999,25.0,24.122665,6700
72,2020-07-20,25.0,25.02,25.0,25.01,24.132315,500
73,2020-07-27,25.290001,25.450001,24.860001,25.42,24.527931,13000
74,2020-08-03,25.389999,25.57,25.200001,25.57,24.773903,22900
75,2020-08-10,25.57,25.76,25.4,25.76,24.957987,26600
76,2020-08-17,25.68,25.889999,25.66,25.889999,25.083941,7300
77,2020-08-24,26.030001,26.059999,25.91,25.98,25.171137,5500
78,2020-08-31,25.959999,26.6,25.48,25.860001,25.155575,4900
79,2020-09-07,25.629999,25.92,25.629999,25.780001,25.077751,39300
80,2020-09-14,25.780001,26.1,25.780001,25.799999,25.097208,4700
81,2020-09-21,25.799999,25.799999,25.469999,25.66,24.961021,17300
82,2020-09-28,25.809999,25.809999,25.530001,25.65,24.951294,3000
83,2020-10-05,25.74,25.959999,25.67,25.93,25.325714,6100
84,2020-10-12,25.93,25.99,25.92,25.969999,25.364782,4200
85,2020-10-19,25.9,26.0,25.76,25.98,25.37455,5600
86,2020-10-26,25.969999,25.969999,25.709999,25.73,25.130375,6000
87,2020-11-02,25.65,25.98,25.65,25.950001,25.44783,5300
88,2020-11-09,26.049999,26.450001,26.040001,26.33,25.820477,61700
89,2020-11-16,26.43,26.559999,26.379999,26.52,26.006802,31000
90,2020-11-23,26.709999,26.879999,26.530001,26.629999,26.114672,18500
91,2020-11-30,26.67,26.67,26.450001,26.66,26.245636,15400
92,2020-12-07,26.620001,26.809999,26.540001,26.67,26.255482,3100
93,2020-12-14,26.82,27.200001,26.76,26.9,26.481905,9200
94,2020-12-21,26.93,27.200001,26.709999,26.92,26.501596,3700
95,2020-12-28,26.92,26.92,26.74,26.870001,26.452374,900
96,2021-01-04,26.700001,26.940001,26.120001,26.700001,26.386955,3800
97,2021-01-11,26.57,26.85,26.440001,26.85,26.535196,6900
98,2021-01-18,26.85,27.67,26.799999,26.9,26.58461,11700
99,2021-01-25,26.9,26.9,26.5,26.58,26.268362,6400
100,2021-02-01,26.6,27.360001,26.52,26.709999,26.500841,11600
101,2021-02-08,26.68,26.809999,26.68,26.709999,26.500841,2300
102,2021-02-15,26.959999,26.959999,26.57,26.65,26.441311,2700
103,2021-02-22,26.690001,26.690001,26.18,26.26,26.054365,7700
104,2021-03-01,26.629999,26.629999,26.23,26.43,26.326313,5900
105,2021-03-08,26.5,26.66,26.41,26.42,26.316353,3900
106,2021-03-15,26.42,26.6,26.285,26.5,26.396038,25900
107,2021-03-22,26.52,26.68,26.52,26.65,26.54545,5800
108,2021-03-29,26.620001,26.66,26.51,26.66,26.55541,3200
109,2021-04-01,26.51,26.66,26.51,26.66,26.66,1997
