,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-06-24,9.92,9.95,9.92,9.94,8.847608,1000
1,2013-07-01,9.94,9.96,9.94,9.96,8.865413,2000
2,2013-07-08,9.95,9.96,9.95,9.96,8.865413,22200
3,2013-07-15,9.98,9.99,9.98,9.99,8.892113,21700
4,2013-07-22,9.99,10.0,9.97,10.0,8.901014,3000
5,2013-07-29,9.98,9.98,9.94,9.96,8.865413,16500
6,2013-08-05,9.96,9.96,9.96,9.96,8.865413,0
7,2013-08-12,9.96,9.96,9.92,9.93,8.838706,5100
8,2013-08-19,9.93,9.93,9.9,9.9,8.812004,2000
9,2013-08-26,9.9,9.92,9.9,9.92,8.829805,100
10,2013-09-02,9.94,9.94,9.92,9.92,8.829805,15800
11,2013-09-09,9.92,9.92,9.92,9.92,8.829805,0
12,2013-09-16,9.92,9.92,9.92,9.92,8.829805,0
13,2013-09-23,9.92,9.98,9.92,9.94,8.847608,1700
14,2013-09-30,9.95,9.96,9.95,9.95,8.904693,20100
15,2013-10-07,9.95,9.95,9.95,9.95,8.904693,0
16,2013-10-14,9.94,9.94,9.93,9.93,8.886792,1200
17,2013-10-21,9.93,9.98,9.93,9.98,8.931539,400
18,2013-10-28,9.98,10.02,9.98,10.02,8.967338,4000
19,2013-11-04,10.02,10.02,10.02,10.02,8.967338,0
20,2013-11-11,10.02,10.03,10.02,10.03,8.976284,300
21,2013-11-18,10.03,10.03,10.03,10.03,8.976284,0
22,2013-11-25,10.03,10.06,10.03,10.06,9.003133,100
23,2013-12-02,10.05,10.05,10.05,10.05,8.994184,3000
24,2013-12-09,10.05,10.06,10.05,10.06,9.003133,3800
25,2013-12-16,10.06,10.06,10.06,10.06,9.003133,700
26,2013-12-23,10.06,10.06,10.06,10.06,9.003133,0
27,2013-12-30,10.06,10.06,10.06,10.06,9.042681,0
28,2014-01-06,10.06,10.06,10.02,10.02,9.006729,1000
29,2014-01-13,10.02,10.07,10.02,10.07,9.051674,15700
30,2014-01-20,10.07,10.07,10.05,10.05,9.033695,13300
31,2014-01-27,10.05,10.05,10.05,10.05,9.033695,0
32,2014-02-03,10.05,10.05,10.05,10.05,9.033695,0
33,2014-02-10,10.05,10.05,10.05,10.05,9.033695,0
34,2014-02-17,10.05,10.05,10.05,10.05,9.033695,0
35,2014-02-24,10.05,10.12,10.05,10.12,9.096617,3000
36,2014-03-03,10.12,10.12,10.09,10.09,9.069653,42400
37,2014-03-10,10.09,10.09,10.09,10.09,9.069653,0
38,2014-03-17,10.09,10.12,10.09,10.1,9.078641,6400
39,2014-03-24,10.1,10.1,10.07,10.07,9.051674,64000
40,2014-03-31,10.06,10.06,10.03,10.03,9.055166,2800
41,2014-04-07,10.03,10.07,9.95,9.95,8.982944,1300
42,2014-04-14,9.95,9.95,9.95,9.95,8.982944,0
43,2014-04-21,9.95,10.08,9.95,10.08,9.100307,2000
44,2014-04-28,10.08,10.08,10.08,10.08,9.100307,0
45,2014-05-05,10.08,10.08,10.08,10.08,9.100307,0
46,2014-05-12,10.06,10.11,10.06,10.11,9.127392,2200
47,2014-05-19,10.12,10.12,10.12,10.12,9.13642,4400
48,2014-05-26,10.09,10.09,10.08,10.08,9.100307,2300
49,2014-06-02,10.08,10.08,10.08,10.08,9.100307,0
50,2014-06-09,10.12,10.12,10.12,10.12,9.13642,3800
51,2014-06-16,10.12,10.12,10.12,10.12,9.13642,0
52,2014-06-23,10.12,10.12,10.12,10.12,9.13642,0
53,2014-06-30,10.12,10.12,10.07,10.07,9.130979,200
54,2014-07-07,10.07,10.07,10.07,10.07,9.130979,0
55,2014-07-14,10.07,10.07,10.07,10.07,9.130979,0
56,2014-07-21,10.08,10.08,10.06,10.06,9.121911,63100
57,2014-07-28,10.06,10.06,10.06,10.06,9.121911,0
58,2014-08-04,10.06,10.06,10.06,10.06,9.121911,0
59,2014-08-11,10.06,10.06,10.06,10.06,9.121911,0
60,2014-08-18,10.06,10.1,10.06,10.1,9.158182,3000
61,2014-08-25,10.1,10.1,10.1,10.1,9.158182,0
62,2014-09-01,10.1,10.1,10.1,10.1,9.158182,500
63,2014-09-08,10.1,10.1,10.1,10.1,9.158182,0
64,2014-09-15,10.1,10.11,10.1,10.11,9.167249,1900
65,2014-09-22,10.11,10.11,10.11,10.11,9.167249,0
66,2014-09-29,10.06,10.06,10.06,10.06,9.160875,5600
67,2014-10-06,10.06,10.12,10.06,10.12,9.215513,7500
