,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-04,20.469999,20.49,20.41,20.49,19.422628,2700
1,2019-03-11,20.52,20.58,20.48,20.57,19.498459,30100
2,2019-03-18,20.58,20.75,20.57,20.75,19.669083,12000
3,2019-03-25,20.75,20.84,20.68,20.68,19.602728,7700
4,2019-04-01,20.65,20.76,20.610001,20.629999,19.599535,11800
5,2019-04-08,20.610001,20.620001,20.57,20.57,19.542534,17800
6,2019-04-15,20.57,20.66,20.57,20.66,19.628038,2100
7,2019-04-22,20.65,20.790001,20.639999,20.780001,19.742048,10900
8,2019-04-29,20.780001,20.780001,20.68,20.68,19.647038,8100
9,2019-05-06,20.690001,20.85,20.68,20.76,19.767756,27300
10,2019-05-13,20.790001,20.84,20.77,20.809999,19.815369,8200
11,2019-05-20,20.75,20.870001,20.75,20.870001,19.872498,7300
12,2019-05-27,20.92,20.940001,20.92,20.940001,19.939154,3800
13,2019-06-03,20.940001,21.0,20.92,21.0,20.041288,4000
14,2019-06-10,20.950001,21.07,20.879999,21.07,20.108093,13200
15,2019-06-17,21.08,21.139999,21.059999,21.110001,20.146269,21600
16,2019-06-24,21.15,21.16,21.09,21.129999,20.165352,5600
17,2019-07-01,21.1,21.299999,21.049999,21.049999,20.133745,17900
18,2019-07-08,21.049999,21.08,21.040001,21.07,20.152874,3000
19,2019-07-15,21.07,21.219999,21.07,21.200001,20.277218,3000
20,2019-07-22,21.25,21.290001,21.23,21.280001,20.353735,6700
21,2019-07-29,21.27,21.309999,21.17,21.309999,20.382427,6100
22,2019-08-05,21.4,21.459999,21.32,21.32,20.437197,1700
23,2019-08-12,21.32,21.49,20.799999,21.459999,20.571405,3200
24,2019-08-19,21.459999,21.459999,21.34,21.34,20.456366,1600
25,2019-08-26,21.34,21.469999,21.34,21.379999,20.494715,7200
26,2019-09-02,21.4,21.4,21.23,21.26,20.424391,1800
27,2019-09-09,21.190001,21.190001,21.059999,21.09,20.26108,1800
28,2019-09-16,21.049999,21.190001,21.049999,21.190001,20.357147,19500
29,2019-09-23,21.190001,21.27,21.190001,21.190001,20.357147,1200
