,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-08-14,49.619999,49.619999,49.619999,49.619999,45.126003,100
1,2017-08-21,49.619999,49.630001,49.599998,49.619999,45.126003,9600
2,2017-08-28,49.619999,49.619999,49.43,49.43,44.953209,5200
3,2017-09-04,49.43,49.470001,49.220001,49.23,44.771305,6300
4,2017-09-11,49.189999,49.189999,49.119999,49.119999,44.671288,13400
5,2017-09-18,49.139999,49.189999,49.119999,49.130001,44.680374,61100
6,2017-09-25,49.119999,49.18,49.119999,49.169998,44.716755,5400
7,2017-10-02,49.169998,49.169998,49.139999,49.169998,44.812489,4700
8,2017-10-09,49.18,49.220001,49.169998,49.220001,44.858059,3700
9,2017-10-16,49.27,49.360001,49.27,49.360001,44.985645,5600
10,2017-10-23,49.369999,49.470001,49.369999,49.470001,45.085899,3600
11,2017-10-30,49.450001,49.450001,49.41,49.41,45.031212,27500
12,2017-11-06,49.41,49.490002,49.34,49.43,45.145264,4800
13,2017-11-13,49.419998,49.43,49.360001,49.43,45.145264,4400
14,2017-11-20,49.389999,49.490002,49.380001,49.490002,45.200066,3600
15,2017-11-27,49.509998,49.540001,49.34,49.34,45.063061,8500
16,2017-12-04,49.27,49.380001,49.27,49.34,45.158764,10300
17,2017-12-11,49.349998,49.369999,49.290001,49.32,45.140472,12400
18,2017-12-18,49.349998,49.349998,49.119999,49.119999,44.957428,5800
19,2017-12-25,49.119999,49.119999,49.080002,49.110001,44.948277,2600
20,2018-01-01,49.049999,49.080002,48.950001,48.970001,44.916153,5900
21,2018-01-08,48.970001,49.049999,48.950001,49.049999,44.989517,10500
22,2018-01-15,49.049999,49.049999,48.93,48.93,44.879467,3600
23,2018-01-22,48.990002,49.009998,48.970001,48.990002,44.934505,6100
24,2018-01-29,48.98,48.98,48.779999,48.779999,44.741875,5300
25,2018-02-05,48.82,48.84,48.73,48.759998,44.821442,8000
26,2018-02-12,48.799999,48.869999,48.75,48.869999,44.922558,4300
27,2018-02-19,48.849998,48.919998,48.790001,48.889999,44.940945,4100
28,2018-02-26,48.950001,48.950001,48.790001,48.790001,44.849026,5600
29,2018-03-05,48.900002,48.91,48.82,48.860001,45.011753,24500
30,2018-03-12,48.790001,48.91,48.790001,48.91,45.057835,3500
31,2018-03-19,48.91,48.91,48.709999,48.77,44.928848,4700
32,2018-03-26,48.720001,48.84,48.720001,48.720001,44.882786,1200
33,2018-04-02,48.779999,48.810001,48.669998,48.68,44.944534,1600
34,2018-04-09,48.700001,48.740002,48.66,48.66,44.926052,6800
35,2018-04-16,48.66,48.68,48.66,48.68,44.944534,200
36,2018-04-23,48.68,48.68,48.68,48.68,44.944534,0
37,2018-04-30,48.68,48.68,48.59,48.59,44.960255,200
38,2018-05-07,48.639999,48.639999,48.57,48.57,44.94175,1200
39,2018-05-14,48.549999,48.549999,48.400002,48.400002,44.784439,1400
40,2018-05-21,48.41,48.605,48.41,48.605,44.974136,4600
41,2018-05-28,48.605,48.849998,48.605,48.630001,44.997265,2200
