,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-08,21.83,22.059999,21.83,22.059999,21.432137,800
1,2018-01-15,21.99,22.200001,21.75,22.049999,21.422415,12200
2,2018-01-22,22.27,22.27,21.370001,21.709999,21.092096,23400
3,2018-01-29,21.91,21.91,21.219999,21.219999,20.626343,11500
4,2018-02-05,20.959999,21.1,20.0,20.549999,19.975086,33500
5,2018-02-12,20.57,21.5,20.57,21.23,20.636061,16900
6,2018-02-19,21.23,21.549999,21.23,21.549999,20.947107,5500
7,2018-02-26,21.799999,21.799999,20.76,20.969999,20.393898,20500
8,2018-03-05,20.969999,21.9,20.969999,21.9,21.298357,8600
9,2018-03-12,21.9,22.0,21.9,21.9,21.298357,5400
10,2018-03-19,21.91,21.91,20.860001,20.860001,20.286926,3100
11,2018-03-26,20.59,20.82,20.190001,20.459999,19.907972,21200
12,2018-04-02,20.01,21.0,19.799999,20.299999,19.752289,25000
13,2018-04-09,20.32,20.82,20.139999,20.709999,20.151226,3700
14,2018-04-16,20.870001,21.049999,20.17,20.18,19.635525,5900
15,2018-04-23,20.1,20.15,19.629999,20.09,19.558508,19200
16,2018-04-30,19.9,20.65,19.790001,20.65,20.103687,31800
17,2018-05-07,21.07,21.370001,20.879999,21.110001,20.551523,6800
18,2018-05-14,21.110001,21.49,21.110001,21.34,20.775433,1900
19,2018-05-21,21.389999,21.57,21.389999,21.57,20.999352,900
20,2018-05-28,21.26,21.389999,21.07,21.35,20.795778,6400
21,2018-06-04,21.5,22.0,21.5,21.860001,21.292532,6500
22,2018-06-11,21.950001,22.200001,21.950001,22.200001,21.623709,1200
23,2018-06-18,22.059999,22.059999,21.48,21.48,20.922394,11400
24,2018-06-25,21.030001,21.08,20.4,20.469999,19.94865,2200
25,2018-07-02,20.370001,20.75,20.120001,20.75,20.221521,4700
26,2018-07-09,20.9,21.1,20.77,20.93,20.396938,2500
27,2018-07-16,20.91,21.1,20.74,20.940001,20.406689,6500
28,2018-07-23,20.77,21.02,20.639999,20.690001,20.163052,16600
29,2018-07-30,20.83,20.92,20.809999,20.92,20.397909,4400
30,2018-08-06,21.35,21.59,21.08,21.08,20.553911,700
31,2018-08-13,21.07,21.07,20.639999,20.67,20.154144,14400
32,2018-08-20,20.67,21.09,20.67,21.09,20.563667,1000
33,2018-08-27,21.51,21.65,21.51,21.57,21.042883,2600
34,2018-09-03,21.440001,21.440001,20.940001,20.940001,20.428286,300
35,2018-09-10,20.940001,21.040001,20.690001,21.040001,20.525837,1000
36,2018-09-17,21.040001,21.34,20.950001,21.34,20.818506,300
37,2018-09-24,21.34,21.34,20.559999,20.73,20.234037,5100
38,2018-10-01,21.0,21.0,19.709999,19.709999,19.238438,13900
39,2018-10-08,19.709999,19.709999,18.76,19.190001,18.730875,7800
40,2018-10-15,19.16,19.5,18.66,18.67,18.223322,8300
41,2018-10-22,18.67,18.67,17.440001,17.879999,17.452225,14700
42,2018-10-29,17.780001,18.379999,17.780001,18.379999,17.95084,200
43,2018-11-05,18.379999,19.49,18.379999,19.049999,18.605192,10100
44,2018-11-12,19.049999,19.049999,18.52,18.719999,18.282902,2500
45,2018-11-19,18.719999,18.719999,17.99,18.23,17.804342,1900
46,2018-11-26,18.23,18.75,18.23,18.74,18.313625,4800
47,2018-12-03,18.74,18.74,17.709999,17.709999,17.30706,29700
48,2018-12-10,17.49,18.01,17.49,17.709999,17.30706,5700
49,2018-12-17,17.26,17.26,16.370001,16.4,16.026863,40100
50,2018-12-24,16.08,16.459999,15.96,16.459999,16.08551,11500
51,2018-12-31,16.459999,16.66,15.82,15.82,15.627921,8300
52,2019-01-07,15.82,17.540001,15.82,17.540001,17.327038,700
53,2019-01-14,17.540001,17.85,17.459999,17.85,17.633274,3400
54,2019-01-21,17.799999,18.26,17.23,18.26,18.038298,1500
55,2019-01-28,18.26,18.379999,18.07,18.379999,18.156841,4500
56,2019-02-04,18.43,18.450001,17.92,17.92,17.713093,4600
57,2019-02-11,18.0,18.860001,18.0,18.82,18.602705,2300
58,2019-02-18,18.790001,19.030001,18.780001,19.030001,18.81028,12600
59,2019-02-25,19.17,19.32,18.99,18.99,18.770741,800
60,2019-03-04,18.99,19.190001,18.299999,18.299999,18.099024,400
61,2019-03-11,18.299999,19.040001,18.299999,19.040001,18.830902,4500
62,2019-03-18,18.959999,19.200001,18.73,18.75,18.544086,71300
63,2019-03-25,18.450001,18.67,18.299999,18.309999,18.108917,13700
64,2019-04-01,18.799999,19.870001,18.799999,19.870001,19.663586,11800
65,2019-04-08,19.870001,20.58,19.870001,20.58,20.366211,4400
66,2019-04-15,20.66,21.02,20.389999,21.02,20.801641,5100
67,2019-04-22,20.940001,21.02,20.58,20.58,20.366211,9900
68,2019-04-29,20.67,21.15,20.620001,20.99,20.77195,24700
69,2019-05-06,20.84,20.84,19.82,20.15,19.951344,11800
70,2019-05-13,19.610001,19.73,19.24,19.5,19.307749,4300
71,2019-05-20,18.84,18.85,17.91,17.99,17.812635,5200
72,2019-05-27,17.99,18.08,17.809999,17.879999,17.703722,4300
73,2019-06-03,17.42,18.24,17.42,18.24,18.071295,13300
74,2019-06-10,18.24,18.799999,18.110001,18.110001,17.942493,1300
75,2019-06-17,18.17,18.49,18.16,18.49,18.318974,10200
76,2019-06-24,18.49,19.280001,18.49,19.280001,19.101673,3100
77,2019-07-01,19.139999,19.280001,19.139999,19.280001,19.112799,900
78,2019-07-08,19.280001,19.280001,19.280001,19.280001,19.112799,1200
79,2019-07-15,19.280001,19.860001,19.280001,19.809999,19.638203,4400
80,2019-07-22,19.82,20.76,19.809999,20.59,20.411438,9000
81,2019-07-29,20.540001,20.58,19.620001,19.639999,19.469671,25600
82,2019-08-05,19.629999,19.639999,19.290001,19.309999,19.152798,2400
83,2019-08-12,19.309999,19.309999,18.32,18.51,18.359312,24400
84,2019-08-19,19.09,19.18,18.77,18.83,18.676706,9500
85,2019-08-26,18.83,19.16,18.5,19.059999,18.904833,900
86,2019-09-02,18.809999,18.809999,18.75,18.809999,18.667971,2700
87,2019-09-09,20.25,20.889999,20.25,20.76,20.603243,21100
88,2019-09-16,20.969999,20.969999,20.549999,20.549999,20.394827,1100
89,2019-09-23,20.549999,20.549999,20.040001,20.040001,19.88868,2700
90,2019-09-30,20.040001,20.34,19.35,19.889999,19.750534,14500
91,2019-10-07,19.889999,20.360001,19.559999,20.360001,20.217236,6200
92,2019-10-14,20.709999,20.75,20.639999,20.639999,20.495274,6200
93,2019-10-21,21.0,21.209999,20.91,21.16,21.011625,4300
94,2019-10-28,21.16,21.16,21.049999,21.120001,20.971909,800
95,2019-11-04,22.01,22.709999,22.01,22.440001,22.294241,10100
96,2019-11-11,22.440001,22.889999,22.440001,22.719999,22.57242,3500
97,2019-11-18,22.67,22.67,22.620001,22.620001,22.473072,1200
98,2019-11-25,22.9,23.290001,22.9,23.219999,23.069178,1400
99,2019-12-02,23.1,23.1,22.48,22.48,22.344538,6600
100,2019-12-09,23.040001,23.9,23.040001,23.73,23.587006,14700
101,2019-12-16,24.1,24.42,24.01,24.42,24.27285,3100
102,2019-12-23,24.42,24.49,24.42,24.43,24.282787,1000
103,2019-12-30,24.620001,25.450001,24.48,25.190001,25.038206,9900
104,2020-01-06,24.959999,25.610001,24.959999,25.379999,25.238428,18900
105,2020-01-13,25.379999,26.280001,25.379999,26.200001,26.053852,8200
106,2020-01-20,26.25,26.42,25.5,25.629999,25.487032,15200
107,2020-01-27,25.15,25.299999,24.219999,24.219999,24.084894,15400
108,2020-02-03,24.440001,26.25,24.440001,25.34,25.209682,7600
109,2020-02-10,25.540001,27.0,25.540001,26.73,26.592531,6000
110,2020-02-17,26.82,28.129999,26.67,27.15,27.010368,23700
111,2020-02-24,25.629999,25.719999,22.059999,22.65,22.533516,22700
112,2020-03-02,23.17,24.209999,21.73,21.73,21.627787,28300
113,2020-03-09,20.43,20.780001,17.49,17.93,17.845657,34900
114,2020-03-16,16.709999,17.280001,14.61,15.99,15.914785,53200
115,2020-03-23,15.61,18.83,15.51,18.09,18.004911,48800
