,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-10-30,19.969999,19.969999,19.969999,19.969999,19.665686,2100
1,2020-11-02,19.969999,19.969999,19.969999,19.969999,19.665686,0
2,2020-11-03,19.950001,19.950001,19.950001,19.950001,19.645992,2200
3,2020-11-04,20.049999,20.049999,20.049999,20.049999,19.744467,1200
4,2020-11-05,20.049999,20.049999,20.049999,20.049999,19.744467,0
5,2020-11-06,20.049999,20.049999,20.049999,20.049999,19.744467,0
6,2020-11-09,20.049999,20.049999,20.049999,20.049999,19.744467,0
7,2020-11-10,20.120001,20.15,20.120001,20.15,19.842945,5800
8,2020-11-11,20.139999,20.139999,20.139999,20.139999,19.833097,800
9,2020-11-12,20.190001,20.190001,20.190001,20.190001,19.882336,100
10,2020-11-13,20.16,20.16,20.16,20.16,19.852793,500
11,2020-11-16,20.200001,20.200001,20.200001,20.200001,19.892183,100
12,2020-11-17,20.200001,20.200001,20.200001,20.200001,19.892183,0
13,2020-11-18,20.200001,20.200001,20.200001,20.200001,19.892183,0
14,2020-11-19,20.219999,20.23,20.219999,20.23,19.921724,3100
15,2020-11-20,20.23,20.23,20.23,20.23,19.921724,0
16,2020-11-23,20.23,20.23,20.23,20.23,19.921724,0
17,2020-11-24,20.23,20.23,20.23,20.23,19.921724,0
18,2020-11-25,20.25,20.280001,20.25,20.280001,19.970963,7100
19,2020-11-26,20.280001,20.280001,20.280001,20.280001,19.970963,0
20,2020-11-27,20.280001,20.280001,20.280001,20.280001,20.013397,0
21,2020-11-30,20.24,20.24,20.24,20.24,19.973925,700
22,2020-12-01,20.219999,20.219999,20.209999,20.209999,19.944317,3900
23,2020-12-02,20.219999,20.26,20.219999,20.26,19.99366,14000
24,2020-12-03,20.23,20.23,20.23,20.23,19.964054,700
25,2020-12-04,20.209999,20.23,20.209999,20.23,19.964054,23800
26,2020-12-07,20.23,20.23,20.23,20.23,19.964054,0
27,2020-12-08,20.23,20.23,20.23,20.23,19.964054,0
28,2020-12-09,20.23,20.23,20.23,20.23,19.964054,3600
29,2020-12-10,20.23,20.23,20.23,20.23,19.964054,0
30,2020-12-11,20.25,20.25,20.24,20.24,19.973925,1000
31,2020-12-14,20.24,20.24,20.24,20.24,19.973925,0
32,2020-12-15,20.24,20.24,20.24,20.24,19.973925,0
33,2020-12-16,20.24,20.24,20.24,20.24,19.973925,0
34,2020-12-17,20.24,20.24,20.24,20.24,19.973925,0
35,2020-12-18,20.27,20.27,20.27,20.27,20.003531,500
36,2020-12-21,20.27,20.27,20.27,20.27,20.003531,0
37,2020-12-22,20.290001,20.299999,20.290001,20.290001,20.023268,4100
38,2020-12-23,20.290001,20.290001,20.290001,20.290001,20.023268,0
39,2020-12-24,20.299999,20.299999,20.299999,20.299999,20.033136,2500
40,2020-12-29,20.32,20.32,20.32,20.32,20.052872,2900
41,2020-12-30,20.309999,20.309999,20.309999,20.309999,20.139141,200
42,2020-12-31,20.24,20.24,20.24,20.24,20.069729,100
43,2021-01-04,20.26,20.280001,20.26,20.280001,20.109394,11900
44,2021-01-05,20.23,20.25,20.219999,20.24,20.069729,3000
45,2021-01-06,20.24,20.24,20.24,20.24,20.069729,0
46,2021-01-07,20.16,20.16,20.139999,20.139999,19.970572,1600
47,2021-01-08,20.139999,20.139999,20.139999,20.139999,19.970572,0
48,2021-01-11,20.139999,20.139999,20.139999,20.139999,19.970572,0
49,2021-01-12,20.16,20.16,20.110001,20.110001,19.940823,3700
50,2021-01-13,20.209999,20.209999,20.209999,20.209999,20.039982,200
51,2021-01-14,20.190001,20.190001,20.190001,20.190001,20.020151,3700
52,2021-01-15,20.190001,20.190001,20.190001,20.190001,20.020151,0
53,2021-01-18,20.27,20.27,20.27,20.27,20.09948,2000
54,2021-01-19,20.27,20.27,20.27,20.27,20.09948,0
55,2021-01-20,20.27,20.27,20.27,20.27,20.09948,0
56,2021-01-21,20.209999,20.209999,20.209999,20.209999,20.039982,1000
57,2021-01-22,20.209999,20.209999,20.209999,20.209999,20.039982,0
58,2021-01-25,20.219999,20.219999,20.209999,20.209999,20.039982,2300
59,2021-01-26,20.209999,20.209999,20.209999,20.209999,20.039982,1300
60,2021-01-27,20.209999,20.209999,20.209999,20.209999,20.039982,0
61,2021-01-28,20.190001,20.190001,20.15,20.15,20.036005,9200
62,2021-01-29,20.139999,20.15,20.1,20.1,19.986288,7900
63,2021-02-01,20.16,20.16,20.16,20.16,20.045948,700
64,2021-02-02,20.16,20.16,20.16,20.16,20.045948,0
65,2021-02-03,20.16,20.16,20.16,20.16,20.045948,0
66,2021-02-04,20.129999,20.129999,20.1,20.1,19.986288,1900
67,2021-02-05,20.120001,20.120001,20.120001,20.120001,20.006174,500
68,2021-02-08,20.120001,20.120001,20.120001,20.120001,20.006174,0
69,2021-02-09,20.1,20.139999,20.1,20.139999,20.026062,1100
70,2021-02-10,20.129999,20.129999,20.129999,20.129999,20.016117,2300
71,2021-02-11,20.1,20.17,20.1,20.17,20.055891,7700
72,2021-02-12,20.120001,20.120001,20.120001,20.120001,20.006174,100
73,2021-02-16,20.08,20.08,20.07,20.07,19.956457,1300
74,2021-02-17,20.08,20.08,20.08,20.08,19.9664,2100
75,2021-02-18,20.08,20.08,20.08,20.08,19.9664,0
