,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-07-29,20.02,20.02,20.02,20.02,19.867128,1100
1,2020-07-30,19.860001,19.99,19.77,19.98,19.827433,1700
2,2020-07-31,20.0,20.0,19.73,19.870001,19.718273,5400
3,2020-08-04,19.73,19.91,19.690001,19.91,19.757967,1200
4,2020-08-05,19.76,19.860001,19.76,19.860001,19.708349,1600
5,2020-08-06,19.91,19.91,19.91,19.91,19.757967,400
6,2020-08-07,19.91,19.99,19.91,19.99,19.837357,700
7,2020-08-10,19.9,19.969999,19.9,19.969999,19.817509,2400
8,2020-08-11,19.93,19.93,19.84,19.84,19.688501,1300
9,2020-08-12,20.040001,20.129999,20.040001,20.129999,19.976286,8600
10,2020-08-13,20.030001,20.049999,19.99,20.0,19.847281,9400
11,2020-08-14,20.0,20.0,20.0,20.0,19.847281,0
12,2020-08-17,19.91,20.0,19.91,20.0,19.847281,300
13,2020-08-18,19.98,19.98,19.98,19.98,19.827433,600
14,2020-08-19,19.969999,20.049999,19.950001,19.950001,19.797663,1800
15,2020-08-20,19.98,19.98,19.98,19.98,19.827433,500
16,2020-08-21,19.9,19.92,19.9,19.92,19.767891,7600
17,2020-08-24,20.09,20.15,20.09,20.15,19.996134,4700
18,2020-08-25,19.99,20.120001,19.99,20.120001,19.966364,2300
19,2020-08-26,20.139999,20.18,20.139999,20.18,20.025906,700
20,2020-08-27,20.200001,20.26,20.200001,20.26,20.105295,1100
21,2020-08-28,20.25,20.32,20.25,20.32,20.164837,1600
22,2020-08-31,20.25,20.25,20.16,20.209999,20.055676,8200
23,2020-09-01,20.379999,20.389999,20.379999,20.389999,20.234301,1100
24,2020-09-02,20.32,20.32,20.32,20.32,20.164837,700
25,2020-09-03,20.43,20.450001,20.059999,20.09,19.936592,4600
26,2020-09-04,19.950001,20.08,19.950001,20.08,19.926668,41300
27,2020-09-08,19.65,19.66,19.540001,19.66,19.509876,4500
28,2020-09-09,20.110001,20.23,20.110001,20.16,20.006058,3900
29,2020-09-10,20.18,20.190001,19.91,19.91,19.757967,4400
30,2020-09-11,20.129999,20.129999,19.93,19.99,19.837357,3200
31,2020-09-14,20.25,20.280001,20.25,20.26,20.105295,2600
32,2020-09-15,20.34,20.389999,20.34,20.389999,20.234301,2600
33,2020-09-16,20.43,20.43,20.370001,20.370001,20.214455,1300
34,2020-09-17,20.16,20.16,20.16,20.16,20.006058,100
35,2020-09-18,20.17,20.17,20.17,20.17,20.015982,2100
36,2020-09-21,19.9,19.969999,19.9,19.969999,19.817509,2700
37,2020-09-22,19.959999,19.969999,19.940001,19.969999,19.817509,3000
38,2020-09-23,19.99,19.99,19.799999,19.799999,19.648806,1100
39,2020-09-24,19.969999,20.049999,19.780001,19.780001,19.62896,5000
40,2020-09-25,19.77,20.01,19.77,20.0,19.847281,7200
41,2020-09-28,20.15,20.33,20.139999,20.299999,20.144989,11700
42,2020-09-29,20.200001,20.299999,20.200001,20.27,20.115219,1200
43,2020-09-30,20.389999,20.41,20.389999,20.41,20.254148,3200
44,2020-10-01,20.32,20.32,20.32,20.32,20.164837,8100
45,2020-10-02,20.16,20.24,20.16,20.24,20.085447,4400
