,Date,Open,High,Low,Close,Adj Close,Volume
0,2011-07-01,39.32,41.48,39.32,39.919998,16.120062,111900
1,2011-08-01,39.84,41.48,36.0,41.080002,16.58848,9950
2,2011-09-01,41.279999,42.880001,33.439999,33.720001,13.616448,10875
3,2011-10-01,33.360001,36.68,32.880001,35.959999,14.520975,16575
4,2011-11-01,36.040001,37.799999,33.639999,35.84,14.472526,9575
5,2011-12-01,35.84,36.32,31.32,31.32,12.647303,6900
6,2012-01-01,32.32,34.240002,32.240002,33.799999,13.64875,10500
7,2012-02-01,33.84,34.68,32.84,33.84,13.664903,14625
8,2012-03-01,33.84,33.959999,29.440001,30.16,12.178885,16875
9,2012-04-01,30.16,30.16,28.0,29.200001,12.176562,51875
10,2012-05-01,29.200001,29.200001,24.959999,26.200001,10.925548,7825
11,2012-06-01,27.0,28.879999,24.92,25.76,10.742067,16525
12,2012-07-01,26.68,27.040001,24.360001,25.32,10.866716,26225
13,2012-08-01,25.200001,27.48,25.16,26.6,11.416059,5225
14,2012-09-01,26.6,29.68,26.6,28.4,12.188581,6900
15,2012-10-01,28.639999,28.799999,27.6,28.719999,12.672148,4225
16,2012-11-01,29.08,29.08,26.84,27.639999,12.195616,3500
17,2012-12-01,27.6,27.68,26.76,26.76,11.807332,7975
18,2013-01-01,27.719999,27.719999,25.879999,25.959999,11.800402,54725
19,2013-02-01,26.040001,26.280001,24.24,24.639999,11.200382,14600
20,2013-03-01,24.799999,25.280001,23.719999,24.0,10.909463,38725
21,2013-04-01,24.16,24.16,19.0,20.280001,9.503915,5775
22,2013-05-01,20.6,21.24,20.0,20.799999,9.747606,17075
23,2013-06-01,21.120001,21.200001,17.24,18.24,8.547901,28575
24,2013-07-01,18.639999,20.08,18.08,19.52,9.499831,12325
25,2013-08-01,19.52,22.120001,18.84,21.0,10.220107,17475
26,2013-09-01,21.0,21.120001,19.200001,19.280001,9.383032,12475
27,2013-10-01,19.08,20.280001,18.4,19.879999,10.012094,229300
28,2013-11-01,19.68,19.719999,18.559999,19.120001,9.629338,36400
29,2013-12-01,18.879999,18.879999,18.0,18.360001,9.246585,20600
30,2014-01-01,18.360001,20.120001,18.360001,19.76,10.260829,34200
31,2014-02-01,19.639999,21.32,19.52,20.92,10.863186,24250
32,2014-03-01,21.440001,21.52,18.76,19.040001,9.88695,29475
33,2014-04-01,19.040001,19.719999,18.52,19.48,10.399616,30075
34,2014-05-01,19.559999,19.76,18.440001,18.68,9.972531,25300
35,2014-06-01,18.719999,20.719999,18.639999,20.200001,10.784,31025
36,2014-07-01,20.200001,20.879999,20.08,20.6,11.234996,48350
37,2014-08-01,20.4,21.040001,20.24,20.719999,11.300443,38525
38,2014-09-01,20.48,20.48,17.76,17.76,9.686093,34075
39,2014-10-01,17.799999,17.84,15.44,15.48,8.642914,20075
40,2014-11-01,15.48,17.280001,15.32,17.0,9.491574,4250
41,2014-12-01,16.280001,16.879999,14.84,16.200001,9.044914,7300
42,2015-01-01,16.08,18.08,16.08,17.84,10.23768,12550
43,2015-02-01,18.040001,18.24,17.280001,17.92,10.283589,14500
44,2015-03-01,18.16,18.16,15.96,15.96,9.158822,36275
45,2015-04-01,16.16,16.92,16.040001,16.92,9.979118,22450
46,2015-05-01,17.08,17.4,16.639999,16.92,9.979118,17975
47,2015-06-01,16.879999,17.200001,15.44,15.52,9.153421,27375
48,2015-07-01,15.44,15.76,12.84,13.28,8.041224,24150
49,2015-08-01,13.24,13.96,11.84,12.64,7.653695,10200
50,2015-09-01,12.64,12.8,11.28,11.28,6.830197,8650
51,2015-10-01,11.56,13.68,11.52,13.0,8.059921,13250
52,2015-11-01,13.0,13.0,3.1,12.56,7.787123,7200
53,2015-12-01,12.7,12.98,12.2,12.65,7.842923,10400
54,2016-01-01,12.65,12.65,10.5,11.19,7.112801,11700
55,2016-02-01,11.45,13.56,11.37,13.13,8.345941,12900
