,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-02,9.59,9.59,9.47,9.48,5.125776,131700
1,2012-01-09,9.52,9.65,9.3,9.63,5.20688,144600
2,2012-01-16,9.64,9.64,9.36,9.64,5.212287,59000
3,2012-01-23,9.6,10.1,9.6,9.74,5.266356,101400
4,2012-01-30,9.79,9.97,9.6,9.64,5.212287,68900
5,2012-02-06,9.64,9.9,9.58,9.68,5.233915,66200
6,2012-02-13,9.69,9.83,9.57,9.66,5.223101,65900
7,2012-02-20,9.7,10.0,9.6,9.66,5.223101,64100
8,2012-02-27,9.66,9.88,9.59,9.74,5.266356,85300
9,2012-03-05,9.79,9.93,9.59,9.72,5.255541,92500
10,2012-03-12,9.75,10.0,9.7,9.88,5.342053,126900
11,2012-03-19,9.83,10.0,9.83,10.0,5.406936,137900
12,2012-03-26,10.0,10.11,9.74,9.79,5.29339,171600
13,2012-04-02,9.78,9.88,9.7,9.74,5.360064,61200
14,2012-04-09,9.73,9.91,9.6,9.62,5.294025,82500
15,2012-04-16,9.64,9.85,9.61,9.82,5.404088,77400
16,2012-04-23,9.72,9.9,9.72,9.87,5.431605,76500
17,2012-04-30,9.81,9.91,9.47,9.6,5.283019,69500
18,2012-05-07,9.51,9.7,9.31,9.5,5.227987,87700
19,2012-05-14,9.52,9.52,9.1,9.14,5.029876,89400
20,2012-05-21,9.13,9.3,9.0,9.19,5.057389,77000
21,2012-05-28,9.1,9.2,8.97,9.0,4.952831,54100
22,2012-06-04,9.02,9.17,8.9,9.1,5.007863,38500
23,2012-06-11,9.15,9.19,9.03,9.11,5.013365,45000
24,2012-06-18,9.18,9.31,9.02,9.29,5.112421,72600
25,2012-06-25,9.29,9.33,8.99,9.3,5.117926,124300
26,2012-07-02,9.26,9.59,9.26,9.4,5.280274,25900
27,2012-07-09,9.36,9.4,9.16,9.31,5.229718,70700
28,2012-07-16,9.3,9.47,9.19,9.4,5.280274,48900
29,2012-07-23,9.4,9.4,9.03,9.3,5.224102,119100
30,2012-07-30,9.39,9.4,9.2,9.28,5.212866,126800
31,2012-08-06,9.28,9.59,9.25,9.46,5.313978,70500
32,2012-08-13,9.41,9.59,9.35,9.57,5.37577,48100
33,2012-08-20,9.5,9.57,9.41,9.5,5.336447,75200
34,2012-08-27,9.5,9.65,9.45,9.47,5.319597,90000
35,2012-09-03,9.44,9.7,9.4,9.64,5.415092,37700
36,2012-09-10,9.6,9.78,9.52,9.78,5.493731,65900
37,2012-09-17,9.65,9.75,9.59,9.7,5.448795,43500
38,2012-09-24,9.7,9.74,9.52,9.58,5.381386,91400
39,2012-10-01,9.62,9.75,9.5,9.74,5.571365,99900
40,2012-10-08,9.64,9.75,9.45,9.45,5.405482,51300
41,2012-10-15,9.5,9.79,9.5,9.68,5.537045,76800
42,2012-10-22,9.68,9.86,9.61,9.79,5.599966,44400
43,2012-10-29,9.75,9.98,9.65,9.87,5.645726,112700
44,2012-11-05,9.86,9.94,9.69,9.85,5.634285,118700
45,2012-11-12,9.8,9.8,9.58,9.7,5.548485,90500
46,2012-11-19,9.69,9.8,9.6,9.75,5.577086,65200
47,2012-11-26,9.7,9.85,9.69,9.81,5.611407,90700
48,2012-12-03,9.81,9.9,9.78,9.78,5.594246,152100
49,2012-12-10,9.8,9.98,9.77,9.91,5.668606,63900
50,2012-12-17,9.88,10.05,9.84,10.05,5.748686,69600
51,2012-12-24,10.04,10.04,9.79,9.85,5.634285,44000
52,2012-12-31,9.87,9.97,9.84,9.91,5.769574,50300
53,2013-01-07,9.9,9.99,9.84,9.9,5.763753,109100
54,2013-01-14,9.9,9.96,9.85,9.94,5.787038,85100
55,2013-01-21,9.94,9.95,9.87,9.94,5.787038,98700
56,2013-01-28,9.94,9.99,9.78,9.89,5.757931,108200
57,2013-02-04,9.97,10.02,9.75,9.92,5.775395,177400
58,2013-02-11,9.91,10.1,9.85,9.96,5.798683,83800
59,2013-02-18,9.95,10.08,9.9,9.96,5.798683,77100
60,2013-02-25,9.97,10.1,9.92,10.04,5.845259,171900
61,2013-03-04,10.09,10.12,10.0,10.09,5.874368,118300
62,2013-03-11,10.04,10.1,9.83,9.9,5.763753,109600
63,2013-03-18,9.85,9.94,9.8,9.8,5.705533,79100
64,2013-03-25,9.81,9.84,9.67,9.72,5.658956,50400
65,2013-04-01,9.74,9.91,9.45,9.5,5.63175,76800
66,2013-04-08,9.62,9.75,9.4,9.5,5.63175,95500
67,2013-04-15,9.51,9.72,9.36,9.46,5.608036,48500
68,2013-04-22,9.5,9.56,9.38,9.45,5.602108,65200
69,2013-04-29,9.48,9.67,9.44,9.53,5.649532,92900
70,2013-05-06,9.56,9.7,9.53,9.68,5.738456,51800
71,2013-05-13,9.63,9.63,9.45,9.52,5.643605,55000
72,2013-05-20,9.54,9.87,9.54,9.8,5.809593,153500
73,2013-05-27,9.71,9.79,9.62,9.64,5.714743,56900
74,2013-06-03,9.63,9.73,9.36,9.39,5.56654,122900
75,2013-06-10,9.44,9.54,9.4,9.44,5.596179,57100
76,2013-06-17,9.48,9.65,9.31,9.43,5.590251,160500
77,2013-06-24,9.36,9.44,9.22,9.44,5.596179,124600
78,2013-07-01,9.41,9.5,9.23,9.32,5.631001,23600
79,2013-07-08,9.38,9.55,9.31,9.48,5.727671,34900
80,2013-07-15,9.48,9.7,9.48,9.61,5.806214,154700
81,2013-07-22,9.65,9.74,9.62,9.65,5.830381,75500
82,2013-07-29,9.67,9.72,9.54,9.62,5.812257,163000
83,2013-08-05,9.62,9.67,9.53,9.6,5.800172,52800
84,2013-08-12,9.6,9.78,9.55,9.64,5.824341,95300
85,2013-08-19,9.63,9.75,9.61,9.73,5.878717,141900
