,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-29,197.5,198.0,197.5,198.0,198.0,1700
1,2020-01-30,198.0,198.0,198.0,198.0,198.0,300
2,2020-01-31,19.76,19.76,19.76,19.76,19.76,100
3,2020-02-03,19.790001,19.879999,19.790001,19.879999,19.879999,1400
4,2020-02-04,19.879999,19.879999,19.879999,19.879999,19.879999,0
5,2020-02-05,20.25,20.25,20.25,20.25,20.25,2200
6,2020-02-06,20.299999,20.370001,20.299999,20.360001,20.360001,400
7,2020-02-07,20.360001,20.360001,20.360001,20.360001,20.360001,0
8,2020-02-10,20.360001,20.360001,20.360001,20.360001,20.360001,0
9,2020-02-11,20.690001,20.690001,20.59,20.6,20.6,12500
10,2020-02-12,20.66,20.66,20.66,20.66,20.66,1700
11,2020-02-13,20.66,20.66,20.66,20.66,20.66,0
12,2020-02-14,20.66,20.66,20.66,20.66,20.66,0
13,2020-02-18,20.860001,20.860001,20.860001,20.860001,20.860001,1000
14,2020-02-19,21.120001,21.120001,21.120001,21.120001,21.120001,4100
15,2020-02-20,20.860001,20.9,20.780001,20.9,20.9,1700
16,2020-02-21,20.9,20.9,20.9,20.9,20.9,0
17,2020-02-24,20.52,20.52,20.1,20.1,20.1,9900
18,2020-02-25,20.09,20.09,19.92,19.92,19.92,800
19,2020-02-26,19.92,19.92,19.92,19.92,19.92,100
20,2020-02-27,19.52,19.52,19.52,19.52,19.52,100
21,2020-02-28,19.389999,19.389999,19.35,19.35,19.35,1100
22,2020-03-02,19.940001,19.950001,19.67,19.950001,19.950001,1700
23,2020-03-03,20.200001,20.200001,19.85,19.93,19.93,1800
24,2020-03-04,20.01,20.23,19.99,20.209999,20.209999,16200
25,2020-03-05,20.110001,20.110001,20.110001,20.110001,20.110001,100
26,2020-03-06,19.6,19.6,19.58,19.58,19.58,20600
27,2020-03-09,19.6,19.6,19.1,19.1,19.1,600
28,2020-03-10,19.200001,19.49,19.200001,19.49,19.49,400
29,2020-03-11,19.25,19.25,19.049999,19.049999,19.049999,14800
30,2020-03-12,18.99,19.0,18.99,19.0,19.0,4000
31,2020-03-13,19.0,19.0,19.0,19.0,19.0,0
32,2020-03-16,19.0,19.0,19.0,19.0,19.0,0
33,2020-03-17,18.98,18.98,18.98,18.98,18.98,3200
34,2020-03-18,19.1,19.1,19.08,19.08,19.08,17200
35,2020-03-19,19.5,19.59,19.5,19.59,19.59,3000
36,2020-03-20,19.59,19.59,19.59,19.59,19.59,0
37,2020-03-23,19.450001,19.450001,19.25,19.27,19.27,700
38,2020-03-24,19.32,19.34,19.18,19.18,19.18,3300
39,2020-03-25,19.360001,19.360001,19.16,19.16,19.16,8800
40,2020-03-26,19.360001,19.360001,19.34,19.360001,19.360001,700
41,2020-03-27,19.299999,19.299999,19.27,19.27,19.27,12000
42,2020-03-30,19.24,19.52,19.24,19.52,19.52,11800
43,2020-03-31,19.52,19.52,19.41,19.42,19.42,4600
44,2020-04-01,19.25,19.299999,19.190001,19.209999,19.209999,86100
45,2020-04-02,19.15,19.16,19.09,19.16,19.16,6200
46,2020-04-03,19.16,19.16,19.16,19.16,19.16,0
47,2020-04-06,19.299999,19.450001,19.299999,19.450001,19.450001,10600
48,2020-04-07,19.65,19.65,19.450001,19.450001,19.450001,600
49,2020-04-08,19.450001,19.68,19.450001,19.68,19.68,9300
50,2020-04-09,19.74,20.059999,19.59,19.639999,19.639999,15100
