,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-01-21,20.360001,20.360001,20.360001,20.360001,19.488949,100
1,2019-01-28,20.549999,20.879999,20.549999,20.879999,19.986702,1700
2,2019-02-04,20.84,21.139999,20.84,20.959999,20.063278,1700
3,2019-02-11,20.959999,20.959999,20.940001,20.940001,20.044134,500
4,2019-02-18,20.940001,21.41,20.940001,21.41,20.494028,5400
5,2019-02-25,21.41,21.41,21.24,21.370001,20.45574,2800
6,2019-03-04,21.299999,21.360001,21.200001,21.200001,20.293009,1900
7,2019-03-11,21.370001,21.370001,21.370001,21.370001,20.45574,200
8,2019-03-18,21.370001,21.370001,21.370001,21.370001,20.45574,0
9,2019-03-25,21.35,21.43,21.35,21.43,20.51317,300
10,2019-04-01,21.43,21.43,21.43,21.43,20.592928,0
11,2019-04-08,21.43,21.9,21.43,21.84,20.986912,2700
12,2019-04-15,21.84,21.860001,21.84,21.860001,21.006136,900
13,2019-04-22,21.860001,22.0,21.84,22.0,21.140663,1500
14,2019-04-29,21.99,22.0,21.790001,21.790001,20.938864,8300
15,2019-05-06,21.85,21.85,21.25,21.370001,20.535273,1900
16,2019-05-13,21.139999,21.17,21.139999,21.17,20.343084,3000
17,2019-05-20,21.17,21.35,21.17,21.35,20.516054,500
18,2019-05-27,21.35,21.35,21.35,21.35,20.516054,0
19,2019-06-03,20.940001,20.940001,20.940001,20.940001,20.122066,1100
20,2019-06-10,20.940001,21.33,20.940001,21.33,20.496836,400
21,2019-06-17,21.33,21.33,21.33,21.33,20.496836,0
22,2019-06-24,21.82,21.82,21.5,21.530001,20.689024,1500
23,2019-07-01,21.5,21.530001,21.5,21.530001,20.765156,300
24,2019-07-08,21.66,21.66,21.629999,21.629999,20.861599,1300
25,2019-07-15,21.620001,21.74,21.620001,21.74,20.967691,2500
26,2019-07-22,21.74,21.74,21.74,21.74,20.967691,200
27,2019-07-29,21.68,21.68,21.68,21.68,20.909826,1500
28,2019-08-05,21.68,21.68,21.629999,21.629999,20.861599,400
29,2019-08-12,21.629999,21.629999,21.200001,21.200001,20.446875,300
30,2019-08-19,21.41,21.530001,21.32,21.32,20.562614,500
31,2019-08-26,21.32,21.450001,21.32,21.450001,20.687996,200
32,2019-09-02,21.450001,21.799999,21.450001,21.799999,21.02556,100
33,2019-09-09,21.799999,21.799999,21.73,21.73,20.958052,300
34,2019-09-16,21.73,21.73,21.73,21.73,20.958052,0
35,2019-09-23,21.73,22.17,21.73,22.07,21.285973,300
36,2019-09-30,22.17,22.17,21.5,21.559999,20.888306,3300
37,2019-10-07,21.559999,21.68,21.559999,21.66,20.985191,1100
38,2019-10-14,21.58,21.59,21.58,21.59,20.917374,1100
39,2019-10-21,21.59,21.6,21.5,21.5,20.830175,600
40,2019-10-28,21.5,21.5,21.469999,21.469999,20.801111,300
41,2019-11-04,21.469999,21.469999,21.469999,21.469999,20.801111,0
42,2019-11-11,21.469999,21.469999,21.469999,21.469999,20.801111,0
43,2019-11-18,21.469999,22.02,21.469999,21.93,21.24678,1300
44,2019-11-25,21.93,22.049999,21.93,22.040001,21.353355,500
45,2019-12-02,22.040001,22.040001,21.9,21.940001,21.256472,1200
46,2019-12-09,21.940001,22.139999,21.940001,22.09,21.401794,1400
47,2019-12-16,22.209999,22.24,22.110001,22.110001,21.421173,2200
48,2019-12-23,22.219999,22.35,22.219999,22.290001,21.595566,2100
49,2019-12-30,22.290001,22.290001,22.030001,22.030001,21.343666,100
50,2020-01-06,22.030001,22.030001,22.030001,22.030001,21.493126,0
51,2020-01-13,22.030001,22.450001,22.030001,22.42,21.873617,1200
52,2020-01-20,22.42,22.5,22.42,22.49,21.941912,200
53,2020-01-27,22.389999,22.459999,22.389999,22.459999,21.912642,6700
54,2020-02-03,22.459999,22.549999,22.459999,22.549999,22.00045,100
55,2020-02-10,22.549999,22.700001,22.549999,22.700001,22.146795,300
56,2020-02-17,22.700001,22.969999,22.700001,22.969999,22.410215,3000
57,2020-02-24,22.969999,22.969999,20.799999,20.799999,20.293098,1300
58,2020-03-02,20.790001,21.85,20.790001,21.219999,20.702862,1700
59,2020-03-09,20.290001,20.290001,17.49,17.49,17.063763,2300
60,2020-03-16,16.75,16.889999,15.0,15.31,14.936892,8600
61,2020-03-23,15.18,17.17,14.4,16.950001,16.536924,18000
62,2020-03-30,16.17,17.0,16.17,17.0,16.585707,800
63,2020-04-06,17.0,17.959999,17.0,17.940001,17.617128,900
64,2020-04-13,18.6,18.950001,18.43,18.43,18.098309,2200
65,2020-04-20,18.51,19.15,18.51,19.15,18.805349,9200
66,2020-04-27,19.33,19.639999,19.110001,19.360001,19.01157,28200
67,2020-05-04,19.34,19.549999,19.32,19.450001,19.099951,16900
68,2020-05-11,19.620001,19.620001,19.620001,19.620001,19.266891,200
69,2020-05-18,19.620001,19.620001,19.620001,19.620001,19.266891,100
70,2020-05-25,19.620001,19.809999,19.620001,19.809999,19.45347,1600
71,2020-06-01,19.85,19.85,19.82,19.82,19.463291,1300
72,2020-06-08,19.82,19.940001,19.82,19.940001,19.581135,200
73,2020-06-15,19.940001,20.280001,19.940001,20.280001,19.915012,1000
74,2020-06-22,20.280001,20.280001,20.280001,20.280001,19.915012,0
75,2020-06-29,19.92,19.92,19.92,19.92,19.561491,300
76,2020-07-06,20.41,20.48,20.41,20.48,20.233131,200
77,2020-07-13,20.58,20.77,20.57,20.77,20.519636,13900
78,2020-07-20,20.77,21.389999,20.77,21.049999,20.796259,2200
79,2020-07-27,21.27,21.27,21.27,21.27,21.013611,5000
80,2020-08-03,21.690001,21.690001,21.690001,21.690001,21.428547,100
81,2020-08-10,21.690001,21.690001,21.450001,21.450001,21.191439,5300
82,2020-08-17,21.450001,21.450001,21.450001,21.450001,21.191439,0
83,2020-08-24,21.450001,21.450001,21.24,21.24,20.983969,1800
84,2020-08-31,21.24,21.360001,21.24,21.360001,21.102524,100
85,2020-09-07,21.360001,21.360001,21.200001,21.200001,20.944454,100
86,2020-09-14,21.200001,21.42,21.200001,21.42,21.1618,100
87,2020-09-21,21.42,21.42,21.42,21.42,21.1618,0
88,2020-09-28,21.42,21.42,21.42,21.42,21.1618,0
89,2020-10-05,21.42,21.42,21.42,21.42,21.256073,0
90,2020-10-12,21.25,21.25,21.25,21.25,21.087374,500
91,2020-10-19,21.25,21.25,21.25,21.25,21.087374,0
92,2020-10-26,21.25,21.25,20.200001,20.200001,20.04541,500
93,2020-11-02,20.200001,20.57,20.200001,20.57,20.412579,1200
94,2020-11-09,20.9,20.9,20.780001,20.780001,20.620972,300
95,2020-11-16,20.780001,20.780001,20.700001,20.700001,20.541586,100
96,2020-11-23,20.700001,20.700001,20.700001,20.700001,20.541586,100
97,2020-11-30,20.700001,20.950001,20.700001,20.950001,20.789671,100
98,2020-12-07,20.950001,20.950001,20.940001,20.940001,20.779747,5000
99,2020-12-14,20.940001,20.940001,20.940001,20.940001,20.779747,0
100,2020-12-21,20.690001,20.690001,20.690001,20.690001,20.531662,300
101,2020-12-28,20.84,20.84,20.73,20.73,20.571354,200
102,2021-01-04,20.73,21.139999,20.73,21.139999,21.074284,300
103,2021-01-11,20.85,20.85,20.52,20.52,20.456213,4600
104,2021-01-18,20.4,20.629999,20.4,20.629999,20.56587,6000
105,2021-01-25,20.629999,20.629999,20.629999,20.629999,20.56587,0
106,2021-02-01,20.629999,20.84,20.629999,20.84,20.775217,300
107,2021-02-08,20.84,21.1,20.84,21.040001,20.974596,500
108,2021-02-15,20.950001,20.950001,20.950001,20.950001,20.884876,300
109,2021-02-22,20.360001,20.360001,20.1,20.1,20.037518,600
110,2021-03-01,20.1,20.1,19.99,19.99,19.92786,100
111,2021-03-08,19.99,19.99,19.99,19.99,19.92786,100
112,2021-03-15,19.99,20.91,19.99,20.91,20.844999,300
113,2021-03-22,20.91,20.91,20.91,20.91,20.844999,0
114,2021-03-29,20.91,20.91,20.844999,20.844999,20.780201,100
