,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-04,21.32,21.370001,21.32,21.33,20.814268,1000
1,2019-03-11,21.290001,21.41,21.290001,21.41,20.89233,800
2,2019-03-18,21.41,21.59,21.309999,21.59,21.06798,1600
3,2019-03-25,21.59,21.76,21.59,21.639999,21.11677,900
4,2019-04-01,21.639999,21.639999,21.639999,21.639999,21.170576,0
5,2019-04-08,21.639999,22.07,21.639999,22.07,21.591249,300
6,2019-04-15,22.07,22.07,22.040001,22.040001,21.561903,100
7,2019-04-22,22.040001,22.51,22.040001,22.35,21.865175,2400
8,2019-04-29,22.629999,22.629999,22.139999,22.26,21.77713,2300
9,2019-05-06,22.26,22.26,21.85,21.93,21.454288,800
10,2019-05-13,21.700001,22.190001,21.67,22.190001,21.708649,6900
11,2019-05-20,22.16,22.16,22.09,22.09,21.610817,700
12,2019-05-27,21.98,21.99,21.6,21.66,21.190144,2300
13,2019-06-03,21.66,22.0,21.440001,21.99,21.512987,1600
14,2019-06-10,22.1,22.129999,22.02,22.120001,21.640165,1300
15,2019-06-17,22.120001,22.190001,22.120001,22.18,21.69886,1300
16,2019-06-24,22.18,22.18,21.799999,21.809999,21.336887,400
17,2019-07-01,21.809999,22.18,21.799999,22.18,21.748724,500
18,2019-07-08,22.15,22.209999,22.110001,22.209999,21.778139,2000
19,2019-07-15,22.26,22.309999,22.26,22.299999,21.866388,5800
20,2019-07-22,22.26,22.309999,22.24,22.24,21.807558,2600
21,2019-07-29,22.530001,22.530001,22.299999,22.299999,21.866388,2900
22,2019-08-05,21.799999,22.25,21.799999,22.25,21.817362,1600
23,2019-08-12,22.0,22.0,22.0,22.0,21.572224,12100
24,2019-08-19,22.0,22.5,22.0,22.5,22.062498,500
25,2019-08-26,22.5,22.5,22.23,22.49,22.052694,700
26,2019-09-02,22.49,22.49,22.49,22.49,22.052694,0
27,2019-09-09,22.459999,22.530001,22.24,22.530001,22.091915,9200
28,2019-09-16,22.530001,22.66,22.530001,22.66,22.219391,1200
29,2019-09-23,22.66,22.66,22.610001,22.610001,22.170362,100
30,2019-09-30,22.66,22.66,22.4,22.4,22.013016,400
31,2019-10-07,22.4,22.4,22.4,22.4,22.013016,0
32,2019-10-14,22.469999,22.469999,22.459999,22.469999,22.081808,800
33,2019-10-21,22.459999,22.459999,22.41,22.41,22.022844,800
34,2019-10-28,22.41,22.41,22.41,22.41,22.022844,0
35,2019-11-04,22.41,22.41,22.290001,22.290001,21.904919,600
36,2019-11-11,22.290001,22.290001,22.290001,22.290001,21.904919,0
37,2019-11-18,22.940001,23.15,22.940001,23.02,22.622307,1500
38,2019-11-25,23.02,23.33,23.02,23.33,22.926952,2400
39,2019-12-02,23.33,23.33,23.15,23.15,22.750059,600
40,2019-12-09,23.059999,23.059999,23.040001,23.040001,22.64196,200
41,2019-12-16,23.040001,23.309999,23.040001,23.309999,22.907295,2400
42,2019-12-23,23.190001,23.190001,23.16,23.16,22.759886,3400
43,2019-12-30,22.969999,22.969999,22.809999,22.91,22.514206,4100
44,2020-01-06,22.969999,23.139999,22.969999,23.139999,22.804235,2900
45,2020-01-13,23.139999,23.5,23.139999,23.5,23.15901,600
46,2020-01-20,23.5,23.99,23.5,23.9,23.553205,4300
47,2020-01-27,23.940001,24.049999,23.83,23.83,23.484221,6600
48,2020-02-03,23.83,24.4,23.83,24.360001,24.006533,1900
49,2020-02-10,24.41,24.66,24.41,24.65,24.292322,1300
50,2020-02-17,24.700001,24.700001,24.59,24.59,24.233194,700
51,2020-02-24,24.59,24.59,21.790001,21.790001,21.473824,1100
52,2020-03-02,22.290001,22.620001,22.25,22.25,21.927149,3000
53,2020-03-09,21.370001,22.040001,19.440001,19.65,19.364874,5300
54,2020-03-16,18.700001,19.08,18.360001,18.360001,18.093592,3100
55,2020-03-23,18.360001,19.959999,18.360001,19.959999,19.670374,2300
56,2020-03-30,20.120001,20.120001,19.34,19.35,19.069229,1300
57,2020-04-06,19.35,20.969999,19.35,20.950001,20.759378,500
58,2020-04-13,21.190001,21.889999,21.059999,21.620001,21.423281,900
59,2020-04-20,21.42,21.43,21.42,21.43,21.23501,8000
60,2020-04-27,21.43,21.43,21.43,21.43,21.23501,0
61,2020-05-04,21.43,21.43,21.43,21.43,21.23501,0
62,2020-05-11,21.43,21.67,21.43,21.67,21.472824,100
63,2020-05-18,21.67,21.93,21.67,21.93,21.730459,2100
64,2020-05-25,21.93,22.219999,21.93,22.219999,22.01782,2100
65,2020-06-01,22.219999,22.219999,22.219999,22.219999,22.01782,0
66,2020-06-08,23.16,23.16,23.09,23.09,22.879906,200
67,2020-06-15,23.09,23.09,22.780001,22.780001,22.572725,2000
68,2020-06-22,22.780001,22.780001,22.780001,22.780001,22.572725,0
69,2020-06-29,22.780001,22.780001,22.08,22.08,21.879095,2000
70,2020-07-06,22.08,22.08,22.08,22.08,21.945566,0
71,2020-07-13,22.08,22.08,22.08,22.08,21.945566,0
72,2020-07-20,22.08,22.08,22.08,22.08,21.945566,0
73,2020-07-27,22.08,22.08,22.08,22.08,21.945566,0
74,2020-08-03,22.08,22.08,22.08,22.08,21.945566,100
75,2020-08-10,22.08,22.08,22.08,22.08,21.945566,0
76,2020-08-17,22.08,22.08,22.08,22.08,21.945566,0
77,2020-08-24,22.08,22.08,22.08,22.08,21.945566,0
78,2020-08-31,22.08,23.5,22.08,22.969999,22.830149,700
79,2020-09-07,22.969999,22.969999,22.969999,22.969999,22.830149,0
80,2020-09-14,22.969999,22.969999,22.969999,22.969999,22.830149,100
81,2020-09-21,22.969999,22.969999,22.969999,22.969999,22.830149,0
82,2020-09-28,22.969999,23.02,22.959999,22.959999,22.82021,300
83,2020-10-05,22.959999,23.42,22.959999,23.42,23.32819,1600
84,2020-10-12,23.42,23.42,23.42,23.42,23.32819,0
85,2020-10-19,23.42,23.42,23.42,23.42,23.32819,0
86,2020-10-26,23.42,23.42,23.049999,23.049999,22.959639,200
87,2020-11-02,22.790001,23.450001,22.530001,23.450001,23.358072,400
88,2020-11-09,23.450001,23.450001,23.450001,23.450001,23.358072,0
89,2020-11-16,23.450001,23.450001,23.450001,23.450001,23.358072,0
90,2020-11-23,23.450001,23.639999,23.450001,23.450001,23.358072,400
91,2020-11-30,23.450001,23.450001,23.450001,23.450001,23.358072,0
92,2020-12-07,23.51,23.51,23.51,23.51,23.417837,100
93,2020-12-14,23.35,23.35,23.35,23.35,23.258463,500
94,2020-12-21,23.35,23.35,23.35,23.35,23.258463,0
95,2020-12-28,23.35,23.35,23.35,23.35,23.258463,0
96,2021-01-04,23.35,24.219999,23.35,24.219999,24.176823,100
97,2021-01-11,24.41,24.41,23.940001,23.940001,23.897324,1800
98,2021-01-18,23.940001,24.09,23.940001,24.09,24.047056,100
99,2021-01-25,24.09,24.09,23.65,23.65,23.60784,100
100,2021-02-01,23.65,23.65,23.65,23.65,23.60784,0
101,2021-02-08,23.65,23.65,23.65,23.65,23.60784,0
102,2021-02-15,23.65,24.33,23.65,24.26,24.216753,300
103,2021-02-22,24.26,24.26,23.52,23.52,23.478073,200
104,2021-03-01,23.52,23.690001,23.52,23.690001,23.64777,100
105,2021-03-08,23.690001,23.690001,23.690001,23.690001,23.64777,0
106,2021-03-15,23.610001,23.610001,23.559999,23.559999,23.518,1200
107,2021-03-22,23.559999,23.559999,23.559999,23.559999,23.518,0
108,2021-03-29,23.559999,24.389999,23.559999,24.26,24.216753,700
109,2021-03-31,23.610001,24.26,23.559999,24.26,24.26,200
