,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-05-07,20.572289,20.63253,20.351406,20.602409,19.765594,31175
1,2018-05-14,20.652611,20.712851,20.271084,20.361446,19.534422,29382
2,2018-05-21,20.361446,20.652611,20.331326,20.582329,19.746332,6772
3,2018-05-28,20.491968,20.712851,20.210842,20.692772,19.852285,37947
4,2018-06-04,20.823294,21.144579,20.64257,20.913654,20.064198,19224
5,2018-06-11,21.114458,21.757029,21.114458,21.757029,20.87332,11454
6,2018-06-18,21.626507,22.098394,21.626507,22.028112,21.13339,23107
7,2018-06-25,21.917671,21.917671,21.305222,21.305222,20.439865,7271
8,2018-07-02,21.295181,21.706827,21.204819,21.706827,20.902643,7570
9,2018-07-09,21.746988,22.238956,21.746988,22.108435,21.289373,18526
10,2018-07-16,22.018072,22.158634,21.777107,21.777107,20.970318,7371
11,2018-07-23,21.656628,21.907631,21.285141,21.345383,20.554592,16534
12,2018-07-30,21.33534,21.375502,21.114458,21.375502,20.583593,9462
13,2018-08-06,21.746988,21.827309,21.676706,21.706827,20.902643,2988
14,2018-08-13,21.666668,21.686747,21.445784,21.646585,20.844635,3386
15,2018-08-20,21.757029,21.79719,21.596386,21.79719,20.98966,4880
16,2018-08-27,21.927711,21.95783,21.79719,21.85743,21.047668,5876
17,2018-09-03,21.88755,21.88755,21.556225,21.636545,20.834965,3586
18,2018-09-10,21.666668,21.85743,21.546185,21.79719,20.98966,5079
19,2018-09-17,21.787149,21.86747,21.576305,21.736948,20.93165,3585
20,2018-09-24,21.636545,22.078314,21.636545,21.787149,20.979992,13645
21,2018-10-01,21.495983,21.686747,21.315262,21.355421,20.642551,4083
22,2018-10-08,21.355421,21.355421,20.682732,20.923695,20.225233,16433
23,2018-10-15,20.793173,21.285141,20.793173,21.26506,20.555206,10059
24,2018-10-22,21.134539,21.134539,20.321285,20.321285,19.642935,9762
25,2018-10-29,20.08032,21.044176,20.08032,20.722893,20.031136,5378
26,2018-11-05,20.592369,20.933735,20.592369,20.853415,20.157301,1195
