,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-12-01,29.25,29.969999,28.709999,29.49,15.313714,117734
1,2011-01-01,29.4,29.4,28.5,28.68,15.094353,193332
2,2011-02-01,28.68,29.67,28.68,29.370001,15.4575,302265
3,2011-03-01,29.43,29.85,28.35,28.950001,15.236454,266301
4,2011-04-01,29.129999,29.549999,27.6,28.5,15.251234,242899
5,2011-05-01,28.379999,29.700001,27.629999,29.1,15.572309,260135
6,2011-06-01,28.799999,28.950001,27.059999,27.870001,14.914102,261900
7,2011-07-01,27.870001,28.17,26.4,26.700001,14.545426,154932
8,2011-08-01,26.73,26.73,22.469999,25.92,14.120501,257334
9,2011-09-01,26.16,26.190001,23.459999,24.18,13.172594,254365
10,2011-10-01,24.15,25.92,22.5,25.559999,14.207488,345134
11,2011-11-01,24.959999,25.98,23.4,24.809999,13.790602,263165
12,2011-12-01,24.9,25.200001,23.700001,24.66,13.707231,332299
13,2012-01-01,24.84,25.68,24.75,25.379999,14.392491,211934
14,2012-02-01,25.5,26.219999,24.99,26.01,14.749753,121902
15,2012-03-01,26.1,26.1,24.719999,24.93,14.137303,174599
16,2012-04-01,25.110001,25.290001,23.49,24.18,13.977218,234332
17,2012-05-01,24.48,24.719999,22.5,23.4,13.52634,162600
18,2012-06-01,23.43,24.030001,22.530001,23.790001,13.751781,154766
19,2012-07-01,23.639999,24.09,22.35,23.16,13.675993,167866
20,2012-08-01,23.07,24.450001,22.559999,23.85,14.083437,160133
21,2012-09-01,23.76,25.200001,23.67,24.299999,14.349162,186168
22,2012-10-01,24.48,24.57,23.940001,24.48,14.749723,201500
23,2012-11-01,24.6,24.870001,23.25,24.299999,14.64127,257865
24,2012-12-01,24.299999,24.75,24.059999,24.75,14.912405,242735
25,2013-01-01,24.809999,25.26,24.360001,24.719999,15.197155,152835
26,2013-02-01,24.9,25.110001,24.66,25.110001,15.43692,174001
27,2013-03-01,25.08,25.530001,24.629999,24.870001,15.289372,205203
28,2013-04-01,24.9,24.959999,22.41,23.219999,14.558168,222597
29,2013-05-01,23.219999,24.18,23.07,23.91,14.990777,191733
30,2013-06-01,24.059999,24.209999,22.139999,22.709999,14.238417,141432
31,2013-07-01,22.709999,23.940001,22.530001,23.370001,14.973358,165700
32,2013-08-01,23.4,24.299999,23.280001,23.82,15.261675,136602
33,2013-09-01,23.879999,24.450001,23.459999,23.459999,15.031017,146200
34,2013-10-01,23.73,24.6,22.950001,24.389999,15.9519,222233
35,2013-11-01,24.450001,24.48,23.76,23.91,15.637959,194365
36,2013-12-01,23.940001,24.18,23.309999,23.969999,15.677204,193032
37,2014-01-01,23.940001,24.66,23.73,24.120001,16.103001,163536
38,2014-02-01,24.24,25.35,23.76,25.32,16.90414,131432
39,2014-03-01,25.049999,25.469999,24.42,24.719999,16.503572,71565
40,2014-04-01,24.719999,25.200001,23.85,24.299999,16.545774,115266
41,2014-05-01,24.299999,24.870001,24.09,24.24,16.504919,128700
42,2014-06-01,24.209999,25.59,24.18,24.9,16.954309,136666
43,2014-07-01,24.809999,25.559999,24.48,25.139999,17.456879,114034
44,2014-08-01,25.049999,25.860001,24.809999,25.59,17.769352,89966
45,2014-09-01,25.709999,25.889999,24.059999,24.360001,16.915253,149967
46,2014-10-01,24.360001,24.360001,21.93,23.25,16.475204,127267
47,2014-11-01,23.459999,24.0,22.799999,23.549999,16.68779,60867
48,2014-12-01,23.549999,23.700001,21.780001,22.950001,16.262621,141866
49,2015-01-01,23.040001,23.549999,22.17,23.370001,16.915091,85334
50,2015-02-01,23.58,24.299999,23.58,24.120001,17.457935,71933
51,2015-03-01,24.209999,24.27,22.799999,22.889999,16.567665,137734
52,2015-04-01,22.92,23.91,22.92,23.4,17.29594,76466
53,2015-05-01,23.4,23.49,22.59,22.65,16.741585,76301
54,2015-06-01,22.620001,22.83,21.6,21.780001,16.09853,59334
55,2015-07-01,21.629999,22.02,19.799999,20.700001,15.639245,42500
56,2015-08-01,20.879999,21.15,18.84,20.25,15.299259,41402
57,2015-09-01,19.860001,20.16,18.809999,19.200001,14.505964,60767
58,2015-10-01,19.200001,20.610001,18.389999,20.129999,15.600411,47599
59,2015-11-01,20.129999,20.25,19.200001,19.799999,15.344664,179167
60,2015-12-01,19.879999,19.98,18.57,18.74,14.523183,109200
61,2016-01-01,18.74,18.74,17.01,18.0,14.121988,37800
62,2016-02-01,18.0,18.620001,17.299999,18.58,14.577027,35000
63,2016-03-01,18.75,19.629999,18.719999,19.379999,15.204677,26600
64,2016-04-01,19.219999,19.68,19.07,19.530001,15.322356,22600
65,2016-05-01,19.6,20.030001,19.389999,20.030001,15.714635,34000
66,2016-06-01,20.0,20.450001,19.26,19.51,15.306665,22400
67,2016-07-01,19.51,20.25,19.51,20.25,15.887237,13600
68,2016-08-01,20.25,20.42,20.1,20.1,15.769554,21500
69,2016-09-01,20.16,20.32,19.83,20.059999,15.738169,15700
70,2016-10-01,20.059999,20.17,19.75,20.02,15.902327,12200
71,2016-11-01,20.0,20.26,19.49,20.26,16.092968,50800
72,2016-12-01,20.360001,20.719999,19.99,20.450001,16.243889,18500
73,2017-01-01,20.450001,20.860001,20.450001,20.6,16.570467,8300
74,2017-02-01,20.6,21.110001,20.6,20.66,16.618731,15400
75,2017-03-01,20.719999,21.02,20.57,20.790001,16.723297,9200
76,2017-04-01,20.73,20.959999,20.719999,20.940001,17.056658,7300
77,2017-05-01,20.950001,21.030001,20.540001,20.610001,16.787853,12700
78,2017-06-01,20.610001,20.780001,20.27,20.27,16.51091,15600
79,2017-07-01,20.23,20.35,20.01,20.200001,16.66288,14600
80,2017-08-01,20.200001,20.360001,20.0,20.23,16.687628,9300
81,2017-09-01,20.23,20.67,20.16,20.530001,16.935099,10000
82,2017-10-01,20.620001,21.030001,20.620001,21.030001,17.564867,12300
83,2017-11-01,21.030001,21.280001,20.889999,21.280001,17.773678,5100
84,2017-12-01,21.280001,21.4,21.01,21.09,17.614983,18600
85,2018-01-01,21.09,21.299999,20.92,20.92,17.693018,7200
86,2018-02-01,20.92,20.92,19.98,20.530001,17.363178,10700
87,2018-03-01,20.43,20.879999,20.08,20.27,17.143284,4600
88,2018-04-01,20.27,20.73,20.25,20.73,17.752199,3000
89,2018-05-01,20.75,21.4,20.75,21.26,18.206066,5700
90,2018-06-01,21.26,21.84,21.219999,21.219999,18.171808,7300
91,2018-07-01,21.219999,21.690001,21.219999,21.379999,18.538004,7800
92,2018-08-01,21.379999,21.5,21.200001,21.379999,18.538004,13500
93,2018-09-01,21.370001,21.370001,20.76,20.82,18.052448,32900
94,2018-10-01,20.82,20.82,19.25,19.48,17.105507,8800
95,2018-11-01,19.66,19.719999,19.42,19.700001,17.298691,4500
96,2018-12-01,19.700001,19.77,18.02,18.02,15.82347,38900
97,2019-01-01,18.02,19.559999,18.02,19.35,17.213161,1300
98,2019-02-01,19.35,20.370001,19.35,20.370001,18.120525,2900
99,2019-03-01,20.370001,20.43,20.120001,20.219999,17.987087,5200
100,2019-04-01,20.280001,20.58,20.280001,20.440001,18.411928,7800
101,2019-05-01,20.440001,20.5,20.15,20.18,18.177723,5900
102,2019-06-01,20.18,20.77,20.18,20.379999,18.357878,2600
103,2019-07-01,20.299999,20.74,20.299999,20.620001,18.805859,34800
104,2019-08-01,20.610001,20.620001,20.18,20.540001,18.732895,5300
105,2019-09-01,20.559999,21.16,20.559999,20.82,18.988262,19900
106,2019-10-01,20.82,20.82,20.4,20.620001,19.038895,1700
107,2019-11-01,20.620001,21.34,20.620001,21.34,19.703686,2600
108,2019-12-01,21.23,21.4,21.200001,21.209999,19.583652,6700
109,2020-01-01,21.209999,21.68,21.030001,21.68,20.269201,8100
110,2020-02-01,21.68,21.91,20.809999,20.809999,19.455816,2700
111,2020-03-01,20.809999,20.809999,13.32,14.81,13.846258,43900
112,2020-04-01,15.39,16.610001,14.9,16.51,15.706021,6000
113,2020-05-01,16.51,17.35,16.51,17.35,16.505116,100
114,2020-06-01,17.35,18.77,17.35,18.65,17.74181,900
115,2020-07-01,18.65,19.27,18.610001,19.219999,18.526436,1100
116,2020-08-01,19.610001,19.9,19.610001,19.83,19.114422,3300
117,2020-09-01,19.83,19.83,18.709999,19.190001,18.497519,3500
118,2020-10-01,19.190001,19.5,18.6,18.6,18.151562,1300
119,2020-11-01,18.6,20.27,18.6,20.27,19.7813,1600
120,2020-12-01,20.639999,20.969999,20.57,20.969999,20.46442,1000
121,2021-01-01,20.58,21.16,20.58,21.02,20.757715,1300
122,2021-02-01,21.02,21.9,21.02,21.719999,21.44898,2100
123,2021-03-01,21.719999,22.879999,21.719999,22.299999,22.021742,5600
124,2021-04-01,22.299999,22.299999,22.299999,22.299999,22.299999,0
