,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-02-13,9.98,10.12,9.95,10.12,6.426332,2200
1,2012-02-20,10.17,10.18,10.17,10.18,6.464438,2200
2,2012-02-27,10.18,10.21,10.18,10.2,6.503994,3000
3,2012-03-05,10.21,10.24,10.09,10.24,6.529502,18700
4,2012-03-12,10.24,10.27,10.24,10.27,6.548633,800
5,2012-03-19,9.87,10.25,9.87,10.13,6.459364,1500
6,2012-03-26,10.17,10.17,10.0,10.12,6.452984,1400
7,2012-04-02,10.12,10.13,10.07,10.07,6.44773,1700
8,2012-04-09,10.07,10.07,10.07,10.07,6.44773,0
9,2012-04-16,10.15,10.15,10.1,10.13,6.486142,2600
10,2012-04-23,10.13,10.13,10.07,10.12,6.479741,2500
11,2012-04-30,10.13,10.24,10.12,10.12,6.506881,2300
12,2012-05-07,10.13,10.19,10.04,10.15,6.526172,12400
13,2012-05-14,10.15,10.15,10.07,10.07,6.474732,15800
14,2012-05-21,10.07,10.1,10.05,10.1,6.494021,1000
15,2012-05-28,10.1,10.1,9.97,9.97,6.410438,7700
16,2012-06-04,9.97,10.01,9.95,10.01,6.463031,1400
17,2012-06-11,10.01,10.01,9.95,9.97,6.437206,4500
18,2012-06-18,9.95,10.04,9.95,10.0,6.456573,16500
19,2012-06-25,9.95,10.07,9.87,10.07,6.501771,1900
20,2012-07-02,10.1,10.22,10.1,10.22,6.626589,1000
21,2012-07-09,10.17,10.17,10.15,10.15,6.581204,2300
22,2012-07-16,10.15,10.15,10.05,10.15,6.581204,3300
23,2012-07-23,10.14,10.15,10.13,10.13,6.568233,1300
24,2012-07-30,10.13,10.25,10.13,10.23,6.660635,9200
25,2012-08-06,10.23,10.26,10.23,10.26,6.680165,4300
26,2012-08-13,10.26,10.26,10.2,10.2,6.641103,5400
27,2012-08-20,10.2,10.3,10.2,10.26,6.680165,3000
28,2012-08-27,10.26,10.26,10.15,10.15,6.60855,3200
29,2012-09-03,10.15,10.19,10.15,10.19,6.661863,4100
30,2012-09-10,10.19,10.19,10.04,10.04,6.563801,18200
31,2012-09-17,10.04,10.09,10.03,10.08,6.589945,12100
32,2012-09-24,10.08,10.08,9.98,10.02,6.550722,42200
33,2012-10-01,10.1,10.1,9.95,9.95,6.526975,5100
34,2012-10-08,9.95,9.95,9.91,9.92,6.507297,6700
35,2012-10-15,9.93,10.01,9.88,9.95,6.526975,9700
36,2012-10-22,9.92,9.93,9.88,9.89,6.487615,6300
37,2012-10-29,9.83,9.9,9.83,9.87,6.496855,5200
38,2012-11-05,9.87,9.91,9.8,9.8,6.450777,14700
39,2012-11-12,9.8,9.8,9.7,9.7,6.384953,1200
40,2012-11-19,9.73,9.73,9.63,9.64,6.345459,4400
41,2012-11-26,9.64,9.73,9.64,9.73,6.404701,2600
42,2012-12-03,9.82,9.85,9.82,9.85,6.506639,3400
43,2012-12-10,9.85,9.86,9.75,9.77,6.453792,2300
44,2012-12-17,9.77,9.94,9.77,9.94,6.566086,1100
45,2012-12-24,9.94,9.94,9.94,9.94,6.566086,0
46,2012-12-31,9.94,9.94,9.94,9.94,6.593948,0
47,2013-01-07,10.01,10.06,10.0,10.04,6.660293,16700
48,2013-01-14,10.04,10.06,10.0,10.06,6.67356,4800
49,2013-01-21,10.06,10.06,10.05,10.05,6.666926,6800
50,2013-01-28,10.02,10.02,9.97,9.98,6.620488,4600
51,2013-02-04,9.96,9.96,9.96,9.96,6.631636,100
52,2013-02-11,9.9,9.98,9.81,9.92,6.605,4300
53,2013-02-18,9.92,9.94,9.82,9.94,6.618314,5200
54,2013-02-25,9.86,9.91,9.86,9.9,6.591682,8900
55,2013-03-04,9.9,9.9,9.88,9.88,6.602945,3500
56,2013-03-11,9.88,9.89,9.81,9.88,6.602945,6900
57,2013-03-18,9.88,9.9,9.85,9.9,6.616311,7500
58,2013-03-25,9.85,9.85,9.74,9.74,6.509381,5600
59,2013-04-01,9.74,9.87,9.74,9.8,6.57405,2900
60,2013-04-08,9.8,9.84,9.71,9.84,6.600886,3300
61,2013-04-15,9.95,9.95,9.65,9.65,6.473426,3400
62,2013-04-22,9.65,9.66,9.65,9.66,6.480134,200
63,2013-04-29,9.78,9.83,9.68,9.68,6.521935,11500
64,2013-05-06,9.8,9.8,9.77,9.78,6.589312,1000
65,2013-05-13,9.78,9.79,9.62,9.63,6.488252,3700
66,2013-05-20,9.8,9.8,9.77,9.77,6.582573,700
67,2013-05-27,9.77,9.9,9.75,9.75,6.5691,26300
68,2013-06-03,9.75,9.75,9.58,9.71,6.570395,6800
69,2013-06-10,9.69,9.69,9.55,9.55,6.462131,800
70,2013-06-17,9.55,9.64,9.41,9.41,6.367396,1500
71,2013-06-24,9.27,9.27,9.27,9.27,6.272666,2500
72,2013-07-01,9.27,9.27,9.27,9.27,6.301214,0
73,2013-07-08,9.27,9.58,9.27,9.58,6.511935,3500
74,2013-07-15,9.58,9.58,9.58,9.58,6.511935,0
75,2013-07-22,9.58,9.58,9.55,9.55,6.491542,300
76,2013-07-29,9.55,9.55,9.55,9.55,6.520127,0
77,2013-08-05,9.55,9.56,9.34,9.34,6.37675,1600
78,2013-08-12,9.34,9.42,9.34,9.42,6.431373,600
79,2013-08-19,9.42,9.42,9.42,9.42,6.431373,0
80,2013-08-26,9.42,9.42,9.29,9.29,6.342615,3000
81,2013-09-02,9.26,9.44,9.26,9.28,6.364163,3400
82,2013-09-09,9.26,9.34,9.25,9.34,6.405309,7900
83,2013-09-16,9.34,9.34,9.34,9.34,6.405309,0
84,2013-09-23,9.38,9.39,9.38,9.39,6.4396,2200
85,2013-09-30,9.39,9.47,9.39,9.47,6.523642,500
