,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-08,21.65,21.65,21.65,21.65,21.501686,0
1,2018-01-15,21.65,21.68,21.440001,21.530001,21.382504,3100
2,2018-01-22,21.42,21.6,21.42,21.6,21.452024,2300
3,2018-01-29,21.98,21.98,21.41,21.41,21.268288,1900
4,2018-02-05,21.41,21.41,20.870001,20.870001,20.731857,800
5,2018-02-12,20.870001,22.15,20.870001,22.15,22.003389,200
6,2018-02-19,22.15,22.57,22.15,22.57,22.420609,200
7,2018-02-26,22.57,22.6,22.57,22.6,22.455479,500
8,2018-03-05,22.6,23.959999,22.6,23.75,23.598125,1700
9,2018-03-12,23.77,23.83,23.719999,23.719999,23.568316,6200
10,2018-03-19,23.23,23.799999,23.08,23.08,22.932407,5000
11,2018-03-26,23.08,23.08,22.209999,23.0,22.857838,1000
12,2018-04-02,23.0,23.0,23.0,23.0,22.857838,0
13,2018-04-09,23.0,23.93,23.0,23.83,23.682711,1400
14,2018-04-16,23.83,24.58,23.83,24.33,24.179623,6400
15,2018-04-23,24.280001,24.360001,23.65,24.030001,23.88636,28800
16,2018-04-30,24.5,24.5,23.92,24.110001,23.965885,88300
17,2018-05-07,24.799999,25.290001,24.469999,24.59,24.443008,9200
18,2018-05-14,24.889999,24.889999,24.200001,24.370001,24.224327,8600
19,2018-05-21,24.629999,24.639999,24.219999,24.469999,24.32373,5700
20,2018-05-28,24.469999,24.799999,24.35,24.799999,24.65683,2500
21,2018-06-04,25.360001,25.75,24.790001,25.35,25.203661,82200
22,2018-06-11,25.68,26.299999,25.549999,26.110001,25.959272,42500
23,2018-06-18,26.379999,26.389999,25.309999,25.309999,25.163893,35800
24,2018-06-25,25.25,25.25,24.25,24.73,24.591961,21200
25,2018-07-02,25.24,25.514999,25.0,25.5,25.357662,16500
26,2018-07-09,25.959999,26.299999,25.445,26.23,26.08359,16000
27,2018-07-16,26.18,26.66,26.0,26.219999,26.073643,11300
28,2018-07-23,26.42,26.469999,25.59,25.68,25.536654,21000
29,2018-07-30,26.190001,26.190001,24.719999,25.42,25.282928,41200
30,2018-08-06,25.66,26.299999,25.66,25.98,25.839907,7600
31,2018-08-13,26.059999,26.059999,25.370001,25.959999,25.820019,9800
32,2018-08-20,26.25,27.0,25.84,26.99,26.844463,22000
33,2018-08-27,27.17,27.790001,27.120001,27.32,27.177847,17000
34,2018-09-03,27.25,27.48,26.870001,27.200001,27.058472,24900
35,2018-09-10,27.200001,27.629999,27.200001,27.59,27.446438,34800
36,2018-09-17,27.549999,27.549999,26.799999,27.120001,26.978891,245000
37,2018-09-24,27.07,27.959999,27.07,27.5,27.361996,16700
38,2018-10-01,27.690001,27.690001,25.75,25.93,25.799871,22100
39,2018-10-08,25.9,25.9,24.209999,24.68,24.556141,33000
40,2018-10-15,24.67,25.540001,24.67,24.82,24.695448,11400
41,2018-10-22,24.76,25.1,23.4,23.65,23.531317,165700
42,2018-10-29,23.799999,25.459999,23.309999,24.700001,24.580944,25800
43,2018-11-05,24.98,25.940001,24.5,25.34,25.217859,12600
44,2018-11-12,24.83,25.280001,24.639999,25.02,24.899401,5700
45,2018-11-19,25.33,25.33,23.5,23.84,23.725084,5300
46,2018-11-26,24.49,24.889999,24.08,24.889999,24.775225,8800
47,2018-12-03,24.92,25.5,23.540001,24.6,24.486563,10200
48,2018-12-10,24.1,25.1,24.1,24.120001,24.008776,9100
49,2018-12-17,23.110001,23.629999,21.75,21.75,21.6497,8200
50,2018-12-24,21.559999,22.76,21.48,22.530001,22.426107,4900
51,2018-12-31,22.540001,22.799999,22.0,22.73,22.630194,9300
52,2019-01-07,22.9,23.950001,22.9,23.73,23.625803,40000
53,2019-01-14,23.950001,24.26,23.4,24.190001,24.083776,18300
54,2019-01-21,24.26,24.6,23.799999,24.6,24.491982,15900
55,2019-01-28,24.6,25.879999,24.360001,25.85,25.73649,20800
56,2019-02-04,25.99,26.459999,25.790001,26.200001,26.090282,34400
57,2019-02-11,26.299999,27.09,26.27,26.870001,26.757473,29700
58,2019-02-18,27.07,27.07,26.700001,27.07,26.95664,18300
59,2019-02-25,27.110001,27.639999,27.049999,27.639999,27.524248,19400
60,2019-03-04,27.940001,27.940001,26.24,26.629999,26.523371,37700
61,2019-03-11,27.1,27.85,27.1,27.690001,27.579124,13000
62,2019-03-18,27.959999,28.4,27.450001,27.450001,27.34009,26900
63,2019-03-25,27.370001,28.059999,27.08,27.959999,27.84804,15600
64,2019-04-01,28.6,28.690001,27.5,27.75,27.643915,15800
65,2019-04-08,27.82,28.639999,27.75,28.6,28.490667,7800
66,2019-04-15,28.780001,29.07,27.58,27.790001,27.68376,90300
67,2019-04-22,27.9,28.799999,27.809999,28.799999,28.689898,15400
68,2019-04-29,29.01,29.1,28.5,28.889999,28.779556,14000
69,2019-05-06,28.860001,28.860001,27.360001,27.559999,27.459406,23000
70,2019-05-13,27.15,28.09,26.799999,27.9,27.798166,31700
71,2019-05-20,28.18,28.18,27.0,27.24,27.140574,14600
72,2019-05-27,27.16,27.530001,26.32,26.41,26.313606,12700
73,2019-06-03,26.0,26.790001,25.629999,26.790001,26.697186,7300
74,2019-06-10,26.709999,27.74,26.469999,26.879999,26.786879,9000
75,2019-06-17,27.0,28.0,27.0,27.530001,27.434626,6400
76,2019-06-24,27.530001,27.57,26.93,27.57,27.474485,11200
77,2019-07-01,27.450001,28.76,27.450001,28.299999,28.207193,11200
78,2019-07-08,28.24,29.1,28.24,29.1,29.004572,4200
79,2019-07-15,29.33,29.33,28.65,28.65,28.556046,11100
80,2019-07-22,28.5,29.43,28.5,29.43,29.33349,21500
81,2019-07-29,29.120001,29.4,28.0,28.1,28.007853,27600
82,2019-08-05,27.25,28.209999,26.9,27.99,27.903069,46600
83,2019-08-12,27.6,28.219999,27.200001,27.540001,27.454456,7800
84,2019-08-19,27.540001,28.0,27.360001,27.84,27.753527,10500
85,2019-08-26,28.139999,28.139999,27.0,27.280001,27.195269,12600
86,2019-09-02,27.25,28.0,27.25,27.82,27.73871,9900
87,2019-09-09,27.559999,27.6,26.200001,26.27,26.193241,10100
88,2019-09-16,26.440001,26.91,26.440001,26.65,26.572128,11800
89,2019-09-23,26.65,26.65,25.620001,25.620001,25.545137,11900
90,2019-09-30,25.629999,26.549999,25.559999,26.549999,26.477434,106800
91,2019-10-07,26.65,26.799999,26.27,26.700001,26.627029,8900
92,2019-10-14,26.889999,26.889999,25.77,25.77,25.699572,11900
93,2019-10-21,25.92,26.41,25.450001,26.41,26.33782,5000
94,2019-10-28,26.559999,27.559999,26.469999,27.559999,27.484676,4300
95,2019-11-04,27.5,27.799999,27.17,27.77,27.69927,9500
96,2019-11-11,27.83,28.620001,27.83,28.620001,28.547102,2700
97,2019-11-18,28.57,29.27,28.57,29.0,28.926134,7000
98,2019-11-25,29.15,29.48,29.15,29.360001,29.285221,2700
99,2019-12-02,28.799999,28.860001,28.309999,28.309999,28.242687,10800
100,2019-12-09,28.389999,28.42,27.870001,28.190001,28.122971,5800
101,2019-12-16,28.530001,28.66,28.059999,28.559999,28.492086,6800
102,2019-12-23,28.92,28.959999,28.459999,28.629999,28.561924,1500
103,2019-12-30,28.629999,28.889999,28.209999,28.889999,28.821306,4000
104,2020-01-06,28.9,30.059999,28.9,30.040001,29.973806,14000
105,2020-01-13,29.940001,31.139999,29.940001,30.860001,30.791998,7700
106,2020-01-20,30.940001,31.139999,30.709999,30.76,30.692215,6600
107,2020-01-27,30.709999,30.799999,30.200001,30.23,30.163385,5900
108,2020-02-03,30.059999,31.42,29.99,30.870001,30.80698,5600
109,2020-02-10,30.950001,31.43,30.629999,30.98,30.916754,11000
110,2020-02-17,31.049999,31.5,30.280001,30.299999,30.23814,22500
111,2020-02-24,29.780001,29.780001,26.6,27.190001,27.134495,24400
112,2020-03-02,27.34,28.299999,26.5,26.5,26.45056,12700
113,2020-03-09,24.299999,26.0,22.0,23.25,23.206625,27000
114,2020-03-16,18.26,25.0,18.26,23.040001,22.997015,9300
