,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-04-10,20.040001,20.040001,20.040001,20.040001,17.701784,100
1,2017-04-17,20.09,20.110001,20.09,20.110001,17.763611,400
2,2017-04-24,20.110001,20.110001,20.110001,20.110001,17.763611,0
3,2017-05-01,20.08,20.08,20.08,20.08,17.781321,300
4,2017-05-08,20.08,20.08,20.08,20.08,17.781321,0
5,2017-05-15,20.08,20.08,20.08,20.08,17.781321,0
6,2017-05-22,20.08,20.08,20.08,20.08,17.781321,0
7,2017-05-29,20.08,20.08,20.08,20.08,17.825714,0
8,2017-06-05,20.08,20.08,20.08,20.08,17.825714,0
9,2017-06-12,20.08,20.08,20.08,20.08,17.825714,0
10,2017-06-19,20.08,20.08,20.08,20.08,17.825714,0
11,2017-06-26,20.08,20.08,19.73,19.73,17.515005,300
12,2017-07-03,19.73,19.73,19.66,19.66,17.496428,2500
13,2017-07-10,19.66,19.66,19.66,19.66,17.496428,0
14,2017-07-17,19.66,19.66,19.66,19.66,17.496428,0
15,2017-07-24,19.66,19.66,19.66,19.66,17.496428,0
16,2017-07-31,19.66,19.66,19.66,19.66,17.541035,0
17,2017-08-07,19.66,19.66,19.66,19.66,17.541035,0
18,2017-08-14,19.66,19.66,19.66,19.66,17.541035,0
19,2017-08-21,19.66,19.66,19.66,19.66,17.541035,0
20,2017-08-28,19.66,19.66,19.66,19.66,17.541035,0
21,2017-09-04,19.66,19.66,19.58,19.58,17.5142,6000
22,2017-09-11,19.58,19.58,19.58,19.58,17.5142,0
23,2017-09-18,19.58,19.58,19.58,19.58,17.5142,0
24,2017-09-25,19.58,19.58,19.49,19.49,17.433697,200
25,2017-10-02,19.49,19.49,19.49,19.49,17.478334,0
26,2017-10-09,19.49,19.49,19.49,19.49,17.478334,0
27,2017-10-16,19.49,19.49,19.49,19.49,17.478334,0
28,2017-10-23,19.49,19.6,19.49,19.6,17.576986,800
29,2017-10-30,19.6,19.6,19.6,19.6,17.621935,0
30,2017-11-06,19.620001,19.620001,19.620001,19.620001,17.639921,400
31,2017-11-13,19.620001,19.620001,19.620001,19.620001,17.639921,0
32,2017-11-20,19.610001,19.610001,19.610001,19.610001,17.630928,300
33,2017-11-27,19.610001,19.610001,19.610001,19.610001,17.630928,100
34,2017-12-04,19.610001,19.610001,19.57,19.57,17.657997,2000
35,2017-12-11,19.57,19.57,19.540001,19.540001,17.630928,100
36,2017-12-18,19.540001,19.540001,19.540001,19.540001,17.630928,0
37,2017-12-25,19.540001,19.540001,19.540001,19.540001,17.630928,0
38,2018-01-01,19.540001,19.540001,19.379999,19.4,17.549503,1800
39,2018-01-08,19.4,19.42,19.4,19.42,17.567602,500
40,2018-01-15,19.42,19.43,19.42,19.43,17.576641,300
41,2018-01-22,19.43,19.43,19.370001,19.370001,17.522369,700
42,2018-01-29,19.370001,19.370001,19.33,19.33,17.531298,300
43,2018-02-05,19.33,19.33,19.33,19.33,17.531298,0
44,2018-02-12,19.33,19.360001,19.33,19.33,17.531298,258900
45,2018-02-19,19.33,19.34,19.33,19.33,17.531298,900
46,2018-02-26,19.35,19.360001,19.309999,19.309999,17.558582,6400
47,2018-03-05,19.309999,19.34,19.280001,19.280001,17.531298,8300
48,2018-03-12,19.280001,19.290001,19.27,19.290001,17.540398,400
49,2018-03-19,19.290001,19.290001,19.290001,19.290001,17.540398,0
50,2018-03-26,19.290001,19.290001,19.25,19.280001,17.57686,200
51,2018-04-02,19.280001,19.280001,19.23,19.24,17.540392,21000
52,2018-04-09,19.24,19.24,19.24,19.24,17.540392,0
53,2018-04-16,19.24,19.24,19.24,19.24,17.540392,0
54,2018-04-23,19.24,19.24,19.24,19.24,17.586096,0
55,2018-04-30,19.24,19.24,19.24,19.24,17.586096,0
56,2018-05-07,19.24,19.24,19.16,19.16,17.512976,2300
57,2018-05-14,19.16,19.16,19.120001,19.120001,17.47641,500
58,2018-05-21,19.120001,19.120001,19.040001,19.040001,17.403288,300
59,2018-05-28,19.040001,19.17,19.040001,19.129999,17.531391,7800
60,2018-06-04,19.129999,19.129999,19.129999,19.129999,17.531391,0
61,2018-06-11,19.129999,19.129999,19.129999,19.129999,17.531391,0
62,2018-06-18,19.129999,19.25,19.129999,19.25,17.641373,100
63,2018-06-25,19.25,19.25,19.25,19.25,17.687307,0
64,2018-07-02,19.190001,19.190001,19.18,19.18,17.622995,300
65,2018-07-09,19.18,19.18,19.18,19.18,17.622995,0
66,2018-07-16,19.18,19.18,19.18,19.18,17.622995,0
67,2018-07-23,19.18,19.18,19.18,19.18,17.622995,0
68,2018-07-30,19.18,19.18,19.18,19.18,17.669052,0
69,2018-08-06,19.18,19.18,19.18,19.18,17.669052,0
70,2018-08-13,19.18,19.18,19.18,19.18,17.669052,0
71,2018-08-20,19.18,19.18,19.18,19.18,17.669052,0
72,2018-08-27,19.18,19.18,19.18,19.18,17.71524,0
73,2018-09-03,19.15,19.15,19.15,19.15,17.687527,2500
74,2018-09-10,19.15,19.16,19.15,19.15,17.687527,500
75,2018-09-17,19.15,19.15,19.15,19.15,17.687527,0
76,2018-09-24,19.15,19.15,19.030001,19.059999,17.65049,3400
77,2018-10-01,19.059999,19.059999,19.059999,19.059999,17.65049,0
78,2018-10-08,19.059999,19.059999,19.059999,19.059999,17.65049,0
79,2018-10-15,19.059999,19.059999,19.059999,19.059999,17.65049,0
80,2018-10-22,19.059999,19.059999,19.059999,19.059999,17.65049,0
81,2018-10-29,18.99,18.99,18.99,18.99,17.631916,200
82,2018-11-05,18.99,18.99,18.99,18.99,17.631916,0
83,2018-11-12,18.99,18.99,18.99,18.99,17.631916,0
84,2018-11-19,19.0,19.0,19.0,19.0,17.641199,100
85,2018-11-26,19.0,19.0,19.0,19.0,17.687746,0
86,2018-12-03,19.0,19.1,19.0,19.1,17.780842,500
87,2018-12-10,19.1,19.1,19.1,19.1,17.780842,0
88,2018-12-17,19.1,19.1,19.1,19.1,17.780842,0
89,2018-12-24,19.1,19.1,19.049999,19.049999,17.734289,400
90,2018-12-31,19.049999,19.049999,19.049999,19.049999,17.780886,0
91,2019-01-07,19.049999,19.049999,19.049999,19.049999,17.780886,0
92,2019-01-14,19.09,19.09,19.09,19.09,17.818224,200
93,2019-01-21,19.09,19.09,19.09,19.09,17.818224,0
94,2019-01-28,19.09,19.09,19.09,19.09,17.865015,0
95,2019-02-04,19.09,19.24,19.09,19.24,18.005384,200
96,2019-02-11,19.24,19.26,19.24,19.26,18.024105,100
97,2019-02-18,19.32,19.32,19.32,19.32,18.080256,200
98,2019-02-25,19.32,19.32,19.26,19.26,18.070873,100
99,2019-03-04,19.26,19.26,19.26,19.26,18.070873,0
100,2019-03-11,19.26,19.26,19.26,19.26,18.070873,0
101,2019-03-18,19.26,19.26,19.26,19.26,18.070873,0
102,2019-03-25,19.43,19.43,19.43,19.43,18.277828,200
103,2019-04-01,19.43,19.43,19.41,19.41,18.259014,100
104,2019-04-08,19.41,19.440001,19.41,19.440001,18.287235,300
105,2019-04-15,19.440001,19.440001,19.41,19.440001,18.287235,700
106,2019-04-22,19.440001,19.48,19.440001,19.48,18.324863,200
107,2019-04-29,19.48,19.48,19.48,19.48,18.372114,0
108,2019-05-06,19.48,19.48,19.43,19.43,18.324963,100
109,2019-05-13,19.43,19.43,19.43,19.43,18.324963,0
110,2019-05-20,19.43,19.43,19.43,19.43,18.324963,0
111,2019-05-27,19.5,19.52,19.5,19.51,18.447878,1900
112,2019-06-03,19.51,19.51,19.51,19.51,18.447878,0
113,2019-06-10,19.51,19.51,19.51,19.51,18.447878,0
114,2019-06-17,19.610001,19.610001,19.57,19.57,18.50461,800
115,2019-06-24,19.57,19.57,19.57,19.57,18.551912,200
116,2019-07-01,19.57,19.57,19.57,19.57,18.551912,300
117,2019-07-08,19.57,19.57,19.57,19.57,18.551912,400
118,2019-07-15,19.530001,19.530001,19.530001,19.530001,18.513996,1500
119,2019-07-22,19.530001,19.6,19.530001,19.6,18.58036,7500
120,2019-07-29,19.6,19.6,19.6,19.6,18.628046,3600
121,2019-08-05,19.6,19.6,19.6,19.6,18.628046,1800
122,2019-08-12,19.639999,19.639999,19.639999,19.639999,18.666063,800
123,2019-08-19,19.639999,19.65,19.530001,19.530001,18.561518,1300
124,2019-08-26,19.530001,19.530001,19.530001,19.530001,18.60887,0
125,2019-09-02,19.530001,19.530001,19.530001,19.530001,18.60887,0
126,2019-09-09,19.5,19.5,19.5,19.5,18.580288,400
127,2019-09-16,19.5,19.5,19.450001,19.450001,18.532644,0
128,2019-09-23,19.5,19.5,19.5,19.5,18.628052,100
129,2019-09-30,19.5,19.5,19.5,19.5,18.628052,0
130,2019-10-07,19.5,19.5,19.469999,19.469999,18.599392,3000
131,2019-10-14,19.469999,19.469999,19.370001,19.370001,18.503864,2500
132,2019-10-21,19.370001,19.370001,19.32,19.370001,18.503864,0
133,2019-10-28,19.370001,19.370001,19.370001,19.370001,18.551756,0
134,2019-11-04,19.370001,19.370001,19.360001,19.360001,18.542171,100
135,2019-11-11,19.360001,19.469999,19.360001,19.469999,18.647524,400
136,2019-11-18,19.469999,19.469999,19.42,19.469999,18.647524,0
137,2019-11-25,19.469999,19.469999,19.469999,19.469999,18.695534,0
138,2019-12-02,19.469999,19.469999,19.469999,19.469999,18.695534,0
139,2019-12-09,19.469999,19.469999,19.4,19.4,18.628323,8500
140,2019-12-16,19.4,19.4,19.4,19.4,18.628323,0
141,2019-12-23,19.4,19.4,19.4,19.4,18.628323,0
142,2019-12-30,19.4,19.4,19.4,19.4,18.628323,0
143,2020-01-06,19.4,19.4,19.4,19.4,18.676456,0
144,2020-01-13,19.4,19.4,19.4,19.4,18.676456,0
145,2020-01-20,19.4,19.540001,19.4,19.540001,18.811234,5000
146,2020-01-27,19.57,19.57,19.57,19.57,18.8888,6400
147,2020-02-03,19.57,19.57,19.57,19.57,18.8888,0
148,2020-02-10,19.57,19.57,19.57,19.57,18.8888,500
149,2020-02-17,19.57,19.57,19.57,19.57,18.8888,0
150,2020-02-24,19.57,19.6,19.57,19.6,18.966211,2600
151,2020-03-02,19.58,19.58,19.58,19.58,18.946859,100
152,2020-03-09,19.58,19.73,19.58,19.700001,19.062977,7600
153,2020-03-16,19.49,19.49,19.27,19.27,18.646883,3000
154,2020-03-23,19.27,19.27,18.51,18.51,17.911455,400
155,2020-03-30,18.51,18.51,18.51,18.51,17.95805,0
156,2020-04-06,18.51,18.969999,18.51,18.969999,18.404335,200
157,2020-04-13,18.969999,18.969999,18.969999,18.969999,18.404335,0
158,2020-04-20,18.969999,19.469999,18.969999,19.469999,18.889425,400
159,2020-04-27,19.469999,19.52,19.469999,19.52,18.986694,100
160,2020-05-04,19.52,19.530001,19.51,19.51,18.976969,4400
161,2020-05-11,19.51,19.540001,19.51,19.530001,18.996424,900
162,2020-05-18,19.530001,19.540001,19.459999,19.459999,18.928333,15300
163,2020-05-25,19.51,19.58,19.51,19.559999,19.074486,7000
164,2020-06-01,19.57,19.66,19.57,19.66,19.172005,1400
165,2020-06-08,19.73,19.790001,19.73,19.76,19.269522,12800
166,2020-06-15,19.76,19.799999,19.76,19.799999,19.308531,2200
167,2020-06-22,19.77,19.790001,19.74,19.75,19.259766,18900
168,2020-06-29,19.74,19.85,19.74,19.809999,19.367189,11000
169,2020-07-06,19.809999,19.889999,19.809999,19.889999,19.4454,11600
170,2020-07-13,19.889999,19.9,19.83,19.9,19.455179,8900
171,2020-07-20,19.969999,19.98,19.950001,19.950001,19.504061,9900
172,2020-07-27,19.969999,20.0,19.959999,19.99,19.592194,25400
173,2020-08-03,20.030001,20.030001,20.01,20.01,19.611794,700
174,2020-08-10,20.040001,20.049999,20.0,20.030001,19.631399,7200
175,2020-08-17,20.030001,20.030001,19.99,19.99,19.592194,13000
176,2020-08-24,19.98,20.0,19.969999,20.0,19.651051,9800
177,2020-08-31,20.0,20.040001,19.98,19.98,19.631397,4000
178,2020-09-07,20.02,20.02,19.969999,19.969999,19.621571,2600
179,2020-09-14,20.059999,20.059999,19.99,20.040001,19.690353,13900
180,2020-09-21,20.040001,20.040001,19.950001,19.950001,19.601921,4200
181,2020-09-28,19.959999,19.959999,19.92,19.959999,19.660803,10400
182,2020-10-05,19.950001,19.969999,19.950001,19.969999,19.67065,15700
183,2020-10-12,19.99,19.99,19.99,19.99,19.690351,18400
184,2020-10-19,19.99,19.99,19.93,19.93,19.631252,7800
185,2020-10-26,19.9,19.940001,19.83,19.9,19.650854,1100
186,2020-11-02,19.889999,19.93,19.889999,19.93,19.680477,10900
187,2020-11-09,19.93,19.969999,19.889999,19.959999,19.710102,4000
188,2020-11-16,19.969999,19.98,19.9,19.9,19.650854,2300
189,2020-11-23,19.9,19.98,19.9,19.98,19.779348,4800
190,2020-11-30,19.98,20.02,19.950001,20.0,19.799149,16800
191,2020-12-07,20.0,20.02,19.959999,20.02,19.818947,5100
192,2020-12-14,20.02,20.040001,19.98,20.040001,19.838747,3400
193,2020-12-21,20.030001,20.040001,20.030001,20.030001,19.828848,5700
194,2020-12-28,20.07,20.07,19.969999,20.030001,19.828848,7100
195,2021-01-04,20.030001,20.049999,19.99,19.99,19.839712,2000
196,2021-01-11,19.99,20.08,19.99,20.08,19.929035,7200
197,2021-01-18,20.07,20.1,20.01,20.02,19.869488,5400
