,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-12-11,19.799999,20.049999,19.75,20.049999,18.518339,4100
1,2017-12-18,20.049999,20.049999,19.940001,19.940001,18.416746,100
2,2017-12-25,20.1,20.1,19.91,19.91,18.389036,4900
3,2018-01-01,20.049999,20.049999,19.969999,19.969999,18.448145,4600
4,2018-01-08,19.969999,20.18,19.969999,20.18,18.642143,400
5,2018-01-15,20.139999,20.139999,20.139999,20.139999,18.605188,300
6,2018-01-22,20.57,20.700001,20.57,20.68,19.10404,8000
7,2018-01-29,20.68,20.68,20.24,20.24,18.697571,10300
8,2018-02-05,20.24,20.309999,19.459999,19.459999,17.977011,17600
9,2018-02-12,19.85,20.23,19.85,20.200001,18.66062,21300
10,2018-02-19,20.200001,20.43,20.200001,20.43,18.873091,1200
11,2018-02-26,20.67,20.67,20.16,20.459999,18.900806,2110700
12,2018-03-05,20.469999,20.74,20.309999,20.5,18.937756,1974400
13,2018-03-12,20.700001,20.76,20.5,20.76,19.177944,3058900
14,2018-03-19,20.76,20.76,20.0,20.0,18.475859,1400
15,2018-03-26,20.0,20.459999,20.0,20.459999,18.900806,100
16,2018-04-02,20.459999,20.459999,20.26,20.26,18.716047,10000
17,2018-04-09,20.26,20.26,20.26,20.26,18.716047,0
18,2018-04-16,19.870001,19.870001,19.610001,19.610001,18.115585,255100
19,2018-04-23,19.610001,20.17,19.610001,20.17,18.632904,100
20,2018-04-30,20.17,20.17,19.860001,19.860001,18.346529,13000
21,2018-05-07,19.860001,19.860001,19.860001,19.860001,18.346529,0
22,2018-05-14,20.059999,20.059999,19.77,19.77,18.26339,93500
23,2018-05-21,19.77,19.77,19.77,19.77,18.26339,0
24,2018-05-28,19.77,19.77,19.77,19.77,18.26339,0
25,2018-06-04,19.77,19.77,19.77,19.77,18.26339,0
26,2018-06-11,19.77,20.190001,19.77,19.940001,18.420433,528200
27,2018-06-18,19.48,19.48,19.48,19.48,17.995487,2100
28,2018-06-25,18.85,18.85,18.75,18.75,17.500799,1100
29,2018-07-02,18.459999,18.5,18.389999,18.389999,17.164783,800
30,2018-07-09,18.84,18.950001,18.719999,18.719999,17.472797,700
31,2018-07-16,18.639999,18.639999,18.639999,18.639999,17.398129,100
32,2018-07-23,18.639999,18.639999,18.639999,18.639999,17.398129,0
33,2018-07-30,18.639999,18.639999,18.639999,18.639999,17.398129,0
34,2018-08-06,18.639999,18.639999,18.58,18.59,17.351456,3500
35,2018-08-13,18.59,18.59,18.190001,18.219999,17.006105,3500
36,2018-08-20,18.219999,18.68,18.219999,18.68,17.435463,2000
37,2018-08-27,18.68,18.73,18.6,18.73,17.48213,2500
38,2018-09-03,18.73,18.73,18.57,18.57,17.332792,500
39,2018-09-10,18.57,18.57,18.57,18.57,17.332792,0
40,2018-09-17,18.57,18.85,18.57,18.85,17.594137,3200
41,2018-09-24,18.85,19.0,18.85,19.0,17.73414,395100
42,2018-10-01,19.0,19.0,18.15,18.15,16.940775,2500
43,2018-10-08,18.15,18.15,17.73,18.040001,16.838104,25900
44,2018-10-15,17.870001,18.08,17.870001,18.08,16.875437,200
45,2018-10-22,18.059999,18.059999,17.35,17.4,16.24074,7200
46,2018-10-29,17.370001,17.790001,17.370001,17.780001,16.595425,11400
