,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-04-03,20.209999,20.209999,19.950001,19.950001,18.864433,2100
1,2017-04-10,19.9,19.9,19.879999,19.879999,18.798237,500
2,2017-04-17,19.879999,20.209999,19.879999,20.209999,19.110279,300
3,2017-04-24,20.209999,20.209999,20.209999,20.209999,19.110279,0
4,2017-05-01,20.67,20.799999,20.67,20.700001,19.573622,1300
5,2017-05-08,20.790001,20.790001,20.690001,20.690001,19.564167,4900
6,2017-05-15,20.67,20.68,20.43,20.43,19.318312,4300
7,2017-05-22,20.559999,20.700001,20.559999,20.700001,19.573622,3400
8,2017-05-29,20.700001,20.700001,20.68,20.68,19.554708,4000
9,2017-06-05,20.68,20.68,20.68,20.68,19.554708,0
10,2017-06-12,20.9,20.9,20.9,20.9,19.762733,300
11,2017-06-19,20.9,20.9,20.9,20.9,19.762733,0
12,2017-06-26,20.73,20.73,20.73,20.73,19.601986,3100
13,2017-07-03,20.73,20.73,20.73,20.73,19.673162,0
14,2017-07-10,20.73,20.73,20.73,20.73,19.673162,0
15,2017-07-17,19.709999,19.709999,19.610001,19.610001,18.610264,140300
16,2017-07-24,19.610001,19.610001,19.389999,19.389999,18.40148,3800
17,2017-07-31,19.389999,19.77,19.389999,19.77,18.762106,2100
18,2017-08-07,19.65,19.809999,19.6,19.6,18.600775,1000
19,2017-08-14,19.92,20.059999,19.809999,19.809999,18.800072,500
20,2017-08-21,19.370001,19.4,19.370001,19.370001,18.3825,1500
21,2017-08-28,19.370001,19.370001,19.299999,19.299999,18.316067,1200
22,2017-09-04,19.299999,19.299999,18.950001,18.950001,17.983912,10200
23,2017-09-11,19.0,19.18,19.0,19.120001,18.145243,3000
24,2017-09-18,19.219999,19.35,19.190001,19.219999,18.240141,5100
25,2017-09-25,19.219999,19.5,19.219999,19.5,18.505871,4100
26,2017-10-02,19.5,19.5,19.5,19.5,18.578136,0
27,2017-10-09,19.5,19.809999,19.5,19.77,18.835377,400
28,2017-10-16,19.809999,20.17,19.77,20.17,19.216467,1700
29,2017-10-23,20.08,20.540001,20.08,20.469999,19.502283,7600
30,2017-10-30,20.469999,20.530001,20.299999,20.299999,19.340319,2100
31,2017-11-06,20.299999,20.34,20.15,20.15,19.197409,1000
32,2017-11-13,20.32,20.469999,20.32,20.469999,19.502283,3500
33,2017-11-20,20.540001,20.540001,20.42,20.42,19.454645,600
34,2017-11-27,20.549999,21.299999,20.530001,20.93,19.940536,26700
35,2017-12-04,21.0,21.120001,21.0,21.120001,20.121555,800
36,2017-12-11,21.219999,21.25,20.969999,20.969999,19.978643,5000
37,2017-12-18,20.969999,21.360001,20.969999,21.09,20.09297,2200
38,2017-12-25,21.09,21.09,20.77,20.77,19.788099,1100
39,2018-01-01,20.77,20.82,20.42,20.66,19.778957,2000
40,2018-01-08,20.780001,21.129999,20.780001,20.969999,20.075739,4500
41,2018-01-15,20.860001,21.27,20.860001,21.219999,20.315077,13200
42,2018-01-22,21.290001,21.4,21.25,21.290001,20.382093,3900
43,2018-01-29,21.34,21.34,20.860001,20.860001,19.970432,5500
44,2018-02-05,20.799999,20.799999,20.0,20.0,19.147106,7600
45,2018-02-12,20.49,20.92,20.370001,20.92,20.027874,28400
46,2018-02-19,20.83,21.030001,20.82,20.98,20.085316,7400
47,2018-02-26,21.16,21.4,20.76,20.959999,20.066164,641200
48,2018-03-05,20.959999,21.52,20.959999,21.5,20.583138,4600
49,2018-03-12,21.469999,21.67,21.469999,21.65,20.72674,128700
50,2018-03-19,21.59,21.66,20.73,20.73,19.845978,2700
51,2018-03-26,20.67,20.93,20.67,20.93,20.107067,4600
52,2018-04-02,20.559999,20.959999,20.559999,20.889999,20.06864,1700
53,2018-04-09,20.700001,20.709999,20.43,20.639999,19.82847,8000
54,2018-04-16,20.639999,20.91,20.639999,20.91,20.087856,2000
55,2018-04-23,21.08,21.17,20.9,21.17,20.337633,4000
56,2018-04-30,21.09,21.09,20.719999,20.870001,20.049429,5800
57,2018-05-07,20.98,21.1,20.969999,21.059999,20.231953,7700
58,2018-05-14,21.040001,21.16,20.969999,21.16,20.328028,6200
59,2018-05-21,21.16,21.459999,21.16,21.4,20.558588,6800
60,2018-05-28,21.370001,21.49,21.27,21.42,20.577803,6100
61,2018-06-04,21.43,21.67,21.43,21.629999,20.779545,7600
62,2018-06-11,21.809999,22.129999,21.790001,22.129999,21.259888,4700
63,2018-06-18,22.139999,22.219999,22.030001,22.110001,21.240673,3400
64,2018-06-25,22.110001,22.110001,21.799999,21.799999,21.013786,1200
65,2018-07-02,21.73,21.870001,21.549999,21.82,21.033068,3300
66,2018-07-09,21.82,22.16,21.82,22.16,21.360809,1100
67,2018-07-16,22.08,22.41,22.059999,22.200001,21.399368,6200
68,2018-07-23,22.200001,22.290001,22.059999,22.27,21.466841,3700
69,2018-07-30,22.08,22.09,21.950001,22.09,21.293335,8500
70,2018-08-06,22.33,22.389999,22.33,22.35,21.543957,1800
71,2018-08-13,22.35,22.549999,22.17,22.5,21.688545,3200
72,2018-08-20,22.540001,22.540001,22.469999,22.48,21.66927,6800
73,2018-08-27,22.48,22.610001,22.43,22.610001,21.794579,2300
74,2018-09-03,22.610001,22.950001,22.610001,22.809999,21.987368,3200
