,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-08,21.120001,21.25,21.120001,21.17,17.974615,53300
1,2018-01-15,21.18,21.360001,21.09,21.290001,18.076513,71200
2,2018-01-22,21.290001,21.309999,21.200001,21.27,18.05953,64400
3,2018-01-29,21.290001,21.379999,21.290001,21.35,18.187336,24600
4,2018-02-05,21.370001,21.370001,20.99,21.07,17.948811,62000
5,2018-02-12,21.110001,21.26,21.1,21.26,18.110672,31500
6,2018-02-19,21.25,21.26,21.139999,21.139999,18.008448,38800
7,2018-02-26,21.18,21.24,21.09,21.18,18.102125,33600
8,2018-03-05,21.200001,21.200001,21.049999,21.17,18.093573,86200
9,2018-03-12,21.17,21.24,21.17,21.200001,18.119213,24400
10,2018-03-19,21.219999,21.219999,20.85,20.870001,17.837166,20600
11,2018-03-26,20.85,20.950001,20.75,20.940001,17.956684,13000
12,2018-04-02,20.940001,20.940001,20.68,20.690001,17.742308,185600
13,2018-04-09,20.66,20.9,20.66,20.9,17.922384,19600
14,2018-04-16,20.91,20.91,20.76,20.799999,17.83663,47700
15,2018-04-23,20.76,20.77,20.57,20.66,17.776257,49900
16,2018-04-30,20.700001,20.790001,20.610001,20.76,17.862299,40900
17,2018-05-07,20.790001,20.98,20.790001,20.98,18.051586,50400
18,2018-05-14,21.02,21.120001,20.950001,21.1,18.154839,41600
19,2018-05-21,21.120001,21.120001,20.860001,20.940001,18.017172,74000
20,2018-05-28,20.9,20.950001,20.73,20.799999,17.956287,73600
21,2018-06-04,20.809999,20.84,20.709999,20.76,17.921755,113500
22,2018-06-11,20.780001,20.860001,20.66,20.84,17.990818,52600
23,2018-06-18,20.83,20.85,20.719999,20.719999,17.887222,40600
24,2018-06-25,20.74,20.77,20.700001,20.719999,17.94762,34800
25,2018-07-02,20.76,20.860001,20.74,20.82,18.034239,46500
26,2018-07-09,20.790001,21.040001,20.790001,20.98,18.172829,36300
27,2018-07-16,20.99,21.02,20.950001,20.99,18.181496,53600
28,2018-07-23,20.9,20.969999,20.870001,20.92,18.120863,52600
29,2018-07-30,20.940001,20.99,20.92,20.98,18.233637,106300
30,2018-08-06,20.99,21.02,20.940001,21.02,18.268406,44400
31,2018-08-13,21.01,21.030001,20.950001,20.950001,18.207567,54300
32,2018-08-20,21.040001,21.040001,20.92,20.965,18.220604,29300
33,2018-08-27,20.959999,21.09,20.950001,21.07,18.372988,44800
34,2018-09-03,21.059999,21.059999,20.93,20.940001,18.259632,65900
35,2018-09-10,20.74,20.99,20.74,20.969999,18.285784,64300
36,2018-09-17,20.969999,20.99,20.83,20.959999,18.277063,452000
37,2018-09-24,20.93,20.99,20.889999,20.959999,18.3384,76800
38,2018-10-01,21.030001,21.24,21.0,21.120001,18.47839,89300
39,2018-10-08,21.17,21.200001,20.9,20.9,18.285904,263300
40,2018-10-15,20.77,21.030001,20.77,20.85,18.242161,77500
41,2018-10-22,20.860001,20.879999,20.389999,20.389999,17.839695,156200
42,2018-10-29,20.68,20.68,19.76,20.200001,17.733053,275300
43,2018-11-05,20.219999,20.360001,20.17,20.200001,17.733053,121300
44,2018-11-12,20.15,20.15,19.68,19.68,17.276556,55200
45,2018-11-19,19.700001,19.700001,18.75,18.75,16.460138,153900
46,2018-11-26,18.700001,18.870001,18.24,18.5,16.300436,251600
47,2018-12-03,18.700001,18.700001,17.35,17.799999,15.683661,187300
48,2018-12-10,17.799999,18.540001,17.59,17.99,15.851072,181500
49,2018-12-17,18.0,18.0,17.209999,17.24,15.190244,202100
