,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-07-18,20.040001,20.110001,20.040001,20.110001,18.983315,10100
1,2016-07-25,20.110001,20.110001,20.110001,20.110001,18.983315,0
2,2016-08-01,20.110001,20.110001,20.110001,20.110001,18.983315,0
3,2016-08-08,20.110001,20.110001,20.110001,20.110001,18.983315,0
4,2016-08-15,20.110001,20.16,20.110001,20.16,19.030508,400
5,2016-08-22,20.16,20.24,20.049999,20.049999,18.926674,900
6,2016-08-29,20.049999,20.049999,20.049999,20.049999,18.926674,0
7,2016-09-05,20.049999,20.049999,20.049999,20.049999,18.926674,0
8,2016-09-12,20.049999,20.049999,20.049999,20.049999,18.926674,0
9,2016-09-19,19.9,19.9,19.9,19.9,18.785076,100
10,2016-09-26,19.9,19.9,19.9,19.9,18.785076,0
11,2016-10-03,19.9,19.9,19.9,19.9,18.785076,0
12,2016-10-10,19.9,19.9,19.9,19.9,18.785076,0
13,2016-10-17,19.9,19.9,19.58,19.690001,18.586845,2300
14,2016-10-24,19.690001,19.690001,19.690001,19.690001,18.586845,0
15,2016-10-31,19.690001,19.690001,19.51,19.51,18.416925,1900
16,2016-11-07,19.51,20.200001,19.51,20.200001,19.068274,1000
17,2016-11-14,20.200001,20.389999,20.200001,20.389999,19.247625,3400
18,2016-11-21,20.389999,20.799999,20.389999,20.799999,19.634655,100
19,2016-11-28,20.799999,20.799999,20.799999,20.799999,19.634655,0
20,2016-12-05,20.440001,20.450001,20.389999,20.4,19.257069,500
21,2016-12-12,20.4,20.99,20.4,20.9,19.729053,1500
22,2016-12-19,21.040001,21.190001,21.040001,21.190001,20.00281,14600
23,2016-12-26,21.33,21.33,21.33,21.33,20.134962,300
24,2017-01-02,21.33,21.33,20.790001,20.950001,19.776249,9900
25,2017-01-09,20.879999,20.879999,20.73,20.73,19.568579,11900
26,2017-01-16,20.73,20.91,20.73,20.91,19.738491,200
27,2017-01-23,20.91,20.91,20.889999,20.9,19.729053,3900
28,2017-01-30,20.92,20.92,20.629999,20.68,19.521381,3600
29,2017-02-06,20.9,21.16,20.9,21.16,19.974485,6400
30,2017-02-13,21.219999,21.4,21.219999,21.4,20.20104,11600
31,2017-02-20,21.700001,21.700001,21.68,21.68,20.465351,300
32,2017-02-27,21.68,22.33,21.68,22.290001,21.04118,600
33,2017-03-06,22.209999,22.42,22.209999,22.389999,21.135574,2600
34,2017-03-13,22.379999,22.379999,22.34,22.34,21.088373,4400
35,2017-03-20,22.33,22.33,22.25,22.25,21.003414,300
36,2017-03-27,22.25,22.25,22.25,22.25,21.003414,0
37,2017-04-03,22.25,22.299999,22.17,22.299999,21.050617,1000
38,2017-04-10,22.299999,22.299999,21.91,21.91,20.682468,100
39,2017-04-17,21.91,22.209999,21.91,22.209999,20.96566,1600
40,2017-04-24,22.209999,22.209999,22.209999,22.209999,20.96566,0
41,2017-05-01,22.91,22.91,22.91,22.91,21.648859,100
42,2017-05-08,22.91,22.91,22.85,22.85,21.592159,700
43,2017-05-15,22.85,22.85,22.66,22.66,21.412617,200
44,2017-05-22,22.66,22.9,22.66,22.9,21.639412,500
45,2017-05-29,22.9,23.290001,22.9,23.290001,22.007942,100
46,2017-06-05,23.290001,23.290001,23.1,23.1,21.850342,5000
47,2017-06-12,23.1,23.1,22.879999,22.879999,21.642248,300
48,2017-06-19,22.950001,23.040001,22.950001,22.969999,21.727375,900
49,2017-06-26,22.969999,22.969999,22.42,22.42,21.207132,500
50,2017-07-03,22.42,22.42,22.42,22.42,21.228613,0
51,2017-07-10,22.42,22.43,22.299999,22.43,21.238081,400
52,2017-07-17,22.43,22.43,22.389999,22.389999,21.200209,500
53,2017-07-24,22.389999,22.389999,22.07,22.07,20.897213,500
54,2017-07-31,22.15,22.35,22.15,22.35,21.186152,7900
55,2017-08-07,22.35,22.35,22.27,22.27,21.110315,1200
56,2017-08-14,22.4,22.51,22.0,22.0,20.854374,3500
57,2017-08-21,22.0,22.15,22.0,22.08,20.930208,300
58,2017-08-28,22.0,22.299999,22.0,22.24,21.081871,4600
59,2017-09-04,22.200001,22.200001,21.969999,21.969999,20.849627,10700
60,2017-09-11,21.969999,21.969999,21.969999,21.969999,20.849627,0
61,2017-09-18,22.5,22.610001,22.48,22.5,21.352598,2400
62,2017-09-25,22.469999,22.66,22.469999,22.610001,21.456993,16400
63,2017-10-02,22.91,22.91,22.879999,22.879999,21.737259,800
64,2017-10-09,23.07,23.120001,23.07,23.120001,21.965273,200
65,2017-10-16,23.120001,23.629999,23.120001,23.629999,22.4498,1300
66,2017-10-23,23.690001,23.860001,23.629999,23.860001,22.66831,3000
67,2017-10-30,23.700001,23.860001,23.700001,23.85,22.658813,1100
68,2017-11-06,23.780001,23.940001,23.709999,23.709999,22.549425,2900
69,2017-11-13,23.870001,23.99,23.790001,23.790001,22.625517,1000
70,2017-11-20,23.790001,23.790001,23.790001,23.790001,22.625517,0
71,2017-11-27,24.15,24.700001,24.15,24.559999,23.357824,800
72,2017-12-04,24.559999,24.870001,24.559999,24.719999,23.534357,3500
73,2017-12-11,24.9,25.17,24.9,25.120001,23.915169,3000
74,2017-12-18,25.120001,25.25,25.120001,25.200001,23.991331,500
75,2017-12-25,25.200001,25.200001,25.200001,25.200001,23.991331,0
76,2018-01-01,24.9,25.200001,24.9,25.200001,24.015158,3400
77,2018-01-08,25.200001,25.58,25.200001,25.58,24.377291,18500
78,2018-01-15,25.58,26.16,25.58,25.969999,24.748955,3400
79,2018-01-22,25.969999,26.139999,25.969999,26.07,24.844252,600
80,2018-01-29,26.360001,26.360001,25.5,25.5,24.301052,12300
81,2018-02-05,25.280001,25.280001,23.65,24.41,23.288807,41900
82,2018-02-12,24.59,25.26,24.440001,25.26,24.099766,21100
83,2018-02-19,25.26,25.26,25.200001,25.26,24.099766,900
84,2018-02-26,25.66,25.709999,25.049999,25.09,23.937571,5900
85,2018-03-05,25.25,25.709999,25.200001,25.709999,24.557806,25000
86,2018-03-12,25.690001,25.74,25.549999,25.67,24.5196,8400
87,2018-03-19,25.41,25.41,23.92,23.92,22.848026,45500
88,2018-03-26,24.360001,24.51,24.120001,24.48,23.382929,6200
89,2018-04-02,23.9,24.57,23.860001,24.02,22.971916,15600
90,2018-04-09,24.02,24.139999,24.0,24.0,22.952791,1400
91,2018-04-16,24.32,24.469999,24.26,24.26,23.201445,1900
92,2018-04-23,24.48,24.530001,24.43,24.530001,23.459663,1200
93,2018-04-30,24.370001,24.370001,23.969999,24.32,23.287304,42400
94,2018-05-07,24.49,24.84,24.35,24.84,23.785225,13600
95,2018-05-14,24.84,24.9,24.77,24.9,23.842676,1100
96,2018-05-21,24.9,25.129999,24.9,25.129999,24.062908,800
97,2018-05-28,25.129999,25.129999,24.99,24.99,23.92886,6300
98,2018-06-04,24.99,25.610001,24.99,25.610001,24.551994,300
99,2018-06-11,26.25,26.25,25.74,26.0,24.925882,21700
100,2018-06-18,25.889999,25.950001,25.790001,25.790001,24.724556,3500
101,2018-06-25,25.790001,25.790001,25.34,25.34,24.29315,3500
