,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-04,19.858999,19.858999,19.74,19.74,19.74,3001
1,2019-03-11,19.83,20.139999,19.83,20.139999,20.139999,1065
2,2019-03-18,20.24,20.24,20.059999,20.08,20.08,3934
3,2019-03-25,19.969999,20.07,19.92,20.040001,20.040001,4800
4,2019-04-01,20.040001,20.41,20.040001,20.41,20.41,100
5,2019-04-08,20.41,20.42,20.4,20.42,20.42,600
6,2019-04-15,20.540001,20.540001,20.540001,20.540001,20.540001,100
7,2019-04-22,20.58,20.59,20.58,20.59,20.59,370
8,2019-04-29,20.59,20.82,20.59,20.82,20.82,6004
9,2019-05-06,20.82,20.82,20.120001,20.129999,20.129999,3614
10,2019-05-13,20.129999,20.290001,20.08,20.200001,20.200001,3670
11,2019-05-20,20.200001,20.200001,20.059999,20.059999,20.059999,700
12,2019-05-27,20.059999,20.139999,19.870001,19.870001,19.870001,413
13,2019-06-03,19.799999,20.290001,19.799999,20.290001,20.290001,3050
14,2019-06-10,20.379999,20.379999,20.379999,20.379999,20.379999,100
15,2019-06-17,20.379999,20.690001,20.379999,20.5,20.5,393
16,2019-06-24,20.4,20.4,20.4,20.4,20.4,100
17,2019-07-01,20.4,20.5,20.4,20.42,20.42,1100
18,2019-07-08,20.42,20.49,20.42,20.48,20.48,4184
19,2019-07-15,20.5,20.5,20.49,20.49,20.49,200
20,2019-07-22,20.57,20.620001,20.48,20.6,20.6,980
21,2019-07-29,20.6,20.610001,20.6,20.610001,20.610001,100
22,2019-08-05,20.610001,20.610001,19.870001,20.040001,20.040001,2385
23,2019-08-12,20.040001,20.040001,19.82,19.82,19.82,350
24,2019-08-19,20.129999,20.18,20.09,20.18,20.18,1863
25,2019-08-26,20.18,20.18,20.129999,20.129999,20.129999,223
26,2019-09-02,20.129999,20.24,20.129999,20.209999,20.209999,2100
27,2019-09-09,20.209999,20.879999,20.209999,20.879999,20.879999,5002
28,2019-09-16,20.879999,20.879999,20.68,20.68,20.68,100
29,2019-09-23,20.68,20.68,20.469999,20.52,20.52,5150
30,2019-09-30,20.52,20.52,20.309999,20.34,20.34,653
31,2019-10-07,20.32,20.440001,20.17,20.440001,20.440001,4513
32,2019-10-14,20.440001,20.559999,20.440001,20.5,20.5,1349
33,2019-10-21,20.58,20.58,20.469999,20.51,20.51,4019
34,2019-10-28,20.6,20.75,20.559999,20.66,20.66,3301
35,2019-11-04,20.66,21.110001,20.66,21.08,21.08,4993
36,2019-11-11,21.08,21.23,21.08,21.23,21.23,5823
37,2019-11-18,21.23,21.360001,21.209999,21.209999,21.209999,7346
38,2019-11-25,21.4,21.540001,21.34,21.34,21.34,8764
39,2019-12-02,21.41,21.43,21.049999,21.43,21.43,9898
40,2019-12-09,21.43,21.51,21.25,21.51,21.51,4443
41,2019-12-16,21.65,21.76,21.540001,21.76,21.76,8368
42,2019-12-23,21.82,21.83,21.75,21.75,21.75,8206
43,2019-12-30,21.68,21.68,21.35,21.48,21.48,8011
44,2020-01-06,21.379999,21.719999,21.360001,21.67,21.67,2252
45,2020-01-13,21.76,21.85,21.700001,21.85,21.85,9416
46,2020-01-20,22.08,22.190001,21.940001,21.940001,21.940001,13111
47,2020-01-27,22.129999,22.129999,21.58,21.58,21.58,9337
48,2020-02-03,21.889999,22.370001,21.809999,22.299999,22.299999,10394
49,2020-02-10,22.24,22.48,22.24,22.459999,22.459999,9499
50,2020-02-17,22.459999,22.469999,22.129999,22.17,22.17,9956
51,2020-02-24,21.620001,21.709999,20.09,20.32,20.32,12317
52,2020-03-02,20.629999,21.08,20.16,20.16,20.16,22323
