,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-09-24,20.0,20.0,19.903,19.910999,19.910999,0
1,2018-10-01,19.771999,19.771999,19.655001,19.655001,19.655001,0
2,2018-10-08,19.631001,19.631001,18.788,18.954,18.954,0
3,2018-10-15,18.829,19.205,18.829,19.098,19.098,0
4,2018-10-22,19.040001,19.040001,18.285,18.437,18.437,0
5,2018-10-29,18.473,19.086,18.473,19.007999,19.007999,0
6,2018-11-05,19.094,19.533001,19.094,19.511,19.511,0
7,2018-11-12,19.26,19.298,19.115,19.268,19.268,0
8,2018-11-19,19.028,19.028,18.826,18.844,18.844,0
9,2018-11-26,19.1,19.645,19.1,19.614,19.614,0
10,2018-12-03,19.65,19.65,18.74,18.74,18.74,0
11,2018-12-10,18.868999,18.882999,18.573,18.573,18.573,0
12,2018-12-17,18.188999,18.267,17.577,17.577,17.577,0
13,2018-12-24,17.172001,18.139,17.172001,18.030001,18.030001,0
14,2018-12-31,18.226,18.226,17.621,17.974001,17.974001,0
15,2019-01-07,18.028,18.339001,18.028,18.339001,18.339001,0
16,2019-01-14,18.254999,18.82,18.254999,18.82,18.82,0
17,2019-01-21,18.872,18.872,18.709999,18.790001,18.790001,0
18,2019-01-28,18.691999,18.874001,18.691999,18.874001,18.874001,0
19,2019-02-04,19.011,19.302,19.011,19.302,19.302,0
20,2019-02-11,19.385,19.799999,19.385,19.799999,19.799999,0
21,2019-02-18,19.792,19.792,19.655001,19.782,19.782,0
22,2019-02-25,19.743,19.966,19.691999,19.966,19.966,0
23,2019-03-04,19.971001,19.971001,19.777,19.777,19.777,0
24,2019-03-11,20.0,20.091,19.986,20.091,20.091,0
25,2019-03-18,20.172001,20.172001,19.976,20.0,20.0,251
26,2019-03-25,20.0,20.0,20.0,20.0,20.0,0
27,2019-04-01,20.0,20.0,20.0,20.0,20.0,0
28,2019-04-08,20.0,20.0,20.0,20.0,20.0,0
29,2019-04-15,20.0,20.75,20.0,20.75,20.75,300
30,2019-04-22,20.719999,20.719999,20.719999,20.719999,20.719999,100
31,2019-04-29,20.719999,21.0,20.719999,20.82,20.82,732
32,2019-05-06,20.82,20.82,20.719999,20.719999,20.719999,722
33,2019-05-13,20.719999,20.719999,20.719999,20.719999,20.719999,0
34,2019-05-20,20.719999,20.719999,20.719999,20.719999,20.719999,0
35,2019-05-27,20.719999,20.719999,19.969999,19.969999,19.969999,101
36,2019-06-03,19.969999,19.969999,19.969999,19.969999,19.969999,0
37,2019-06-10,19.969999,19.969999,19.969999,19.969999,19.969999,0
38,2019-06-17,19.969999,19.969999,19.969999,19.969999,19.969999,0
39,2019-06-24,19.969999,19.969999,19.969999,19.969999,19.969999,0
40,2019-07-01,19.969999,19.969999,19.969999,19.969999,19.969999,0
41,2019-07-08,19.969999,19.969999,19.969999,19.969999,19.969999,0
