,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-09-24,20.0,20.194,19.982,20.002001,20.002001,0
1,2018-10-01,20.0,20.0,20.0,20.0,20.0,100
2,2018-10-08,20.0,20.0,20.0,20.0,20.0,0
3,2018-10-15,20.0,20.0,19.440001,19.440001,19.440001,100
4,2018-10-22,19.440001,19.440001,18.58,19.440001,19.440001,2500
5,2018-10-29,19.440001,19.440001,18.950001,18.950001,18.950001,350
6,2018-11-05,18.950001,18.950001,18.950001,18.950001,18.950001,0
7,2018-11-12,18.950001,19.09,18.93,19.09,19.09,524
8,2018-11-19,19.09,19.09,18.540001,18.540001,18.540001,3200
9,2018-11-26,18.540001,19.27,18.540001,19.27,19.27,105
10,2018-12-03,19.27,19.49,19.27,19.49,19.49,256
11,2018-12-10,19.49,19.49,19.049999,19.049999,19.049999,150
12,2018-12-17,18.23,18.23,18.23,18.23,18.23,100
13,2018-12-24,18.23,18.23,18.23,18.23,18.23,0
14,2018-12-31,18.23,18.23,17.639999,17.639999,17.639999,777
15,2019-01-07,17.639999,18.110001,17.639999,18.110001,18.110001,200
16,2019-01-14,18.110001,18.110001,18.110001,18.110001,18.110001,0
17,2019-01-21,18.110001,18.110001,18.110001,18.110001,18.110001,0
18,2019-01-28,18.110001,18.629999,18.110001,18.629999,18.629999,300
19,2019-02-04,18.629999,18.91,18.629999,18.82,18.82,700
20,2019-02-11,19.030001,19.299999,19.030001,19.219999,19.219999,4246
21,2019-02-18,19.219999,19.4,19.219999,19.280001,19.280001,1600
22,2019-02-25,19.280001,19.4,19.280001,19.360001,19.360001,800
23,2019-03-04,19.610001,19.65,19.299999,19.299999,19.299999,2800
24,2019-03-11,19.299999,19.790001,19.299999,19.75,19.75,1000
25,2019-03-18,20.0,20.0,19.860001,19.860001,19.860001,2700
26,2019-03-25,19.85,20.01,19.799999,19.969999,19.969999,8000
27,2019-04-01,20.139999,20.469999,20.139999,20.469999,20.469999,600
28,2019-04-08,20.469999,20.5,20.299999,20.5,20.5,2454
29,2019-04-15,20.540001,20.549999,20.540001,20.549999,20.549999,300
30,2019-04-22,20.49,20.49,20.49,20.49,20.49,114
31,2019-04-29,20.49,20.93,20.49,20.91,20.91,2600
32,2019-05-06,20.91,20.91,20.25,20.25,20.25,794
33,2019-05-13,20.25,20.25,20.17,20.17,20.17,100
34,2019-05-20,20.17,20.32,20.17,20.32,20.32,200
35,2019-05-27,20.32,20.32,19.870001,19.93,19.93,4561
36,2019-06-03,19.59,19.59,19.59,19.59,19.59,400
37,2019-06-10,19.59,20.43,19.59,20.43,20.43,1200
38,2019-06-17,20.43,20.43,20.43,20.43,20.43,0
39,2019-06-24,20.43,20.43,20.370001,20.370001,20.370001,2467
40,2019-07-01,20.370001,20.84,20.370001,20.84,20.84,800
41,2019-07-08,20.84,20.84,20.809999,20.809999,20.809999,100
42,2019-07-15,20.809999,20.809999,20.809999,20.809999,20.809999,0
43,2019-07-22,20.809999,20.809999,20.809999,20.809999,20.809999,0
44,2019-07-29,20.809999,21.15,20.809999,21.15,21.15,260
45,2019-08-05,21.15,21.15,21.15,21.15,21.15,0
46,2019-08-12,21.15,21.15,20.18,20.18,20.18,1248
47,2019-08-19,20.18,20.75,20.18,20.27,20.27,2900
48,2019-08-26,20.27,20.6,20.27,20.6,20.6,382
49,2019-09-02,20.6,21.1,20.6,21.1,21.1,3300
50,2019-09-09,21.1,21.1,21.1,21.1,21.1,0
51,2019-09-16,21.1,21.1,21.1,21.1,21.1,0
52,2019-09-23,21.1,21.1,21.030001,21.030001,21.030001,271
53,2019-09-30,21.030001,21.030001,21.030001,21.030001,21.030001,0
54,2019-10-07,21.030001,21.030001,20.719999,20.719999,20.719999,1200
55,2019-10-14,20.719999,20.719999,20.719999,20.719999,20.719999,0
56,2019-10-21,20.719999,20.969999,20.719999,20.969999,20.969999,900
57,2019-10-28,21.17,21.49,21.17,21.49,21.49,5251
58,2019-11-04,21.49,21.74,21.49,21.74,21.74,1734
59,2019-11-11,21.74,21.92,21.74,21.92,21.92,1200
60,2019-11-18,21.92,21.92,21.92,21.92,21.92,0
61,2019-11-25,21.92,22.42,21.92,22.34,22.34,356
62,2019-12-02,22.34,22.34,21.959999,21.959999,21.959999,100
63,2019-12-09,22.18,22.370001,22.129999,22.370001,22.370001,2738
64,2019-12-16,22.51,22.549999,22.41,22.49,22.49,4470
65,2019-12-23,22.49,22.49,22.49,22.49,22.49,0
66,2019-12-30,22.49,22.49,22.379999,22.379999,22.379999,401
67,2020-01-06,22.379999,22.870001,22.379999,22.870001,22.870001,2435
68,2020-01-13,22.809999,23.059999,22.809999,23.059999,23.059999,2091
69,2020-01-20,23.059999,23.43,23.059999,23.26,23.26,2255
70,2020-01-27,22.889999,23.209999,22.889999,23.07,23.07,12741
71,2020-02-03,23.07,23.860001,23.07,23.860001,23.860001,693
72,2020-02-10,23.889999,24.17,23.889999,24.17,24.17,2807
73,2020-02-17,24.17,24.190001,23.799999,23.799999,23.799999,3563
74,2020-02-24,23.219999,23.219999,21.09,21.09,21.09,2977
75,2020-03-02,21.52,22.57,21.450001,22.08,22.08,2294
76,2020-03-09,20.790001,21.299999,19.459999,19.459999,19.459999,7112
77,2020-03-16,18.879999,19.17,18.879999,19.17,19.17,272
78,2020-03-23,18.48,19.870001,18.48,19.870001,19.870001,920
79,2020-03-30,20.0,20.0,20.0,20.0,20.0,108
80,2020-04-06,20.0,21.16,20.0,20.98,20.98,2463
81,2020-04-13,21.24,22.110001,21.120001,22.110001,22.110001,3750
82,2020-04-20,22.450001,22.450001,22.07,22.07,22.07,360
83,2020-04-27,22.07,22.16,22.07,22.16,22.16,200
84,2020-05-04,22.049999,22.58,22.049999,22.51,22.51,1955
