,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-02-06,10.01,10.06,9.94,9.96,6.954977,34900
1,2012-02-13,10.01,10.09,9.94,10.09,7.045752,9000
2,2012-02-20,10.14,10.28,10.13,10.26,7.164462,14200
3,2012-02-27,10.18,10.18,10.11,10.13,7.073685,6500
4,2012-03-05,10.13,10.13,9.92,10.07,7.031786,6300
5,2012-03-12,10.09,10.18,10.06,10.18,7.1086,4900
6,2012-03-19,10.18,10.18,10.08,10.1,7.052737,2000
7,2012-03-26,10.19,10.21,9.94,10.05,7.017821,5300
8,2012-04-02,10.05,10.05,9.9,9.9,6.913078,2600
9,2012-04-09,9.8,9.88,9.7,9.78,6.829283,8000
10,2012-04-16,9.78,9.87,9.78,9.87,6.892128,10100
11,2012-04-23,9.85,9.85,9.75,9.81,6.850232,5100
12,2012-04-30,9.81,9.92,9.58,9.58,6.689624,30900
13,2012-05-07,9.6,9.61,9.5,9.61,6.710574,6600
14,2012-05-14,9.61,9.61,9.32,9.32,6.508068,11200
15,2012-05-21,9.42,9.42,9.3,9.35,6.529017,63600
16,2012-05-28,9.35,9.45,9.11,9.12,6.368411,36000
17,2012-06-04,9.04,9.32,9.0,9.32,6.508068,8100
18,2012-06-11,9.32,9.32,9.14,9.14,6.382378,800
19,2012-06-18,9.18,9.31,9.18,9.31,6.501086,3100
20,2012-06-25,9.13,9.14,8.97,9.14,6.382378,1400
21,2012-07-02,9.27,9.33,9.27,9.33,6.5796,1500
22,2012-07-09,9.33,9.33,9.13,9.13,6.438558,9600
23,2012-07-16,9.13,9.17,9.13,9.17,6.466768,200
24,2012-07-23,9.22,9.3,9.15,9.3,6.558446,3100
25,2012-07-30,9.3,9.3,9.3,9.3,6.558446,0
26,2012-08-06,9.3,9.31,9.29,9.31,6.565497,2600
27,2012-08-13,9.31,9.42,9.31,9.42,6.643072,1300
28,2012-08-20,9.53,9.53,9.5,9.5,6.699488,700
29,2012-08-27,9.52,9.52,9.4,9.4,6.628964,6300
30,2012-09-03,9.38,9.46,9.35,9.46,6.671278,3600
31,2012-09-10,9.56,9.64,9.49,9.64,6.798214,4500
32,2012-09-17,9.64,9.67,9.64,9.65,6.805267,4600
33,2012-09-24,9.69,9.69,9.69,9.69,6.833478,500
34,2012-10-01,9.69,9.69,9.58,9.58,6.81782,600
35,2012-10-08,9.5,9.5,9.4,9.4,6.689718,1200
36,2012-10-15,9.4,9.6,9.4,9.6,6.832053,1000
37,2012-10-22,9.6,9.6,9.56,9.56,6.803586,800
38,2012-10-29,9.56,9.66,9.56,9.66,6.874754,6100
39,2012-11-05,9.66,9.66,9.45,9.45,6.725304,2500
40,2012-11-12,9.45,9.45,8.98,8.98,6.390815,800
41,2012-11-19,9.18,9.3,9.18,9.3,6.618553,4000
42,2012-11-26,9.3,9.3,9.26,9.26,6.590084,1000
43,2012-12-03,9.39,9.39,9.28,9.37,6.668369,800
44,2012-12-10,9.35,9.47,9.35,9.47,6.739535,1500
45,2012-12-17,9.47,9.57,9.47,9.57,6.810702,1500
46,2012-12-24,9.46,9.48,9.46,9.48,6.746654,800
