,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-02-24,19.620001,19.620001,19.620001,19.620001,19.522568,600
1,2020-02-25,19.66,19.66,19.219999,19.219999,19.124554,1200
2,2020-02-26,19.26,19.26,19.209999,19.209999,19.114605,500
3,2020-02-27,19.209999,19.209999,19.209999,19.209999,19.114605,0
4,2020-02-28,18.040001,18.48,17.959999,17.959999,17.870811,1000
5,2020-03-02,18.43,18.43,18.43,18.43,18.338478,100
6,2020-03-03,19.09,19.09,18.65,18.65,18.557386,400
7,2020-03-04,19.15,19.15,19.15,19.15,19.054901,1600
8,2020-03-05,19.15,19.15,19.15,19.15,19.054901,0
9,2020-03-06,18.41,18.41,18.41,18.41,18.318579,300
10,2020-03-09,18.41,18.41,17.0,17.0,16.915581,2700
11,2020-03-10,16.85,16.85,16.85,16.85,16.766325,200
12,2020-03-11,16.85,16.85,16.85,16.85,16.766325,0
13,2020-03-12,14.87,14.87,14.66,14.66,14.587199,7800
14,2020-03-13,14.66,14.66,14.66,14.66,14.587199,0
15,2020-03-16,14.66,14.66,14.66,14.66,14.587199,0
16,2020-03-17,14.66,14.66,14.66,14.66,14.587199,0
17,2020-03-18,14.0,14.0,14.0,14.0,13.930477,1500
18,2020-03-19,14.05,14.05,14.05,14.05,13.980228,100
19,2020-03-20,14.05,14.05,14.05,14.05,13.980228,0
20,2020-03-23,13.05,13.05,13.05,13.05,12.985195,2300
21,2020-03-24,13.05,13.05,13.05,13.05,12.985195,0
22,2020-03-25,14.93,15.05,14.93,15.05,14.989045,7000
23,2020-03-26,15.05,15.05,15.05,15.05,14.989045,0
24,2020-03-27,15.05,15.05,15.05,15.05,14.989045,0
25,2020-03-30,15.25,15.25,15.25,15.25,15.188235,300
26,2020-03-31,15.41,15.41,15.41,15.41,15.347587,400
27,2020-04-01,15.41,15.41,15.41,15.41,15.347587,0
28,2020-04-02,14.8,14.8,14.8,14.8,14.740058,600
29,2020-04-03,14.8,14.8,14.8,14.8,14.740058,0
