,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-08,20.450001,20.48,20.33,20.35,17.788651,3900
1,2018-01-15,20.35,20.440001,20.34,20.34,17.779909,3400
2,2018-01-22,20.370001,20.370001,20.33,20.33,17.771166,1000
3,2018-01-29,20.33,20.35,20.24,20.24,17.742249,1600
4,2018-02-05,20.24,20.24,20.1,20.120001,17.637051,2800
5,2018-02-12,20.120001,20.120001,19.99,19.99,17.523102,2500
6,2018-02-19,20.08,20.08,20.0,20.030001,17.558159,1500
7,2018-02-26,20.08,20.120001,20.049999,20.049999,17.625925,4000
8,2018-03-05,19.98,20.049999,19.940001,20.030001,17.608347,6000
9,2018-03-12,20.049999,20.049999,19.860001,19.860001,17.458897,1900
10,2018-03-19,19.940001,19.98,19.940001,19.98,17.564381,2900
11,2018-03-26,19.860001,19.860001,19.860001,19.860001,17.508848,100
12,2018-04-02,19.860001,19.950001,19.860001,19.950001,17.588198,100
13,2018-04-09,20.059999,20.059999,19.879999,20.049999,17.676353,12000
14,2018-04-16,20.049999,20.049999,19.889999,19.889999,17.535292,3500
15,2018-04-23,19.889999,19.889999,19.73,19.83,17.482397,1100
16,2018-04-30,19.83,19.83,19.74,19.74,17.453072,200
17,2018-05-07,19.74,19.780001,19.74,19.77,17.479591,5900
18,2018-05-14,19.84,19.84,19.84,19.84,17.541485,200
19,2018-05-21,19.84,19.84,19.65,19.65,17.373495,1200
20,2018-05-28,19.65,19.65,19.65,19.65,17.423832,0
21,2018-06-04,19.780001,19.780001,19.73,19.73,17.494764,2400
22,2018-06-11,19.73,19.83,19.73,19.83,17.583443,100
23,2018-06-18,19.85,19.85,19.75,19.75,17.512506,1100
24,2018-06-25,19.75,19.77,19.690001,19.690001,17.459299,3200
25,2018-07-02,19.690001,19.690001,19.6,19.6,17.429806,200
26,2018-07-09,19.6,19.700001,19.6,19.700001,17.518726,700
27,2018-07-16,19.719999,19.719999,19.719999,19.719999,17.536514,800
28,2018-07-23,19.719999,19.719999,19.559999,19.690001,17.509834,5500
29,2018-07-30,19.690001,19.690001,19.690001,19.690001,17.56101,0
30,2018-08-06,19.809999,19.809999,19.790001,19.790001,17.6502,3300
31,2018-08-13,19.790001,19.870001,19.790001,19.870001,17.721554,100
32,2018-08-20,19.870001,19.92,19.870001,19.92,17.76614,3400
33,2018-08-27,19.92,19.92,19.92,19.92,17.76614,0
34,2018-09-03,19.92,19.92,19.92,19.92,17.817125,0
35,2018-09-10,19.92,19.92,19.91,19.91,17.808184,200
36,2018-09-17,19.91,19.91,19.790001,19.790001,17.700848,2500
37,2018-09-24,19.790001,19.790001,19.790001,19.790001,17.751673,0
38,2018-10-01,19.790001,19.83,19.790001,19.82,17.778578,1500
39,2018-10-08,19.82,19.82,19.65,19.65,17.626087,1000
40,2018-10-15,19.65,19.65,19.65,19.65,17.626087,0
41,2018-10-22,19.6,19.6,19.469999,19.469999,17.464628,700
42,2018-10-29,19.469999,19.469999,19.469999,19.469999,17.515566,0
43,2018-11-05,19.469999,19.559999,19.469999,19.559999,17.596525,100
44,2018-11-12,19.559999,19.559999,19.27,19.27,17.335644,1800
45,2018-11-19,19.27,19.27,19.27,19.27,17.335644,0
46,2018-11-26,19.27,19.290001,19.25,19.290001,17.353634,1700
47,2018-12-03,19.299999,19.42,19.280001,19.280001,17.396093,57900
48,2018-12-10,19.26,19.35,19.26,19.35,17.459257,1700
49,2018-12-17,19.34,19.34,19.27,19.27,17.387074,300
50,2018-12-24,19.27,19.27,19.27,19.27,17.387074,0
51,2018-12-31,19.27,19.27,19.030001,19.030001,17.353334,100
52,2019-01-07,19.030001,19.27,19.030001,19.27,17.572187,1000
53,2019-01-14,19.27,19.27,19.27,19.27,17.572187,0
54,2019-01-21,19.27,19.27,19.27,19.27,17.572187,0
55,2019-01-28,19.370001,19.57,19.370001,19.57,17.898701,3200
56,2019-02-04,19.66,19.77,19.66,19.77,18.081614,4500
57,2019-02-11,19.73,19.74,19.67,19.74,18.054178,1800
58,2019-02-18,19.74,19.74,19.74,19.74,18.054178,0
59,2019-02-25,19.74,19.74,19.74,19.74,18.106462,500
60,2019-03-04,19.74,19.74,19.74,19.74,18.106462,0
61,2019-03-11,19.74,19.860001,19.74,19.85,18.207363,2500
62,2019-03-18,19.85,19.9,19.85,19.9,18.253223,900
63,2019-03-25,19.92,20.0,19.92,20.0,18.344946,17800
64,2019-04-01,20.030001,20.049999,20.030001,20.049999,18.443634,86900
65,2019-04-08,20.049999,20.16,20.049999,20.15,18.535625,2800
66,2019-04-15,20.15,20.15,20.15,20.15,18.535625,0
67,2019-04-22,20.15,20.200001,20.15,20.200001,18.581619,1100
68,2019-04-29,20.200001,20.200001,20.17,20.17,18.606527,100
69,2019-05-06,20.17,20.18,20.17,20.17,18.606527,112100
70,2019-05-13,20.129999,20.129999,20.129999,20.129999,18.569626,300
71,2019-05-20,20.129999,20.129999,20.129999,20.129999,18.569626,0
72,2019-05-27,20.07,20.129999,20.07,20.129999,18.622356,6900
73,2019-06-03,20.110001,20.209999,20.110001,20.209999,18.696365,2000
74,2019-06-10,20.209999,20.26,20.209999,20.26,18.742622,200
75,2019-06-17,20.25,20.450001,20.25,20.450001,18.918396,2600
76,2019-06-24,20.450001,20.51,20.450001,20.49,19.008614,1900
77,2019-07-01,20.51,20.58,20.49,20.49,19.008614,500
78,2019-07-08,20.610001,20.610001,20.549999,20.58,19.09211,3800
79,2019-07-15,20.59,20.620001,20.52,20.620001,19.129217,1000
80,2019-07-22,20.610001,20.690001,20.610001,20.690001,19.194155,800
81,2019-07-29,20.629999,20.719999,20.620001,20.719999,19.275085,4100
