,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-10-02,21.870001,22.549999,21.870001,22.059999,18.828608,27600
1,2017-10-09,22.059999,22.190001,22.0,22.120001,18.87982,57800
2,2017-10-16,22.290001,22.290001,22.139999,22.25,18.990772,66300
3,2017-10-23,22.32,22.32,22.08,22.08,18.845676,70400
4,2017-10-30,22.139999,22.18,22.0,22.18,18.99258,84000
5,2017-11-06,22.16,22.26,22.15,22.219999,19.026823,40800
6,2017-11-13,22.32,23.23,22.18,22.27,19.069639,46000
7,2017-11-20,22.27,22.4,22.27,22.34,19.129583,34700
8,2017-11-27,22.299999,22.35,22.18,22.209999,19.079725,91000
9,2017-12-04,22.219999,22.219999,21.85,21.950001,18.856375,65500
10,2017-12-11,22.0,22.0,21.85,21.9,18.813421,140600
11,2017-12-18,21.9,22.125,21.9,22.120001,19.002413,56700
12,2017-12-25,22.129999,22.129999,22.09,22.129999,19.011002,17800
13,2018-01-01,22.18,22.42,22.17,22.42,19.322996,31100
14,2018-01-08,22.52,22.66,22.4,22.42,19.322996,109800
15,2018-01-15,22.379999,22.530001,22.33,22.52,19.409185,148500
16,2018-01-22,22.540001,22.610001,22.459999,22.52,19.409185,206400
17,2018-01-29,22.59,22.73,22.540001,22.615,19.553551,61200
18,2018-02-05,22.59,22.639999,22.15,22.200001,19.194731,89400
19,2018-02-12,22.370001,22.52,22.16,22.415001,19.380623,160800
20,2018-02-19,22.27,22.51,22.27,22.33,19.307133,66200
21,2018-02-26,22.34,22.49,22.299999,22.32,19.360743,58400
22,2018-03-05,22.41,22.41,22.15,22.360001,19.395441,75300
23,2018-03-12,22.360001,22.42,22.33,22.360001,19.395441,77900
24,2018-03-19,22.32,22.35,21.940001,21.950001,19.039801,242400
25,2018-03-26,21.889999,22.09,21.85,22.059999,19.197872,74300
26,2018-04-02,22.02,22.049999,21.76,21.76,18.9368,55300
27,2018-04-09,21.85,22.0,21.799999,22.0,19.145662,52500
28,2018-04-16,22.02,22.02,21.91,21.959999,19.110847,65300
29,2018-04-23,21.9,21.92,21.67,21.77,18.945501,108300
30,2018-04-30,21.77,21.92,21.75,21.9,19.121523,85000
31,2018-05-07,21.91,22.15,21.9,22.139999,19.331076,70100
32,2018-05-14,22.139999,22.32,22.120001,22.32,19.488241,72400
33,2018-05-21,22.32,22.33,22.1,22.110001,19.304884,69000
34,2018-05-28,22.120001,22.120001,21.91,21.98,19.253733,49100
35,2018-06-04,21.93,22.030001,21.9,21.940001,19.218695,73000
36,2018-06-11,22.09,22.09,21.950001,22.030001,19.297535,89000
37,2018-06-18,21.98,22.040001,21.959999,22.030001,19.297535,81100
38,2018-06-25,21.93,22.01,21.860001,21.950001,19.227461,54000
39,2018-07-02,21.940001,21.950001,21.84,21.950001,19.290508,25900
40,2018-07-09,21.950001,22.16,21.91,22.16,19.475056,75200
41,2018-07-16,22.129999,22.200001,22.1,22.17,19.483847,55300
42,2018-07-23,22.16,22.18,22.01,22.120001,19.439905,43800
43,2018-07-30,22.18,22.18,22.059999,22.15,19.529755,29300
44,2018-08-06,22.139999,22.18,22.09,22.139999,19.520933,97900
45,2018-08-13,22.139999,22.27,22.1,22.200001,19.573833,94000
46,2018-08-20,22.200001,22.209999,22.139999,22.17,19.547388,37000
47,2018-08-27,22.110001,22.290001,22.110001,22.25,19.617928,48000
48,2018-09-03,22.25,22.26,22.08,22.16,19.602228,53700
49,2018-09-10,22.18,22.219999,22.1,22.200001,19.637619,134600
50,2018-09-17,22.190001,22.209999,22.02,22.049999,19.504929,69500
51,2018-09-24,22.049999,22.129999,21.950001,22.08,19.595072,52700
52,2018-10-01,22.1,22.190001,22.1,22.110001,19.621698,54300
53,2018-10-08,22.120001,22.15,21.93,21.940001,19.470831,111100
54,2018-10-15,21.809999,21.969999,21.709999,21.709999,19.266714,54400
55,2018-10-22,21.76,21.76,21.23,21.27,18.87623,64900
56,2018-10-29,21.58,21.58,20.57,21.07,18.761364,391200
57,2018-11-05,21.07,21.23,21.01,21.059999,18.75246,76200
