,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-04-30,20.0,20.0,20.0,20.0,19.94767,121400
1,2018-05-07,20.530001,20.639999,20.469999,20.549999,20.496225,4900
2,2018-05-14,20.549999,20.549999,20.4,20.4,20.346622,400
3,2018-05-21,20.4,20.639999,20.4,20.639999,20.585997,100
4,2018-05-28,20.9,21.18,20.469999,20.469999,20.416439,900
5,2018-06-04,21.440001,21.440001,20.92,21.26,21.204374,2400
6,2018-06-11,20.9,21.92,20.9,21.92,21.862646,5500
7,2018-06-18,22.059999,22.059999,21.4,21.4,21.344002,72200
8,2018-06-25,20.65,20.76,20.299999,20.299999,20.251522,4000
9,2018-07-02,20.299999,20.83,20.299999,20.83,20.780262,1400
10,2018-07-09,20.83,21.280001,20.83,21.280001,21.229185,3300
11,2018-07-16,21.280001,21.93,21.280001,21.290001,21.239161,1200
12,2018-07-23,21.290001,21.290001,21.23,21.23,21.179308,500
13,2018-07-30,20.469999,20.719999,20.450001,20.719999,20.670523,13700
14,2018-08-06,20.719999,20.77,20.719999,20.77,20.720406,100
15,2018-08-13,20.75,20.75,20.75,20.75,20.700449,200
16,2018-08-20,20.75,20.75,20.65,20.700001,20.650574,1100
17,2018-08-27,20.700001,21.48,20.700001,21.48,21.428705,900
18,2018-09-03,21.42,21.42,21.07,21.07,21.019682,1400
19,2018-09-10,21.07,21.07,20.85,21.049999,20.999731,5400
20,2018-09-17,21.049999,21.1,20.700001,21.1,21.049612,1300
21,2018-09-24,21.1,21.219999,21.1,21.219999,21.174402,600
22,2018-10-01,21.209999,21.209999,20.0,20.0,19.957027,1400
23,2018-10-08,20.0,20.0,18.84,19.09,19.048983,10800
24,2018-10-15,19.09,19.09,19.09,19.09,19.048983,0
25,2018-10-22,19.389999,19.389999,17.799999,17.9,17.861536,21600
26,2018-10-29,17.9,18.200001,17.9,18.059999,18.021193,700
27,2018-11-05,18.059999,19.120001,18.059999,18.799999,18.759605,1200
28,2018-11-12,18.25,18.700001,18.25,18.51,18.470226,1900
29,2018-11-19,18.43,18.43,18.4,18.4,18.360462,200
30,2018-11-26,18.4,18.4,18.33,18.33,18.290613,300
31,2018-12-03,19.290001,19.290001,19.290001,19.290001,19.248554,100
32,2018-12-10,19.290001,19.290001,18.530001,18.530001,18.490187,1300
33,2018-12-17,18.1,18.1,16.98,17.0,16.963474,18900
34,2018-12-24,17.0,17.23,16.83,17.23,17.192978,5300
35,2018-12-31,17.23,17.299999,16.85,16.85,16.818794,500
36,2019-01-07,16.85,16.85,16.85,16.85,16.818794,0
37,2019-01-14,16.85,19.030001,16.85,19.030001,18.994755,13000
38,2019-01-21,19.030001,19.139999,18.469999,19.139999,19.104551,2500
39,2019-01-28,18.91,19.67,18.91,19.67,19.63357,7500
40,2019-02-04,19.700001,19.700001,19.440001,19.440001,19.403996,900
41,2019-02-11,19.440001,20.299999,19.440001,20.15,20.11268,500
42,2019-02-18,20.219999,20.43,20.15,20.43,20.392162,2000
43,2019-02-25,20.43,20.799999,20.43,20.719999,20.681625,2100
44,2019-03-04,21.0,21.0,19.93,19.93,19.893089,1500
45,2019-03-11,19.93,20.49,19.93,20.49,20.452051,0
46,2019-03-18,20.84,21.219999,20.65,20.65,20.611755,6100
47,2019-03-25,20.49,20.76,20.41,20.57,20.531902,2800
48,2019-04-01,20.57,21.299999,20.57,21.299999,21.265755,200
49,2019-04-08,21.299999,21.299999,21.299999,21.299999,21.265755,0
50,2019-04-15,21.299999,21.950001,21.299999,21.639999,21.605211,5400
51,2019-04-22,21.639999,21.940001,21.639999,21.719999,21.68508,5400
52,2019-04-29,21.549999,22.33,21.549999,22.33,22.294102,95100
53,2019-05-06,22.33,22.33,20.76,20.99,20.956257,2300
54,2019-05-13,20.99,20.99,20.91,20.91,20.876385,2600
55,2019-05-20,20.51,20.51,20.0,20.1,20.067688,700
56,2019-05-27,20.1,20.1,20.1,20.1,20.067688,0
57,2019-06-03,19.440001,20.120001,19.440001,20.120001,20.087658,12800
58,2019-06-10,20.6,20.6,20.32,20.32,20.287336,500
59,2019-06-17,20.32,20.959999,20.32,20.959999,20.926302,400
60,2019-06-24,20.959999,21.0,20.77,20.84,20.806499,1400
61,2019-07-01,20.84,21.48,20.84,21.43,21.400696,2200
62,2019-07-08,21.25,21.969999,21.24,21.969999,21.93996,700
63,2019-07-15,21.969999,21.969999,21.34,21.450001,21.420671,1500
64,2019-07-22,21.4,22.32,21.4,21.91,21.880039,2300
