,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-07-17,9.61,9.61,9.61,9.61,9.61,0
1,2017-07-24,9.61,9.61,9.6,9.6,9.6,0
2,2017-07-31,9.61,9.65,9.6,9.65,9.65,0
3,2017-08-07,9.66,9.66,9.47,9.47,9.47,0
4,2017-08-14,9.55,9.59,9.49,9.49,9.49,0
5,2017-08-21,9.47,9.51,9.47,9.49,9.49,0
6,2017-08-28,9.47,9.53,9.4,9.53,9.53,0
7,2017-09-04,9.46,9.61,9.46,9.61,9.61,0
8,2017-09-11,9.73,9.75,9.7,9.7,9.7,0
9,2017-09-18,9.73,9.75,9.71,9.75,9.75,0
10,2017-09-25,9.7,9.74,9.65,9.74,9.74,0
11,2017-10-02,9.8,9.82,9.78,9.78,9.78,0
12,2017-10-09,9.86,9.9,9.86,9.9,9.9,0
13,2017-10-16,9.89,9.91,9.85,9.85,9.85,0
14,2017-10-23,9.85,9.99,9.85,9.99,9.99,0
15,2017-10-30,9.98,10.03,9.98,10.03,10.03,0
16,2017-11-06,10.0,10.0,9.82,9.82,9.82,0
17,2017-11-13,9.79,9.84,9.77,9.83,9.83,0
18,2017-11-20,9.83,9.96,9.83,9.95,9.95,0
19,2017-11-27,9.87,9.93,9.74,9.74,9.74,0
20,2017-12-04,9.78,9.87,9.78,9.87,9.87,0
21,2017-12-11,9.85,9.89,9.82,9.87,9.87,0
22,2017-12-18,9.99,9.99,9.85,9.88,9.88,0
23,2017-12-25,9.89,9.89,9.78,9.78,9.78,0
24,2018-01-01,9.79,10.04,9.79,10.04,10.04,0
25,2018-01-08,10.02,10.08,10.02,10.08,10.08,0
26,2018-01-15,10.07,10.23,10.05,10.23,10.23,0
27,2018-01-22,10.23,10.24,10.12,10.23,10.23,0
28,2018-01-29,10.18,10.18,9.87,9.87,9.87,0
29,2018-02-05,9.62,9.62,9.27,9.27,9.27,0
30,2018-02-12,9.39,9.65,9.31,9.65,9.65,0
31,2018-02-19,9.59,9.67,9.58,9.67,9.67,0
32,2018-02-26,9.72,9.72,9.28,9.28,9.28,0
33,2018-03-05,9.37,9.56,9.37,9.56,9.56,0
34,2018-03-12,9.54,9.55,9.43,9.55,9.55,0
35,2018-03-19,9.43,9.49,9.22,9.22,9.22,0
36,2018-03-26,9.23,9.41,9.23,9.41,9.41,0
37,2018-04-02,9.37,9.57,9.36,9.52,9.52,0
38,2018-04-09,9.55,9.68,9.55,9.66,9.66,0
39,2018-04-16,9.66,9.82,9.66,9.75,9.75,0
40,2018-04-23,9.77,9.85,9.71,9.85,9.85,0
41,2018-04-30,9.81,9.83,9.77,9.82,9.82,0
42,2018-05-07,9.89,9.89,9.84,9.86,9.86,0
43,2018-05-14,9.86,9.92,9.85,9.9,9.9,0
44,2018-05-21,9.97,9.97,9.86,9.87,9.87,0
45,2018-05-28,9.86,9.86,9.66,9.74,9.74,0
46,2018-06-04,9.77,9.77,9.7,9.74,9.74,0
47,2018-06-11,9.78,9.87,9.75,9.83,9.83,0
48,2018-06-18,9.71,9.71,9.53,9.6,9.6,0
49,2018-06-25,9.39,9.44,9.38,9.44,9.44,0
50,2018-07-02,9.39,9.49,9.39,9.49,9.49,0
51,2018-07-09,9.54,9.61,9.46,9.61,9.61,0
52,2018-07-16,9.6,9.71,9.6,9.66,9.66,0
53,2018-07-23,9.64,9.78,9.64,9.76,9.76,0
54,2018-07-30,9.71,9.71,9.62,9.65,9.65,0
