,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-28,29.73,29.860001,29.719999,29.860001,29.011835,9300
1,2020-01-29,29.99,29.99,29.93,29.93,29.079845,4200
2,2020-01-30,29.799999,29.82,29.77,29.82,28.972967,8000
3,2020-01-31,29.82,29.82,29.82,29.82,28.972967,0
4,2020-02-03,29.58,29.780001,29.559999,29.780001,28.934105,9200
5,2020-02-04,30.09,30.09,30.01,30.01,29.157572,1000
6,2020-02-05,30.6,30.639999,30.6,30.639999,29.769676,8100
7,2020-02-06,30.719999,30.73,30.65,30.65,29.779392,8000
8,2020-02-07,30.459999,30.459999,30.43,30.43,29.565643,500
9,2020-02-10,30.43,30.43,30.43,30.43,29.565643,0
10,2020-02-11,30.549999,30.65,30.549999,30.59,29.721096,5100
11,2020-02-12,30.59,30.59,30.59,30.59,29.721096,0
12,2020-02-13,30.389999,30.51,30.389999,30.51,29.64337,10100
13,2020-02-14,30.43,30.43,30.360001,30.360001,29.497631,500
14,2020-02-18,30.34,30.34,30.34,30.34,29.478199,700
15,2020-02-19,30.33,30.33,30.33,30.33,29.468481,200
16,2020-02-20,30.219999,30.23,30.219999,30.23,29.371323,8000
17,2020-02-21,30.23,30.23,30.23,30.23,29.371323,0
18,2020-02-24,29.1,29.15,29.030001,29.129999,28.302567,10900
19,2020-02-25,29.07,29.07,28.549999,28.549999,27.739042,8300
20,2020-02-26,28.93,28.940001,28.700001,28.700001,27.884781,5100
21,2020-02-27,28.309999,28.4,28.110001,28.110001,27.311543,9800
22,2020-02-28,27.620001,27.67,27.370001,27.459999,26.680004,12300
23,2020-03-02,27.82,27.98,27.75,27.98,27.185234,12300
24,2020-03-03,28.09,28.35,27.709999,28.09,27.29211,17800
25,2020-03-04,28.59,28.719999,28.58,28.719999,27.904215,16000
26,2020-03-05,28.190001,28.190001,27.879999,27.879999,27.088072,9600
27,2020-03-06,27.51,30.049999,27.41,27.41,26.631426,17100
28,2020-03-09,26.43,26.549999,26.01,26.01,25.271189,30100
29,2020-03-10,27.01,27.059999,26.450001,27.01,26.242786,17100
30,2020-03-11,26.33,26.33,25.799999,25.860001,25.125454,14100
31,2020-03-12,23.790001,23.790001,23.35,23.360001,22.696463,22700
32,2020-03-13,24.040001,24.200001,23.5,24.200001,23.512606,11100
33,2020-03-16,22.5,22.5,22.1,22.139999,21.511118,13100
34,2020-03-17,22.469999,23.68,22.469999,23.639999,22.96851,4100
35,2020-03-18,22.360001,22.360001,22.360001,22.360001,21.724869,100
36,2020-03-19,23.280001,23.280001,23.280001,23.280001,22.618738,100
37,2020-03-20,23.5,23.5,23.389999,23.41,22.745043,4100
38,2020-03-23,22.52,22.52,22.52,22.52,21.880325,100
39,2020-03-24,22.52,22.52,22.52,22.52,21.880325,0
40,2020-03-25,24.48,24.58,24.459999,24.459999,23.765219,10300
41,2020-03-26,24.459999,24.459999,24.459999,24.459999,23.765219,0
42,2020-03-27,24.459999,24.459999,24.459999,24.459999,23.765219,0
43,2020-03-30,24.700001,24.73,24.700001,24.719999,24.017834,4000
44,2020-03-31,24.719999,24.719999,24.719999,24.719999,24.017834,0
45,2020-04-01,24.34,24.34,24.219999,24.219999,23.532036,2500
46,2020-04-02,24.1,24.1,24.1,24.1,23.415445,700
47,2020-04-03,24.1,24.1,24.1,24.1,23.415445,0
48,2020-04-06,24.48,24.48,24.48,24.48,23.784649,100
49,2020-04-07,24.48,24.48,24.48,24.48,23.784649,0
50,2020-04-08,24.48,24.48,24.48,24.48,23.784649,0
51,2020-04-09,25.34,25.530001,25.34,25.530001,24.804827,5200
52,2020-04-13,25.530001,25.530001,25.530001,25.530001,24.804827,0
53,2020-04-14,25.41,25.59,25.389999,25.59,24.863121,2300
54,2020-04-15,25.59,25.59,25.59,25.59,24.863121,0
55,2020-04-16,25.219999,25.219999,25.219999,25.219999,24.50363,100
56,2020-04-17,25.219999,25.219999,25.219999,25.219999,24.50363,0
57,2020-04-20,25.690001,25.690001,25.690001,25.690001,24.960281,200
58,2020-04-21,25.120001,25.24,25.120001,25.24,24.523062,600
59,2020-04-22,25.24,25.24,25.24,25.24,24.523062,0
60,2020-04-23,25.25,25.25,25.25,25.25,24.53278,200
61,2020-04-24,25.25,25.25,25.25,25.25,24.53278,0
62,2020-04-27,25.73,25.74,25.719999,25.74,25.00886,6500
63,2020-04-28,26.0,26.0,26.0,26.0,25.261475,1300
64,2020-04-29,26.34,26.34,26.34,26.34,25.591818,100
65,2020-04-30,26.34,26.34,26.34,26.34,25.591818,0
66,2020-05-01,25.700001,25.700001,25.52,25.52,24.795111,2900
67,2020-05-04,25.5,25.5,25.459999,25.48,24.756247,6000
68,2020-05-05,25.68,25.68,25.68,25.68,24.950565,100
69,2020-05-06,25.700001,25.700001,25.700001,25.700001,24.969995,200
70,2020-05-07,25.75,25.75,25.75,25.75,25.018578,500
71,2020-05-08,25.75,25.75,25.75,25.75,25.018578,0
72,2020-05-11,25.75,25.75,25.75,25.75,25.018578,0
73,2020-05-12,25.75,25.75,25.75,25.75,25.018578,0
74,2020-05-13,25.75,25.75,25.75,25.75,25.018578,0
75,2020-05-14,25.23,25.23,25.219999,25.219999,24.50363,2000
76,2020-05-15,25.219999,25.219999,25.219999,25.219999,24.50363,0
77,2020-05-19,25.219999,25.219999,25.219999,25.219999,24.50363,0
78,2020-05-20,26.290001,26.299999,26.290001,26.299999,25.552952,2000
79,2020-05-21,26.219999,26.219999,26.219999,26.219999,25.475225,100
80,2020-05-22,26.049999,26.18,26.049999,26.18,25.436363,1100
81,2020-05-25,26.18,26.18,26.18,26.18,25.436363,0
82,2020-05-26,26.77,26.77,26.77,26.77,26.009604,100
83,2020-05-27,26.77,26.77,26.77,26.77,26.009604,0
84,2020-05-28,27.26,27.26,27.26,27.26,26.485685,1000
85,2020-05-29,27.26,27.26,27.26,27.26,26.485685,0
86,2020-06-01,27.030001,27.030001,27.030001,27.030001,26.262218,900
87,2020-06-02,27.030001,27.030001,27.030001,27.030001,26.262218,0
88,2020-06-03,27.73,27.84,27.719999,27.84,27.04921,10200
89,2020-06-04,27.84,27.84,27.84,27.84,27.04921,0
90,2020-06-05,27.84,27.84,27.84,27.84,27.04921,0
91,2020-06-08,28.0,28.059999,27.98,28.059999,27.262962,6700
92,2020-06-09,27.969999,28.02,27.969999,28.02,27.224098,200
93,2020-06-10,27.959999,27.959999,27.959999,27.959999,27.1658,500
94,2020-06-11,27.190001,27.190001,26.76,26.76,25.999887,9000
95,2020-06-12,27.4,27.4,27.1,27.1,26.330231,1100
96,2020-06-15,27.120001,27.120001,27.110001,27.110001,26.339949,300
97,2020-06-16,27.67,27.67,27.67,27.67,26.884039,100
98,2020-06-17,27.879999,27.879999,27.879999,27.879999,27.088072,200
99,2020-06-18,27.879999,27.879999,27.879999,27.879999,27.088072,100
100,2020-06-19,27.82,27.82,27.82,27.82,27.029778,100
101,2020-06-22,27.85,27.85,27.85,27.85,27.058926,100
102,2020-06-23,27.85,27.85,27.85,27.85,27.058926,0
103,2020-06-24,27.370001,27.540001,27.370001,27.540001,26.757732,1100
104,2020-06-25,27.389999,27.76,27.389999,27.76,26.971481,300
105,2020-06-26,27.610001,27.620001,27.280001,27.280001,26.707153,4200
106,2020-06-29,27.469999,27.6,27.469999,27.6,27.020433,400
107,2020-06-30,27.49,27.49,27.49,27.49,26.912745,100
