,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-22,30.25,30.389999,30.219999,30.389999,29.800314,2900
1,2020-01-23,30.719999,30.719999,30.23,30.27,29.682644,900
2,2020-01-24,30.26,30.26,30.15,30.15,29.564974,200
3,2020-01-27,30.139999,30.139999,29.84,29.84,29.260988,1100
4,2020-01-28,29.860001,29.860001,29.860001,29.860001,29.2806,200
5,2020-01-29,29.860001,29.860001,29.860001,29.860001,29.2806,0
6,2020-01-30,30.129999,30.129999,30.0,30.0,29.417883,800
7,2020-01-31,29.74,29.790001,29.74,29.790001,29.21196,300
8,2020-02-03,30.040001,30.120001,30.040001,30.120001,29.535555,500
9,2020-02-04,30.389999,30.559999,30.389999,30.559999,29.967016,1200
10,2020-02-05,30.99,30.99,30.75,30.82,30.22197,1300
11,2020-02-06,30.82,30.82,30.82,30.82,30.22197,0
12,2020-02-07,30.82,30.82,30.82,30.82,30.22197,0
13,2020-02-10,30.82,30.82,30.82,30.82,30.22197,0
14,2020-02-11,30.82,31.08,30.82,31.08,30.476927,2400
15,2020-02-12,31.0,31.0,31.0,31.0,30.398479,100
16,2020-02-13,30.92,31.02,30.92,31.02,30.418093,300
17,2020-02-14,31.040001,31.040001,30.969999,30.969999,30.369059,200
18,2020-02-18,31.129999,31.129999,31.0,31.0,30.398479,700
19,2020-02-19,31.16,31.16,31.08,31.08,30.476927,1100
20,2020-02-20,30.940001,30.940001,30.940001,30.940001,30.339643,400
21,2020-02-21,30.709999,30.709999,30.709999,30.709999,30.114105,100
22,2020-02-24,29.940001,29.959999,29.76,29.950001,29.368855,2100
23,2020-02-25,29.559999,29.559999,29.0,29.17,28.603987,4900
24,2020-02-26,29.469999,29.469999,29.049999,29.09,28.525539,800
25,2020-02-27,28.719999,28.83,28.719999,28.83,28.270588,1100
26,2020-02-28,27.459999,27.76,27.42,27.42,26.887945,1100
27,2020-03-02,28.17,28.17,27.83,28.08,27.535137,500
28,2020-03-03,28.5,28.83,28.16,28.25,27.701839,24100
29,2020-03-04,28.610001,29.07,28.610001,29.07,28.505926,2700
30,2020-03-05,28.68,28.68,28.200001,28.23,27.682226,1700
31,2020-03-06,27.77,27.77,27.49,27.67,27.133093,1400
32,2020-03-09,27.0,27.0,26.309999,26.379999,25.868124,4600
33,2020-03-10,27.049999,27.32,27.049999,27.32,26.789883,6200
34,2020-03-11,26.709999,26.709999,25.950001,26.24,25.730841,12900
35,2020-03-12,24.0,24.290001,23.879999,23.879999,23.416634,12300
36,2020-03-13,24.83,24.83,24.83,24.83,24.3482,200
37,2020-03-16,23.85,23.85,23.85,23.85,23.387218,500
38,2020-03-17,23.389999,23.389999,23.389999,23.389999,22.936142,1100
39,2020-03-18,23.389999,23.389999,23.389999,23.389999,22.936142,0
40,2020-03-19,23.799999,24.219999,23.799999,24.219999,23.750038,10600
41,2020-03-20,24.219999,24.219999,24.219999,24.219999,23.750038,0
42,2020-03-23,22.41,22.41,22.41,22.41,21.975157,100
43,2020-03-24,24.0,24.43,24.0,24.42,23.946157,4100
44,2020-03-25,24.76,24.76,24.57,24.58,24.103052,15000
45,2020-03-26,25.27,25.299999,25.27,25.299999,24.80908,3000
46,2020-03-27,25.299999,25.299999,25.299999,25.299999,24.80908,0
47,2020-03-30,25.389999,25.5,25.370001,25.5,25.005199,8200
48,2020-03-31,25.5,25.5,25.5,25.5,25.005199,200
49,2020-04-01,25.040001,25.040001,25.040001,25.040001,24.554127,1000
50,2020-04-02,25.040001,25.040001,25.040001,25.040001,24.554127,0
51,2020-04-03,24.219999,24.219999,24.219999,24.219999,23.750038,100
52,2020-04-06,25.35,25.35,25.35,25.35,24.85811,100
53,2020-04-07,25.959999,26.309999,25.76,25.76,25.260157,7100
54,2020-04-08,25.76,25.76,25.76,25.76,25.260157,0
55,2020-04-09,25.76,25.76,25.76,25.76,25.260157,0
56,2020-04-13,27.0,27.0,26.219999,26.219999,25.711229,400
57,2020-04-14,26.219999,26.219999,26.219999,26.219999,25.711229,0
58,2020-04-15,26.219999,26.219999,26.219999,26.219999,25.711229,0
59,2020-04-16,26.68,26.68,26.68,26.68,26.162304,100
60,2020-04-17,26.68,26.68,26.68,26.68,26.162304,0
61,2020-04-20,27.209999,27.209999,27.209999,27.209999,26.682018,100
62,2020-04-21,27.209999,27.209999,27.209999,27.209999,26.682018,0
63,2020-04-22,27.209999,27.209999,27.209999,27.209999,26.682018,0
64,2020-04-23,27.209999,27.209999,27.209999,27.209999,26.682018,0
65,2020-04-24,27.209999,27.209999,27.209999,27.209999,26.682018,0
66,2020-04-27,27.209999,27.209999,27.209999,27.209999,26.682018,0
67,2020-04-28,27.379999,27.379999,27.360001,27.360001,26.829109,1900
68,2020-04-29,27.360001,27.360001,27.360001,27.360001,26.829109,0
69,2020-04-30,27.35,27.35,27.35,27.35,26.819304,200
70,2020-05-01,27.09,27.09,27.09,27.09,26.564346,100
71,2020-05-04,26.969999,26.969999,26.969999,26.969999,26.446676,100
72,2020-05-05,27.49,27.49,27.49,27.49,26.956587,200
73,2020-05-06,27.51,27.51,27.51,27.51,26.976198,1500
74,2020-05-07,27.51,27.51,27.51,27.51,26.976198,0
75,2020-05-08,27.51,27.51,27.51,27.51,26.976198,0
76,2020-05-11,27.84,27.84,27.84,27.84,27.299795,300
77,2020-05-12,27.84,27.84,27.84,27.84,27.299795,0
78,2020-05-13,27.469999,27.469999,27.469999,27.469999,26.936972,100
79,2020-05-14,27.469999,27.469999,27.469999,27.469999,26.936972,0
80,2020-05-15,27.120001,27.129999,27.120001,27.129999,26.603569,500
81,2020-05-19,27.129999,27.129999,27.129999,27.129999,26.603569,0
82,2020-05-20,27.129999,27.129999,27.129999,27.129999,26.603569,0
83,2020-05-21,27.129999,27.129999,27.129999,27.129999,26.603569,0
84,2020-05-22,27.959999,28.030001,27.959999,28.030001,27.486109,6900
85,2020-05-25,28.030001,28.030001,28.030001,28.030001,27.486109,0
86,2020-05-26,28.030001,28.030001,28.030001,28.030001,27.486109,0
87,2020-05-27,28.690001,28.690001,28.209999,28.209999,27.662615,200
88,2020-05-28,28.780001,28.780001,28.780001,28.780001,28.221556,2500
89,2020-05-29,28.780001,28.780001,28.780001,28.780001,28.221556,0
90,2020-06-01,28.780001,28.780001,28.780001,28.780001,28.221556,0
91,2020-06-02,28.4,28.4,28.4,28.4,27.848928,100
92,2020-06-03,28.85,28.85,28.85,28.85,28.290195,300
93,2020-06-04,28.85,28.85,28.85,28.85,28.290195,0
94,2020-06-05,28.85,28.85,28.85,28.85,28.290195,0
95,2020-06-08,28.85,28.85,28.85,28.85,28.290195,0
96,2020-06-09,29.219999,29.219999,29.219999,29.219999,28.653017,200
97,2020-06-10,29.219999,29.219999,29.219999,29.219999,28.653017,0
98,2020-06-11,28.07,28.07,28.07,28.07,27.525333,100
99,2020-06-12,28.07,28.07,28.07,28.07,27.525333,0
100,2020-06-15,28.07,28.07,28.07,28.07,27.525333,100
101,2020-06-16,28.07,28.07,28.07,28.07,27.525333,0
102,2020-06-17,28.93,29.07,28.93,29.07,28.505926,300
103,2020-06-18,28.879999,28.879999,28.879999,28.879999,28.319614,100
104,2020-06-19,29.120001,29.120001,29.120001,29.120001,28.554958,100
105,2020-06-22,29.120001,29.120001,29.120001,29.120001,28.554958,0
106,2020-06-23,29.059999,29.059999,29.059999,29.059999,28.496124,200
107,2020-06-24,29.059999,29.059999,29.059999,29.059999,28.496124,0
108,2020-06-25,28.5,28.5,28.35,28.35,27.7999,500
109,2020-06-26,28.35,28.35,28.35,28.35,27.947771,0
110,2020-06-29,28.35,28.35,28.35,28.35,27.947771,0
111,2020-06-30,28.35,28.35,28.35,28.35,27.947771,0
112,2020-07-02,28.35,28.35,28.35,28.35,27.947771,0
113,2020-07-03,28.35,28.35,28.35,28.35,27.947771,0
114,2020-07-06,28.35,28.35,28.35,28.35,27.947771,0
115,2020-07-07,28.35,28.35,28.35,28.35,27.947771,0
116,2020-07-08,29.290001,29.290001,29.290001,29.290001,28.874434,200
117,2020-07-09,29.059999,29.059999,29.059999,29.059999,28.647696,600
118,2020-07-10,29.25,29.25,29.25,29.25,28.835001,100
119,2020-07-13,29.25,29.25,29.25,29.25,28.835001,0
120,2020-07-14,29.459999,29.459999,29.459999,29.459999,29.042023,100
121,2020-07-15,29.75,29.799999,29.75,29.799999,29.377197,2200
122,2020-07-16,29.68,29.68,29.68,29.68,29.2589,300
123,2020-07-17,29.68,29.68,29.68,29.68,29.2589,0
124,2020-07-20,29.83,29.83,29.83,29.83,29.406773,300
125,2020-07-21,29.83,29.83,29.83,29.83,29.406773,0
126,2020-07-22,29.83,29.83,29.83,29.83,29.406773,0
127,2020-07-23,29.5,29.5,29.5,29.5,29.081453,300
128,2020-07-24,29.5,29.5,29.5,29.5,29.081453,0
129,2020-07-27,29.5,29.5,29.5,29.5,29.081453,0
130,2020-07-28,29.5,29.5,29.5,29.5,29.081453,0
131,2020-07-29,29.5,29.67,29.5,29.67,29.249041,1400
132,2020-07-30,29.620001,29.65,29.620001,29.65,29.229326,1300
133,2020-07-31,29.09,29.09,29.0,29.0,28.588549,3900
134,2020-08-04,29.84,29.84,29.84,29.84,29.416632,200
135,2020-08-05,29.84,29.84,29.84,29.84,29.416632,0
136,2020-08-06,29.84,29.84,29.84,29.84,29.416632,0
137,2020-08-07,29.84,29.84,29.84,29.84,29.416632,0
138,2020-08-10,29.92,29.92,29.92,29.92,29.495495,100
139,2020-08-11,29.92,29.92,29.92,29.92,29.495495,0
140,2020-08-12,29.92,29.92,29.92,29.92,29.495495,0
141,2020-08-13,29.92,29.92,29.92,29.92,29.495495,0
142,2020-08-14,29.98,29.98,29.98,29.98,29.554644,500
143,2020-08-17,29.83,29.83,29.83,29.83,29.406773,300
144,2020-08-18,29.889999,29.889999,29.889999,29.889999,29.465919,200
145,2020-08-19,30.1,30.120001,30.1,30.120001,29.692657,1900
146,2020-08-20,29.959999,30.049999,29.959999,30.01,29.584217,2000
147,2020-08-21,29.950001,29.950001,29.950001,29.950001,29.52507,100
148,2020-08-24,29.950001,29.950001,29.950001,29.950001,29.52507,0
149,2020-08-25,29.950001,29.950001,29.950001,29.950001,29.52507,0
150,2020-08-26,30.5,30.5,30.5,30.5,30.067266,400
151,2020-08-27,30.59,30.59,30.57,30.57,30.136271,1200
152,2020-08-28,30.57,30.57,30.57,30.57,30.136271,0
153,2020-08-31,30.440001,30.440001,30.440001,30.440001,30.00812,300
154,2020-09-01,30.440001,30.440001,30.440001,30.440001,30.00812,0
155,2020-09-02,30.91,31.0,30.91,31.0,30.560173,900
156,2020-09-03,30.799999,30.799999,30.190001,30.190001,29.761663,400
157,2020-09-04,30.190001,30.190001,30.190001,30.190001,29.761663,0
158,2020-09-08,29.620001,29.74,29.620001,29.639999,29.219465,1300
159,2020-09-09,29.639999,29.639999,29.639999,29.639999,29.219465,0
160,2020-09-10,29.639999,29.639999,29.639999,29.639999,29.219465,0
161,2020-09-11,29.92,29.92,29.809999,29.85,29.426487,9300
162,2020-09-14,30.139999,30.139999,30.139999,30.139999,29.712374,100
163,2020-09-15,30.040001,30.040001,30.040001,30.040001,29.613792,200
164,2020-09-16,30.360001,30.370001,30.360001,30.370001,29.939112,1300
165,2020-09-17,29.92,29.92,29.92,29.92,29.495495,100
166,2020-09-18,29.92,29.92,29.92,29.92,29.495495,0
167,2020-09-21,29.92,29.92,29.92,29.92,29.495495,0
168,2020-09-22,29.709999,29.709999,29.709999,29.709999,29.288473,100
169,2020-09-23,29.709999,29.709999,29.709999,29.709999,29.288473,0
170,2020-09-24,29.32,29.32,29.32,29.32,28.904009,200
171,2020-09-25,29.360001,29.360001,29.360001,29.360001,28.943439,200
172,2020-09-28,29.360001,29.360001,29.360001,29.360001,29.092073,0
173,2020-09-29,30.08,30.08,30.08,30.08,29.805502,100
174,2020-09-30,30.0,30.0,29.92,29.92,29.646963,900
175,2020-10-01,30.1,30.1,30.1,30.1,29.825319,200
176,2020-10-02,29.93,29.969999,29.93,29.969999,29.696505,200
177,2020-10-05,29.969999,29.969999,29.969999,29.969999,29.696505,0
178,2020-10-06,30.26,30.26,30.26,30.26,29.98386,100
179,2020-10-07,30.26,30.26,30.26,30.26,29.98386,0
180,2020-10-08,30.26,30.26,30.26,30.26,29.98386,0
181,2020-10-09,30.459999,30.469999,30.459999,30.469999,30.191942,500
182,2020-10-13,30.690001,30.690001,30.639999,30.639999,30.360392,300
183,2020-10-14,30.59,30.59,30.59,30.59,30.310848,400
184,2020-10-15,30.51,30.51,30.51,30.51,30.231579,100
185,2020-10-16,30.610001,30.610001,30.610001,30.610001,30.330666,300
186,2020-10-19,30.129999,30.17,30.129999,30.17,29.89468,800
187,2020-10-20,30.26,30.26,30.26,30.26,29.98386,100
188,2020-10-21,30.27,30.27,30.07,30.1,29.825319,1800
189,2020-10-22,30.110001,30.110001,30.040001,30.040001,29.765867,1100
190,2020-10-23,30.18,30.26,30.18,30.26,29.98386,200
191,2020-10-26,29.99,29.99,29.99,29.99,29.716322,200
192,2020-10-27,29.99,29.99,29.99,29.99,29.716322,0
193,2020-10-28,29.99,29.99,29.99,29.99,29.716322,0
194,2020-10-29,29.99,29.99,29.99,29.99,29.716322,0
195,2020-10-30,28.77,28.77,28.77,28.77,28.507458,700
196,2020-11-02,28.77,28.77,28.77,28.77,28.507458,0
197,2020-11-03,29.51,29.73,29.370001,29.73,29.458694,2300
198,2020-11-04,30.280001,30.280001,30.110001,30.120001,29.845137,1400
199,2020-11-05,30.5,30.5,30.5,30.5,30.221668,400
200,2020-11-06,30.43,30.540001,30.42,30.540001,30.261305,5300
