,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-08-01,6.7,6.84,6.56,6.8,3.917154,98800
1,2008-09-01,6.8,6.8,6.02,6.45,3.748227,240000
2,2008-10-01,6.19,6.25,4.85,5.8,3.400843,400400
3,2008-11-01,5.78,6.25,5.08,5.62,3.319762,292300
4,2008-12-01,5.61,5.67,5.15,5.67,3.364566,546000
5,2009-01-01,5.75,5.89,5.61,5.64,3.362298,295900
6,2009-02-01,5.47,5.61,5.14,5.35,3.203292,179100
7,2009-03-01,5.27,5.5,5.02,5.28,3.176773,137500
8,2009-04-01,5.28,5.64,5.28,5.4,3.264084,104100
9,2009-05-01,5.46,5.85,5.39,5.58,3.391625,87000
10,2009-06-01,5.65,6.0,5.53,5.69,3.477076,131600
11,2009-07-01,5.69,5.89,5.41,5.86,3.59971,195600
12,2009-08-01,5.81,6.0,5.77,5.8,3.581094,125300
13,2009-09-01,5.8,6.17,5.76,6.08,3.772996,248800
14,2009-10-01,6.1,6.5,5.94,6.5,4.053768,405000
15,2009-11-01,6.49,6.54,6.2,6.45,4.041587,181000
16,2009-12-01,6.51,6.98,6.43,6.85,4.312222,159000
17,2010-01-01,6.87,7.07,6.83,6.94,4.388242,196200
18,2010-02-01,6.93,6.94,6.55,6.82,4.331033,179600
19,2010-03-01,6.87,7.55,6.8,7.02,4.477942,204100
20,2010-04-01,7.12,7.18,7.0,7.05,4.516244,100200
21,2010-05-01,7.0,7.06,6.55,6.55,4.213748,131600
22,2010-06-01,6.51,7.08,6.51,6.91,4.465188,163600
23,2010-07-01,6.85,7.18,6.75,7.15,4.640249,143900
24,2010-08-01,7.15,7.37,7.01,7.3,4.757586,138000
25,2010-09-01,7.22,7.61,7.21,7.58,4.960855,121800
26,2010-10-01,7.63,7.7,7.38,7.7,5.059988,155900
27,2010-11-01,7.65,7.76,7.5,7.75,5.112763,119200
28,2010-12-01,7.69,7.95,7.68,7.88,5.21913,136300
29,2011-01-01,7.89,8.08,7.85,8.01,5.325663,177300
30,2011-02-01,7.94,8.07,7.63,7.86,5.2456,147600
31,2011-03-01,7.82,7.82,7.36,7.66,5.131863,754200
32,2011-04-01,7.66,7.79,7.59,7.69,5.17238,279700
33,2011-05-01,7.7,8.12,7.64,8.09,5.462736,272300
34,2011-06-01,8.06,8.07,7.6,7.99,5.415545,185200
35,2011-07-01,8.0,8.01,7.8,7.9,5.375058,213500
36,2011-08-01,7.91,7.91,7.2,7.77,5.306608,128200
37,2011-09-01,7.76,7.99,7.67,7.9,5.416442,204600
38,2011-10-01,7.8,8.1,7.76,7.92,5.451012,133100
39,2011-11-01,7.92,8.24,7.7,7.99,5.519941,112300
40,2011-12-01,8.08,8.19,7.87,8.15,5.651997,94300
41,2012-01-01,8.17,8.3,8.11,8.23,5.728537,225200
42,2012-02-01,8.24,8.3,7.94,8.06,5.630758,97600
43,2012-03-01,8.06,8.12,7.73,7.77,5.448417,467600
44,2012-04-01,7.75,7.89,7.66,7.85,5.525605,180000
45,2012-05-01,7.86,7.92,7.8,7.8,5.511662,115200
46,2012-06-01,7.8,7.84,7.68,7.7,5.461954,107600
47,2012-07-01,7.7,7.99,7.68,7.84,5.583045,55600
48,2012-08-01,7.84,8.09,7.84,8.05,5.754467,87700
49,2012-09-01,8.27,8.27,7.85,7.97,5.718698,98500
50,2012-10-01,7.97,8.09,7.96,8.09,5.827014,32800
51,2012-11-01,8.09,8.15,7.91,7.93,5.733217,66400
52,2012-12-01,7.97,8.2,7.96,8.12,5.892792,46500
53,2013-01-01,8.18,8.53,8.18,8.53,6.213092,76500
54,2013-02-01,8.53,8.53,8.15,8.25,6.030508,44200
55,2013-03-01,8.25,8.52,8.24,8.31,6.096398,54600
56,2013-04-01,8.32,8.5,8.23,8.33,6.132951,63400
57,2013-05-01,8.33,8.54,8.31,8.31,6.140208,40300
58,2013-06-01,8.31,8.33,7.84,8.0,5.932086,48600
59,2013-07-01,8.0,8.15,7.73,7.95,5.916951,38500
60,2013-08-01,7.94,7.98,7.75,7.76,5.797119,75700
61,2013-09-01,7.84,8.0,7.8,7.94,5.954608,61500
62,2013-10-01,7.95,8.17,7.93,8.17,6.150333,54700
63,2013-11-01,8.17,8.35,8.12,8.14,6.150474,68700
64,2013-12-01,8.13,8.53,8.13,8.53,6.468677,45300
65,2014-01-01,8.53,8.74,8.52,8.66,6.590799,41500
66,2014-02-01,8.64,8.73,8.32,8.66,6.613684,53700
67,2014-03-01,8.66,9.1,8.56,9.1,6.973901,35800
68,2014-04-01,9.1,9.25,9.05,9.1,6.997569,15300
69,2014-05-01,9.1,9.52,9.1,9.52,7.344774,50500
70,2014-06-01,9.44,9.68,9.41,9.61,7.437869,76900
71,2014-07-01,9.61,10.0,9.61,9.81,7.616443,42700
72,2014-08-01,9.81,10.15,9.62,10.1,7.865724,42100
73,2014-09-01,10.1,10.4,9.87,10.08,7.873582,31000
74,2014-10-01,9.92,10.1,9.58,9.95,7.795686,67800
75,2014-11-01,9.9,10.13,9.85,9.96,7.827484,103500
76,2014-12-01,9.81,9.98,9.37,9.8,7.724819,87800
77,2015-01-01,9.75,10.15,9.66,10.15,8.024923,83600
78,2015-02-01,10.31,10.31,10.12,10.16,8.032835,85000
79,2015-03-01,10.16,10.26,9.92,10.16,8.056437,66000
80,2015-04-01,10.17,10.43,10.17,10.41,8.281468,10300
81,2015-05-01,10.15,10.17,9.92,10.0,7.977524,44400
82,2015-06-01,10.01,10.04,9.62,9.84,7.874273,45100
83,2015-07-01,9.84,9.84,9.25,9.45,7.585664,44200
84,2015-08-01,9.55,9.55,8.91,9.5,7.647793,29900
85,2015-09-01,9.5,9.5,9.05,9.05,7.305489,39300
86,2015-10-01,9.2,9.62,9.16,9.53,7.71306,22600
87,2015-11-01,9.42,9.5,9.27,9.27,7.523745,39900
88,2015-12-01,9.37,9.38,8.95,9.28,7.552034,107200
89,2016-01-01,9.16,9.38,8.74,9.38,7.652607,30400
90,2016-02-01,9.4,9.4,9.03,9.24,7.558639,36300
91,2016-03-01,9.3,9.67,9.3,9.67,7.927461,41500
92,2016-04-01,9.67,9.67,9.53,9.66,7.91926,25700
93,2016-05-01,9.66,9.87,9.66,9.85,8.091017,15100
94,2016-06-01,9.91,10.04,9.9,9.95,8.200579,17500
95,2016-07-01,10.12,10.3,10.09,10.3,8.517289,26900
96,2016-08-01,10.3,10.39,10.23,10.24,8.49489,23500
97,2016-09-01,10.2,10.42,10.2,10.28,8.555407,43800
98,2016-10-01,10.25,10.38,10.1,10.35,8.642159,20600
99,2016-11-01,10.35,10.35,9.6,9.87,8.268447,67300
100,2016-12-01,9.86,10.16,9.83,10.16,8.540638,95200
101,2017-01-01,10.2,10.22,10.08,10.09,8.509596,62900
102,2017-02-01,10.11,10.39,10.08,10.34,8.748715,9200
103,2017-03-01,10.36,10.65,10.36,10.65,9.039718,30600
104,2017-04-01,10.61,10.82,10.61,10.7,9.112362,32300
105,2017-05-01,10.7,10.94,10.7,10.81,9.235999,32200
106,2017-06-01,10.87,10.92,10.72,10.72,9.188772,38000
107,2017-07-01,10.72,10.72,10.54,10.61,9.123783,50000
108,2017-08-01,10.58,10.65,10.46,10.52,9.076215,19700
109,2017-09-01,10.58,10.6,10.49,10.6,9.17562,55200
110,2017-10-01,10.59,10.73,10.56,10.68,9.27567,80900
111,2017-11-01,10.71,10.71,10.45,10.68,9.30634,36700
112,2017-12-01,10.68,10.7,10.53,10.56,9.23223,27600
113,2018-01-01,10.56,10.61,10.12,10.17,8.921652,66900
114,2018-02-01,10.16,10.16,9.73,9.9,8.714704,85800
115,2018-03-01,9.81,9.99,9.72,9.85,8.702047,109900
116,2018-04-01,9.75,10.02,9.72,9.86,8.73981,46800
117,2018-05-01,9.86,10.12,9.86,10.0,8.893461,47300
118,2018-06-01,10.01,10.26,10.0,10.21,9.110318,33000
119,2018-07-01,10.21,10.4,10.21,10.31,9.230317,53800
120,2018-08-01,10.56,10.8,10.52,10.59,9.512391,38400
121,2018-09-01,10.58,10.66,10.42,10.45,9.416365,34200
122,2018-10-01,10.44,10.45,9.95,9.95,8.995691,33300
123,2018-11-01,10.06,10.26,10.06,10.19,9.244056,30100
124,2018-12-01,10.19,10.25,9.42,9.77,8.893713,32600
125,2019-01-01,9.77,10.41,9.77,10.41,9.509793,53100
126,2019-02-01,10.46,10.66,10.42,10.65,9.762278,30400
127,2019-03-01,10.68,10.95,10.68,10.92,10.042994,38100
128,2019-04-01,10.92,11.09,10.92,10.97,10.122259,68500
