,Date,Open,High,Low,Close,Adj Close,Volume
0,2015-02-02,10.02,10.12,9.87,10.11,7.15084,47000
1,2015-02-09,10.1,10.11,10.04,10.1,7.143767,23000
2,2015-02-16,10.11,10.16,10.0,10.16,7.186207,62900
3,2015-02-23,10.16,10.17,10.1,10.15,7.179135,39400
4,2015-03-02,10.11,10.15,10.02,10.1,7.143767,24300
5,2015-03-09,10.05,10.12,10.01,10.03,7.094255,36800
6,2015-03-16,10.07,10.13,10.0,10.13,7.164987,33200
7,2015-03-23,10.09,10.17,10.05,10.1,7.143767,31600
8,2015-03-30,10.12,10.16,10.06,10.15,7.211755,5600
9,2015-04-06,10.08,10.2,10.08,10.19,7.24017,5500
10,2015-04-13,10.185,10.24,10.18,10.2,7.247282,12900
11,2015-04-20,10.19,10.21,10.15,10.18,7.233068,11900
12,2015-04-27,10.16,10.18,10.11,10.13,7.197542,14200
13,2015-05-04,10.19,10.19,10.12,10.18,7.266618,5000
14,2015-05-11,10.19,10.21,10.1,10.2,7.280893,18900
15,2015-05-18,10.13,10.2,10.12,10.2,7.280893,12100
16,2015-05-25,10.19,10.2,10.08,10.08,7.195236,16400
17,2015-06-01,10.15,10.16,10.06,10.06,7.213493,6000
18,2015-06-08,10.06,10.13,10.06,10.1,7.242174,4200
19,2015-06-15,10.08,10.11,10.05,10.09,7.235006,17300
20,2015-06-22,10.11,10.15,10.02,10.02,7.184813,8400
21,2015-06-29,10.02,10.07,9.9,10.07,7.252258,4300
22,2015-07-06,10.07,10.07,10.0,10.07,7.252258,7800
23,2015-07-13,10.12,10.12,10.04,10.08,7.259456,7800
24,2015-07-20,10.09,10.09,9.99,9.99,7.194638,6500
25,2015-07-27,9.99,10.01,9.98,10.01,7.209042,4600
26,2015-08-03,9.94,9.97,9.94,9.95,7.197536,12600
27,2015-08-10,9.95,9.98,9.91,9.93,7.183067,4400
28,2015-08-17,9.91,9.92,9.76,9.76,7.060095,5100
29,2015-08-24,9.65,10.04,9.65,9.91,7.1686,40800
30,2015-08-31,9.85,9.87,9.8,9.83,7.141911,9600
31,2015-09-07,9.83,9.94,9.83,9.94,7.221828,5000
32,2015-09-14,9.89,10.0,9.81,9.85,7.15644,16300
33,2015-09-21,9.85,9.85,9.68,9.68,7.032927,17800
34,2015-09-28,9.65,9.65,9.45,9.55,6.969277,27600
35,2015-10-05,9.7,9.72,9.55,9.66,7.049549,8000
36,2015-10-12,9.66,9.7,9.62,9.69,7.071445,6000
37,2015-10-19,9.69,9.71,9.69,9.7,7.078743,13000
38,2015-10-26,9.74,9.74,9.6,9.6,7.005765,2900
39,2015-11-02,9.67,9.71,9.62,9.62,7.050765,4000
40,2015-11-09,9.51,9.51,9.43,9.43,6.911509,9800
41,2015-11-16,9.41,9.46,9.37,9.4,6.889521,30000
42,2015-11-23,9.35,9.37,8.96,9.33,6.838216,50900
43,2015-11-30,9.27,9.36,9.26,9.31,6.853545,21800
44,2015-12-07,9.23,9.26,9.0,9.0,6.625339,9700
45,2015-12-14,9.01,9.17,8.93,9.09,6.691593,67500
46,2015-12-21,9.07,9.3,8.4,9.16,6.743122,31800
47,2015-12-28,9.3,9.3,9.15,9.22,6.816612,2100
48,2016-01-04,9.22,9.22,9.11,9.11,6.735285,4200
49,2016-01-11,9.15,9.15,8.91,8.93,6.602205,8400
50,2016-01-18,8.93,9.1,8.74,9.1,6.727891,9900
51,2016-01-25,9.03,9.04,8.96,9.04,6.683531,4100
52,2016-02-01,8.98,9.0,8.93,8.93,6.631581,3900
53,2016-02-08,8.82,8.87,8.7,8.87,6.587023,7000
54,2016-02-15,8.7,8.9,8.7,8.9,6.609303,300
55,2016-02-22,8.93,8.93,8.8,8.89,6.601879,3000
56,2016-02-29,8.93,9.15,8.93,9.12,6.801852,18000
57,2016-03-07,9.11,9.3,8.35,9.29,6.928638,8100
58,2016-03-14,9.3,9.3,9.17,9.3,6.936098,3000
59,2016-03-21,9.32,9.34,9.29,9.3,6.936098,21600
60,2016-03-28,9.22,9.33,9.22,9.28,6.921182,1700
61,2016-04-04,9.28,9.35,9.28,9.35,7.003513,1400
62,2016-04-11,9.34,9.47,9.29,9.47,7.093397,10200
63,2016-04-18,9.45,9.58,9.3,9.51,7.123359,10300
64,2016-04-25,9.5,9.52,9.49,9.51,7.123359,15900
65,2016-05-02,9.52,9.52,9.43,9.43,7.093301,5200
66,2016-05-09,9.53,9.59,9.46,9.52,7.161001,14700
67,2016-05-16,9.52,9.56,9.47,9.56,7.191091,600
68,2016-05-23,9.47,9.61,9.47,9.5,7.145955,6200
69,2016-05-30,9.5,9.6,9.5,9.6,7.251359,4200
70,2016-06-06,9.6,9.67,9.6,9.67,7.304234,8500
71,2016-06-13,9.67,9.67,9.47,9.53,7.198489,5300
72,2016-06-20,9.55,9.67,9.23,9.67,7.304234,12100
73,2016-06-27,9.36,9.59,9.36,9.53,7.198489,2100
74,2016-07-04,9.53,9.71,9.53,9.7,7.357328,3600
75,2016-07-11,9.74,9.74,9.67,9.67,7.334571,19200
76,2016-07-18,9.73,9.79,9.71,9.78,7.418006,8900
77,2016-07-25,9.77,9.77,9.65,9.65,7.319401,3400
78,2016-08-01,9.65,9.72,9.65,9.72,7.402803,300
79,2016-08-08,9.82,9.85,9.77,9.8,7.463735,4500
80,2016-08-15,9.8,9.89,9.78,9.89,7.532281,40700
81,2016-08-22,9.8,9.88,9.8,9.8,7.463735,9600
82,2016-08-29,9.82,9.89,9.79,9.89,7.563056,7800
83,2016-09-05,9.8,9.96,9.8,9.83,7.517172,5200
