,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-01-14,25.1752,25.1752,25.1752,25.1752,25.1752,0
1,2019-01-21,25.206499,25.26,25.100401,25.26,25.26,1400
2,2019-01-28,25.190001,25.469999,25.190001,25.469999,25.469999,3700
3,2019-02-04,25.469999,25.469999,25.469999,25.469999,25.469999,0
4,2019-02-11,25.469999,25.75,25.469999,25.75,25.75,6407
5,2019-02-18,25.75,25.75,25.75,25.75,25.75,0
6,2019-02-25,25.75,26.219999,25.75,26.219999,26.219999,275
7,2019-03-04,26.219999,26.219999,26.16,26.16,26.16,9500
8,2019-03-11,26.16,26.459999,26.16,26.459999,26.459999,1800
9,2019-03-18,26.459999,26.65,26.459999,26.52,26.52,9400
10,2019-03-25,26.52,26.6,26.52,26.6,26.6,100
11,2019-04-01,26.540001,26.73,26.540001,26.709999,26.709999,1400
12,2019-04-08,26.709999,26.91,26.65,26.91,26.91,48100
13,2019-04-15,27.040001,27.08,26.969999,27.08,27.08,11600
14,2019-04-22,27.08,27.09,26.98,27.09,27.09,13800
15,2019-04-29,27.15,27.15,26.99,27.0,27.0,25474
16,2019-05-06,26.959999,27.02,26.9,26.9,26.9,1874
17,2019-05-13,26.690001,27.09,26.68,27.030001,27.030001,7274
18,2019-05-20,27.030001,27.030001,27.030001,27.030001,27.030001,0
19,2019-05-27,27.030001,27.129999,27.030001,27.129999,27.129999,100
20,2019-06-03,27.129999,27.129999,26.85,26.85,26.85,400
21,2019-06-10,27.049999,27.049999,26.879999,26.91,26.91,1919
22,2019-06-17,26.91,27.32,26.91,27.32,27.32,325
23,2019-06-24,27.32,27.32,26.870001,26.870001,26.870001,545
24,2019-07-01,26.870001,26.870001,26.870001,26.870001,26.870001,0
25,2019-07-08,27.290001,27.52,27.290001,27.360001,27.360001,474
26,2019-07-15,27.33,27.360001,27.33,27.360001,27.360001,300
27,2019-07-22,27.309999,27.5,27.309999,27.48,27.48,3832
28,2019-07-29,27.459999,27.459999,27.08,27.129999,27.129999,9720
29,2019-08-05,27.129999,27.360001,26.809999,27.24,27.24,10483
30,2019-08-12,27.209999,27.299999,26.9,26.92,26.92,4845
31,2019-08-19,27.43,27.43,27.299999,27.299999,27.299999,670
32,2019-08-26,27.01,27.450001,26.940001,27.450001,27.450001,1538
33,2019-09-02,27.450001,27.65,27.450001,27.65,27.65,5200
34,2019-09-09,27.610001,28.1,27.610001,28.1,28.1,637
35,2019-09-16,28.110001,28.49,28.07,28.49,28.49,4979
36,2019-09-23,28.41,28.41,28.23,28.34,28.34,1500
37,2019-09-30,28.34,28.34,28.01,28.01,28.01,3295
38,2019-10-07,28.01,28.120001,27.9,28.07,28.07,2460
39,2019-10-14,28.07,28.16,28.01,28.049999,28.049999,7530
40,2019-10-21,28.049999,28.18,27.82,27.870001,27.870001,2882
41,2019-10-28,27.870001,28.17,27.870001,28.16,28.16,2330
42,2019-11-04,28.219999,28.4,28.15,28.379999,28.379999,4149
43,2019-11-11,28.379999,28.58,28.370001,28.58,28.58,2944
44,2019-11-18,28.58,28.58,28.48,28.52,28.52,1100
45,2019-11-25,28.52,28.629999,28.52,28.620001,28.620001,14254
46,2019-12-02,28.620001,28.620001,28.280001,28.299999,28.299999,19220
47,2019-12-09,28.299999,28.440001,28.299999,28.440001,28.440001,2900
48,2019-12-16,28.440001,28.51,28.32,28.32,28.32,2463
49,2019-12-23,28.459999,28.49,28.139999,28.17,28.17,35900
50,2019-12-30,28.33,28.33,28.059999,28.200001,28.200001,848
51,2020-01-06,28.200001,28.370001,28.200001,28.370001,28.370001,210
52,2020-01-13,28.370001,29.17,28.370001,29.17,29.17,809
53,2020-01-20,29.280001,29.309999,29.280001,29.309999,29.309999,2002
54,2020-01-27,29.299999,29.41,29.110001,29.110001,29.110001,15840
55,2020-02-03,29.18,29.450001,29.18,29.450001,29.450001,2630
