,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-06-05,25.0,25.0,25.0,25.0,25.0,0
1,2020-06-08,25.121,25.121,25.121,25.121,25.121,0
2,2020-06-09,25.089199,25.089199,25.089199,25.089199,25.089199,0
3,2020-06-10,25.23,25.23,25.23,25.23,25.23,60987
4,2020-06-11,25.15,25.15,25.08,25.08,25.08,101601
5,2020-06-12,25.190001,25.200001,25.190001,25.200001,25.200001,52808
6,2020-06-15,25.18,25.219999,25.18,25.219999,25.219999,11727
7,2020-06-16,25.16,25.219999,25.1,25.219999,25.219999,92022
8,2020-06-17,25.360001,25.360001,25.33,25.33,25.33,9751
9,2020-06-18,25.18,25.33,25.18,25.33,25.33,22225
10,2020-06-19,25.32,25.32,25.299999,25.299999,25.299999,54815
11,2020-06-22,25.32,25.33,25.32,25.33,25.33,43853
12,2020-06-23,25.299999,25.299999,25.290001,25.290001,25.290001,16096
13,2020-06-24,25.25,25.25,25.209999,25.209999,25.209999,4150
14,2020-06-25,25.25,25.25,25.25,25.25,25.25,12087
15,2020-06-26,25.23,25.23,25.23,25.23,25.23,22365
16,2020-06-29,25.23,25.23,25.23,25.23,25.23,0
17,2020-06-30,25.26,25.309999,25.26,25.309999,25.309999,24400
18,2020-07-02,25.309999,25.309999,25.309999,25.309999,25.309999,100
19,2020-07-03,25.379999,25.389999,25.379999,25.389999,25.389999,3375
20,2020-07-06,25.389999,25.389999,25.389999,25.389999,25.389999,3040
21,2020-07-07,25.370001,25.370001,25.360001,25.360001,25.360001,2500
22,2020-07-08,25.41,25.41,25.41,25.41,25.41,100
23,2020-07-09,25.370001,25.370001,25.32,25.32,25.32,19609
24,2020-07-10,25.309999,25.389999,25.309999,25.389999,25.389999,4974
25,2020-07-13,25.360001,25.360001,25.360001,25.360001,25.360001,8050
26,2020-07-14,25.41,25.41,25.32,25.41,25.41,1300
27,2020-07-15,25.459999,25.469999,25.459999,25.469999,25.469999,800
28,2020-07-16,25.48,25.48,25.370001,25.43,25.43,23453
29,2020-07-17,25.5,25.52,25.5,25.52,25.52,21551
30,2020-07-20,25.559999,25.559999,25.559999,25.559999,25.559999,9061
31,2020-07-21,25.620001,25.620001,25.620001,25.620001,25.620001,6000
32,2020-07-22,25.65,25.65,25.620001,25.65,25.65,1200
33,2020-07-23,25.639999,25.66,25.639999,25.66,25.66,400
34,2020-07-24,25.77,25.77,25.66,25.66,25.66,32024
35,2020-07-27,25.719999,25.719999,25.709999,25.709999,25.709999,600
36,2020-07-28,25.66,25.690001,25.66,25.690001,25.690001,200
37,2020-07-29,25.709999,25.709999,25.709999,25.709999,25.709999,1800
38,2020-07-30,25.77,25.77,25.629999,25.639999,25.639999,750
39,2020-07-31,25.780001,25.82,25.780001,25.82,25.82,1600
40,2020-08-04,25.809999,25.809999,25.809999,25.809999,25.809999,100
41,2020-08-05,25.690001,25.83,25.690001,25.83,25.83,200
42,2020-08-06,25.84,25.84,25.82,25.82,25.82,4558
