,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-01-14,25.0,25.0,25.0,25.0,25.0,0
1,2019-01-21,25.0875,25.0875,24.947901,25.017,25.017,0
2,2019-01-28,25.006399,25.27,25.006399,25.27,25.27,100
3,2019-02-04,25.27,25.59,25.27,25.59,25.59,4021
4,2019-02-11,25.59,25.77,25.59,25.77,25.77,221
5,2019-02-18,25.77,26.77,25.77,26.26,26.26,1548
6,2019-02-25,26.35,26.4,26.35,26.4,26.4,300
7,2019-03-04,26.4,26.4,26.200001,26.200001,26.200001,4000
8,2019-03-11,26.200001,26.200001,26.200001,26.200001,26.200001,0
9,2019-03-18,26.200001,27.110001,26.200001,26.879999,26.879999,855
10,2019-03-25,26.879999,27.040001,26.879999,27.040001,27.040001,100
11,2019-04-01,27.040001,27.040001,27.040001,27.040001,27.040001,200
12,2019-04-08,27.040001,27.040001,27.040001,27.040001,27.040001,0
13,2019-04-15,27.040001,27.040001,27.040001,27.040001,27.040001,0
14,2019-04-22,27.040001,27.780001,27.040001,27.780001,27.780001,100
15,2019-04-29,27.9,27.9,27.9,27.9,27.9,400
16,2019-05-06,27.9,27.9,27.26,27.26,27.26,520
17,2019-05-13,27.26,27.49,27.26,27.49,27.49,1406
18,2019-05-20,27.49,27.49,27.49,27.49,27.49,0
19,2019-05-27,27.49,27.49,27.219999,27.379999,27.379999,400
20,2019-06-03,27.379999,27.379999,27.26,27.26,27.26,100
21,2019-06-10,27.26,27.42,27.26,27.42,27.42,100
22,2019-06-17,27.42,27.42,27.42,27.42,27.42,0
23,2019-06-24,27.42,27.42,27.07,27.07,27.07,2774
24,2019-07-01,27.07,27.24,27.07,27.219999,27.219999,2825
25,2019-07-08,27.07,27.07,27.030001,27.030001,27.030001,200
26,2019-07-15,26.959999,26.959999,26.959999,26.959999,26.959999,200
27,2019-07-22,27.08,27.08,27.08,27.08,27.08,100
28,2019-07-29,27.08,27.190001,27.030001,27.030001,27.030001,200
29,2019-08-05,27.030001,27.030001,27.030001,27.030001,27.030001,0
30,2019-08-12,26.32,26.32,25.969999,26.200001,26.200001,1009
31,2019-08-19,26.43,26.43,26.43,26.43,26.43,130
32,2019-08-26,26.42,26.76,26.41,26.76,26.76,300
33,2019-09-02,26.76,26.98,26.74,26.950001,26.950001,1334
34,2019-09-09,26.950001,27.290001,26.84,27.290001,27.290001,468
35,2019-09-16,27.1,27.379999,27.1,27.35,27.35,300
36,2019-09-23,27.219999,27.219999,27.190001,27.190001,27.190001,300
37,2019-09-30,27.15,27.280001,26.459999,26.459999,26.459999,2466
38,2019-10-07,27.0,27.02,26.68,26.99,26.99,2397
39,2019-10-14,26.99,27.200001,26.99,27.200001,27.200001,410
40,2019-10-21,27.110001,27.370001,27.059999,27.370001,27.370001,7704
41,2019-10-28,27.42,27.9,27.370001,27.9,27.9,3406
42,2019-11-04,28.16,28.209999,28.02,28.110001,28.110001,15718
43,2019-11-11,28.209999,28.35,28.200001,28.34,28.34,5152
44,2019-11-18,28.360001,28.66,28.360001,28.629999,28.629999,5740
45,2019-11-25,28.85,29.059999,28.74,29.059999,29.059999,3931
46,2019-12-02,28.950001,29.049999,28.65,29.040001,29.040001,5566
47,2019-12-09,28.969999,29.17,28.870001,29.120001,29.120001,3648
48,2019-12-16,29.360001,29.48,29.17,29.48,29.48,8117
49,2019-12-23,29.48,29.5,29.26,29.26,29.26,7163
50,2019-12-30,29.280001,29.280001,29.059999,29.07,29.07,6100
51,2020-01-06,29.0,29.465,29.0,29.465,29.465,7341
52,2020-01-13,29.59,30.120001,29.59,30.110001,30.110001,31483
53,2020-01-20,30.15,30.280001,29.98,29.98,29.98,13927
54,2020-01-27,29.98,29.98,29.23,29.27,29.27,9616
55,2020-02-03,29.5,30.18,29.5,29.969999,29.969999,10353
56,2020-02-10,30.219999,30.58,30.040001,30.040001,30.040001,17108
57,2020-02-17,30.040001,30.110001,29.68,29.700001,29.700001,14031
58,2020-02-24,28.799999,29.209999,26.799999,27.27,27.27,31564
59,2020-03-02,27.700001,28.27,27.450001,27.5,27.5,13472
60,2020-03-09,27.5,27.5,23.389999,25.49,25.49,22422
61,2020-03-16,22.59,25.01,22.4,23.870001,23.870001,14059
62,2020-03-23,23.440001,25.99,23.24,25.6,25.6,12862
63,2020-03-30,25.93,26.6,24.9,24.9,24.9,7812
64,2020-04-06,25.58,27.35,25.58,27.35,27.35,5286
65,2020-04-13,26.799999,27.620001,26.700001,27.620001,27.620001,8286
66,2020-04-20,27.92,28.0,27.389999,27.65,27.65,4488
