,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-09-17,25.030001,25.25,25.0,25.200001,23.600895,137200
1,2018-09-24,25.370001,25.440001,24.969999,24.969999,23.385479,41300
2,2018-10-01,25.0,25.16,24.799999,24.860001,23.282465,18800
3,2018-10-08,24.889999,24.889999,23.92,24.129999,22.598791,29900
4,2018-10-15,24.280001,24.610001,23.98,24.370001,22.823565,25200
5,2018-10-22,24.639999,24.639999,23.389999,23.43,21.943209,61500
6,2018-10-29,23.809999,24.190001,23.450001,24.09,22.586992,12400
7,2018-11-05,24.200001,24.93,24.200001,24.870001,23.318333,13300
8,2018-11-12,24.809999,24.809999,24.290001,24.4,22.877657,2700
9,2018-11-19,24.200001,24.200001,23.74,23.74,22.258835,7000
10,2018-11-26,23.98,24.76,23.98,24.76,23.2152,14400
11,2018-12-03,24.969999,24.99,24.08,24.139999,22.64612,6500
12,2018-12-10,23.66,24.469999,23.629999,23.629999,22.167679,8300
13,2018-12-17,23.6,23.6,22.540001,22.610001,21.210798,11500
14,2018-12-24,22.049999,22.33,21.58,22.33,20.948124,51200
15,2018-12-31,22.33,23.1,22.33,22.870001,21.553852,6900
16,2019-01-07,22.92,23.16,22.84,23.16,21.827158,15700
17,2019-01-14,23.049999,23.629999,23.049999,23.620001,22.260696,10100
18,2019-01-21,23.620001,23.700001,23.559999,23.690001,22.326664,2600
19,2019-01-28,23.540001,23.780001,23.5,23.719999,22.354933,2200
20,2019-02-04,23.719999,24.26,23.719999,24.110001,22.780193,18100
21,2019-02-11,24.17,24.59,24.17,24.540001,23.186476,33700
22,2019-02-18,24.549999,24.620001,24.4,24.59,23.233713,14400
23,2019-02-25,24.629999,24.690001,24.23,24.690001,23.328203,19400
24,2019-03-04,24.610001,24.790001,24.34,24.35,23.063229,7400
25,2019-03-11,24.35,24.950001,24.35,24.950001,23.631519,900
26,2019-03-18,24.99,25.16,24.77,25.16,23.83042,5400
27,2019-03-25,25.16,25.16,24.799999,24.92,23.603104,8200
28,2019-04-01,25.129999,25.24,25.129999,25.24,23.967159,900
29,2019-04-08,25.370001,25.5,25.32,25.41,24.128586,11100
30,2019-04-15,25.41,25.73,25.41,25.73,24.432446,500
31,2019-04-22,25.77,26.0,25.77,26.0,24.688839,700
32,2019-04-29,25.889999,25.889999,25.68,25.82,24.578409,1800
33,2019-05-06,25.4,25.6,24.969999,24.969999,23.769279,28000
34,2019-05-13,24.75,25.030001,24.75,25.030001,23.826397,5200
35,2019-05-20,25.0,25.0,24.530001,24.67,23.483715,2600
36,2019-05-27,24.860001,24.860001,24.059999,24.059999,22.903042,7300
37,2019-06-03,24.030001,24.57,23.92,24.57,23.449678,9500
38,2019-06-10,24.709999,24.84,24.639999,24.83,23.697821,1400
39,2019-06-17,24.83,25.25,24.83,25.16,24.012775,2400
40,2019-06-24,25.16,25.16,24.73,24.73,23.602379,4500
41,2019-07-01,24.73,25.370001,24.73,24.73,23.653143,1900
42,2019-07-08,25.139999,25.16,25.08,25.08,23.987907,1600
43,2019-07-15,25.08,25.27,25.02,25.07,23.978344,5800
44,2019-07-22,25.15,25.6,25.15,25.6,24.485262,2600
45,2019-07-29,25.6,25.6,24.85,24.93,23.895039,11000
46,2019-08-05,24.16,24.83,24.16,24.629999,23.607492,12700
47,2019-08-12,24.440001,24.75,24.18,24.290001,23.28161,11700
48,2019-08-19,24.83,24.83,24.459999,24.459999,23.444551,1600
49,2019-08-26,24.4,24.82,24.27,24.82,23.789602,1800
50,2019-09-02,24.559999,25.07,24.559999,25.049999,24.063595,6400
51,2019-09-09,25.049999,25.719999,25.049999,25.719999,24.707216,8400
52,2019-09-16,25.610001,25.65,25.610001,25.65,24.639967,25000
53,2019-09-23,25.65,25.65,25.25,25.27,24.274937,10900
54,2019-09-30,25.52,25.700001,24.620001,24.959999,24.011221,3200
55,2019-10-07,24.959999,25.379999,24.959999,25.27,24.309444,23700
56,2019-10-14,25.459999,25.5,25.459999,25.5,24.530701,400
57,2019-10-21,25.41,25.6,25.389999,25.6,24.626898,6800
