,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-09-25,25.1,25.110001,25.1,25.1,24.325125,17000
1,2019-09-26,25.120001,25.120001,25.065001,25.065001,24.29121,3800
2,2019-09-27,25.08,25.08,25.08,25.08,24.30574,100
3,2019-09-30,25.049999,25.049999,25.02,25.02,24.247591,400
4,2019-10-01,25.1,25.1,25.1,25.1,24.325125,48200
5,2019-10-02,25.1,25.1,25.1,25.1,24.325125,0
6,2019-10-03,25.129999,25.200001,25.129999,25.200001,24.422037,600
7,2019-10-04,25.190001,25.200001,25.190001,25.200001,24.422037,500
8,2019-10-07,25.209999,25.209999,25.18,25.18,24.402657,6200
9,2019-10-08,25.17,25.17,25.17,25.17,24.392962,22600
10,2019-10-09,25.15,25.15,25.15,25.15,24.373581,23400
11,2019-10-10,25.1,25.1,25.1,25.1,24.325125,1900
12,2019-10-11,25.02,25.040001,25.02,25.040001,24.266975,47000
13,2019-10-15,25.01,25.01,24.99,24.99,24.218517,85700
14,2019-10-16,25.0,25.0,25.0,25.0,24.22821,56600
15,2019-10-17,25.15,25.15,25.0,25.0,24.22821,26200
16,2019-10-18,25.01,25.02,25.01,25.02,24.247591,81100
17,2019-10-21,24.959999,24.959999,24.950001,24.950001,24.179754,28700
18,2019-10-22,25.030001,25.030001,25.030001,25.030001,24.257284,15900
19,2019-10-23,25.040001,25.040001,25.040001,25.040001,24.266975,21200
20,2019-10-24,25.030001,25.030001,25.030001,25.030001,24.257284,1600
21,2019-10-25,25.030001,25.030001,25.02,25.030001,24.257284,13200
22,2019-10-28,25.0,25.0,24.950001,24.950001,24.223305,3700
23,2019-10-29,24.959999,24.959999,24.959999,24.959999,24.233013,12400
24,2019-10-30,25.049999,25.049999,25.049999,25.049999,24.320393,5100
25,2019-10-31,25.08,25.09,25.08,25.09,24.359226,11200
26,2019-11-01,25.07,25.08,25.07,25.08,24.349522,13200
27,2019-11-04,25.059999,25.059999,25.059999,25.059999,24.330099,7900
28,2019-11-05,25.02,25.02,25.01,25.02,24.291271,9400
29,2019-11-06,25.07,25.08,25.02,25.02,24.291271,7500
30,2019-11-07,25.030001,25.030001,24.969999,25.030001,24.300974,27800
31,2019-11-08,24.99,25.07,24.99,25.07,24.339811,54000
32,2019-11-11,25.08,25.08,25.07,25.07,24.339811,14500
33,2019-11-12,25.049999,25.049999,25.049999,25.049999,24.320393,1200
34,2019-11-13,25.01,25.07,25.01,25.07,24.339811,50000
35,2019-11-14,25.1,25.110001,25.1,25.1,24.368935,23100
36,2019-11-15,25.0,25.1,25.0,25.1,24.368935,21500
37,2019-11-18,25.110001,25.110001,25.1,25.1,24.368935,8800
38,2019-11-19,25.110001,25.129999,25.110001,25.129999,24.39806,16800
39,2019-11-20,25.129999,25.129999,25.129999,25.129999,24.39806,3600
40,2019-11-21,25.110001,25.120001,25.1,25.120001,24.388355,24900
41,2019-11-22,25.09,25.1,25.09,25.1,24.368935,6900
42,2019-11-25,25.110001,25.110001,25.110001,25.110001,24.378643,28600
43,2019-11-26,25.09,25.09,25.09,25.09,24.375727,2800
44,2019-11-27,25.1,25.1,25.1,25.1,24.38545,88800
45,2019-11-28,25.09,25.110001,25.09,25.110001,24.395163,29300
46,2019-11-29,25.1,25.1,25.08,25.09,24.375727,7200
