,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-09-17,25.16,25.209999,25.0,25.190001,22.903475,19500
1,2018-09-24,25.120001,25.139999,24.9,24.9,22.639795,9700
2,2018-10-01,24.809999,25.07,24.709999,24.91,22.648888,7200
3,2018-10-08,25.01,25.01,23.91,24.120001,21.930595,14600
4,2018-10-15,24.120001,24.58,24.120001,24.530001,22.303381,11200
5,2018-10-22,24.35,24.35,23.41,23.440001,21.312319,6500
6,2018-10-29,23.809999,24.33,23.370001,24.120001,21.977514,20400
7,2018-11-05,24.200001,25.0,24.200001,24.879999,22.670004,4900
8,2018-11-12,24.879999,24.879999,24.299999,24.540001,22.360209,10900
9,2018-11-19,24.540001,24.540001,23.92,23.92,21.795273,5000
10,2018-11-26,24.299999,24.9,24.299999,24.9,22.688227,2800
11,2018-12-03,25.059999,25.08,24.17,24.17,22.041208,11000
12,2018-12-10,23.75,24.309999,23.75,24.09,21.96826,4200
13,2018-12-17,23.4,23.459999,22.690001,22.860001,20.846592,22900
14,2018-12-24,21.82,22.99,21.82,22.950001,20.928665,11400
15,2018-12-31,23.040001,23.040001,22.469999,22.85,20.998222,16800
16,2019-01-07,22.85,23.360001,22.85,23.360001,21.46689,6000
17,2019-01-14,23.360001,23.91,23.360001,23.91,21.972313,22300
18,2019-01-21,24.07,24.139999,23.66,23.9,21.963127,188000
19,2019-01-28,23.75,24.049999,23.709999,23.93,21.990696,43000
20,2019-02-04,23.950001,24.34,23.950001,24.17,22.292393,30100
21,2019-02-11,24.27,24.48,24.139999,24.450001,22.550644,455200
22,2019-02-18,24.540001,24.58,24.360001,24.43,22.532198,22900
23,2019-02-25,24.51,24.52,24.219999,24.52,22.6152,32600
24,2019-03-04,24.549999,24.57,24.379999,24.42,22.603464,10600
25,2019-03-11,24.51,24.74,24.51,24.74,22.899662,25800
26,2019-03-18,24.879999,25.0,24.57,24.67,22.834873,46500
27,2019-03-25,24.57,25.030001,24.540001,24.76,22.918175,287900
