,Date,Open,High,Low,Close,Adj Close,Volume
0,2014-09-15,9.92,9.92,9.9,9.9,7.677064,1400
1,2014-09-22,9.9,9.9,9.9,9.9,7.677064,0
2,2014-09-29,9.9,9.9,9.9,9.9,7.677064,0
3,2014-10-06,9.9,9.9,9.9,9.9,7.677064,0
4,2014-10-13,9.1,9.1,9.1,9.1,7.056694,2500
5,2014-10-20,9.1,9.38,9.1,9.37,7.266066,14900
6,2014-10-27,9.37,9.38,9.37,9.38,7.273826,100
7,2014-11-03,9.38,9.38,9.38,9.38,7.296408,0
8,2014-11-10,9.38,9.62,9.38,9.61,7.475315,200
9,2014-11-17,9.61,9.71,9.61,9.71,7.553103,32500
10,2014-11-24,9.71,9.71,9.62,9.65,7.506432,1000
11,2014-12-01,9.65,9.65,1.49,1.49,1.163096,1200
12,2014-12-08,4.8,9.22,3.49,9.22,7.197145,0
13,2014-12-15,8.97,9.28,8.97,9.28,7.243985,0
14,2014-12-22,9.48,9.56,9.48,9.56,7.462554,0
15,2014-12-29,9.58,9.62,9.56,9.56,7.487828,0
16,2015-01-05,9.45,9.5,9.11,9.31,7.292015,0
17,2015-01-12,9.35,9.35,9.19,9.19,7.198023,0
18,2015-01-19,9.21,9.43,9.12,9.43,7.386007,0
19,2015-01-26,9.25,9.66,9.25,9.66,7.566153,0
20,2015-02-02,9.46,9.8,9.46,9.67,7.601103,0
21,2015-02-09,9.8,9.96,9.6,9.96,7.829058,0
22,2015-02-16,9.92,9.98,9.92,9.98,7.84478,0
23,2015-02-23,10.0,10.05,9.82,9.98,7.84478,0
24,2015-03-02,9.91,9.95,9.86,9.86,7.777673,0
25,2015-03-09,9.85,9.85,9.7,9.81,7.738234,0
26,2015-03-16,9.81,9.99,9.81,9.99,7.88022,0
27,2015-03-23,9.95,9.99,9.77,9.84,7.761897,100
28,2015-03-30,9.84,9.9,9.84,9.88,7.821472,0
29,2015-04-06,9.88,10.04,9.83,10.04,7.948134,100
30,2015-04-13,10.04,10.04,9.88,9.88,7.821472,500
31,2015-04-20,9.88,9.94,9.88,9.9,7.837299,0
32,2015-04-27,9.86,9.86,9.75,9.75,7.718554,0
33,2015-05-04,9.78,9.81,9.59,9.59,7.618829,0
34,2015-05-11,9.7,9.73,9.53,9.53,7.571157,0
35,2015-05-18,9.66,9.8,9.65,9.72,7.722108,0
36,2015-05-25,9.73,9.76,9.65,9.68,7.69033,0
37,2015-06-01,9.65,9.77,9.65,9.77,7.789046,0
38,2015-06-08,9.69,9.72,9.59,9.59,7.645545,0
39,2015-06-15,9.59,9.6,9.58,9.6,7.653514,0
40,2015-06-22,9.58,9.68,9.58,9.65,7.693377,0
41,2015-06-29,9.54,9.54,9.45,9.45,7.560486,0
42,2015-07-06,9.58,9.58,9.43,9.43,7.544485,0
43,2015-07-13,9.46,9.72,9.46,9.72,7.7765,0
44,2015-07-20,9.76,9.76,9.46,9.46,7.568486,0
45,2015-07-27,9.46,9.53,9.39,9.53,7.624487,0
46,2015-08-03,9.54,9.73,9.54,9.6,7.708194,3100
47,2015-08-10,9.65,9.65,9.52,9.53,7.651988,300
48,2015-08-17,9.58,9.58,9.13,9.13,7.330816,0
49,2015-08-24,9.13,9.15,8.41,9.11,7.314757,0
