,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-03-04,10.1,10.18,10.1,10.16,9.985438,154100
1,2019-03-11,10.17,10.2,10.16,10.19,10.014922,132500
2,2019-03-18,10.19,10.24,10.16,10.24,10.064064,145800
3,2019-03-25,10.24,10.3,10.24,10.27,10.114332,246300
4,2019-04-01,10.24,10.24,10.2,10.22,10.065091,132300
5,2019-04-08,10.22,10.22,10.18,10.18,10.025698,87100
6,2019-04-15,10.19,10.2,10.16,10.18,10.025698,214800
7,2019-04-22,10.18,10.23,10.18,10.23,10.074938,605300
8,2019-04-29,10.22,10.23,10.2,10.21,10.055242,224500
9,2019-05-06,10.21,10.26,10.2,10.23,10.074938,876000
10,2019-05-13,10.27,10.32,10.26,10.27,10.114332,125500
11,2019-05-20,10.27,10.37,10.25,10.33,10.173421,112400
12,2019-05-27,10.34,10.54,10.34,10.47,10.3113,185900
13,2019-06-03,10.5,10.53,10.45,10.48,10.321149,138900
14,2019-06-10,10.44,10.51,10.41,10.5,10.340847,131200
15,2019-06-17,10.52,10.56,10.48,10.49,10.330996,183200
16,2019-06-24,10.51,10.54,10.48,10.51,10.374294,82200
17,2019-07-01,10.53,10.57,10.47,10.47,10.334811,86700
18,2019-07-08,10.48,10.51,10.41,10.41,10.275584,73000
19,2019-07-15,10.43,10.51,10.41,10.5,10.364424,62700
20,2019-07-22,10.52,10.54,10.48,10.5,10.364424,72800
21,2019-07-29,10.51,10.67,10.46,10.66,10.522357,73500
22,2019-08-05,10.72,10.92,10.61,10.8,10.660549,85700
23,2019-08-12,10.89,11.05,10.86,10.97,10.828356,108600
24,2019-08-19,10.94,10.99,10.89,10.98,10.838225,62100
25,2019-08-26,10.97,11.06,10.95,11.0,10.857967,150100
26,2019-09-02,11.04,11.06,10.91,10.93,10.788872,52300
27,2019-09-09,10.92,10.92,10.64,10.64,10.502616,219400
28,2019-09-16,10.67,10.8,10.63,10.8,10.660549,234100
29,2019-09-23,10.77,10.84,10.74,10.79,10.65068,272800
30,2019-09-30,10.78,10.9,10.74,10.9,10.785223,115200
31,2019-10-07,10.89,10.9,10.67,10.67,10.557646,106300
32,2019-10-14,10.74,10.74,10.66,10.71,10.597223,27900
33,2019-10-21,10.7,10.73,10.66,10.66,10.547751,118000
34,2019-10-28,10.63,10.78,10.61,10.75,10.636803,130400
35,2019-11-04,10.71,10.71,10.58,10.61,10.498278,56300
36,2019-11-11,10.64,10.72,10.58,10.69,10.577434,124100
37,2019-11-18,10.72,10.78,10.69,10.73,10.617013,51300
38,2019-11-25,10.74,10.77,10.73,10.74,10.626908,58500
39,2019-12-02,10.71,10.78,10.65,10.69,10.577434,45200
40,2019-12-09,10.69,10.7,10.61,10.68,10.56754,53000
41,2019-12-16,10.66,10.66,10.6,10.63,10.518066,46800
42,2019-12-23,10.64,10.66,10.57,10.66,10.574559,12600
43,2019-12-30,10.66,10.7,10.58,10.7,10.614239,5500
44,2020-01-06,10.69,10.7,10.61,10.68,10.594398,35100
45,2020-01-13,10.65,10.72,10.65,10.69,10.604319,54100
46,2020-01-20,10.64,10.81,10.64,10.81,10.723357,119000
47,2020-01-27,10.81,10.86,10.81,10.86,10.772957,40100
48,2020-02-03,10.83,10.88,10.8,10.84,10.753118,54700
49,2020-02-10,10.88,10.88,10.81,10.82,10.733276,41200
50,2020-02-17,10.84,10.9,10.84,10.9,10.812635,37800
51,2020-02-24,10.95,11.01,10.92,11.0,10.911835,63800
52,2020-03-02,11.05,11.26,11.03,11.14,11.050712,85900
53,2020-03-09,11.36,11.36,10.89,11.0,10.911835,130200
54,2020-03-16,10.94,11.12,10.59,10.94,10.852313,418600
55,2020-03-23,10.91,11.16,10.76,11.06,10.971354,465700
56,2020-03-30,11.06,11.23,11.04,11.2,11.139177,354700
57,2020-04-06,11.11,11.18,10.98,11.15,11.089449,195700
58,2020-04-13,11.08,11.22,11.05,11.19,11.129231,151700
59,2020-04-20,11.13,11.29,11.11,11.27,11.208798,159000
60,2020-04-27,11.28,11.29,11.21,11.29,11.228688,113600
61,2020-05-04,11.26,11.28,11.23,11.25,11.188906,190100
62,2020-05-11,11.27,11.29,11.22,11.23,11.169013,91100
63,2020-05-18,11.28,11.34,11.2,11.34,11.278417,43300
64,2020-05-25,11.31,11.31,11.25,11.27,11.208798,39800
65,2020-06-01,11.27,11.29,11.19,11.23,11.169013,48500
66,2020-06-08,11.18,11.33,11.18,11.29,11.228688,76000
67,2020-06-15,11.27,11.32,11.27,11.32,11.258526,72300
68,2020-06-22,11.33,11.33,11.29,11.32,11.258526,55000
69,2020-06-29,11.32,11.33,11.3,11.32,11.273463,31800
70,2020-07-06,11.33,11.36,11.29,11.34,11.293381,71300
71,2020-07-13,11.33,11.36,11.32,11.33,11.283422,95900
72,2020-07-20,11.35,11.38,11.32,11.37,11.323257,172800
73,2020-07-27,11.36,11.4,11.35,11.4,11.353134,79600
74,2020-08-03,11.4,11.4,11.36,11.36,11.313299,24700
75,2020-08-10,11.39,11.39,11.31,11.32,11.273463,63900
76,2020-08-17,11.32,11.35,11.3,11.34,11.293381,50300
77,2020-08-24,11.34,11.35,11.28,11.28,11.233627,56200
78,2020-08-31,11.27,11.37,11.27,11.35,11.303341,49000
79,2020-09-07,11.33,11.35,11.32,11.34,11.293381,38600
80,2020-09-14,11.34,11.36,11.31,11.33,11.283422,65700
81,2020-09-21,11.33,11.33,11.29,11.33,11.283422,34500
82,2020-09-28,11.33,11.33,11.3,11.31,11.281445,41200
83,2020-10-05,11.28,11.295,11.25,11.25,11.221595,30600
84,2020-10-12,11.29,11.32,11.28,11.31,11.281445,22000
85,2020-10-19,11.3,11.3,11.25,11.27,11.241546,36000
86,2020-10-26,11.28,11.29,11.22,11.22,11.191671,45700
87,2020-11-02,11.24,11.3,11.24,11.28,11.251519,75500
88,2020-11-09,11.26,11.26,11.19,11.25,11.221595,103000
89,2020-11-16,11.25,11.3,11.22,11.29,11.261495,66000
90,2020-11-23,11.27,11.28,11.25,11.27,11.241546,82700
91,2020-11-30,11.28,11.29,11.21,11.23,11.201645,159500
92,2020-12-07,11.24,11.27,11.23,11.26,11.23157,179600
93,2020-12-14,11.29,11.29,11.24,11.24,11.21162,133200
94,2020-12-21,11.17,11.26,11.17,11.23,11.201645,96700
95,2020-12-28,11.26,11.27,11.25,11.25,11.235577,23400
96,2021-01-04,11.27,11.27,11.175,11.18,11.165668,119000
97,2021-01-11,11.17,11.21,11.16,11.18,11.165668,98900
98,2021-01-18,11.19,11.2,11.17,11.17,11.15568,74700
99,2021-01-25,11.21,11.24,11.18,11.185,11.170661,34600
100,2021-02-01,11.18,11.19,11.15,11.16,11.145692,53100
101,2021-02-08,11.17,11.17,11.14,11.15,11.135705,37700
102,2021-02-15,11.12,11.12,11.0,11.06,11.045821,122600
103,2021-02-22,11.06,11.06,10.92,11.01,10.995885,41800
104,2021-03-01,11.02,11.02,10.91,10.94,10.925974,64500
105,2021-03-08,10.93,10.97,10.9,10.92,10.906,49200
106,2021-03-15,10.84,10.92,10.84,10.85,10.83609,25400
107,2021-03-22,10.9,10.92,10.85,10.91,10.896013,22000
108,2021-03-29,10.91,10.92,10.85,10.91,10.91,89500
