,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-08,9.414733,9.889001,9.404642,9.889001,9.089854,35974
1,2018-01-15,9.899092,9.979818,9.778002,9.979818,9.173332,44100
2,2018-01-22,9.989909,10.110999,9.979818,10.110999,9.293912,43604
3,2018-01-29,10.060545,10.060545,9.889001,9.949546,9.145507,18335
4,2018-02-05,9.899092,9.909183,9.334006,9.515641,8.746667,30622
5,2018-02-12,9.697275,9.798184,9.586276,9.75782,8.969275,27452
6,2018-02-19,9.818365,9.909183,9.75782,9.87891,9.080579,15064
7,2018-02-26,9.899092,9.929364,9.677094,9.788093,8.997102,14074
8,2018-03-05,9.87891,10.040363,9.767911,9.838547,9.043478,15855
9,2018-03-12,9.899092,9.969728,9.848638,9.949546,9.145507,10802
10,2018-03-19,9.899092,9.929364,9.475277,9.475277,8.709563,4757
11,2018-03-26,9.576186,9.576186,9.424823,9.545913,8.816258,21010
12,2018-04-02,9.545913,9.545913,9.344097,9.364279,8.648507,9415
13,2018-04-09,9.364279,9.364279,9.212916,9.354188,8.639188,1586
14,2018-04-16,9.434914,9.586276,9.344097,9.586276,8.853537,21704
15,2018-04-23,9.586276,9.596367,9.374369,9.434914,8.713743,17937
16,2018-04-30,9.424823,9.434914,9.26337,9.323915,8.61123,4658
17,2018-05-07,9.323915,9.485368,9.293643,9.485368,8.760341,15856
18,2018-05-14,9.374369,9.434914,9.223007,9.25328,8.545993,9910
19,2018-05-21,9.25328,9.25328,9.021191,9.021191,8.331645,22794
20,2018-05-28,8.980827,8.980827,8.63774,8.839556,8.163893,9216
21,2018-06-04,9.001009,9.001009,8.789102,8.89001,8.21049,23784
22,2018-06-11,8.990918,9.051463,8.920283,8.920283,8.23845,7334
23,2018-06-18,8.879919,8.990918,8.839556,8.930373,8.24777,13478
24,2018-06-25,8.930373,8.930373,8.668012,8.678103,8.073768,3964
25,2018-07-02,8.678103,8.869828,8.678103,8.869828,8.25214,2576
26,2018-07-09,8.869828,8.89001,8.76892,8.779011,8.167646,4559
27,2018-07-16,8.728557,8.859738,8.63774,8.718466,8.111318,11892
28,2018-07-23,8.779011,8.970737,8.748739,8.920283,8.299083,10901
29,2018-07-30,8.920283,8.920283,8.678103,8.678103,8.073768,13180
30,2018-08-06,8.789102,8.809284,8.39556,8.435923,7.84845,15956
31,2018-08-13,8.324924,8.405651,8.224016,8.284561,7.707632,9019
32,2018-08-20,8.224016,8.506559,8.224016,8.496468,7.904782,10307
33,2018-08-27,8.587286,8.587286,8.385469,8.385469,7.801512,9513
34,2018-09-03,8.355197,8.63774,8.355197,8.526741,7.932946,9811
35,2018-09-10,8.526741,8.526741,8.375378,8.506559,7.914169,3766
36,2018-09-17,8.506559,8.839556,8.506559,8.748739,8.139484,11099
37,2018-09-24,8.779011,8.819374,8.415742,8.415742,7.8873,9713
38,2018-10-01,8.39556,8.39556,8.052472,8.072654,7.565755,2972
39,2018-10-08,7.951564,8.072654,7.830474,7.830474,7.338782,6145
40,2018-10-15,7.911201,7.921292,7.719475,7.739657,7.253668,5352
41,2018-10-22,7.739657,7.739657,7.275479,7.40666,6.941581,29928
42,2018-10-29,7.558022,7.870838,7.447023,7.870838,7.376613,8621
43,2018-11-05,7.800202,7.800202,7.759839,7.790111,7.300953,6838
44,2018-11-12,7.64884,7.820383,7.578204,7.578204,7.102354,4558
45,2018-11-19,7.598385,7.598385,7.467205,7.467205,6.998323,396
46,2018-11-26,7.669021,7.769929,7.588295,7.729566,7.244211,19920
47,2018-12-03,7.719475,7.759839,7.305752,7.305752,6.847009,7432
48,2018-12-10,7.336024,7.396569,7.315843,7.396569,6.932123,5351
49,2018-12-17,7.396569,7.396569,7.003027,7.003027,6.563292,57379
