,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-06-11,10.13,10.13,10.13,10.13,8.429898,100
1,2018-06-18,10.05,10.05,10.05,10.05,8.363324,1500
2,2018-06-25,10.0,10.0,9.9,9.9,8.238497,4200
3,2018-07-02,9.9,9.9,9.9,9.9,8.238497,0
4,2018-07-09,9.9,9.9,9.9,9.9,8.238497,0
5,2018-07-16,10.2,10.23,10.19,10.2,8.488149,116000
6,2018-07-23,10.22,10.22,10.22,10.22,8.504793,3700
7,2018-07-30,10.22,10.58,10.22,10.58,8.804375,7000
8,2018-08-06,10.58,10.65,10.58,10.61,8.829339,1100
9,2018-08-13,10.64,10.75,10.61,10.75,8.945844,1500
10,2018-08-20,10.65,10.81,10.65,10.73,8.929201,18100
11,2018-08-27,10.73,10.73,10.73,10.73,8.929201,0
12,2018-09-03,10.73,10.87,10.73,10.87,9.045703,100
13,2018-09-10,10.87,10.87,10.87,10.87,9.045703,0
14,2018-09-17,10.99,11.1,10.99,11.01,9.162209,12800
15,2018-09-24,11.01,11.06,11.01,11.06,9.203816,700
16,2018-10-01,11.06,11.06,11.05,11.05,9.195496,600
17,2018-10-08,11.05,11.05,10.68,10.68,8.887591,1900
18,2018-10-15,10.68,10.92,10.68,10.92,9.087313,100
19,2018-10-22,10.63,10.63,10.44,10.5,8.737801,16100
20,2018-10-29,10.5,10.51,10.5,10.51,8.746122,1900
21,2018-11-05,10.51,10.95,10.51,10.95,9.112278,7200
22,2018-11-12,10.92,10.92,10.87,10.87,9.045703,900
23,2018-11-19,10.74,10.74,10.74,10.74,8.937523,400
24,2018-11-26,10.74,10.74,10.74,10.74,8.937523,0
25,2018-12-03,10.74,11.07,10.74,11.07,9.212139,2100
26,2018-12-10,11.07,11.07,11.07,11.07,9.212139,0
27,2018-12-17,10.2,10.2,9.75,9.76,8.121994,6000
28,2018-12-24,9.52,9.52,9.52,9.52,7.922274,100
29,2018-12-31,9.52,10.03,9.52,9.75,8.113672,2500
30,2019-01-07,9.75,10.07,9.75,10.07,8.379966,100
31,2019-01-14,10.12,10.12,10.12,10.12,8.421576,400
32,2019-01-21,10.12,10.33,10.12,10.26,8.538079,7900
33,2019-01-28,10.26,10.42,10.26,10.42,8.671227,600
34,2019-02-04,10.51,10.51,10.3,10.31,8.579688,7100
35,2019-02-11,10.33,10.47,10.33,10.47,8.712836,4500
36,2019-02-18,10.47,10.59,10.46,10.46,8.704514,4100
37,2019-02-25,10.46,10.6,10.46,10.6,8.821018,2400
38,2019-03-04,10.6,10.6,10.28,10.28,8.554723,21100
39,2019-03-11,10.27,10.53,10.27,10.53,8.762766,1800
40,2019-03-18,10.53,10.6,10.38,10.38,8.637939,1200
41,2019-03-25,10.38,10.38,10.27,10.27,8.684565,5200
42,2019-04-01,10.27,10.35,10.27,10.34,8.743758,300
43,2019-04-08,10.38,10.38,10.12,10.12,8.557721,1600
44,2019-04-15,10.12,10.12,9.66,9.66,8.168733,1900
45,2019-04-22,9.72,9.87,9.72,9.84,8.320948,7300
46,2019-04-29,9.84,10.09,9.84,10.04,8.490071,14000
47,2019-05-06,10.05,10.05,9.93,9.93,8.397053,10700
48,2019-05-13,9.88,10.06,9.88,10.06,8.506984,11000
49,2019-05-20,10.06,10.06,10.06,10.06,8.506984,0
50,2019-05-27,10.06,10.13,9.85,9.89,8.363227,1100
51,2019-06-03,9.89,10.28,9.89,10.28,8.693022,1600
52,2019-06-10,10.25,10.31,10.24,10.31,8.71839,1000
53,2019-06-17,10.25,10.57,10.25,10.35,8.752215,7000
54,2019-06-24,10.35,10.35,10.18,10.18,8.734896,900
55,2019-07-01,10.3,10.3,10.18,10.18,8.734896,300
56,2019-07-08,10.18,10.43,10.18,10.43,8.949408,2200
57,2019-07-15,10.34,10.39,10.28,10.28,8.820701,1600
58,2019-07-22,10.25,10.29,10.25,10.29,8.829282,800
