,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-08-22,11.2,11.26,11.13,11.13,9.391365,27900
1,2016-08-29,11.12,11.22,11.1,11.14,9.399799,32200
2,2016-09-05,11.16,11.25,11.15,11.17,9.425117,112400
3,2016-09-12,11.14,11.2,11.12,11.16,9.416674,9100
4,2016-09-19,11.16,11.3,11.12,11.21,9.458867,78900
5,2016-09-26,11.21,11.29,11.2,11.25,9.492618,45800
6,2016-10-03,11.29,11.29,11.2,11.2,9.484146,48300
7,2016-10-10,11.2,11.2,11.0,11.13,9.424874,49900
8,2016-10-17,11.13,11.27,11.13,11.18,9.467214,27900
9,2016-10-24,11.19,11.26,11.11,11.11,9.40794,219600
10,2016-10-31,11.19,11.25,11.12,11.25,9.560452,31100
11,2016-11-07,11.14,11.22,11.06,11.13,9.458473,72300
12,2016-11-14,11.06,11.11,11.0,11.0,9.347996,42100
13,2016-11-21,11.08,11.09,11.01,11.01,9.356498,36600
14,2016-11-28,11.08,11.08,11.0,11.04,9.415952,32000
15,2016-12-05,11.07,11.07,11.0,11.0,9.381835,70100
16,2016-12-12,11.0,11.06,10.92,11.0,9.381835,47200
17,2016-12-19,11.01,11.11,10.87,10.87,9.270955,39200
18,2016-12-26,10.89,11.01,10.89,10.99,9.407578,138600
19,2017-01-02,11.0,11.08,11.0,11.02,9.433261,30600
20,2017-01-09,11.06,11.13,11.02,11.11,9.510302,47800
21,2017-01-16,11.12,11.15,11.04,11.08,9.48462,106900
22,2017-01-23,11.11,11.27,11.02,11.05,9.458939,81900
23,2017-01-30,11.04,11.09,11.01,11.04,9.48419,24000
24,2017-02-06,11.08,11.15,11.08,11.12,9.552914,35900
25,2017-02-13,11.1,11.23,11.06,11.2,9.621641,367300
26,2017-02-20,11.13,11.18,11.12,11.15,9.57869,43700
27,2017-02-27,11.19,11.19,11.14,11.14,9.604523,69700
28,2017-03-06,11.17,11.17,11.08,11.11,9.578657,89000
29,2017-03-13,11.09,11.15,11.07,11.15,9.613145,60600
30,2017-03-20,11.12,11.23,11.12,11.23,9.682117,87900
31,2017-03-27,11.27,11.27,11.18,11.2,9.65625,78600
32,2017-04-03,11.2,11.26,11.2,11.21,9.699391,64600
33,2017-04-10,11.22,11.31,11.22,11.31,9.785916,90900
34,2017-04-17,11.3,11.34,11.29,11.33,9.803219,143200
35,2017-04-24,11.32,11.32,11.25,11.29,9.768612,203300
36,2017-05-01,11.29,11.32,11.27,11.3,9.811934,103400
37,2017-05-08,11.31,11.31,11.25,11.28,9.794565,310000
38,2017-05-15,11.26,11.37,11.25,11.37,9.872717,94000
39,2017-05-22,11.33,11.33,11.29,11.3,9.811934,97300
40,2017-05-29,11.3,11.33,11.28,11.33,9.872869,123700
41,2017-06-05,11.32,11.34,11.3,11.32,9.864156,178800
42,2017-06-12,11.32,11.33,11.25,11.3,9.846726,855000
43,2017-06-19,11.29,11.34,11.28,11.33,9.872869,98600
44,2017-06-26,11.35,11.35,11.19,11.24,9.794448,206500
45,2017-07-03,11.18,11.21,11.11,11.15,9.750412,83800
46,2017-07-10,11.16,11.16,11.11,11.16,9.759156,79200
47,2017-07-17,11.15,11.18,11.15,11.18,9.776647,92400
48,2017-07-24,11.16,11.17,11.07,11.07,9.680455,109600
49,2017-07-31,11.07,11.14,11.03,11.14,9.776803,119400
50,2017-08-07,11.13,11.15,11.08,11.14,9.776803,276800
51,2017-08-14,11.12,11.14,11.09,11.13,9.768027,132000
52,2017-08-21,11.13,11.14,11.09,11.13,9.768027,115900
53,2017-08-28,11.14,11.14,11.07,11.09,9.732924,181100
54,2017-09-04,11.1,11.11,11.05,11.05,9.732797,113300
55,2017-09-11,11.04,11.04,11.0,11.0,9.688756,343900
56,2017-09-18,11.0,11.02,10.99,11.01,9.697567,298400
57,2017-09-25,11.02,11.03,10.93,10.99,9.679945,411400
58,2017-10-02,10.99,11.01,10.97,10.99,9.715209,321900
59,2017-10-09,11.0,11.04,10.99,11.04,9.759413,485300
60,2017-10-16,11.05,11.11,11.03,11.04,9.759413,129400
61,2017-10-23,11.06,11.06,11.01,11.03,9.750574,198500
62,2017-10-30,11.04,11.07,11.04,11.07,9.821485,386100
63,2017-11-06,11.08,11.1,11.05,11.07,9.821485,184800
64,2017-11-13,11.14,11.14,11.05,11.08,9.830358,157100
65,2017-11-20,11.07,11.11,11.06,11.11,9.856974,172300
66,2017-11-27,11.11,11.12,11.04,11.07,9.821485,177400
67,2017-12-04,11.06,11.13,11.05,11.09,9.87475,160700
68,2017-12-11,11.11,11.14,11.08,11.14,9.919274,215400
69,2017-12-18,11.13,11.13,11.02,11.08,9.865846,205300
70,2017-12-25,11.01,11.06,10.99,11.06,9.848036,71700
71,2018-01-01,11.03,11.03,10.97,10.97,9.803291,42200
72,2018-01-08,10.99,10.99,10.92,10.97,9.803291,174700
73,2018-01-15,10.98,10.99,10.95,10.96,9.794353,102300
74,2018-01-22,10.95,10.97,10.9,10.93,9.767545,246400
75,2018-01-29,10.93,10.94,10.88,10.89,9.76027,159600
76,2018-02-05,10.88,10.92,10.86,10.88,9.751307,145700
77,2018-02-12,10.89,10.89,10.84,10.88,9.751307,146100
78,2018-02-19,10.89,10.89,10.83,10.88,9.751307,162200
79,2018-02-26,10.9,10.93,10.86,10.88,9.780045,413000
80,2018-03-05,10.93,10.93,10.87,10.88,9.780045,126100
81,2018-03-12,10.87,10.93,10.86,10.92,9.816002,77600
82,2018-03-19,10.92,10.93,10.84,10.87,9.771059,98900
83,2018-03-26,10.85,10.91,10.84,10.9,9.826981,106800
84,2018-04-02,10.91,10.92,10.86,10.88,9.808948,90900
85,2018-04-09,10.91,10.91,10.85,10.89,9.817967,357200
86,2018-04-16,10.87,10.88,10.83,10.84,9.772887,142700
87,2018-04-23,10.8,10.82,10.77,10.815,9.750347,59100
88,2018-04-30,10.82,10.83,10.79,10.81,9.774697,140200
89,2018-05-07,10.81,10.81,10.77,10.79,9.75661,220800
90,2018-05-14,10.8,10.8,10.73,10.78,9.747569,115900
91,2018-05-21,10.75,10.79,10.75,10.785,9.752087,146400
92,2018-05-28,10.8,10.87,10.8,10.83,9.821935,168500
93,2018-06-04,10.83,10.83,10.78,10.8,9.794727,106200
94,2018-06-11,10.79,10.87,10.79,10.87,9.858215,101700
95,2018-06-18,10.87,10.9,10.85,10.87,9.858215,164200
96,2018-06-25,10.88,10.9,10.84,10.85,9.869076,93800
97,2018-07-02,10.85,10.88,10.84,10.88,9.89636,117000
98,2018-07-09,10.87,10.89,10.85,10.89,9.905457,197200
99,2018-07-16,10.88,10.9,10.85,10.86,9.878167,89000
100,2018-07-23,10.87,10.87,10.77,10.78,9.805403,161500
101,2018-07-30,10.77,10.78,10.73,10.78,9.834488,111300
102,2018-08-06,10.78,10.815,10.75,10.815,9.866417,39600
103,2018-08-13,10.79,10.83,10.78,10.82,9.87098,42800
104,2018-08-20,10.82,10.85,10.77,10.81,9.861856,130300
105,2018-08-27,10.77,10.83,10.765,10.83,9.909353,259000
106,2018-09-03,10.8,10.82,10.76,10.77,9.854456,140200
107,2018-09-10,10.77,10.78,10.74,10.75,9.836157,93100
108,2018-09-17,10.75,10.76,10.67,10.69,9.781256,181200
109,2018-09-24,10.67,10.7,10.65,10.7,9.819743,159700
110,2018-10-01,10.68,10.69,10.6,10.61,9.737149,243000
111,2018-10-08,10.61,10.65,10.58,10.63,9.755506,260500
112,2018-10-15,10.63,10.64,10.6,10.6,9.727973,175900
113,2018-10-22,10.62,10.67,10.59,10.65,9.773858,137600
114,2018-10-29,10.64,10.64,10.54,10.54,9.70213,173300
115,2018-11-05,10.54,10.58,10.54,10.58,9.738951,99600
116,2018-11-12,10.62,10.63,10.58,10.62,9.775769,98000
117,2018-11-19,10.6,10.64,10.56,10.56,9.720541,110800
118,2018-11-26,10.59,10.6,10.56,10.58,9.768468,99000
119,2018-12-03,10.57,10.7,10.57,10.65,9.833097,294600
120,2018-12-10,10.67,10.7,10.62,10.68,9.860795,151000
121,2018-12-17,10.68,10.76,10.67,10.69,9.870028,187500
122,2018-12-24,10.69,10.71,10.67,10.71,9.918075,43500
123,2018-12-31,10.68,10.78,10.66,10.7,9.908813,83400
124,2019-01-07,10.73,10.73,10.67,10.72,9.927337,135800
125,2019-01-14,10.72,10.73,10.675,10.68,9.890294,83300
126,2019-01-21,10.71,10.75,10.7,10.72,9.927337,282900
127,2019-01-28,10.72,10.8,10.71,10.74,9.975549,300900
128,2019-02-04,10.74,10.82,10.74,10.82,10.049856,311200
129,2019-02-11,10.81,10.82,10.78,10.81,10.040569,248800
130,2019-02-18,10.81,10.82,10.76,10.78,10.012704,148700
131,2019-02-25,10.76,10.8,10.74,10.76,10.023774,240600
132,2019-03-04,10.76,10.84,10.75,10.84,10.098296,356600
133,2019-03-11,10.84,10.86,10.82,10.85,10.107614,256600
134,2019-03-18,10.84,10.92,10.83,10.9,10.154194,207300
135,2019-03-25,10.94,10.97,10.89,10.91,10.193494,383500
136,2019-04-01,10.91,10.91,10.85,10.87,10.156114,120800
137,2019-04-08,10.85,10.88,10.83,10.84,10.128086,154700
138,2019-04-15,10.85,10.86,10.82,10.85,10.137432,282000
139,2019-04-22,10.85,10.89,10.81,10.89,10.174808,281000
140,2019-04-29,10.88,10.88,10.84,10.85,10.167419,535500
141,2019-05-06,10.87,10.91,10.87,10.89,10.204904,248400
142,2019-05-13,10.91,10.94,10.9,10.93,10.242383,159800
143,2019-05-20,10.9,10.97,10.87,10.93,10.242383,98900
144,2019-05-27,10.94,11.02,10.93,11.01,10.34759,111400
145,2019-06-03,11.02,11.07,11.01,11.04,10.375787,180300
146,2019-06-10,11.02,11.06,10.99,11.04,10.375787,135300
147,2019-06-17,11.08,11.12,11.02,11.02,10.356989,112500
148,2019-06-24,11.08,11.08,11.03,11.04,10.405813,246200
149,2019-07-01,11.05,11.11,11.02,11.04,10.405813,316700
150,2019-07-08,11.02,11.05,10.99,11.005,10.372824,72300
151,2019-07-15,11.02,11.07,10.98,11.06,10.424661,74800
152,2019-07-22,11.07,11.09,11.03,11.04,10.405813,113000
153,2019-07-29,11.05,11.13,11.02,11.13,10.521055,107300
154,2019-08-05,11.21,11.29,11.2,11.2,10.587223,79100
155,2019-08-12,11.27,11.35,11.23,11.31,10.691206,88800
156,2019-08-19,11.28,11.31,11.23,11.26,10.643941,34600
157,2019-08-26,11.27,11.34,11.24,11.3,10.712224,233900
158,2019-09-02,11.29,11.33,11.21,11.21,10.626903,93400
159,2019-09-09,11.19,11.19,11.03,11.04,10.46575,171200
160,2019-09-16,11.01,11.16,11.01,11.16,10.579506,147800
161,2019-09-23,11.16,11.2,11.11,11.16,10.579506,152400
162,2019-09-30,11.11,11.25,11.11,11.25,10.687808,56700
163,2019-10-07,11.23,11.25,11.06,11.1,10.545305,79500
164,2019-10-14,11.06,11.08,11.04,11.08,10.526303,91100
165,2019-10-21,11.07,11.11,11.03,11.04,10.488303,100700
166,2019-10-28,11.01,11.12,10.97,11.07,10.547266,128200
167,2019-11-04,11.05,11.05,10.96,11.02,10.499625,118100
168,2019-11-11,11.06,11.09,10.98,11.09,10.566321,184900
169,2019-11-18,11.08,11.14,11.07,11.08,10.556793,242000
170,2019-11-25,11.07,11.11,11.07,11.1,10.606398,148900
171,2019-12-02,11.07,11.13,11.04,11.05,10.558619,143000
172,2019-12-09,11.05,11.06,11.01,11.05,10.558619,247300
173,2019-12-16,11.03,11.05,11.0,11.03,10.539509,196600
174,2019-12-23,11.02,11.06,11.01,11.06,10.598872,45700
175,2019-12-30,11.02,11.07,11.0,11.06,10.598872,119200
176,2020-01-06,11.08,11.09,11.0,11.04,10.579706,163300
177,2020-01-13,11.04,11.09,11.03,11.08,10.618034,104300
178,2020-01-20,11.06,11.18,11.06,11.18,10.713868,132000
179,2020-01-27,11.2,11.23,11.15,11.23,10.792757,95800
180,2020-02-03,11.21,11.225,11.14,11.2,10.763925,144600
181,2020-02-10,11.22,11.22,11.15,11.15,10.715872,167200
182,2020-02-17,11.23,11.23,11.18,11.21,10.773536,57700
183,2020-02-24,11.25,11.32,11.23,11.23,10.823627,102600
184,2020-03-02,11.25,11.54,11.25,11.46,11.0453,101100
185,2020-03-09,11.52,11.56,10.75,11.02,10.621225,662800
186,2020-03-16,8.95,10.88,8.95,10.55,10.168234,647900
187,2020-03-23,10.5,10.84,10.32,10.84,10.447741,759800
188,2020-03-30,10.78,10.9,10.71,10.81,10.450705,244300
189,2020-04-06,10.81,10.9,10.76,10.9,10.537714,107300
190,2020-04-13,10.93,11.25,10.88,11.2,10.827743,283400
191,2020-04-20,11.13,11.26,11.13,11.2,10.827743,87100
192,2020-04-27,11.21,11.28,11.19,11.21,10.868464,609700
193,2020-05-04,11.26,11.28,11.23,11.24,10.897549,128500
194,2020-05-11,11.21,11.24,11.2,11.23,10.887852,70700
195,2020-05-18,11.22,11.25,11.18,11.24,10.897549,150100
196,2020-05-25,11.24,11.25,11.21,11.24,10.928718,175200
197,2020-06-01,11.23,11.26,11.21,11.21,10.899549,162900
198,2020-06-08,11.22,11.39,11.22,11.36,11.045394,157700
199,2020-06-15,11.4,11.44,11.36,11.42,11.103733,87900
