,Date,Open,High,Low,Close,Adj Close,Volume
0,2013-08-19,9.92,9.94,9.9,9.9,6.09694,246000
1,2013-08-26,9.9,10.0,9.88,9.94,6.121574,221000
2,2013-09-02,9.94,9.95,9.9,9.9,6.09694,48500
3,2013-09-09,9.9,10.2,9.9,9.95,6.127732,72600
4,2013-09-16,10.0,10.15,9.95,10.0,6.158525,69900
5,2013-09-23,10.0,10.1,9.92,9.99,6.152367,48300
6,2013-09-30,10.0,10.1,9.99,10.1,6.220114,92400
7,2013-10-07,10.1,10.1,9.91,10.0,6.158525,30200
8,2013-10-14,10.1,10.1,9.95,10.01,6.164684,11600
9,2013-10-21,10.0,10.02,9.9,9.95,6.127732,52200
10,2013-10-28,9.99,10.08,9.92,10.0,6.158525,33200
11,2013-11-04,10.06,10.1,9.9,10.07,6.201635,60800
12,2013-11-11,10.07,10.18,10.0,10.0,6.158525,38200
13,2013-11-18,10.11,10.4,10.03,10.4,6.404867,75200
14,2013-11-25,10.35,10.45,10.04,10.25,6.31249,56200
15,2013-12-02,10.38,10.39,10.08,10.35,6.374074,49800
16,2013-12-09,10.3,10.3,10.01,10.17,6.263221,71200
17,2013-12-16,10.26,10.39,10.15,10.25,6.31249,89200
18,2013-12-23,10.22,10.34,10.22,10.34,6.367915,1400
19,2013-12-30,10.3,10.4,10.12,10.25,6.31249,43400
20,2014-01-06,10.25,10.5,10.18,10.5,6.466453,79500
21,2014-01-13,10.41,10.59,10.24,10.35,6.374074,134000
22,2014-01-20,10.45,10.5,9.86,9.86,6.072305,195300
23,2014-01-27,9.95,10.24,9.85,10.23,6.30017,83500
24,2014-02-03,10.16,10.16,9.78,10.09,6.213952,59900
25,2014-02-10,10.1,10.4,9.96,10.06,6.195476,57800
26,2014-02-17,10.09,10.35,10.0,10.29,6.337123,101900
27,2014-02-24,10.3,10.56,10.25,10.42,6.417185,61200
28,2014-03-03,10.35,10.74,10.3,10.67,6.571148,84100
29,2014-03-10,10.7,10.73,10.27,10.38,6.392549,94900
30,2014-03-17,10.41,10.9,10.41,10.85,6.682001,121400
31,2014-03-24,10.95,10.95,10.13,10.33,6.361756,120400
32,2014-03-31,10.36,10.7,10.35,10.35,6.47343,72700
33,2014-04-07,10.35,10.35,9.8,9.8,6.129431,133200
34,2014-04-14,9.85,10.15,9.82,10.15,6.348339,29500
35,2014-04-21,10.15,10.25,9.99,10.0,6.254522,123300
36,2014-04-28,10.01,10.25,9.92,10.25,6.410886,97200
37,2014-05-05,10.15,10.3,9.92,10.04,6.27954,145500
38,2014-05-12,10.1,10.3,9.82,9.9,6.191977,115600
39,2014-05-19,9.94,10.2,9.86,10.14,6.342084,67000
40,2014-05-26,10.1,10.2,9.93,10.06,6.292048,56500
41,2014-06-02,9.98,10.45,9.98,10.36,6.479684,59600
42,2014-06-09,10.38,10.47,10.35,10.35,6.47343,82100
43,2014-06-16,10.35,10.48,10.31,10.38,6.492194,65500
44,2014-06-23,10.36,10.45,10.16,10.24,6.40463,81200
45,2014-06-30,10.22,10.34,10.02,10.28,6.499013,20200
46,2014-07-07,10.27,10.36,10.16,10.25,6.480047,71400
47,2014-07-14,10.21,10.54,10.21,10.54,6.663385,105400
48,2014-07-21,10.46,10.57,10.44,10.5,6.638099,125700
49,2014-07-28,10.49,10.59,10.3,10.33,6.530622,189000
50,2014-08-04,10.32,10.39,10.25,10.39,6.568556,43500
51,2014-08-11,10.4,10.5,10.34,10.45,6.606489,36400
52,2014-08-18,10.45,10.75,10.41,10.68,6.751894,117900
53,2014-08-25,10.63,10.8,10.63,10.74,6.789826,125400
54,2014-09-01,10.76,10.94,10.76,10.87,6.872011,298700
55,2014-09-08,10.84,11.08,10.8,11.08,7.004773,233600
56,2014-09-15,11.05,11.1,10.89,11.01,6.960521,90800
57,2014-09-22,10.97,11.0,10.65,10.79,6.821435,137900
58,2014-09-29,10.63,10.75,10.34,10.65,6.807531,74000
59,2014-10-06,10.61,10.61,10.18,10.18,6.507105,104000
60,2014-10-13,10.14,10.16,9.7,10.08,6.443184,57100
61,2014-10-20,10.02,10.32,10.0,10.29,6.577416,131900
62,2014-10-27,10.29,10.73,10.29,10.7,6.839492,73600
63,2014-11-03,10.71,10.91,10.66,10.73,6.858667,45600
64,2014-11-10,10.78,10.92,10.74,10.79,6.897019,89800
65,2014-11-17,10.82,10.91,10.79,10.9,6.967332,97800
66,2014-11-24,10.92,11.1,10.9,11.01,7.037646,98700
67,2014-12-01,11.07,11.07,10.88,11.06,7.069606,43600
68,2014-12-08,11.19,11.21,10.94,10.94,6.992898,0
69,2014-12-15,10.8,10.85,10.74,10.85,6.935372,0
70,2014-12-22,11.3,11.37,11.28,11.34,7.248583,7700
71,2014-12-29,11.34,11.35,11.17,11.17,7.212682,0
72,2015-01-05,11.26,11.26,10.78,10.85,7.006051,0
73,2015-01-12,10.85,10.85,10.48,10.48,6.767134,0
74,2015-01-19,10.47,10.7,10.47,10.7,6.909195,0
75,2015-01-26,10.93,10.97,10.73,10.73,6.928566,0
76,2015-02-02,10.82,11.15,10.82,11.15,7.199769,0
77,2015-02-09,11.23,11.54,11.23,11.54,7.451597,0
78,2015-02-16,11.47,11.52,11.4,11.4,7.361197,0
79,2015-02-23,11.53,11.53,11.42,11.42,7.374113,0
80,2015-03-02,11.43,11.56,11.37,11.37,7.341824,0
81,2015-03-09,11.64,11.64,11.4,11.49,7.419312,0
