,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-01-23,8.47,8.47,7.91,7.92,5.233027,105100
1,2012-01-30,7.92,8.0,7.73,7.87,5.199991,19500
2,2012-02-06,7.87,8.16,7.86,8.1,5.35196,37600
3,2012-02-13,8.1,8.11,7.87,8.0,5.285886,36400
4,2012-02-20,8.01,8.05,7.96,8.0,5.285886,17400
5,2012-02-27,8.05,8.11,7.94,7.94,5.246242,22000
6,2012-03-05,7.99,8.0,7.78,8.0,5.285886,83200
7,2012-03-12,8.0,8.46,7.92,8.46,5.589824,9300
8,2012-03-19,8.25,8.25,8.12,8.13,5.371782,26400
9,2012-03-26,8.2,8.34,7.97,7.99,5.279279,65000
10,2012-04-02,8.02,8.02,7.89,7.95,5.365433,28800
11,2012-04-09,7.95,8.25,7.86,8.0,5.399178,32100
12,2012-04-16,7.96,8.04,7.87,7.92,5.345187,56600
13,2012-04-23,7.92,7.94,7.9,7.9,5.331689,56100
14,2012-04-30,7.98,8.01,7.75,7.77,5.243952,65200
15,2012-05-07,7.77,7.78,7.58,7.67,5.176462,56300
16,2012-05-14,7.56,7.6,7.39,7.42,5.007737,23600
17,2012-05-21,7.42,7.47,7.3,7.3,4.926751,24100
18,2012-05-28,7.31,7.45,7.26,7.3,4.926751,175700
19,2012-06-04,7.3,7.46,7.14,7.45,5.027986,64100
20,2012-06-11,7.36,7.4,7.29,7.35,4.960495,130900
21,2012-06-18,7.35,7.6,7.35,7.4,4.99424,27400
22,2012-06-25,7.4,7.45,7.25,7.4,4.99424,29500
23,2012-07-02,7.5,7.56,7.25,7.35,5.079819,87000
24,2012-07-09,7.35,7.39,7.29,7.33,5.065998,30900
25,2012-07-16,7.33,7.4,7.25,7.31,5.052174,60700
26,2012-07-23,7.27,7.36,7.15,7.36,5.086731,44800
27,2012-07-30,7.29,7.37,7.2,7.27,5.02453,40500
28,2012-08-06,7.29,7.38,7.29,7.35,5.079819,21400
29,2012-08-13,7.4,7.51,7.35,7.51,5.1904,88000
30,2012-08-20,7.58,7.58,7.48,7.58,5.23878,48100
31,2012-08-27,7.58,7.6,7.55,7.58,5.23878,27400
32,2012-09-03,7.59,7.73,7.54,7.73,5.342449,79000
33,2012-09-10,7.71,7.73,7.44,7.73,5.342449,29500
34,2012-09-17,7.77,7.77,7.58,7.77,5.370095,28000
35,2012-09-24,7.68,7.68,7.35,7.44,5.142021,43000
36,2012-10-01,7.43,7.47,7.37,7.39,5.210161,36500
37,2012-10-08,7.39,7.43,7.3,7.3,5.146708,16700
38,2012-10-15,7.4,7.5,7.32,7.45,5.252464,63000
39,2012-10-22,7.41,7.42,7.32,7.42,5.231314,57300
40,2012-10-29,7.42,7.47,7.4,7.47,5.266563,18700
41,2012-11-05,7.51,7.6,7.47,7.47,5.266563,30300
42,2012-11-12,7.42,7.57,7.35,7.35,5.181962,39300
43,2012-11-19,7.4,7.54,7.31,7.48,5.273614,48300
44,2012-11-26,7.54,8.01,7.54,7.57,5.337069,39200
45,2012-12-03,7.69,7.69,7.57,7.57,5.337069,32500
46,2012-12-10,7.63,7.95,7.6,7.67,5.407572,51100
47,2012-12-17,7.7,7.77,7.65,7.77,5.478073,36800
48,2012-12-24,7.82,7.83,7.82,7.83,5.520374,8500
49,2012-12-31,7.83,8.27,7.83,7.9,5.678652,20500
50,2013-01-07,7.85,7.96,7.82,7.93,5.700217,14300
51,2013-01-14,7.95,7.99,7.82,7.99,5.743347,60300
52,2013-01-21,7.89,8.22,7.85,8.14,5.851169,56800
53,2013-01-28,8.09,8.15,8.0,8.0,5.750535,71800
54,2013-02-04,8.0,8.15,8.0,8.08,5.80804,31600
55,2013-02-11,8.1,8.2,8.1,8.12,5.836793,8800
56,2013-02-18,8.13,8.31,8.13,8.26,5.937428,47700
57,2013-02-25,8.25,8.35,8.15,8.2,5.894297,30000
58,2013-03-04,8.18,8.28,8.18,8.28,5.951803,27800
59,2013-03-11,8.2,8.45,8.2,8.21,5.901485,27100
60,2013-03-18,8.21,8.31,8.19,8.22,5.908674,22000
61,2013-03-25,8.2,8.2,7.97,8.06,5.793664,22400
62,2013-04-01,8.1,8.31,7.81,7.84,5.740533,33300
63,2013-04-08,7.84,7.94,7.81,7.9,5.784466,28300
64,2013-04-15,7.97,8.0,7.66,8.0,5.857687,92400
65,2013-04-22,7.95,8.0,7.86,8.0,5.857687,14300
66,2013-04-29,7.91,8.04,7.91,8.01,5.865009,24700
67,2013-05-06,8.07,8.17,8.07,8.1,5.930908,26500
68,2013-05-13,8.1,8.11,8.05,8.1,5.930908,16700
69,2013-05-20,8.2,8.26,8.1,8.15,5.967518,23500
70,2013-05-27,8.15,8.27,8.15,8.17,5.982162,14300
71,2013-06-03,8.16,8.29,8.07,8.07,5.908941,4400
72,2013-06-10,8.07,8.1,8.03,8.05,5.894296,32700
73,2013-06-17,8.05,8.16,8.02,8.02,5.872332,27200
74,2013-06-24,8.01,8.02,7.87,7.95,5.821076,36500
75,2013-07-01,7.95,8.06,7.95,8.03,5.992579,2800
76,2013-07-08,8.05,8.26,8.03,8.2,6.119447,28000
77,2013-07-15,8.25,8.35,8.21,8.35,6.231384,6900
78,2013-07-22,8.39,8.39,8.38,8.38,6.253775,5600
79,2013-07-29,8.36,8.43,8.36,8.43,6.291088,8800
80,2013-08-05,8.41,8.5,8.39,8.46,6.313477,48300
81,2013-08-12,8.46,8.51,8.46,8.49,6.335865,8100
82,2013-08-19,8.46,8.48,8.37,8.47,6.32094,24600
83,2013-08-26,8.46,8.47,8.32,8.45,6.306014,22400
84,2013-09-02,8.47,8.55,8.44,8.53,6.365716,5000
85,2013-09-09,8.57,8.6,8.34,8.34,6.223923,33400
86,2013-09-16,8.35,8.54,8.35,8.48,6.328404,26100
87,2013-09-23,8.48,8.55,8.48,8.55,6.380642,41100
88,2013-09-30,8.49,8.53,8.49,8.49,6.449005,21900
89,2013-10-07,8.51,8.51,8.48,8.48,6.441411,10100
90,2013-10-14,8.48,8.55,8.48,8.52,6.471794,31400
91,2013-10-21,8.55,8.83,8.54,8.82,6.699673,135600
92,2013-10-28,8.82,8.9,8.75,8.75,6.646501,33100
93,2013-11-04,8.76,8.9,8.75,8.85,6.722463,32300
94,2013-11-11,8.85,8.97,8.8,8.85,6.722463,81000
95,2013-11-18,8.99,9.02,8.9,8.97,6.813613,43100
96,2013-11-25,8.98,9.1,8.95,9.01,6.843998,32900
97,2013-12-02,9.04,9.05,8.86,8.87,6.737655,58200
98,2013-12-09,8.92,8.95,8.92,8.92,6.775633,53800
99,2013-12-16,8.9,9.0,8.9,8.95,6.798421,40700
100,2013-12-23,8.95,8.95,8.92,8.95,6.798421,12400
101,2013-12-30,8.95,8.96,8.95,8.95,6.914303,7000
102,2014-01-06,8.95,8.97,8.95,8.97,6.929753,14000
103,2014-01-13,9.0,9.16,8.95,8.95,6.914303,89500
104,2014-01-20,8.95,8.95,8.83,8.83,6.821598,65800
105,2014-01-27,8.69,8.69,8.46,8.48,6.551207,59900
106,2014-02-03,8.48,8.55,8.34,8.52,6.582109,33900
107,2014-02-10,8.55,8.85,8.55,8.8,6.798423,18900
108,2014-02-17,8.69,8.9,8.69,8.74,6.752069,14100
109,2014-02-24,8.79,8.9,8.76,8.79,6.790696,43300
110,2014-03-03,8.8,8.95,8.79,8.95,6.914303,10900
111,2014-03-10,8.9,9.0,8.84,8.95,6.914303,31700
112,2014-03-17,8.91,9.0,8.9,9.0,6.952929,32100
113,2014-03-24,9.0,9.13,9.0,9.0,6.952929,58600
114,2014-03-31,9.0,9.0,8.91,8.94,7.023639,30800
115,2014-04-07,8.91,8.91,8.84,8.84,6.945075,24200
116,2014-04-14,8.84,8.85,8.78,8.8,6.913651,6100
117,2014-04-21,8.85,8.9,8.8,8.9,6.992213,89900
118,2014-04-28,8.9,8.93,8.86,8.93,7.015783,15900
119,2014-05-05,8.97,9.13,8.97,9.0,7.070775,109800
120,2014-05-12,9.0,9.0,8.86,8.9,6.992213,12000
121,2014-05-19,8.88,9.0,8.86,8.97,7.047207,17900
122,2014-05-26,8.99,8.99,8.94,8.96,7.039352,7700
123,2014-06-02,8.95,9.13,8.93,9.13,7.172909,23000
124,2014-06-09,9.16,9.16,9.12,9.13,7.172909,18000
125,2014-06-16,9.13,9.18,9.1,9.12,7.165051,35800
126,2014-06-23,9.12,9.12,8.97,9.05,7.110058,4700
127,2014-06-30,9.05,9.11,9.05,9.1,7.269298,4700
128,2014-07-07,9.1,9.12,8.99,9.07,7.245332,28000
129,2014-07-14,9.1,9.2,9.1,9.18,7.333203,25300
130,2014-07-21,9.2,9.3,9.2,9.3,7.429062,17100
131,2014-07-28,9.31,9.49,9.27,9.27,7.405098,27200
132,2014-08-04,9.29,9.31,9.22,9.22,7.365156,13800
133,2014-08-11,9.25,9.37,9.25,9.33,7.453028,30800
134,2014-08-18,9.39,9.49,9.37,9.49,7.580838,11200
135,2014-08-25,9.49,9.51,9.42,9.45,7.548884,16200
136,2014-09-01,9.49,9.58,9.49,9.49,7.580838,107700
137,2014-09-08,9.48,9.51,9.15,9.2,7.349181,43500
138,2014-09-15,9.22,9.28,9.2,9.27,7.405098,38800
139,2014-09-22,9.26,9.3,8.75,8.91,7.117518,47300
140,2014-09-29,8.81,8.93,8.78,8.78,7.134183,29000
141,2014-10-06,8.78,8.92,8.65,8.75,7.109807,8300
142,2014-10-13,8.67,8.67,8.49,8.5,6.906669,22200
143,2014-10-20,8.41,8.69,8.4,8.69,7.061054,14600
144,2014-10-27,8.69,8.99,8.57,8.99,7.304818,8700
145,2014-11-03,8.75,8.81,8.73,8.73,7.093556,23700
146,2014-11-10,8.73,8.8,8.73,8.8,7.150434,1000
147,2014-11-17,8.83,8.88,8.81,8.88,7.215438,10300
148,2014-11-24,8.97,9.05,8.9,9.04,7.345445,13200
149,2014-12-01,9.04,9.04,8.9,8.9,7.231688,25700
150,2014-12-08,8.9,8.9,8.85,8.85,7.191061,29900
151,2014-12-15,8.84,8.84,8.65,8.65,7.02855,17800
152,2014-12-22,8.65,8.75,8.62,8.65,7.02855,4500
153,2014-12-29,8.65,8.65,8.5,8.5,6.906669,1100
154,2015-01-05,8.5,8.57,8.5,8.5,7.028551,4900
155,2015-01-12,8.5,8.5,7.93,7.93,6.557225,11200
156,2015-01-19,7.94,8.14,7.82,8.14,6.730872,11800
157,2015-01-26,8.13,8.13,8.12,8.12,6.714334,15900
158,2015-02-02,8.12,8.22,8.12,8.2,6.780485,3300
159,2015-02-09,8.22,8.53,8.16,8.4,6.945863,8800
160,2015-02-16,8.45,8.46,8.4,8.4,6.945863,7300
161,2015-02-23,8.49,8.49,8.39,8.43,6.97067,17200
162,2015-03-02,8.44,8.51,8.38,8.38,6.929325,4900
163,2015-03-09,8.38,8.41,8.25,8.26,6.830097,18700
164,2015-03-16,8.26,8.35,8.24,8.35,6.904518,12000
165,2015-03-23,8.3,8.48,8.22,8.22,6.797023,14900
166,2015-03-30,8.22,8.37,8.22,8.37,7.045985,2500
167,2015-04-06,8.38,8.5,8.38,8.5,7.15542,5300
168,2015-04-13,8.5,8.64,8.46,8.46,7.121747,17000
169,2015-04-20,8.48,8.7,8.45,8.45,7.113329,14400
170,2015-04-27,8.52,8.62,8.51,8.52,7.172256,7400
171,2015-05-04,8.52,8.59,8.38,8.59,7.231185,12800
172,2015-05-11,8.59,8.59,8.27,8.36,7.037566,7900
173,2015-05-18,8.36,8.58,8.36,8.43,7.096496,5500
174,2015-05-25,8.45,8.45,8.32,8.4,7.071239,13600
175,2015-06-01,8.4,8.43,8.4,8.42,7.088076,9500
176,2015-06-08,8.42,8.42,8.35,8.4,7.071239,12500
177,2015-06-15,8.43,8.43,8.38,8.43,7.096496,1600
178,2015-06-22,8.5,8.51,8.32,8.48,7.138582,12100
179,2015-06-29,8.24,8.24,8.13,8.13,6.967338,200
180,2015-07-06,8.06,8.23,7.89,7.89,6.761659,4500
181,2015-07-13,8.02,8.12,7.96,8.12,6.958769,12200
182,2015-07-20,8.22,8.22,7.91,8.12,6.958769,11900
183,2015-07-27,7.85,8.02,7.78,8.02,6.873067,4300
184,2015-08-03,8.02,8.02,7.91,7.91,6.778799,3000
185,2015-08-10,7.91,7.91,7.79,7.79,6.675961,5500
186,2015-08-17,7.76,7.78,7.53,7.55,6.470284,10100
187,2015-08-24,7.09,7.8,7.03,7.74,6.63311,5800
188,2015-08-31,7.77,7.77,7.48,7.52,6.444572,7700
189,2015-09-07,7.52,7.6,7.44,7.44,6.376015,6100
190,2015-09-14,7.44,7.56,7.44,7.52,6.444572,16500
191,2015-09-21,7.6,7.6,7.42,7.42,6.358874,3500
192,2015-09-28,7.36,7.36,7.05,7.27,6.230326,13100
193,2015-10-05,7.38,7.55,7.38,7.54,6.595036,17800
194,2015-10-12,7.54,7.59,7.43,7.43,6.498822,6900
195,2015-10-19,7.43,7.55,7.3,7.52,6.577542,15100
196,2015-10-26,7.52,7.58,7.5,7.58,6.630023,12500
197,2015-11-02,7.58,7.67,7.58,7.66,6.699996,15100
