,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-01-08,9.93,9.96,9.93,9.95,9.175931,149500
1,2018-01-15,9.95,9.96,9.93,9.94,9.166707,281900
2,2018-01-22,9.95,9.95,9.92,9.93,9.157489,202300
3,2018-01-29,9.93,9.94,9.91,9.94,9.185186,259600
4,2018-02-05,9.92,9.93,9.91,9.93,9.175951,248400
5,2018-02-12,9.91,9.92,9.89,9.91,9.157471,136200
6,2018-02-19,9.93,9.93,9.9,9.92,9.166706,93100
7,2018-02-26,9.91,9.92,9.9,9.91,9.175951,242100
8,2018-03-05,9.9,9.93,9.9,9.91,9.175951,309000
9,2018-03-12,9.92,9.94,9.91,9.93,9.19447,108800
10,2018-03-19,9.92,9.92,9.88,9.88,9.148168,330500
11,2018-03-26,9.9,9.9,9.88,9.9,9.185206,98300
12,2018-04-02,9.9,9.91,9.89,9.89,9.175931,107700
13,2018-04-09,9.91,9.94,9.89,9.94,9.222318,148700
14,2018-04-16,9.93,9.94,9.9,9.93,9.213042,141900
15,2018-04-23,9.92,9.92,9.89,9.9,9.185206,170700
16,2018-04-30,9.89,9.92,9.89,9.91,9.213045,128300
17,2018-05-07,9.89,9.91,9.89,9.9,9.203743,308600
18,2018-05-14,9.9,9.91,9.86,9.88,9.185154,202600
19,2018-05-21,9.9,9.91,9.87,9.88,9.185154,77000
20,2018-05-28,9.88,9.92,9.86,9.89,9.213042,110100
21,2018-06-04,9.88,9.9,9.87,9.88,9.203728,239100
22,2018-06-11,9.89,9.91,9.87,9.89,9.213042,342300
23,2018-06-18,9.89,9.91,9.86,9.87,9.19441,173400
24,2018-06-25,9.88,9.88,9.85,9.86,9.203669,242400
25,2018-07-02,9.86,9.88,9.86,9.88,9.222338,89300
26,2018-07-09,9.86,9.9,9.86,9.87,9.213006,365400
27,2018-07-16,9.89,9.9,9.87,9.9,9.241008,391900
28,2018-07-23,9.88,9.9,9.87,9.9,9.241008,222500
29,2018-07-30,9.88,9.91,9.88,9.91,9.269105,55100
30,2018-08-06,9.91,9.91,9.89,9.91,9.269105,42400
31,2018-08-13,9.91,9.91,9.89,9.91,9.269105,65600
32,2018-08-20,9.91,9.92,9.885,9.89,9.250401,81100
33,2018-08-27,9.9,9.91,9.88,9.88,9.259713,195400
34,2018-09-03,9.89,9.9,9.88,9.89,9.269088,171500
35,2018-09-10,9.9,9.91,9.88,9.9,9.278454,92200
36,2018-09-17,9.91,9.92,9.88,9.88,9.259713,106900
37,2018-09-24,9.89,9.9,9.87,9.9,9.297198,377300
38,2018-10-01,9.89,9.89,9.86,9.86,9.259638,85000
39,2018-10-08,9.88,9.89,9.86,9.87,9.26903,112000
40,2018-10-15,9.87,9.9,9.87,9.89,9.287812,62000
41,2018-10-22,9.87,9.89,9.84,9.85,9.250247,105200
42,2018-10-29,9.86,9.87,9.84,9.85,9.26903,73700
43,2018-11-05,9.85,9.89,9.85,9.89,9.30667,57000
44,2018-11-12,9.82,9.88,9.82,9.85,9.26903,41100
45,2018-11-19,9.86,9.87,9.83,9.85,9.26903,121200
46,2018-11-26,9.84,9.87,9.83,9.85,9.287866,268900
47,2018-12-03,9.86,9.88,9.85,9.86,9.297294,77500
48,2018-12-10,9.86,9.87,9.84,9.86,9.297294,114600
49,2018-12-17,9.85,9.86,9.79,9.8,9.24072,116900
50,2018-12-24,9.8,9.82,9.79,9.82,9.278418,7600
51,2018-12-31,9.82,9.83,9.8,9.81,9.268971,67600
52,2019-01-07,9.83,9.88,9.83,9.88,9.335111,39500
53,2019-01-14,9.87,9.89,9.86,9.87,9.325662,147900
54,2019-01-21,9.89,9.9,9.86,9.87,9.325662,230300
55,2019-01-28,9.86,9.89,9.86,9.87,9.344578,139200
56,2019-02-04,9.88,9.91,9.87,9.9,9.37298,102700
57,2019-02-11,9.89,9.92,9.89,9.91,9.382449,73500
58,2019-02-18,9.92,9.92,9.88,9.9,9.37298,62100
59,2019-02-25,9.88,9.91,9.88,9.91,9.401442,537500
60,2019-03-04,9.91,9.92,9.89,9.9,9.391957,250800
61,2019-03-11,9.91,9.92,9.89,9.92,9.410929,88000
62,2019-03-18,9.91,9.93,9.89,9.89,9.382467,32900
63,2019-03-25,9.9,9.92,9.89,9.9,9.410931,89600
64,2019-04-01,9.9,9.91,9.89,9.9,9.410931,60200
65,2019-04-08,9.91,9.91,9.89,9.9,9.410931,75500
66,2019-04-15,9.91,9.91,9.89,9.91,9.420433,21800
67,2019-04-22,9.92,9.92,9.9,9.9,9.410931,49600
68,2019-04-29,9.91,9.91,9.9,9.9,9.429959,16700
69,2019-05-06,9.91,9.91,9.89,9.9,9.429959,56700
70,2019-05-13,9.91,9.93,9.89,9.91,9.439486,80000
71,2019-05-20,9.9,9.92,9.89,9.89,9.420432,27500
72,2019-05-27,9.9,9.91,9.89,9.9,9.449011,76500
73,2019-06-03,9.92,9.93,9.9,9.91,9.458556,72300
74,2019-06-10,9.9,9.93,9.9,9.92,9.468099,72500
75,2019-06-17,9.91,9.95,9.9,9.9,9.449011,34700
76,2019-06-24,9.91,9.93,9.9,9.92,9.487168,79100
77,2019-07-01,9.92,9.93,9.91,9.92,9.487168,10300
78,2019-07-08,9.9,9.93,9.9,9.92,9.487168,57200
79,2019-07-15,9.92,9.94,9.91,9.92,9.487168,34700
80,2019-07-22,9.93,9.94,9.89,9.91,9.477605,44500
81,2019-07-29,9.91,9.94,9.91,9.94,9.525501,47700
82,2019-08-05,9.88,9.94,9.88,9.93,9.515916,41600
83,2019-08-12,9.9,9.94,9.9,9.94,9.525501,22500
84,2019-08-19,9.9,9.95,9.9,9.93,9.515916,19100
85,2019-08-26,9.92,9.94,9.91,9.94,9.544686,45700
86,2019-09-02,9.93,9.95,9.92,9.93,9.535083,17200
87,2019-09-09,9.93,9.93,9.9,9.92,9.525479,46000
88,2019-09-16,9.93,9.94,9.91,9.93,9.535083,78700
89,2019-09-23,9.93,9.93,9.91,9.93,9.535083,50900
90,2019-09-30,9.92,9.94,9.91,9.94,9.563947,31400
91,2019-10-07,9.94,9.94,9.91,9.94,9.563947,36500
92,2019-10-14,9.91,9.93,9.91,9.93,9.554326,22400
93,2019-10-21,9.95,9.95,9.91,9.92,9.544703,15600
