,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-02-13,9.98,10.1,9.98,10.1,8.36377,3100
1,2012-02-20,10.15,10.34,10.15,10.34,8.562513,5300
2,2012-02-27,10.28,10.53,10.28,10.46,8.661884,4400
3,2012-03-05,10.4,10.52,10.27,10.5,8.695006,2100
4,2012-03-12,10.51,10.63,10.49,10.63,8.802663,4500
5,2012-03-19,10.63,10.63,10.49,10.5,8.695006,3100
6,2012-03-26,10.61,10.63,10.38,10.45,8.6536,14600
7,2012-04-02,10.45,10.48,10.45,10.48,8.698903,500
8,2012-04-09,10.4,10.4,10.37,10.37,8.607599,2300
9,2012-04-16,10.37,10.49,10.37,10.46,8.682305,1200
10,2012-04-23,10.46,10.51,10.46,10.51,8.723806,500
11,2012-04-30,10.51,10.6,10.45,10.45,8.674002,4300
12,2012-05-07,10.45,10.45,10.15,10.24,8.499692,1000
13,2012-05-14,10.12,10.12,10.05,10.05,8.341985,1200
14,2012-05-21,9.94,10.03,9.94,10.03,8.325379,1300
15,2012-05-28,10.03,10.03,10.03,10.03,8.325379,0
16,2012-06-04,10.03,10.11,10.03,10.11,8.391786,500
17,2012-06-11,10.11,10.11,10.11,10.11,8.391786,0
18,2012-06-18,10.11,10.11,10.11,10.11,8.391786,0
19,2012-06-25,10.11,10.11,9.79,9.99,8.29218,1000
20,2012-07-02,10.07,10.07,10.07,10.07,8.400128,500
21,2012-07-09,9.98,9.98,9.98,9.98,8.32505,100
22,2012-07-16,9.98,9.98,9.98,9.98,8.32505,0
23,2012-07-23,9.98,9.98,9.98,9.98,8.32505,0
24,2012-07-30,10.13,10.13,10.13,10.13,8.450176,500
25,2012-08-06,10.13,10.39,10.13,10.39,8.667063,500
26,2012-08-13,10.39,10.39,10.39,10.39,8.667063,0
27,2012-08-20,10.39,10.39,10.39,10.39,8.667063,0
28,2012-08-27,10.46,10.46,10.46,10.46,8.725457,400
29,2012-09-03,10.46,10.46,10.46,10.46,8.725457,0
30,2012-09-10,10.46,10.65,10.46,10.65,8.883945,1000
31,2012-09-17,10.65,10.65,10.65,10.65,8.883945,0
32,2012-09-24,10.65,10.65,10.39,10.39,8.667063,500
33,2012-10-01,10.39,10.6,10.39,10.6,8.881433,1900
34,2012-10-08,10.6,10.6,10.6,10.6,8.881433,0
35,2012-10-15,10.6,10.6,10.6,10.6,8.881433,0
36,2012-10-22,10.6,10.6,10.53,10.55,8.839541,1800
37,2012-10-29,10.55,10.75,10.55,10.75,9.007115,1200
38,2012-11-05,10.75,10.77,10.75,10.77,9.023873,100
39,2012-11-12,10.77,10.77,10.38,10.38,8.6971,100
40,2012-11-19,10.38,10.63,10.38,10.63,8.90657,14000
41,2012-11-26,10.63,10.8,10.63,10.8,9.049009,500
42,2012-12-03,10.8,10.94,10.8,10.94,9.166309,800
43,2012-12-10,10.94,11.11,10.94,11.11,9.308748,1500
44,2012-12-17,11.11,11.2,11.11,11.19,9.375776,6100
45,2012-12-24,11.19,11.19,11.19,11.19,9.375776,0
46,2012-12-31,11.11,11.29,11.11,11.27,9.490302,8100
47,2013-01-07,11.37,11.39,11.27,11.39,9.591352,19400
48,2013-01-14,11.47,11.54,11.41,11.54,9.717664,8500
49,2013-01-21,11.6,11.78,11.6,11.76,9.902925,24500
50,2013-01-28,11.73,11.83,11.64,11.7,9.852397,35000
51,2013-02-04,11.7,11.84,11.68,11.81,9.945028,23100
52,2013-02-11,11.83,11.83,11.83,11.83,9.961868,900
53,2013-02-18,11.83,11.83,11.6,11.66,9.818716,6000
54,2013-02-25,11.71,11.74,11.51,11.7,9.852397,11000
55,2013-03-04,11.62,11.85,11.62,11.85,9.978712,5100
56,2013-03-11,11.83,11.87,11.8,11.85,9.978712,12400
57,2013-03-18,11.87,11.92,11.83,11.84,9.970289,11100
58,2013-03-25,11.81,11.82,11.75,11.81,9.945028,6900
59,2013-04-01,11.91,11.91,11.67,11.67,9.873835,8200
60,2013-04-08,11.69,11.83,11.69,11.83,10.009211,4800
61,2013-04-15,11.79,11.79,11.57,11.64,9.848457,11900
62,2013-04-22,11.7,11.8,11.62,11.79,9.975366,10500
63,2013-04-29,11.88,12.16,11.88,12.16,10.288416,8300
64,2013-05-06,12.12,12.19,12.02,12.19,10.313805,11900
65,2013-05-13,12.19,12.37,12.19,12.37,10.466097,28600
66,2013-05-20,12.5,12.55,12.35,12.36,10.457633,46700
67,2013-05-27,12.36,12.5,12.35,12.43,10.516862,40800
