,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-02-01,147.199997,161.600006,133.600006,133.600006,133.600006,9904
1,2008-03-01,130.240005,151.199997,123.040001,149.119995,149.119995,47592
2,2008-04-01,157.919998,166.0,138.479996,161.759995,161.759995,55781
3,2008-05-01,169.919998,173.119995,142.559998,156.960007,156.960007,50680
4,2008-06-01,156.559998,165.839996,141.279999,142.479996,142.479996,66208
5,2008-07-01,140.080002,152.080002,125.360001,146.320007,146.320007,96543
6,2008-08-01,147.360001,199.440002,145.279999,174.639999,174.639999,100842
7,2008-09-01,191.360001,221.279999,132.800003,152.479996,152.479996,343718
8,2008-10-01,148.399994,226.080002,132.160004,211.919998,211.919998,384293
9,2008-11-01,211.199997,224.399994,156.240005,159.759995,159.759995,133103
10,2008-12-01,174.160004,193.759995,130.960007,134.960007,134.960007,85295
11,2009-01-01,136.960007,160.960007,118.879997,119.279999,119.279999,78017
12,2009-02-01,123.599998,129.600006,99.599998,113.199997,113.199997,113118
13,2009-03-01,111.519997,126.160004,105.440002,115.199997,115.199997,156205
14,2009-04-01,112.879997,129.039993,112.800003,121.68,121.68,84280
15,2009-05-01,123.199997,123.199997,99.599998,99.839996,99.839996,49243
16,2009-06-01,99.279999,113.440002,98.32,110.32,110.32,44917
17,2009-07-01,109.919998,115.519997,103.040001,104.480003,104.480003,46957
18,2009-08-01,102.800003,109.120003,100.879997,104.080002,104.080002,24006
19,2009-09-01,104.32,104.32,90.239998,92.160004,92.160004,38519
20,2009-10-01,91.440002,94.400002,81.440002,85.040001,85.040001,86944
21,2009-11-01,83.839996,83.839996,64.32,66.480003,66.480003,114143
22,2009-12-01,64.879997,79.120003,62.240002,76.400002,76.400002,126905
23,2010-01-01,72.879997,78.879997,67.839996,77.519997,77.519997,82342
24,2010-02-01,77.040001,82.559998,71.040001,72.160004,72.160004,114629
25,2010-03-01,71.68,75.919998,68.480003,72.239998,72.239998,131859
26,2010-04-01,70.720001,70.879997,63.599998,63.919998,63.919998,97205
27,2010-05-01,63.439999,66.239998,56.720001,59.599998,59.599998,197593
28,2010-06-01,58.799999,61.279999,54.959999,56.560001,56.560001,126582
29,2010-07-01,59.599998,65.040001,58.880001,62.560001,62.560001,120444
30,2010-08-01,62.080002,62.080002,55.68,55.68,55.68,53957
31,2010-09-01,55.599998,56.48,50.240002,50.560001,50.560001,155867
32,2010-10-01,50.240002,50.32,45.200001,46.639999,46.639999,406954
33,2010-11-01,46.48,48.959999,42.240002,44.560001,44.560001,269382
34,2010-12-01,44.16,45.919998,41.68,42.16,42.16,192744
35,2011-01-01,43.759998,49.200001,43.599998,47.759998,47.759998,235279
36,2011-02-01,47.360001,48.16,42.080002,42.240002,42.240002,185756
37,2011-03-01,41.759998,43.68,40.0,40.639999,40.639999,110969
38,2011-04-01,41.360001,41.68,34.0,34.32,34.32,54141
39,2011-05-01,34.720001,38.880001,33.68,35.200001,35.200001,107916
40,2011-06-01,35.200001,37.119999,34.240002,36.799999,36.799999,121218
41,2011-07-01,37.200001,37.200001,30.959999,31.280001,31.280001,255043
42,2011-08-01,30.799999,30.959999,22.639999,24.08,24.08,1592245
43,2011-09-01,24.16,31.0,22.0,29.48,29.48,3247428
44,2011-10-01,28.360001,30.4,25.1,25.98,25.98,945450
45,2011-11-01,26.98,27.4,23.66,24.860001,24.860001,673750
46,2011-12-01,24.92,32.200001,24.68,30.76,30.76,677750
47,2012-01-01,29.639999,29.639999,24.52,24.74,24.74,476050
48,2012-02-01,24.540001,25.98,23.299999,25.879999,25.879999,389550
49,2012-03-01,25.360001,27.84,24.879999,26.440001,26.440001,436800
50,2012-04-01,26.5,28.219999,26.0,26.4,26.4,277600
51,2012-05-01,26.26,31.139999,26.26,29.74,29.74,449100
52,2012-06-01,28.26,29.92,26.879999,28.0,28.0,1133450
53,2012-07-01,27.24,29.559999,26.879999,27.4,27.4,345350
54,2012-08-01,27.860001,28.440001,24.98,24.98,24.98,172300
55,2012-09-01,24.860001,24.940001,22.32,22.639999,22.639999,131450
56,2012-10-01,22.280001,24.48,21.98,23.82,23.82,179550
57,2012-11-01,23.780001,25.120001,22.68,23.9,23.9,150050
58,2012-12-01,23.9,26.120001,23.639999,24.98,24.98,146800
59,2013-01-01,24.52,25.940001,24.34,25.280001,25.280001,97350
60,2013-02-01,24.74,28.700001,24.68,27.84,27.84,373350
61,2013-03-01,27.76,28.42,26.58,27.219999,27.219999,262800
62,2013-04-01,27.219999,36.939999,27.120001,30.76,30.76,496550
63,2013-05-01,31.700001,36.139999,30.52,34.540001,34.540001,661400
64,2013-06-01,34.240002,45.959999,33.099998,42.779999,42.779999,193850
65,2013-07-01,41.16,44.099998,35.540001,36.459999,36.459999,208550
66,2013-08-01,36.740002,39.139999,31.4,32.639999,32.639999,176600
67,2013-09-01,32.34,37.540001,31.76,35.400002,35.400002,190150
68,2013-10-01,37.060001,38.860001,33.299999,35.099998,35.099998,182850
69,2013-11-01,35.599998,40.099998,35.32,38.799999,38.799999,150950
70,2013-12-01,40.119999,42.759998,37.900002,41.779999,41.779999,129300
71,2014-01-01,40.400002,40.84,37.200001,38.799999,38.799999,109800
72,2014-02-01,38.400002,38.48,33.040001,34.0,34.0,72900
73,2014-03-01,32.740002,35.919998,30.82,35.880001,35.880001,119600
