,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-02-05,11.14,11.49,10.49,10.93,10.93,329900
1,2018-02-12,11.11,11.29,10.81,10.87,10.87,312200
2,2018-02-19,10.89,10.96,10.01,10.1,10.1,142900
3,2018-02-26,10.13,10.28,9.72,10.03,10.03,119500
4,2018-03-05,10.09,10.28,9.88,9.96,9.96,87000
5,2018-03-12,10.02,10.02,9.28,9.54,9.54,81100
6,2018-03-19,9.49,9.5,8.72,8.84,8.84,112200
7,2018-03-26,8.95,8.95,8.33,8.42,8.42,48500
8,2018-04-02,8.4,8.44,8.12,8.21,8.21,61800
9,2018-04-09,8.35,9.12,8.27,9.12,9.12,42000
10,2018-04-16,9.2,9.48,9.1,9.35,9.35,84400
11,2018-04-23,9.4,9.44,8.81,9.05,9.05,89600
12,2018-04-30,9.12,9.12,8.75,9.05,9.05,97000
13,2018-05-07,8.97,8.97,8.56,8.65,8.65,51200
14,2018-05-14,8.74,8.99,8.6,8.7,8.7,46900
15,2018-05-21,8.63,8.68,8.45,8.52,8.52,84700
16,2018-05-28,8.5,8.65,8.27,8.61,8.61,66300
17,2018-06-04,8.61,8.76,8.49,8.56,8.56,65600
18,2018-06-11,8.51,8.7,8.31,8.52,8.52,50200
19,2018-06-18,8.51,8.51,7.95,7.95,7.95,68600
20,2018-06-25,7.94,7.94,7.59,7.7,7.7,51900
21,2018-07-02,7.7,7.92,7.7,7.82,7.82,35100
22,2018-07-09,7.81,7.86,7.72,7.81,7.81,48000
23,2018-07-16,7.8,8.48,7.8,8.05,8.05,68200
24,2018-07-23,8.04,8.35,7.99,7.99,7.99,40100
25,2018-07-30,8.03,8.03,7.56,7.63,7.63,39800
26,2018-08-06,7.7,7.86,7.66,7.84,7.84,20600
27,2018-08-13,7.76,7.79,7.25,7.4,7.4,35800
28,2018-08-20,7.38,7.93,7.34,7.9,7.9,23000
29,2018-08-27,7.91,8.19,7.89,8.13,8.13,12600
30,2018-09-03,8.22,8.22,7.56,7.57,7.57,18900
31,2018-09-10,7.69,7.69,7.43,7.48,7.48,26000
32,2018-09-17,7.54,7.54,7.26,7.48,7.48,113000
33,2018-09-24,7.47,7.47,7.2,7.24,7.24,76200
34,2018-10-01,7.21,7.21,6.76,6.85,6.85,37900
35,2018-10-08,6.83,6.83,6.39,6.6,6.6,86800
36,2018-10-15,6.6,6.65,6.42,6.42,6.42,14000
37,2018-10-22,6.41,6.43,6.19,6.26,6.26,58500
