,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-02-01,11.25,11.835,9.805,11.82,11.82,1496600
1,2008-03-01,12.18,12.795,10.16,10.33,10.33,3796600
2,2008-04-01,9.67,10.98,9.035,9.305,9.305,3101000
3,2008-05-01,8.91,10.475,8.7,9.45,9.45,3857000
4,2008-06-01,9.465,10.33,8.84,10.21,10.21,6543400
5,2008-07-01,10.43,11.555,9.405,9.84,9.84,8741400
6,2008-08-01,9.73,9.875,7.045,7.995,7.995,6859400
7,2008-09-01,7.325,9.7,6.235,8.47,8.47,19331800
8,2008-10-01,8.655,9.505,5.4,5.755,5.755,25605200
9,2008-11-01,5.925,7.375,5.3,7.18,7.18,10643800
10,2008-12-01,6.975,8.4,5.815,8.17,8.17,8276600
11,2009-01-01,8.055,8.945,6.725,8.925,8.925,6450200
12,2009-02-01,8.655,10.405,8.185,9.11,9.11,10506400
13,2009-03-01,9.34,9.34,7.97,8.485,8.485,10415400
14,2009-04-01,8.66,8.675,7.475,7.865,7.865,6596800
15,2009-05-01,7.755,9.485,7.75,9.45,9.45,4490200
16,2009-06-01,9.505,9.595,8.19,8.38,8.38,5339000
17,2009-07-01,8.45,8.865,7.97,8.75,8.75,1716600
18,2009-08-01,8.9,9.06,8.33,8.66,8.66,1540800
19,2009-09-01,8.68,9.93,8.645,9.66,9.66,3225400
20,2009-10-01,9.65,10.77,9.43,10.315,10.315,3396000
21,2009-11-01,10.505,13.62,10.445,12.99,12.99,2571200
22,2009-12-01,13.35,13.86,10.735,11.11,11.11,3834800
23,2010-01-01,11.63,12.385,10.59,10.75,10.75,2406200
24,2010-02-01,10.875,11.525,9.95,11.32,11.32,2422200
25,2010-03-01,11.35,11.9,10.65,11.18,11.18,3014200
26,2010-04-01,11.38,12.52,11.37,12.465,12.465,2644800
27,2010-05-01,12.57,13.96,12.02,13.18,13.18,5443800
28,2010-06-01,13.45,14.175,12.8,13.73,13.73,4739600
29,2010-07-01,13.055,13.11,11.795,12.28,12.28,3479600
30,2010-08-01,12.34,13.675,12.335,13.63,13.63,2566000
31,2010-09-01,13.685,15.055,13.47,14.965,14.965,3033800
32,2010-10-01,15.115,16.575001,15.035,15.96,15.96,4102200
33,2010-11-01,16.025,17.5,15.15,16.49,16.49,3211000
34,2010-12-01,16.594999,17.51,15.885,17.200001,17.200001,1673800
35,2011-01-01,16.625,16.645,14.59,15.03,15.03,3664600
36,2011-02-01,15.2,17.0,14.905,16.895,16.895,2702000
37,2011-03-01,17.084999,17.67,16.24,17.389999,17.389999,2388800
38,2011-04-01,17.07,20.66,16.91,20.48,20.48,1079800
39,2011-05-01,20.27,20.790001,17.92,19.690001,19.690001,1649800
40,2011-06-01,19.709999,20.24,18.5,18.73,18.73,1443900
41,2011-07-01,18.59,22.120001,18.559999,21.889999,21.889999,1762200
42,2011-08-01,22.190001,29.74,22.129999,27.379999,27.379999,9387900
43,2011-09-01,27.290001,29.940001,20.34,21.1,21.1,5112300
44,2011-10-01,22.15,24.51,20.52,23.629999,23.629999,2144300
45,2011-11-01,22.700001,25.959999,22.08,24.25,24.25,2434400
46,2011-12-01,24.18,24.450001,18.32,19.17,19.17,1841800
47,2012-01-01,19.85,23.76,19.799999,23.559999,23.559999,1060400
48,2012-02-01,23.75,24.84,22.07,22.15,22.15,1832300
49,2012-03-01,22.610001,23.0,20.370001,21.379999,21.379999,1788600
50,2012-04-01,21.33,21.74,19.92,21.15,21.15,1290700
51,2012-05-01,21.24,21.25,17.809999,18.52,18.52,1782100
