,Date,Open,High,Low,Close,Adj Close,Volume
0,2007-07-01,84.599998,91.040001,78.559998,86.760002,86.760002,42900
1,2007-08-01,86.720001,109.279999,86.400002,96.199997,96.199997,213875
2,2007-09-01,95.68,96.040001,85.32,89.639999,89.639999,214350
3,2007-10-01,89.639999,95.239998,83.0,83.279999,83.279999,507525
4,2007-11-01,83.440002,101.0,80.879997,98.720001,98.720001,414875
5,2007-12-01,99.360001,99.400002,85.519997,86.0,86.0,235950
6,2008-01-01,85.120003,116.639999,79.760002,97.599998,97.599998,508800
7,2008-02-01,97.400002,102.879997,75.760002,79.559998,79.559998,619600
8,2008-03-01,79.040001,93.480003,75.0,78.800003,78.800003,1142675
9,2008-04-01,79.839996,81.559998,58.279999,63.240002,63.240002,1916125
10,2008-05-01,64.239998,66.879997,43.959999,50.32,50.32,4290700
11,2008-06-01,51.400002,52.52,43.560001,47.759998,47.759998,3196550
12,2008-07-01,47.0,68.199997,46.439999,62.040001,62.040001,3690950
13,2008-08-01,61.639999,69.279999,52.759998,54.0,54.0,1651150
14,2008-09-01,58.439999,89.0,58.240002,74.32,74.32,4001650
15,2008-10-01,77.599998,181.839996,77.0,80.599998,80.599998,2887425
16,2008-11-01,81.360001,142.199997,70.720001,71.959999,71.959999,2616175
17,2008-12-01,78.360001,112.639999,72.120003,75.599998,75.599998,2308200
18,2009-01-01,75.800003,85.32,56.759998,77.839996,77.839996,1817525
19,2009-02-01,78.720001,102.959999,65.239998,78.68,78.68,952075
20,2009-03-01,83.040001,95.839996,51.68,58.880001,58.880001,1783275
21,2009-04-01,61.200001,61.200001,43.0,47.599998,47.599998,1739075
22,2009-05-01,46.68,46.68,31.0,32.119999,32.119999,2329525
23,2009-06-01,30.719999,39.560001,28.879999,33.0,33.0,2687575
24,2009-07-01,34.799999,42.48,31.120001,32.240002,32.240002,3046825
25,2009-08-01,31.4,33.759998,30.0,32.200001,32.200001,1082350
26,2009-09-01,32.279999,33.959999,24.76,26.0,26.0,1415525
27,2009-10-01,25.84,29.120001,22.16,26.4,26.4,1887450
28,2009-11-01,26.24,27.639999,23.76,25.08,25.08,688925
29,2009-12-01,24.6,27.52,22.84,23.16,23.16,415300
30,2010-01-01,22.719999,26.24,21.24,26.040001,26.040001,612750
31,2010-02-01,25.92,27.08,23.6,24.76,24.76,558975
32,2010-03-01,24.52,25.6,23.120001,23.559999,23.559999,417475
33,2010-04-01,23.16,23.48,21.200001,21.76,21.76,605750
34,2010-05-01,21.24,27.879999,21.24,23.48,23.48,968100
35,2010-06-01,23.799999,25.040001,20.76,24.92,24.92,1845700
36,2010-07-01,25.200001,25.92,21.52,22.92,22.92,650925
37,2010-08-01,22.0,26.559999,22.0,24.32,24.32,339475
38,2010-09-01,24.0,24.52,21.84,21.879999,21.879999,405500
39,2010-10-01,21.879999,21.959999,20.32,21.4,21.4,493375
40,2010-11-01,20.959999,21.32,18.76,19.559999,19.559999,567100
41,2010-12-01,19.200001,19.200001,16.4,16.559999,16.559999,207075
42,2011-01-01,16.32,17.84,14.72,14.8,14.8,520200
43,2011-02-01,14.84,15.48,12.84,12.88,12.88,634750
44,2011-03-01,12.88,15.8,12.36,13.12,13.12,869725
45,2011-04-01,12.96,15.08,12.76,13.68,13.68,933600
46,2011-05-01,13.72,16.4,13.36,14.36,14.36,621950
47,2011-06-01,14.44,17.68,14.44,16.200001,16.200001,1076325
48,2011-07-01,16.0,16.799999,15.0,16.440001,16.440001,255950
49,2011-08-01,16.440001,22.92,16.440001,18.559999,18.559999,1023625
50,2011-09-01,18.68,25.92,18.32,24.84,24.84,498150
51,2011-10-01,25.52,30.040001,17.040001,18.52,18.52,1247975
52,2011-11-01,19.84,21.76,16.959999,18.0,18.0,855575
53,2011-12-01,18.0,20.959999,17.16,18.200001,18.200001,653950
54,2012-01-01,17.52,18.200001,15.84,16.4,16.4,345175
55,2012-02-01,16.24,16.92,14.88,15.6,15.6,308525
56,2012-03-01,15.52,18.92,15.28,18.200001,18.200001,326775
57,2012-04-01,18.280001,21.360001,17.76,17.959999,17.959999,309775
58,2012-05-01,17.799999,23.24,17.360001,22.16,22.16,516075
59,2012-06-01,23.0,24.92,20.280001,21.280001,21.280001,371675
60,2012-07-01,20.6,22.559999,18.24,19.08,19.08,437125
61,2012-08-01,18.879999,19.719999,16.52,17.92,17.92,233800
62,2012-09-01,18.08,18.280001,15.08,16.879999,16.879999,231275
63,2012-10-01,16.639999,17.24,15.72,16.719999,16.719999,177050
64,2012-11-01,16.6,19.200001,16.280001,18.120001,18.120001,150525
65,2012-12-01,17.879999,18.6,17.799999,18.08,18.08,78025
66,2013-01-01,17.639999,17.639999,16.360001,16.84,16.84,70000
67,2013-02-01,17.0,17.879999,16.639999,17.040001,17.040001,55125
68,2013-03-01,17.16,17.48,15.88,16.76,16.76,78950
69,2013-04-01,16.879999,20.040001,16.719999,17.4,17.4,114700
70,2013-05-01,17.6,18.24,15.84,16.440001,16.440001,137725
71,2013-06-01,16.6,18.440001,16.360001,17.360001,17.360001,54375
72,2013-07-01,17.200001,17.200001,14.8,15.76,15.76,82625
73,2013-08-01,15.56,16.08,14.84,15.16,15.16,39550
74,2013-09-01,15.12,15.12,14.28,14.52,14.52,34525
75,2013-10-01,14.28,14.96,13.44,13.48,13.48,51400
76,2013-11-01,13.72,14.6,13.32,13.84,13.84,60225
77,2013-12-01,13.76,14.2,13.2,13.2,13.2,17450
78,2014-01-01,13.4,13.84,12.92,13.72,13.72,136075
79,2014-02-01,13.48,14.04,12.04,12.2,12.2,47050
80,2014-03-01,12.08,12.44,10.96,10.96,10.96,95500
81,2014-04-01,11.0,11.0,9.36,9.6,9.6,187600
82,2014-05-01,9.6,10.24,9.44,9.68,9.68,188975
83,2014-06-01,9.68,9.68,8.16,8.43,8.43,267025
84,2014-07-01,8.42,9.46,8.36,9.23,9.23,363300
85,2014-08-01,9.33,9.94,8.75,8.75,8.75,229700
86,2014-09-01,8.86,10.96,8.86,10.67,10.67,668400
87,2014-10-01,10.85,15.3,10.64,13.09,13.09,2144900
