,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-06-17,20.01,20.01,19.889999,19.9,19.805201,8700
1,2019-06-18,20.049999,20.190001,20.02,20.1,20.004251,5100
2,2019-06-19,20.190001,20.190001,20.01,20.01,19.91468,4200
3,2019-06-20,20.25,20.35,20.25,20.35,20.253059,1800
4,2019-06-21,20.190001,20.299999,20.190001,20.299999,20.203297,2100
5,2019-06-24,20.379999,20.41,20.299999,20.41,20.312773,1500
6,2019-06-25,20.42,20.42,20.08,20.08,19.984346,2300
7,2019-06-26,20.110001,20.110001,20.110001,20.110001,20.014202,500
8,2019-06-27,20.41,20.5,20.41,20.5,20.402344,1200
9,2019-06-28,20.52,20.52,20.43,20.49,20.392391,1000
10,2019-07-02,20.93,20.950001,20.85,20.860001,20.760633,2800
11,2019-07-03,20.83,20.85,20.799999,20.85,20.750675,1400
12,2019-07-04,20.85,20.870001,20.809999,20.870001,20.770584,1000
13,2019-07-05,20.799999,20.799999,20.540001,20.700001,20.601391,1400
14,2019-07-08,20.610001,20.610001,20.49,20.49,20.392391,600
15,2019-07-09,20.49,20.49,20.48,20.48,20.382441,1000
16,2019-07-10,20.77,20.790001,20.77,20.790001,20.690964,300
17,2019-07-11,20.950001,20.99,20.870001,20.99,20.890009,900
18,2019-07-12,20.950001,20.950001,20.799999,20.799999,20.700918,3300
19,2019-07-15,20.93,20.93,20.870001,20.870001,20.770584,500
20,2019-07-16,20.93,20.93,20.93,20.93,20.830296,300
21,2019-07-17,20.799999,20.799999,20.67,20.67,20.571535,1500
22,2019-07-18,20.43,20.450001,20.43,20.450001,20.352583,400
23,2019-07-19,20.549999,20.549999,20.43,20.43,20.332678,1100
24,2019-07-22,20.450001,20.450001,20.41,20.41,20.312773,400
25,2019-07-23,20.540001,20.540001,20.540001,20.540001,20.442154,500
26,2019-07-24,20.620001,20.629999,20.620001,20.629999,20.531727,300
27,2019-07-25,20.629999,20.67,20.629999,20.67,20.571535,300
28,2019-07-26,20.84,20.889999,20.790001,20.83,20.730774,2800
29,2019-07-29,20.84,20.84,20.73,20.73,20.631247,600
30,2019-07-30,20.66,20.66,20.6,20.629999,20.531727,7400
31,2019-07-31,20.85,20.889999,20.74,20.74,20.641201,1700
32,2019-08-01,20.93,21.110001,20.74,20.74,20.641201,1800
33,2019-08-02,20.57,20.57,20.35,20.360001,20.263014,7300
34,2019-08-06,20.0,20.0,19.889999,19.91,19.815155,1000
35,2019-08-07,20.0,20.23,20.0,20.23,20.133631,1900
36,2019-08-08,20.48,20.610001,20.48,20.610001,20.511822,13200
37,2019-08-09,20.610001,20.610001,20.610001,20.610001,20.511822,0
38,2019-08-12,19.91,19.98,19.91,19.98,19.884823,500
39,2019-08-13,19.99,20.280001,19.940001,20.280001,20.183393,500
40,2019-08-14,20.0,20.0,19.889999,19.889999,19.79525,600
41,2019-08-15,19.940001,19.940001,19.870001,19.870001,19.775347,1000
42,2019-08-16,20.059999,20.059999,20.059999,20.059999,19.964439,100
43,2019-08-19,20.530001,20.530001,20.309999,20.49,20.392391,2700
44,2019-08-20,20.49,20.49,20.49,20.49,20.392391,100
45,2019-08-21,20.5,20.65,20.5,20.6,20.501871,500
46,2019-08-22,20.6,20.6,20.6,20.6,20.501871,100
47,2019-08-23,20.389999,20.469999,20.389999,20.4,20.30282,400
48,2019-08-26,20.16,20.34,20.16,20.34,20.243107,900
49,2019-08-27,20.34,20.34,20.34,20.34,20.243107,0
50,2019-08-28,20.370001,20.52,20.370001,20.52,20.422249,800
51,2019-08-29,20.68,20.68,20.559999,20.6,20.501871,1600
52,2019-08-30,20.530001,20.530001,20.530001,20.530001,20.432201,200
53,2019-09-03,20.530001,20.530001,20.530001,20.530001,20.432201,0
54,2019-09-04,21.01,21.200001,21.01,21.07,20.969629,2300
55,2019-09-05,21.27,21.27,21.18,21.18,21.079107,1600
56,2019-09-06,21.32,21.35,21.309999,21.309999,21.208487,400
