,Date,Open,High,Low,Close,Adj Close,Volume
0,2007-07-01,20.120001,20.9,18.620001,18.85,18.85,59600
1,2007-08-01,18.219999,19.629999,16.41,19.530001,19.530001,1272800
2,2007-09-01,19.549999,20.360001,18.85,20.25,20.25,351500
3,2007-10-01,20.35,20.950001,18.65,20.92,20.92,604400
4,2007-11-01,20.75,20.75,16.790001,19.709999,19.709999,1529500
5,2007-12-01,19.530001,19.66,16.950001,17.73,17.73,814000
6,2008-01-01,17.719999,17.719999,13.5,16.08,16.08,4665500
7,2008-02-01,16.15,16.76,15.0,15.04,15.04,1970400
8,2008-03-01,15.04,15.04,11.43,14.41,14.41,10354000
9,2008-04-01,14.83,15.74,13.73,15.6,15.6,6649400
10,2008-05-01,15.53,16.620001,14.82,15.73,15.73,3640900
11,2008-06-01,15.63,15.83,12.62,12.81,12.81,3841200
12,2008-07-01,13.31,14.15,10.01,13.54,13.54,21158100
13,2008-08-01,13.71,14.17,11.94,13.63,13.63,9663600
14,2008-09-01,14.0,15.0,11.23,13.6,13.6,17049400
15,2008-10-01,13.17,13.4,7.55,9.01,9.01,17416100
16,2008-11-01,9.11,9.76,4.51,6.82,6.82,16405600
17,2008-12-01,6.44,6.45,4.7,5.7,5.7,19497500
18,2009-01-01,5.69,6.63,4.32,4.81,4.81,23901300
19,2009-02-01,4.72,5.35,2.91,3.78,3.78,58299800
20,2009-03-01,3.5,5.19,2.87,4.63,4.63,148199700
21,2009-04-01,4.35,6.69,4.35,6.28,6.28,72389700
22,2009-05-01,6.29,7.79,6.2,7.44,7.44,52589100
23,2009-06-01,7.59,8.69,7.17,8.3,8.3,24943000
24,2009-07-01,8.18,10.29,7.1,10.2,10.2,25328500
25,2009-08-01,10.36,10.68,8.81,10.26,10.26,14796500
26,2009-09-01,10.12,11.02,9.26,10.75,10.75,12770600
27,2009-10-01,10.8,10.82,8.89,9.18,9.18,12158700
28,2009-11-01,9.15,10.39,9.03,10.08,10.08,6513900
29,2009-12-01,10.16,10.45,9.31,10.4,10.4,4112800
30,2010-01-01,10.46,10.64,9.4,9.49,9.49,3042800
31,2010-02-01,9.56,10.59,9.22,10.51,10.51,3541600
32,2010-03-01,10.57,12.45,10.57,12.05,12.05,3058000
33,2010-04-01,12.13,12.63,11.57,12.03,12.03,3085700
34,2010-05-01,12.19,12.26,10.3,10.62,10.62,5744900
35,2010-06-01,10.6,11.14,9.46,9.58,9.58,2577900
36,2010-07-01,9.64,11.05,9.37,10.79,10.79,2308500
37,2010-08-01,10.97,11.07,8.92,9.75,9.75,2877000
38,2010-09-01,9.93,11.03,9.92,10.69,10.69,1849300
39,2010-10-01,10.7,11.45,10.51,11.12,11.12,1470600
40,2010-11-01,11.17,11.65,10.7,11.26,11.26,1364100
41,2010-12-01,11.49,11.81,11.05,11.66,11.66,1227900
42,2011-01-01,11.87,12.17,11.46,11.9,11.9,748900
43,2011-02-01,11.98,13.55,11.98,13.47,13.47,889800
44,2011-03-01,13.45,13.98,12.7,13.84,13.84,785100
45,2011-04-01,13.95,14.21,12.95,13.45,13.45,498100
46,2011-05-01,13.5,13.92,13.05,13.43,13.43,641000
47,2011-06-01,13.41,13.41,11.98,12.85,12.85,607100
48,2011-07-01,12.86,13.04,11.3,11.41,11.41,707100
49,2011-08-01,11.51,11.53,9.6,11.05,11.05,1941100
50,2011-09-01,11.15,11.17,8.92,10.06,10.06,1720700
51,2011-10-01,9.87,11.02,8.86,10.54,10.54,1276200
52,2011-11-01,10.08,10.28,8.57,9.54,9.54,1130200
53,2011-12-01,9.7,10.15,9.15,10.12,10.12,736700
54,2012-01-01,10.31,11.61,10.26,10.7,10.7,581300
55,2012-02-01,10.85,11.6,10.73,11.44,11.44,677300
56,2012-03-01,11.52,12.82,11.11,12.48,12.48,635300
57,2012-04-01,12.42,12.67,11.63,12.29,12.29,456400
58,2012-05-01,12.27,12.34,10.19,10.52,10.52,555400
59,2012-06-01,10.28,10.88,9.66,10.65,10.65,255500
60,2012-07-01,10.9,11.24,10.14,10.68,10.68,130300
61,2012-08-01,10.64,11.41,10.34,11.23,11.23,231500
62,2012-09-01,11.15,11.88,11.09,11.71,11.71,227000
63,2012-10-01,11.85,12.31,11.62,12.24,12.24,194000
