,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-04-02,12.27,12.27,8.3,8.55,7.095662,13300
1,2018-04-09,8.55,8.66,8.36,8.53,7.079064,31500
2,2018-04-16,8.65,8.7,8.65,8.67,7.195251,8100
3,2018-04-23,8.8,8.8,8.55,8.67,7.195251,15300
4,2018-04-30,8.67,8.67,8.43,8.53,7.120704,7100
5,2018-05-07,8.52,8.55,8.4,8.44,7.045575,6100
6,2018-05-14,8.77,8.77,8.7,8.72,7.279315,2200
7,2018-05-21,8.87,8.87,8.73,8.74,7.296012,1000
8,2018-05-28,8.74,8.75,8.55,8.71,7.270969,4300
9,2018-06-04,8.71,8.79,8.58,8.79,7.380912,3500
10,2018-06-11,8.91,8.93,8.87,8.87,7.448088,7300
11,2018-06-18,8.5,8.78,8.5,8.78,7.372516,7600
12,2018-06-25,8.7,8.77,8.6,8.66,7.271754,17000
13,2018-07-02,8.79,8.8,8.73,8.73,7.330532,12400
14,2018-07-09,8.73,8.96,8.73,8.96,7.523662,16300
15,2018-07-16,8.99,9.4,8.96,9.03,7.58244,20600
16,2018-07-23,9.03,9.25,8.94,9.11,7.649613,15900
17,2018-07-30,9.11,9.17,9.11,9.17,7.699997,9700
18,2018-08-06,9.17,9.18,9.17,9.18,7.750935,2100
19,2018-08-13,9.15,9.29,9.1,9.19,7.759375,19800
20,2018-08-20,9.23,9.23,9.17,9.17,7.74249,2800
21,2018-08-27,9.31,9.41,9.1,9.4,7.936688,11400
22,2018-09-03,9.4,9.4,9.2,9.2,7.809317,3300
23,2018-09-10,9.23,9.48,9.22,9.38,7.962106,6700
24,2018-09-17,9.38,9.65,9.33,9.39,7.970596,15300
25,2018-09-24,9.39,9.54,9.39,9.5,8.063967,2000
26,2018-10-01,9.68,9.68,9.31,9.31,7.944326,38000
27,2018-10-08,9.28,9.28,8.91,8.91,7.603,3900
28,2018-10-15,9.0,9.26,8.97,9.26,7.901659,4900
29,2018-10-22,9.26,9.26,8.64,8.75,7.466472,7900
30,2018-10-29,8.81,9.05,8.73,8.9,7.594468,5300
31,2018-11-05,8.95,9.29,8.95,9.25,7.938178,3000
32,2018-11-12,9.1,9.1,8.88,8.95,7.680723,1500
33,2018-11-19,8.95,9.02,8.88,8.88,7.620651,1900
34,2018-11-26,8.93,9.29,8.5,9.29,7.972507,14500
35,2018-12-03,9.43,9.43,8.7,8.7,7.507113,13600
36,2018-12-10,9.04,9.13,8.77,8.77,7.567515,9600
37,2018-12-17,8.81,8.81,8.29,8.29,7.153329,21300
38,2018-12-24,7.95,8.51,7.75,8.51,7.343163,13500
39,2018-12-31,8.49,8.49,8.14,8.35,7.248351,5700
40,2019-01-07,8.42,8.46,8.34,8.39,7.283072,13600
41,2019-01-14,8.4,8.75,8.4,8.75,7.595576,12600
42,2019-01-21,8.75,8.75,8.61,8.61,7.474045,9300
43,2019-01-28,8.61,8.82,8.6,8.79,7.630298,17600
44,2019-02-04,8.79,8.87,8.78,8.78,7.66598,8100
45,2019-02-11,8.8,8.98,8.8,8.98,7.840606,2900
46,2019-02-18,8.98,9.09,8.98,9.0,7.858068,9100
47,2019-02-25,9.27,9.27,9.07,9.18,8.015228,16400
48,2019-03-04,9.15,9.15,8.83,8.83,7.709637,6500
49,2019-03-11,8.99,9.16,8.99,9.16,7.997767,400
50,2019-03-18,9.16,9.3,9.14,9.14,7.980305,1900
51,2019-03-25,9.11,9.2,9.07,9.11,7.954111,6600
52,2019-04-01,9.19,9.19,9.1,9.1,7.989423,7200
53,2019-04-08,9.15,9.15,9.02,9.02,7.919187,4200
54,2019-04-15,8.89,9.05,8.57,8.59,7.541663,26100
55,2019-04-22,8.59,8.87,8.59,8.86,7.778711,49100
56,2019-04-29,8.94,8.94,8.84,8.85,7.769932,14200
57,2019-05-06,8.95,8.95,8.82,8.85,7.814029,17900
58,2019-05-13,8.76,8.9,8.68,8.85,7.814029,2700
59,2019-05-20,8.85,9.0,8.85,9.0,7.94647,1600
60,2019-05-27,9.05,9.08,8.82,8.85,7.814029,4700
61,2019-06-03,8.81,9.1,8.81,9.1,8.080573,6700
62,2019-06-10,9.1,9.33,9.1,9.27,8.23153,900
63,2019-06-17,9.22,9.5,9.21,9.5,8.435764,8900
64,2019-06-24,9.51,9.55,9.34,9.35,8.302568,20500
65,2019-07-01,9.35,9.61,9.34,9.5,8.480926,3400
66,2019-07-08,9.5,9.57,9.3,9.3,8.302378,7900
67,2019-07-15,9.32,9.38,9.29,9.38,8.373796,6100
68,2019-07-22,9.38,9.48,9.38,9.48,8.463069,2400
69,2019-07-29,9.5,9.5,9.34,9.34,8.338087,3900
70,2019-08-05,9.34,9.46,9.34,9.46,8.489897,300
71,2019-08-12,9.38,9.43,9.25,9.39,8.427074,81900
72,2019-08-19,9.51,9.51,9.2,9.2,8.25656,8900
73,2019-08-26,9.36,9.36,9.28,9.36,8.400152,900
74,2019-09-02,9.36,9.44,9.33,9.43,8.508522,6500
75,2019-09-09,9.25,9.25,9.04,9.1,8.210769,7400
76,2019-09-16,9.25,9.42,9.23,9.31,8.400249,21500
77,2019-09-23,9.31,9.42,9.2,9.2,8.300997,5600
78,2019-09-30,9.12,9.15,8.86,9.06,8.219298,6100
79,2019-10-07,9.1,9.13,8.89,9.07,8.228371,27000
80,2019-10-14,9.05,9.2,9.05,9.2,8.346309,3500
81,2019-10-21,9.1,9.11,9.01,9.08,8.237444,2100
82,2019-10-28,9.13,9.3,9.13,9.26,8.400743,7400
83,2019-11-04,9.32,9.32,9.02,9.18,8.373229,24700
84,2019-11-11,9.18,9.4,9.18,9.4,8.573895,29400
85,2019-11-18,9.34,9.44,9.34,9.38,8.555655,7100
86,2019-11-25,9.46,9.56,9.43,9.43,8.601259,13400
87,2019-12-02,9.41,9.54,9.37,9.54,8.747341,13600
88,2019-12-09,9.49,9.6,9.45,9.6,8.802358,15300
89,2019-12-16,9.6,9.75,9.6,9.75,8.939895,5200
90,2019-12-23,9.79,9.79,9.78,9.78,8.967402,2500
91,2019-12-30,9.81,9.81,9.66,9.66,8.857371,600
92,2020-01-06,9.7,9.85,9.7,9.85,9.077996,1200
93,2020-01-13,9.85,10.0,9.74,9.94,9.160942,4900
94,2020-01-20,9.83,10.08,9.75,9.75,8.985833,15100
95,2020-01-27,9.75,9.815,9.47,9.47,8.727777,5300
96,2020-02-03,9.41,9.85,9.41,9.73,9.013317,9700
97,2020-02-10,9.73,9.94,9.73,9.88,9.152269,40100
98,2020-02-17,9.91,9.91,9.88,9.88,9.152269,4900
99,2020-02-24,9.76,9.76,8.58,8.65,8.012865,20600
100,2020-03-02,8.65,9.39,8.65,9.03,8.410238,16800
101,2020-03-09,8.6,9.04,7.85,8.05,7.497501,10400
102,2020-03-16,7.7,7.91,7.25,7.38,6.873484,13000
103,2020-03-23,7.09,8.0,6.8,8.0,7.450933,20800
104,2020-03-30,8.06,8.2,8.0,8.0,7.450933,13800
105,2020-04-06,8.22,8.49,8.22,8.49,7.957034,15500
106,2020-04-13,8.56,9.19,8.5,9.19,8.613091,57200
107,2020-04-20,9.15,9.24,8.91,9.24,8.659953,36500
108,2020-04-27,9.28,9.28,8.87,8.87,8.313178,46100
109,2020-05-04,8.79,9.12,8.79,9.0,8.481568,36000
110,2020-05-11,9.1,9.21,8.94,9.05,8.528689,22400
111,2020-05-18,9.02,9.18,8.62,9.05,8.528689,12100
112,2020-05-25,9.19,9.19,8.95,9.14,8.613503,7100
113,2020-06-01,9.14,9.19,9.07,9.14,8.661894,8400
114,2020-06-08,9.13,9.18,8.74,8.78,8.320725,11100
115,2020-06-15,8.78,9.03,8.78,9.0,8.529218,2400
116,2020-06-22,9.0,9.0,8.81,8.81,8.349156,6100
117,2020-06-29,8.91,9.13,8.91,9.13,8.652418,7100
118,2020-07-06,9.13,9.13,9.01,9.01,8.58743,1900
119,2020-07-13,9.01,9.52,9.01,9.51,9.063981,2700
120,2020-07-20,9.6,9.6,9.31,9.31,8.873361,9400
121,2020-07-27,9.31,9.46,9.3,9.3,8.863831,5700
122,2020-08-03,9.3,9.35,9.21,9.29,8.901347,10200
123,2020-08-10,9.22,9.32,9.15,9.25,8.863021,18400
124,2020-08-17,9.25,9.35,9.2,9.2,8.815112,2500
125,2020-08-24,9.14,9.31,9.14,9.185,8.800739,2900
126,2020-08-31,9.185,9.33,9.08,9.11,8.776576,4800
127,2020-09-07,8.89,9.11,8.89,9.1,8.766942,7500
128,2020-09-14,9.2,9.31,9.14,9.14,8.805478,3000
129,2020-09-21,9.16,9.16,8.9,8.98,8.651333,3500
130,2020-09-28,9.23,9.25,9.15,9.25,8.911452,7800
131,2020-10-05,9.3,9.48,9.28,9.46,9.163842,11300
132,2020-10-12,9.5,9.5,9.31,9.46,9.163842,8500
133,2020-10-19,9.42,9.42,9.32,9.395,9.100878,3200
134,2020-10-26,9.32,9.35,8.8,8.8,8.524505,33500
135,2020-11-02,8.8,9.72,8.8,9.6,9.350612,8100
136,2020-11-09,9.6,9.6,9.43,9.58,9.33113,4100
137,2020-11-16,9.6,9.6,9.38,9.42,9.175288,39900
138,2020-11-23,9.51,9.51,9.27,9.32,9.077885,13300
139,2020-11-30,9.32,9.44,9.32,9.43,9.234357,2100
140,2020-12-07,9.47,9.54,9.45,9.48,9.283319,15800
141,2020-12-14,9.58,9.62,9.47,9.62,9.420415,9100
142,2020-12-21,9.45,9.62,9.44,9.58,9.381244,13600
143,2020-12-28,9.71,9.71,9.65,9.65,9.449792,1200
144,2021-01-04,9.6,10.0,9.56,9.99,9.83369,6100
145,2021-01-11,10.07,10.07,9.88,9.9,9.745097,15200
146,2021-01-18,9.81,10.02,9.81,9.94,9.784472,12600
147,2021-01-25,9.94,9.94,9.59,9.66,9.508853,6800
148,2021-02-01,9.76,9.87,9.74,9.81,9.707117,14400
149,2021-02-08,9.84,10.03,9.84,10.03,9.924809,24200
150,2021-02-15,10.03,10.03,9.78,9.79,9.687326,14900
151,2021-02-22,9.6,9.62,9.34,9.38,9.281627,15900
152,2021-03-01,9.5,9.53,8.93,9.19,9.141683,29700
153,2021-03-08,9.24,9.38,9.2,9.31,9.261052,12500
154,2021-03-15,9.36,9.43,9.25,9.37,9.320736,20700
155,2021-03-22,9.37,9.5,9.18,9.39,9.340631,9600
156,2021-03-29,9.48,9.54,9.4,9.5,9.450052,9900
157,2021-04-01,9.5,9.5,9.5,9.5,9.5,3521
