,Date,Open,High,Low,Close,Adj Close,Volume
0,2010-05-01,92.0,104.0,91.0,98.0,98.0,44310
1,2010-06-01,98.0,109.0,94.400002,104.0,104.0,47830
2,2010-07-01,104.199997,108.0,95.300003,97.099998,97.099998,33660
3,2010-08-01,97.099998,102.199997,93.599998,102.0,102.0,41800
4,2010-09-01,98.199997,98.900002,91.5,92.699997,92.699997,34000
5,2010-10-01,91.900002,93.400002,87.900002,89.800003,89.800003,27350
6,2010-11-01,88.300003,89.5,84.5,88.699997,88.699997,12760
7,2010-12-01,89.699997,89.699997,83.099998,83.199997,83.199997,5890
8,2011-01-01,83.199997,83.199997,80.300003,81.5,81.5,4900
9,2011-02-01,81.5,81.5,76.900002,78.5,78.5,15180
10,2011-03-01,78.5,82.900002,78.0,78.099998,78.099998,47140
11,2011-04-01,77.599998,80.0,75.199997,76.0,76.0,6950
12,2011-05-01,75.5,79.400002,74.900002,76.800003,76.800003,10880
13,2011-06-01,78.5,81.900002,77.900002,78.699997,78.699997,282420
14,2011-07-01,77.0,79.300003,70.0,78.900002,78.900002,19410
15,2011-08-01,79.099998,97.300003,79.099998,82.599998,82.599998,67150
16,2011-09-01,83.0,89.699997,82.099998,88.0,88.0,139710
17,2011-10-01,88.400002,93.5,76.800003,78.800003,78.800003,150310
18,2011-11-01,81.199997,85.699997,77.300003,78.800003,78.800003,67670
19,2011-12-01,79.0,81.099998,76.599998,77.5,77.5,23500
20,2012-01-01,76.5,76.900002,73.5,74.300003,74.300003,13900
21,2012-02-01,74.199997,74.199997,70.5,70.900002,70.900002,17950
22,2012-03-01,70.099998,80.0,68.400002,68.699997,68.699997,31000
23,2012-04-01,68.599998,71.199997,68.300003,68.800003,68.800003,29830
24,2012-05-01,68.400002,74.300003,68.400002,73.199997,73.199997,21020
25,2012-06-01,74.800003,75.5,70.300003,70.5,70.5,27540
26,2012-07-01,70.699997,71.699997,68.900002,69.099998,69.099998,5630
27,2012-08-01,69.199997,70.300003,66.699997,67.800003,67.800003,10730
28,2012-09-01,68.0,68.0,64.599998,65.699997,65.699997,12780
29,2012-10-01,65.699997,68.800003,64.0,67.0,67.0,10020
30,2012-11-01,66.199997,70.0,65.800003,66.400002,66.400002,22860
31,2012-12-01,66.0,67.0,64.199997,66.400002,66.400002,3990
32,2013-01-01,63.900002,64.599998,62.0,62.299999,62.299999,7420
33,2013-02-01,62.200001,62.700001,60.799999,61.299999,61.299999,10790
34,2013-03-01,61.5,61.5,59.400002,59.5,59.5,25040
35,2013-04-01,59.599998,60.400002,58.0,58.0,58.0,60480
36,2013-05-01,58.299999,58.5,54.900002,56.5,56.5,53590
37,2013-06-01,56.799999,58.900002,55.599998,57.200001,57.200001,48840
38,2013-07-01,56.700001,57.099998,54.0,54.0,54.0,12150
39,2013-08-01,53.599998,56.299999,53.5,55.599998,55.599998,14700
40,2013-09-01,55.400002,55.900002,48.0,54.099998,54.099998,56930
41,2013-10-01,53.599998,55.0,51.200001,51.200001,51.200001,7230
42,2013-11-01,51.200001,51.900002,49.5,50.5,50.5,8080
43,2013-12-01,50.5,51.0,48.900002,48.900002,48.900002,6420
44,2014-01-01,48.700001,50.599998,48.5,50.299999,50.299999,62260
45,2014-02-01,51.5,52.0,47.799999,48.299999,48.299999,12660
46,2014-03-01,48.900002,48.900002,47.400002,47.799999,47.799999,11210
47,2014-04-01,47.400002,49.0,47.099998,47.200001,47.200001,9830
48,2014-05-01,47.200001,47.599998,46.099998,46.099998,46.099998,24410
49,2014-06-01,46.099998,46.099998,44.5,45.099998,45.099998,12570
50,2014-07-01,45.0,45.5,44.0,45.5,45.5,13640
51,2014-08-01,45.799999,46.400002,43.599998,43.900002,43.900002,9560
52,2014-09-01,43.900002,46.5,43.5,44.400002,44.400002,11980
53,2014-10-01,44.599998,47.700001,43.099998,43.200001,43.200001,39130
54,2014-11-01,42.700001,44.0,41.200001,41.200001,41.200001,9850
55,2014-12-01,42.099998,43.799999,41.299999,41.900002,41.900002,36360
56,2015-01-01,41.900002,43.799999,41.700001,43.0,43.0,50630
57,2015-02-01,43.299999,43.400002,40.5,40.599998,40.599998,29000
58,2015-03-01,40.700001,41.900002,40.400002,41.099998,41.099998,22360
59,2015-04-01,41.900002,41.900002,40.0,40.799999,40.799999,9670
60,2015-05-01,40.799999,41.0,39.5,40.200001,40.200001,8470
61,2015-06-01,40.099998,41.400002,39.400002,41.0,41.0,13470
62,2015-07-01,40.900002,41.5,39.299999,40.099998,40.099998,38640
63,2015-08-01,40.700001,46.299999,39.900002,42.299999,42.299999,58170
64,2015-09-01,43.099998,44.799999,41.200001,43.200001,43.200001,155860
65,2015-10-01,43.5,43.599998,39.5,39.5,39.5,43640
66,2015-11-01,39.599998,41.0,39.0,39.389999,39.389999,56660
67,2015-12-01,39.43,40.810001,39.130001,39.900002,39.900002,164300
68,2016-01-01,40.779999,44.900002,40.650002,42.119999,42.119999,95700
69,2016-02-01,42.400002,44.75,41.259998,41.860001,41.860001,148800
70,2016-03-01,41.59,41.59,38.970001,39.150002,39.150002,158200
71,2016-04-01,39.419998,39.630001,38.189999,39.0,39.0,162400
72,2016-05-01,38.939999,39.580002,38.09,38.130001,38.130001,82700
73,2016-06-01,38.130001,40.040001,37.779999,38.139999,38.139999,586400
74,2016-07-01,37.869999,38.299999,36.59,36.599998,36.599998,245100
75,2016-08-01,36.779999,37.040001,36.110001,36.549999,36.549999,148600
76,2016-09-01,36.57,37.41,36.279999,36.389999,36.389999,309700
77,2016-10-01,36.560001,37.299999,36.509998,37.09,37.09,179800
78,2016-11-01,37.380001,37.790001,35.470001,35.580002,35.580002,243600
79,2016-12-01,35.669998,35.740002,34.490002,34.98,34.98,119100
80,2017-01-01,34.700001,34.869999,34.0,34.360001,34.360001,41200
81,2017-02-01,34.200001,34.369999,32.860001,32.880001,32.880001,56800
82,2017-03-01,32.720001,33.450001,32.450001,32.84,32.84,88700
83,2017-04-01,32.799999,33.32,32.380001,32.540001,32.540001,39600
84,2017-05-01,32.5,32.939999,32.0,32.060001,32.060001,73500
85,2017-06-01,32.02,32.02,31.25,31.780001,31.780001,153400
86,2017-07-01,31.65,31.85,31.040001,31.25,31.25,22400
87,2017-08-01,31.120001,31.75,31.0,31.16,31.16,56700
88,2017-09-01,30.99,31.370001,30.450001,30.450001,30.450001,20500
89,2017-10-01,30.35,30.370001,29.700001,29.75,29.75,129700
90,2017-11-01,29.610001,29.85,28.799999,28.799999,28.799999,66800
91,2017-12-01,28.860001,29.25,28.309999,28.43,28.43,20900
92,2018-01-01,28.43,28.43,26.58,27.049999,27.049999,54000
93,2018-02-01,27.059999,29.870001,26.870001,27.860001,27.860001,91800
94,2018-03-01,27.9,29.09,27.040001,28.459999,28.459999,152300
95,2018-04-01,28.76,29.450001,27.74,28.290001,28.290001,206800
96,2018-05-01,28.49,28.91,27.469999,27.559999,27.559999,46300
97,2018-06-01,27.620001,27.68,26.950001,27.450001,27.450001,73300
98,2018-07-01,27.450001,27.59,26.4,26.68,26.68,13800
99,2018-08-01,26.68,26.860001,25.75,25.860001,25.860001,51900
100,2018-09-01,25.860001,26.120001,25.51,25.780001,25.780001,28900
101,2018-10-01,25.629999,28.48,25.540001,27.389999,27.389999,383100
102,2018-11-01,27.469999,28.700001,26.57,27.0,27.0,363000
103,2018-12-01,26.59,31.48,26.59,29.639999,29.639999,459600
104,2019-01-01,30.030001,30.139999,27.299999,27.299999,27.299999,287200
105,2019-02-01,27.290001,27.5,26.25,26.459999,26.459999,210600
106,2019-03-01,26.32,27.07,25.790001,26.030001,26.030001,288800
107,2019-04-01,25.84,25.84,25.030001,25.1,25.1,64800
108,2019-05-01,25.0,26.700001,24.98,26.700001,26.700001,134100
109,2019-06-01,26.66,26.9,24.83,25.030001,25.030001,136000
110,2019-07-01,25.16,25.16,24.360001,24.690001,24.690001,172800
111,2019-08-01,24.48,26.0,24.48,25.139999,25.139999,71400
112,2019-09-01,25.18,25.26,24.280001,24.77,24.77,74100
113,2019-10-01,24.92,25.6,24.040001,24.16,24.16,251300
114,2019-11-01,23.99,23.99,23.18,23.280001,23.280001,72500
115,2019-12-01,23.34,23.790001,22.42,22.66,22.66,92900
116,2020-01-01,22.41,22.73,21.83,22.65,22.65,155200
117,2020-02-01,22.540001,25.65,21.5,24.83,24.83,473200
118,2020-03-01,24.379999,31.27,22.92,26.16,26.16,3958000
119,2020-04-01,27.09,27.76,22.57,22.91,22.91,3352200
120,2020-05-01,23.299999,24.01,21.610001,21.75,21.75,1454600
121,2020-06-01,21.84,22.299999,20.48,21.190001,21.190001,1812500
122,2020-07-01,20.74,21.110001,19.99,20.01,20.01,971000
123,2020-08-01,19.940001,19.940001,18.58,18.58,18.58,500200
124,2020-09-01,18.620001,20.190001,18.200001,19.24,19.24,1100800
125,2020-10-01,19.139999,19.93,18.32,19.719999,19.719999,481700
126,2020-11-01,19.49,19.639999,17.209999,17.75,17.75,553100
127,2020-12-01,17.549999,17.629999,17.040001,17.040001,17.040001,434300
128,2021-01-01,17.0,17.459999,16.52,17.18,17.18,532200
129,2021-02-01,17.030001,17.120001,16.120001,16.530001,16.530001,597600
130,2021-03-01,16.389999,17.01,15.84,15.9,15.9,361400
131,2021-04-01,15.82,15.82,15.75,15.77,15.77,6700
132,2021-04-01,15.82,15.82,15.75,15.77,15.77,6687
