,Date,Open,High,Low,Close,Adj Close,Volume
0,2009-11-01,27.059999,27.459999,24.120001,25.48,25.48,2461950
1,2009-12-01,25.26,26.98,24.74,25.02,25.02,1861750
2,2010-01-01,24.879999,26.58,24.4,26.540001,26.540001,1844350
3,2010-02-01,26.52,26.780001,24.879999,25.18,25.18,2493250
4,2010-03-01,25.08,25.120001,23.059999,24.200001,24.200001,3854700
5,2010-04-01,24.1,24.34,23.540001,23.82,23.82,3505950
6,2010-05-01,23.68,25.66,23.540001,24.6,24.6,3758100
7,2010-06-01,24.68,25.52,23.719999,25.360001,25.360001,2598100
8,2010-07-01,25.540001,25.9,24.200001,24.42,24.42,2048400
9,2010-08-01,24.18,25.0,23.799999,24.02,24.02,1883050
10,2010-09-01,23.799999,23.879999,23.120001,23.18,23.18,1524900
11,2010-10-01,23.16,23.42,22.58,22.719999,22.719999,1795650
12,2010-11-01,22.6,23.02,22.059999,22.26,22.26,2111050
13,2010-12-01,22.0,22.040001,21.34,21.440001,21.440001,1144150
14,2011-01-01,21.18,21.860001,20.98,21.040001,21.040001,636150
15,2011-02-01,20.92,20.940001,20.08,20.1,20.1,505200
16,2011-03-01,20.059999,21.379999,19.860001,20.18,20.18,1115850
17,2011-04-01,20.040001,20.959999,19.860001,20.4,20.4,405750
18,2011-05-01,20.4,21.379999,20.200001,20.559999,20.559999,1705400
19,2011-06-01,20.52,22.0,20.5,21.139999,21.139999,6792000
20,2011-07-01,21.02,22.059999,20.84,21.959999,21.959999,1227550
21,2011-08-01,21.879999,24.200001,21.860001,21.9,21.9,10438350
22,2011-09-01,21.9,24.620001,21.82,23.82,23.82,4583400
23,2011-10-01,23.92,25.32,21.940001,22.459999,22.459999,3758500
24,2011-11-01,23.1,24.139999,21.98,22.48,22.48,2240250
25,2011-12-01,22.360001,23.82,22.32,22.76,22.76,2684050
26,2012-01-01,22.5,22.52,21.48,21.799999,21.799999,1563100
27,2012-02-01,21.68,22.120001,21.200001,21.440001,21.440001,1030450
28,2012-03-01,21.42,22.200001,21.280001,21.719999,21.719999,1318600
29,2012-04-01,21.719999,22.68,21.42,21.860001,21.860001,1219150
