,Date,Open,High,Low,Close,Adj Close,Volume
0,2019-05-24,19.889999,19.889999,19.690001,19.690001,19.690001,3500
1,2019-05-27,19.690001,19.690001,19.690001,19.690001,19.690001,0
2,2019-05-28,19.290001,19.5,19.200001,19.440001,19.440001,2800
3,2019-05-29,19.85,20.059999,19.85,19.99,19.99,8900
4,2019-05-30,19.99,20.09,19.799999,20.09,20.09,3600
5,2019-05-31,20.6,21.26,20.6,21.139999,21.139999,6700
6,2019-06-03,21.25,22.09,21.0,22.02,22.02,14600
7,2019-06-04,21.75,21.75,20.93,20.93,20.93,13600
8,2019-06-05,19.92,21.129999,19.92,20.870001,20.870001,6800
9,2019-06-06,21.200001,21.200001,21.15,21.15,21.15,1700
10,2019-06-07,21.0,21.0,20.549999,20.75,20.75,2400
11,2019-06-10,20.0,20.049999,19.860001,20.040001,20.040001,4700
12,2019-06-11,19.870001,20.299999,19.870001,20.299999,20.299999,2700
13,2019-06-12,20.530001,20.6,20.370001,20.370001,20.370001,3900
14,2019-06-13,20.450001,20.870001,20.450001,20.870001,20.870001,3400
15,2019-06-14,21.309999,21.309999,21.309999,21.309999,21.309999,800
16,2019-06-17,21.309999,21.309999,21.309999,21.309999,21.309999,0
17,2019-06-18,21.0,21.0,20.83,20.85,20.85,900
18,2019-06-19,21.01,21.01,21.01,21.01,21.01,100
19,2019-06-20,20.6,20.6,20.6,20.6,20.6,600
20,2019-06-21,21.02,21.530001,21.0,21.0,21.0,13800
21,2019-06-24,21.17,21.469999,21.17,21.24,21.24,1000
22,2019-06-25,21.24,21.620001,21.07,21.620001,21.620001,4600
23,2019-06-26,21.4,21.700001,21.4,21.700001,21.700001,13500
24,2019-06-27,21.120001,21.15,21.110001,21.129999,21.129999,2800
25,2019-06-28,21.030001,21.15,21.030001,21.15,21.15,1400
26,2019-07-02,21.34,21.34,21.34,21.34,21.34,100
27,2019-07-03,21.6,21.719999,21.299999,21.299999,21.299999,8000
28,2019-07-04,21.059999,21.09,21.059999,21.09,21.09,500
29,2019-07-05,21.34,21.379999,21.280001,21.379999,21.379999,1900
30,2019-07-08,21.65,21.74,21.65,21.74,21.74,1600
31,2019-07-09,21.9,21.9,21.9,21.9,21.9,200
32,2019-07-10,21.67,21.98,21.66,21.98,21.98,2300
33,2019-07-11,22.1,22.450001,22.1,22.450001,22.450001,1100
34,2019-07-12,23.1,23.58,23.1,23.450001,23.450001,11200
35,2019-07-15,24.0,24.0,22.85,22.85,22.85,11600
36,2019-07-16,22.629999,22.75,22.629999,22.75,22.75,1400
37,2019-07-17,22.42,22.42,22.42,22.42,22.42,100
38,2019-07-18,22.700001,22.700001,22.620001,22.620001,22.620001,2300
39,2019-07-19,22.700001,22.700001,22.700001,22.700001,22.700001,500
40,2019-07-22,23.120001,23.25,23.120001,23.25,23.25,700
41,2019-07-23,23.23,23.23,23.23,23.23,23.23,100
42,2019-07-24,23.23,23.23,23.23,23.23,23.23,0
43,2019-07-25,23.299999,23.299999,23.299999,23.299999,23.299999,100
44,2019-07-26,23.799999,23.799999,23.799999,23.799999,23.799999,200
45,2019-07-29,24.790001,24.92,24.549999,24.549999,24.549999,1600
46,2019-07-30,24.6,24.6,24.299999,24.299999,24.299999,800
47,2019-07-31,24.290001,24.440001,24.290001,24.440001,24.440001,600
48,2019-08-01,24.85,24.85,24.85,24.85,24.85,100
49,2019-08-02,24.1,24.120001,23.49,23.49,23.49,4800
50,2019-08-06,23.18,23.49,23.18,23.299999,23.299999,2200
51,2019-08-07,23.35,23.35,23.110001,23.110001,23.110001,7100
52,2019-08-08,22.92,23.0,22.799999,22.809999,22.809999,1400
53,2019-08-09,22.959999,23.34,22.959999,23.0,23.0,6000
54,2019-08-12,23.360001,23.58,23.27,23.35,23.35,3700
55,2019-08-13,22.9,22.9,22.35,22.35,22.35,1900
56,2019-08-14,22.9,23.77,22.9,23.610001,23.610001,6800
57,2019-08-15,24.48,25.450001,24.48,25.4,25.4,7300
58,2019-08-16,25.209999,25.209999,24.65,25.0,25.0,5700
59,2019-08-19,25.74,25.74,25.290001,25.440001,25.440001,3300
60,2019-08-20,25.49,25.5,25.23,25.5,25.5,1700
61,2019-08-21,25.209999,25.52,25.17,25.32,25.32,9700
62,2019-08-22,25.77,26.0,25.77,25.84,25.84,3000
63,2019-08-23,25.67,26.290001,25.59,26.290001,26.290001,9000
64,2019-08-26,26.790001,26.790001,26.790001,26.790001,26.790001,100
65,2019-08-27,27.34,28.0,27.34,27.9,27.9,1600
66,2019-08-28,28.440001,28.440001,27.43,27.5,27.5,4500
67,2019-08-29,27.1,27.1,27.1,27.1,27.1,300
68,2019-08-30,27.42,27.42,27.42,27.42,27.42,200
69,2019-09-03,26.5,27.34,26.5,27.120001,27.120001,2700
70,2019-09-04,26.440001,26.440001,26.440001,26.440001,26.440001,200
71,2019-09-05,26.1,26.1,25.5,25.5,25.5,3400
72,2019-09-06,25.52,25.52,24.5,24.9,24.9,5500
73,2019-09-09,24.790001,25.790001,24.75,25.790001,25.790001,4700
74,2019-09-10,26.110001,26.299999,25.360001,25.360001,25.360001,12700
75,2019-09-11,25.360001,25.360001,24.49,24.49,24.49,6600
76,2019-09-12,25.18,25.469999,25.18,25.469999,25.469999,2800
77,2019-09-13,25.02,25.049999,24.98,25.049999,25.049999,1700
78,2019-09-16,25.049999,25.049999,25.049999,25.049999,25.049999,100
79,2019-09-17,25.469999,26.059999,25.469999,26.059999,26.059999,1400
80,2019-09-18,26.07,26.07,26.059999,26.059999,26.059999,200
81,2019-09-19,26.41,26.639999,26.41,26.639999,26.639999,800
82,2019-09-20,26.91,27.190001,26.799999,26.870001,26.870001,2900
83,2019-09-23,26.9,27.190001,26.6,27.190001,27.190001,4400
84,2019-09-24,27.35,28.18,27.35,28.18,28.18,800
85,2019-09-25,28.889999,29.5,28.889999,29.24,29.24,3000
86,2019-09-26,28.959999,29.120001,28.77,28.77,28.77,9100
87,2019-09-27,25.379999,29.84,25.379999,29.799999,29.799999,8000
88,2019-09-30,30.08,31.01,30.08,30.719999,30.719999,3900
89,2019-10-01,30.719999,32.040001,30.719999,31.959999,31.959999,7200
90,2019-10-02,32.560001,33.470001,30.99,31.379999,31.379999,10700
91,2019-10-03,31.440001,31.440001,30.08,30.139999,30.139999,4600
92,2019-10-04,29.77,30.25,29.77,30.25,30.25,3600
93,2019-10-07,31.0,31.09,30.719999,31.0,31.0,2500
94,2019-10-08,31.82,31.82,31.18,31.290001,31.290001,2100
95,2019-10-09,31.52,31.6,31.27,31.6,31.6,1700
96,2019-10-10,32.540001,34.299999,32.259998,34.299999,34.299999,14000
97,2019-10-11,34.299999,34.759998,33.75,34.66,34.66,7300
98,2019-10-15,33.25,34.700001,32.57,32.619999,32.619999,5500
99,2019-10-16,32.639999,33.5,32.639999,33.5,33.5,5800
100,2019-10-17,31.93,32.650002,31.93,32.27,32.27,4900
101,2019-10-18,32.700001,33.080002,32.700001,33.080002,33.080002,2000
102,2019-10-21,33.580002,34.009998,32.630001,32.93,32.93,4500
103,2019-10-22,33.0,33.110001,32.919998,33.110001,33.110001,4700
104,2019-10-23,32.900002,32.900002,32.16,32.169998,32.169998,4800
105,2019-10-24,31.9,31.950001,31.68,31.68,31.68,1800
106,2019-10-25,31.57,31.57,31.26,31.299999,31.299999,3400
107,2019-10-28,31.299999,31.299999,31.299999,31.299999,31.299999,100
108,2019-10-29,32.75,33.150002,32.549999,33.150002,33.150002,1700
109,2019-10-30,33.25,33.25,33.25,33.25,33.25,300
110,2019-10-31,34.0,34.16,33.529999,33.610001,33.610001,2000
111,2019-11-01,33.52,33.610001,33.439999,33.439999,33.439999,1300
112,2019-11-04,33.43,33.740002,33.0,33.16,33.16,1500
113,2019-11-05,32.93,33.25,32.799999,33.25,33.25,1800
114,2019-11-06,34.0,34.0,33.959999,33.959999,33.959999,400
115,2019-11-07,33.799999,34.790001,33.790001,34.790001,34.790001,2800
116,2019-11-08,34.740002,34.740002,32.490002,32.599998,32.599998,4400
117,2019-11-11,32.900002,33.650002,32.900002,33.599998,33.599998,2800
118,2019-11-12,34.0,35.0,34.0,35.0,35.0,10400
119,2019-11-13,35.200001,36.200001,35.200001,36.200001,36.200001,5700
120,2019-11-14,38.0,39.0,37.939999,38.200001,38.200001,14000
121,2019-11-15,39.860001,39.860001,38.369999,39.400002,39.400002,8200
122,2019-11-18,39.509998,41.400002,39.5,41.369999,41.369999,4200
123,2019-11-19,42.23,42.23,38.5,39.299999,39.299999,12400
124,2019-11-20,38.330002,38.450001,35.369999,37.25,37.25,14300
125,2019-11-21,35.689999,36.25,32.099998,33.720001,33.720001,96100
126,2019-11-22,33.77,36.099998,33.77,35.889999,35.889999,19400
127,2019-11-25,33.0,37.040001,33.0,36.830002,36.830002,9000
128,2019-11-26,37.720001,38.560001,37.0,37.849998,37.849998,17200
129,2019-11-27,37.77,37.779999,36.990002,37.0,37.0,9100
130,2019-11-28,36.810001,36.810001,35.599998,36.02,36.02,3800
131,2019-11-29,36.48,37.169998,36.48,36.790001,36.790001,9000
132,2019-12-02,37.169998,38.25,37.169998,38.080002,38.080002,10800
133,2019-12-03,38.740002,38.75,37.0,37.650002,37.650002,3700
134,2019-12-04,37.369999,38.0,37.369999,38.0,38.0,4900
135,2019-12-05,38.360001,38.360001,38.25,38.25,38.25,900
136,2019-12-06,38.25,38.25,38.25,38.25,38.25,600
137,2019-12-09,38.09,38.09,36.419998,36.43,36.43,11300
138,2019-12-10,36.759998,37.189999,36.599998,37.130001,37.130001,9700
139,2019-12-11,36.75,37.810001,36.75,37.650002,37.650002,4800
140,2019-12-12,36.700001,36.709999,35.970001,35.970001,35.970001,3300
141,2019-12-13,35.41,35.59,34.669998,35.59,35.59,4200
142,2019-12-16,35.549999,35.900002,35.490002,35.900002,35.900002,2900
143,2019-12-17,36.619999,37.040001,36.619999,36.830002,36.830002,2900
144,2019-12-18,37.16,38.41,37.16,38.41,38.41,1700
145,2019-12-19,38.470001,38.470001,37.25,37.25,37.25,3900
146,2019-12-20,37.599998,37.599998,37.07,37.299999,37.299999,2800
147,2019-12-23,37.259998,38.0,37.259998,38.0,38.0,8400
148,2019-12-24,37.529999,37.650002,37.139999,37.139999,37.139999,900
149,2019-12-27,37.990002,38.5,37.990002,38.139999,38.139999,3400
150,2019-12-30,38.700001,39.0,38.700001,39.0,39.0,2700
151,2019-12-31,37.810001,37.810001,35.700001,36.009998,36.009998,10100
152,2020-01-02,35.299999,36.810001,35.049999,36.490002,36.490002,7100
153,2020-01-03,36.82,37.240002,36.82,37.240002,37.240002,1400
154,2020-01-06,37.549999,38.299999,37.549999,38.189999,38.189999,4300
155,2020-01-07,38.299999,39.02,38.299999,39.02,39.02,7400
156,2020-01-08,39.25,39.720001,38.0,38.650002,38.650002,5700
157,2020-01-09,38.48,38.66,37.25,37.419998,37.419998,7800
158,2020-01-10,37.299999,38.110001,37.299999,37.709999,37.709999,1100
159,2020-01-13,37.599998,38.0,35.049999,35.049999,35.049999,10800
160,2020-01-14,35.509998,36.310001,34.0,34.119999,34.119999,20900
161,2020-01-15,33.465,33.465,30.889999,31.370001,31.370001,23400
162,2020-01-16,30.549999,31.549999,30.209999,31.34,31.34,19700
163,2020-01-17,31.6,31.65,30.5,31.035,31.035,7000
164,2020-01-20,31.299999,31.299999,30.5,30.82,30.82,24600
165,2020-01-21,30.5,31.67,30.299999,31.620001,31.620001,10300
166,2020-01-22,31.700001,31.75,30.84,31.5,31.5,5100
167,2020-01-23,31.77,31.780001,30.969999,31.67,31.67,4000
168,2020-01-24,31.879999,33.400002,31.879999,33.32,33.32,8700
169,2020-01-27,34.43,35.209999,34.43,35.02,35.02,5400
170,2020-01-28,34.0,34.27,33.439999,33.439999,33.439999,5800
171,2020-01-29,33.310001,34.0,33.290001,34.0,34.0,2300
172,2020-01-30,34.59,34.900002,34.279999,34.900002,34.900002,5900
173,2020-01-31,34.41,36.110001,34.41,36.110001,36.110001,8700
174,2020-02-03,36.110001,36.110001,36.110001,36.110001,36.110001,0
175,2020-02-04,35.360001,35.360001,34.099998,34.669998,34.669998,2600
176,2020-02-05,34.540001,35.18,34.540001,35.18,35.18,1500
177,2020-02-06,35.18,35.18,35.18,35.18,35.18,0
178,2020-02-07,36.799999,39.25,36.0,36.970001,36.970001,10800
179,2020-02-10,37.16,37.880001,37.16,37.880001,37.880001,1700
180,2020-02-11,37.900002,37.900002,36.66,36.98,36.98,7000
181,2020-02-12,36.93,38.119999,36.93,38.119999,38.119999,200
182,2020-02-13,38.09,38.09,37.09,37.720001,37.720001,1700
183,2020-02-14,35.240002,36.150002,34.93,35.349998,35.349998,7500
184,2020-02-18,35.380001,35.900002,35.25,35.25,35.25,1800
185,2020-02-19,35.75,35.77,35.57,35.57,35.57,1900
186,2020-02-20,34.91,35.02,33.720001,34.779999,34.779999,6800
187,2020-02-21,35.080002,35.470001,35.080002,35.470001,35.470001,800
188,2020-02-24,36.669998,37.349998,36.169998,37.25,37.25,4600
189,2020-02-25,37.060001,39.040001,37.060001,39.040001,39.040001,3000
190,2020-02-26,39.400002,39.5,38.5,39.5,39.5,5700
191,2020-02-27,42.0,43.0,40.200001,40.57,40.57,2800
192,2020-02-28,42.810001,43.490002,42.0,42.0,42.0,5000
193,2020-03-02,40.91,42.68,40.91,41.73,41.73,2400
194,2020-03-03,42.25,43.599998,42.040001,43.599998,43.599998,4100
195,2020-03-04,42.48,42.759998,41.290001,41.290001,41.290001,3300
196,2020-03-05,42.75,43.310001,41.700001,43.310001,43.310001,5000
197,2020-03-06,44.25,45.869999,43.599998,45.869999,45.869999,2300
198,2020-03-09,51.869999,51.869999,47.0,50.5,50.5,5000
199,2020-03-10,47.610001,50.0,47.0,48.169998,48.169998,5200
200,2020-03-11,48.98,51.48,48.200001,51.48,51.48,1400
201,2020-03-12,55.360001,60.0,55.360001,58.439999,58.439999,4000
202,2020-03-13,56.049999,58.07,51.0,58.07,58.07,3700
203,2020-03-16,69.959999,69.959999,57.860001,59.450001,59.450001,11800
204,2020-03-17,62.419998,62.419998,56.529999,57.220001,57.220001,6600
205,2020-03-18,61.779999,62.0,58.529999,62.0,62.0,2700
206,2020-03-19,58.0,58.0,53.119999,55.77,55.77,6100
207,2020-03-20,51.509998,53.48,48.950001,53.48,53.48,2000
208,2020-03-23,52.529999,54.77,51.41,53.32,53.32,1700
209,2020-03-24,49.599998,49.93,48.27,49.32,49.32,2900
210,2020-03-25,49.0,49.02,45.240002,47.009998,47.009998,5300
211,2020-03-26,44.889999,44.889999,39.110001,41.16,41.16,10100
212,2020-03-27,40.549999,41.169998,39.0,40.700001,40.700001,10400
213,2020-03-30,41.869999,43.549999,41.490002,43.139999,43.139999,7900
214,2020-03-31,44.0,44.5,41.330002,44.450001,44.450001,4400
215,2020-04-01,46.400002,47.470001,44.91,47.299999,47.299999,4800
216,2020-04-02,45.889999,47.02,45.16,46.869999,46.869999,2400
217,2020-04-03,47.48,48.549999,46.869999,48.169998,48.169998,2400
218,2020-04-06,45.560001,46.040001,44.599998,45.869999,45.869999,3500
219,2020-04-07,43.029999,45.509998,43.029999,45.509998,45.509998,2000
220,2020-04-08,45.290001,45.290001,43.68,44.040001,44.040001,1300
221,2020-04-09,43.0,44.59,43.0,44.200001,44.200001,1000
222,2020-04-13,44.529999,45.0,44.290001,44.290001,44.290001,800
223,2020-04-14,44.380001,44.380001,42.580002,43.009998,43.009998,1200
224,2020-04-15,42.790001,43.290001,42.790001,43.290001,43.290001,1100
225,2020-04-16,44.290001,44.599998,44.040001,44.5,44.5,2100
226,2020-04-17,43.299999,43.450001,42.580002,43.419998,43.419998,1200
227,2020-04-20,42.25,42.299999,41.599998,42.299999,42.299999,1300
228,2020-04-21,43.599998,43.599998,43.599998,43.599998,43.599998,300
229,2020-04-22,43.599998,43.599998,43.599998,43.599998,43.599998,0
230,2020-04-23,43.599998,43.599998,43.599998,43.599998,43.599998,0
231,2020-04-24,43.599998,43.599998,43.599998,43.599998,43.599998,0
232,2020-04-27,40.0,40.0,38.599998,39.509998,39.509998,2300
