,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-02-01,2.13,2.13,1.425,1.455,1.455,3884000
1,2008-03-01,1.45,1.606,1.192,1.22,1.22,9746000
2,2008-04-01,1.257,1.415,0.929,1.018,1.018,16346000
3,2008-05-01,1.046,1.096,0.82,0.874,0.874,20358000
4,2008-06-01,0.855,0.855,0.669,0.672,0.672,33095000
5,2008-07-01,0.672,1.472,0.643,1.387,1.387,48515000
6,2008-08-01,1.399,1.881,1.278,1.727,1.727,65590000
7,2008-09-01,1.975,2.181,1.609,1.964,1.964,66617000
8,2008-10-01,1.969,2.953,1.743,2.526,2.526,48705000
9,2008-11-01,2.632,2.9,2.097,2.535,2.535,40696000
10,2008-12-01,2.577,3.813,2.4,3.261,3.261,11392000
11,2009-01-01,3.228,5.036,2.588,4.947,4.947,17654000
12,2009-02-01,5.076,6.065,3.975,5.267,5.267,32544000
13,2009-03-01,5.046,6.6,4.422,5.963,5.963,29370000
14,2009-04-01,6.267,8.205,5.753,7.7,7.7,9446000
15,2009-05-01,7.555,7.56,4.125,5.475,5.475,25002000
16,2009-06-01,4.88,6.075,4.04,5.445,5.445,54746600
17,2009-07-01,5.81,7.545,4.945,5.835,5.835,53849600
18,2009-08-01,5.245,10.25,4.56,10.0,10.0,59143200
19,2009-09-01,10.29,13.745,3.165,5.2,5.2,215051200
20,2009-10-01,5.45,6.34,4.44,6.11,6.11,206819900
21,2009-11-01,6.3,8.36,6.17,7.27,7.27,65601800
22,2009-12-01,7.71,8.58,4.48,5.08,5.08,93019000
23,2010-01-01,4.66,5.7,4.22,5.62,5.62,172113300
24,2010-02-01,5.14,6.31,4.59,6.17,6.17,103199900
25,2010-03-01,6.17,9.52,6.0,9.47,9.47,80242500
26,2010-04-01,9.45,9.71,7.16,8.9,8.9,86661300
27,2010-05-01,8.95,9.2,6.81,7.35,7.35,50715700
28,2010-06-01,7.2,7.84,4.98,6.32,6.32,80879600
29,2010-07-01,5.71,7.24,5.35,5.42,5.42,65432500
30,2010-08-01,5.67,9.26,5.57,8.72,8.72,62511500
31,2010-09-01,8.97,9.52,7.54,9.2,9.2,65027200
32,2010-10-01,9.37,12.44,9.02,9.85,9.85,37901000
33,2010-11-01,9.94,11.36,8.34,9.53,9.53,44558900
34,2010-12-01,9.52,10.11,7.83,8.35,8.35,48628300
35,2011-01-01,7.42,8.5,6.92,7.98,7.98,101537100
36,2011-02-01,8.25,10.71,7.74,9.6,9.6,46800300
37,2011-03-01,9.66,11.04,7.56,8.04,8.04,76576500
38,2011-04-01,8.05,9.57,7.11,7.18,7.18,58249700
39,2011-05-01,7.21,9.11,7.02,7.21,7.21,50340300
40,2011-06-01,7.26,8.74,6.26,8.0,8.0,54478800
41,2011-07-01,8.37,9.16,7.13,8.63,8.63,44892500
42,2011-08-01,8.56,10.11,8.56,8.95,8.95,40940800
43,2011-09-01,8.92,11.22,8.7,11.2,11.2,46029700
44,2011-10-01,11.37,12.49,10.8,10.96,10.96,25883600
45,2011-11-01,11.78,14.77,11.29,13.75,13.75,21279700
46,2011-12-01,13.83,19.780001,12.81,19.66,19.66,19684500
47,2012-01-01,19.450001,31.209999,17.940001,26.360001,26.360001,31296000
48,2012-02-01,27.440001,28.639999,21.309999,25.75,25.75,31928600
49,2012-03-01,26.76,40.619999,26.610001,40.619999,40.619999,28637200
50,2012-04-01,41.509998,50.029999,36.799999,36.889999,36.889999,15698900
51,2012-05-01,35.889999,38.200001,24.48,33.16,33.16,6882825
52,2012-06-01,34.360001,39.560001,20.719999,22.360001,22.360001,7337700
53,2012-07-01,22.200001,23.32,15.36,15.92,15.92,10149000
54,2012-08-01,16.6,23.32,15.76,20.52,20.52,12725975
55,2012-09-01,19.84,22.280001,15.2,15.28,15.28,9972425
56,2012-10-01,14.4,14.84,12.28,13.92,13.92,11483350
57,2012-11-01,13.84,15.48,11.96,15.16,15.16,10139150
58,2012-12-01,15.16,17.76,13.8,17.08,17.08,11031625
59,2013-01-01,18.24,19.84,14.16,16.799999,16.799999,12908650
60,2013-02-01,16.6,18.559999,14.96,15.52,15.52,12738125
61,2013-03-01,15.52,15.88,11.24,11.72,11.72,15361225
62,2013-04-01,12.04,12.68,9.5,9.9,9.9,25338725
63,2013-05-01,9.72,12.16,9.44,11.56,11.56,29444100
64,2013-06-01,11.56,14.52,11.28,14.12,14.12,19415200
65,2013-07-01,13.9,15.0,12.06,14.86,14.86,17114850
66,2013-08-01,14.88,17.780001,13.18,13.4,13.4,14931200
67,2013-09-01,13.1,15.0,11.94,14.22,14.22,13232500
68,2013-10-01,13.88,15.02,12.0,14.84,14.84,14912450
69,2013-11-01,15.3,16.32,12.34,12.46,12.46,10440450
70,2013-12-01,12.62,12.66,9.1,10.36,10.36,23359150
71,2014-01-01,10.12,11.54,5.42,6.66,6.66,89042500
72,2014-02-01,6.76,7.18,4.89,5.72,5.72,116020950
