,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-02-01,3041600.0,4260800.0,2784000.0,4174400.0,4174400.0,0
1,2008-03-01,4180800.0,4944000.0,3520000.0,4633600.0,4633600.0,3
2,2008-04-01,4449600.0,5788800.0,3918400.0,5225600.0,5225600.0,1
3,2008-05-01,5091200.0,6371200.0,4840000.0,5888000.0,5888000.0,8
4,2008-06-01,6027200.0,7548800.0,5996800.0,7443200.0,7443200.0,10
5,2008-07-01,7598400.0,7710400.0,3104000.0,3312000.0,3312000.0,38
6,2008-08-01,3264000.0,3563200.0,2248000.0,2414400.0,2414400.0,121
7,2008-09-01,2196800.0,2427200.0,1728000.0,1910400.0,1910400.0,264
8,2008-10-01,1908800.0,2123200.0,1153600.0,1339200.0,1339200.0,120
9,2008-11-01,1294400.0,1584000.0,1038400.0,1104000.0,1104000.0,147
10,2008-12-01,1065600.0,1156800.0,684800.0,782400.0,782400.0,150
11,2009-01-01,782400.0,958400.0,464000.0,468800.0,468800.0,203
12,2009-02-01,460800.0,574400.0,358400.0,411200.0,411200.0,271
13,2009-03-01,427200.0,443200.0,284800.0,307200.0,307200.0,682
14,2009-04-01,291200.0,315200.0,210000.0,222800.0,222800.0,996
15,2009-05-01,227200.0,388000.0,221200.0,265600.0,265600.0,2536
16,2009-06-01,291200.0,318000.0,218400.0,224800.0,224800.0,9049
17,2009-07-01,215600.0,222000.0,157200.0,180000.0,180000.0,9095
18,2009-08-01,195600.0,221600.0,90800.0,94000.0,94000.0,12480
19,2009-09-01,91600.0,139040.0,65200.0,130640.0,130640.0,24383
20,2009-10-01,120960.0,140800.0,94800.0,98640.0,98640.0,16273
21,2009-11-01,96160.0,96400.0,68000.0,74560.0,74560.0,15726
22,2009-12-01,70080.0,107760.0,62400.0,93520.0,93520.0,17823
23,2010-01-01,101680.0,109040.0,76160.0,77520.0,77520.0,16250
24,2010-02-01,83680.0,93040.0,66000.0,67360.0,67360.0,12125
25,2010-03-01,67440.0,69280.0,41840.0,42000.0,42000.0,12452
26,2010-04-01,42000.0,51280.0,39200.0,40000.0,40000.0,21284
27,2010-05-01,39920.0,51200.0,38400.0,46480.0,46480.0,14653
28,2010-06-01,47360.0,64720.0,43520.0,49280.0,49280.0,15075
29,2010-07-01,53840.0,55680.0,42480.0,54960.0,54960.0,13966
30,2010-08-01,52160.0,53200.0,30560.0,32320.0,32320.0,18706
31,2010-09-01,31440.0,36480.0,28240.0,29280.0,29280.0,34412
32,2010-10-01,28800.0,29600.0,20800.0,26000.0,26000.0,27228
33,2010-11-01,25840.0,28720.0,21480.0,24920.0,24920.0,32760
34,2010-12-01,25000.0,29760.0,22320.0,26680.0,26680.0,46097
35,2011-01-01,29400.0,30960.0,24920.0,26440.0,26440.0,38465
36,2011-02-01,25560.0,27200.0,19200.0,21280.0,21280.0,24146
37,2011-03-01,21240.0,25880.0,18360.0,24120.0,24120.0,31468
38,2011-04-01,24080.0,26440.0,20120.0,26200.0,26200.0,19194
39,2011-05-01,26080.0,26800.0,19880.0,24640.0,24640.0,24338
40,2011-06-01,24480.0,28000.0,19600.0,21320.0,21320.0,20923
41,2011-07-01,20280.0,23480.0,18480.0,19280.0,19280.0,23740
42,2011-08-01,19440.0,19440.0,16040.0,17960.0,17960.0,15475
43,2011-09-01,18080.0,18440.0,13840.0,13840.0,13840.0,16930
44,2011-10-01,13680.0,14000.0,12240.0,13560.0,13560.0,20375
45,2011-11-01,12680.0,13040.0,9800.0,10370.0,10370.0,35822
46,2011-12-01,10320.0,11050.0,6940.0,6990.0,6990.0,60805
47,2012-01-01,7060.0,7590.0,4100.0,4460.0,4460.0,100985
48,2012-02-01,4300.0,5170.0,3960.0,4210.0,4210.0,119433
49,2012-03-01,4060.0,4060.0,2510.0,2510.0,2510.0,88066
50,2012-04-01,2450.0,2710.0,1990.0,2610.0,2610.0,115960
51,2012-05-01,2667.5,3685.0,2470.0,2650.0,2650.0,215856
52,2012-06-01,2547.5,3620.0,2145.0,3347.5,3347.5,186727
53,2012-07-01,3382.5,4420.0,3057.5,4280.0,4280.0,163899
54,2012-08-01,4085.0,4322.5,2712.5,3075.0,3075.0,156759
55,2012-09-01,3185.0,3895.0,2802.5,3872.5,3872.5,123586
56,2012-10-01,4100.0,4667.5,3907.5,4017.5,4017.5,143099
57,2012-11-01,4037.5,4490.0,3412.5,3465.0,3465.0,149265
58,2012-12-01,3482.5,3792.5,2902.5,2950.0,2950.0,144173
59,2013-01-01,2750.0,3445.0,2500.0,2872.5,2872.5,158293
